Crime Head (Col.1),Cases Pending Trial from the Previous Year (Col.2),Cases Sent for Trial During the Year (Col.3),No. of Cases Withdrawn by the Govt. (Col.4),No. of Cases Disposed by Plea Bargaining (Col.5),Total no. of Cases for Trial During the Year (Col.6) = (Col.2+3 - Col.4 - Col. 5),Cases Compounded or Withdrawn (Col.7),Cases in Which Trials were Completed (Col.8) = (Col. 9+10),Cases Convicted (Col.9),Cases Acquitted or Discharged (Col.10),Cases Pending Trial at the End of the Year (Col.11) = (Col.6 - (Col.7+8) ,Conviction Rate (Col.12) = (Col.9/Col.8) 'x 100,Cases Pendency Percentage (Col.13) = {Col.11/(Col.2+Col.3)}x 100
2.12 Riots,204,92,0,0,296,1,46,4,42,249,8.7,84.1
2.13 Other IPC crimes,6230,1665,0,22,7873,34,1185,270,915,6654,22.8,84.3
2.14 SC / ST (Prevention of Atrocities) Act,4747,592,0,1,5338,26,867,110,757,4445,12.7,83.3
2 Total of SC/ST (Prevention of Atrocities) Act,17272,4407,0,23,21656,89,3443,683,2760,18124,19.8,83.6
3.1 Murder,130,142,0,0,272,0,53,19,34,219,35.8,80.5
3.2 Attempt to Commit Murder,60,72,0,0,132,0,19,4,15,113,21.1,85.6
3.3 Rape,242,177,0,0,419,2,94,25,69,323,26.6,77.1
3.4 Attempt to Commit Rape,21,13,0,0,34,0,7,1,6,27,14.3,79.4
3.5 Assault on Women with Intent to Outrage Her Modesty,423,299,2,0,720,7,101,44,57,612,43.6,84.8
3.5.1 Sexual Harassment,26,31,0,0,57,0,8,3,5,49,37.5,86
3.5.2 Assault on Women with Intent to Disrobe,22,50,0,0,72,1,4,2,2,67,50,93.1
3.5.3 Voyeurism,0,2,0,0,2,0,0,0,0,2,NA,100
3.5.4 Stalking,4,11,0,0,15,0,0,0,0,15,NA,100
3.5.5 Other Sexual Harassment,371,205,2,0,574,6,89,39,50,479,43.8,83.2
3.6 Insult to the Modesty of Women,31,19,0,0,50,6,2,1,1,42,50,84
3.7 Kidnapping & Abduction,194,82,0,0,276,2,50,8,42,224,16,81.2
3.7.1 Kidnaping & Abduction,38,38,0,0,76,0,9,1,8,67,11.1,88.2
3.7.2 Kidnaping & Abduction in Order to Murder,0,0,0,0,0,0,0,0,0,0,NA,NA
3.7.3 Kidnapping for Ransom,0,0,0,0,0,0,0,0,0,0,NA,NA
3.7.4 Kidnapping & Abduction of Women to Compel Her for Marriage,115,37,0,0,152,0,35,7,28,117,20,77
3.7.5 Other Kidnapping,41,7,0,0,48,2,6,0,6,40,0,83.3
3.8 Dacoity,3,1,0,0,4,0,0,0,0,4,NA,100
3.8.1 Dacoity with Murder,0,0,0,0,0,0,0,0,0,0,NA,NA
3.8.2 Other Dacoity,3,1,0,0,4,0,0,0,0,4,NA,100
3.9 Robbery,42,11,0,0,53,1,3,1,2,49,33.3,92.5
3.10 Arson,44,30,0,0,74,1,10,0,10,63,0,85.1
3.11 Grievous Hurt,223,69,0,0,292,11,8,6,2,273,75,93.5
3.11.1 Grievous Hurt,223,69,0,0,292,11,8,6,2,273,75,93.5
3.11.2 Acid attack,0,0,0,0,0,0,0,0,0,0,NA,NA
3.11.3 Attempt to Acid Attack,0,0,0,0,0,0,0,0,0,0,NA,NA
3.12 Riots,255,74,0,0,329,2,9,6,3,318,66.7,96.7
3.13 Other IPC Crimes,3442,2253,48,11,5636,153,1042,524,518,4441,50.3,78
3 Total IPC Crimes against STs,5110,3242,50,11,8291,185,1398,639,759,6708,45.7,80.3
"4 Employment of Manual Scavengers and Construction of Dry Latrines(P) Act, 1993",0,0,0,0,0,0,0,0,0,0,NA,NA
5 Other SLL Crime against STs,121,401,0,0,522,0,53,27,26,469,50.9,89.8
Total Crimes against Scheduled Tribes,22523,8050,50,34,30489,274,4894,1349,3545,25321,27.6,82.8
