Crime Category,CRIME HEAD,Below 12 Years - Boys,Below 12 Years - Girls,Below 12 Years - Total,12 Years & Above – Below 16 Years - Boys,12 Years & Above – Below 16 Years - Girls,12 Years & Above – Below 16 Years - Total,16 Years & Above – Below 18 Years - Boys,16 Years & Above – Below 18 Years - Girls,16 Years & Above – Below 18 Years - Total,Overall age group - Boys,Overall age group - Girls,Grand Total (Boys+Girls)
SLL,"8 Indian Railways Act, 1989",0,0,0,0,0,0,5,0,5,5,0,5
SLL,"9 Registration of Foreigners Act, 1939",0,0,0,0,0,0,0,0,0,0,0,0
SLL,"10 Protection of Civil Rights Act, 1955",0,0,0,0,0,0,0,0,0,0,0,0
SLL,10.1 PCR Act for Crimes Committed against SCs,0,0,0,0,0,0,0,0,0,0,0,0
SLL,10.2 PCR Act For Crimes Committed Against Sts,0,0,0,0,0,0,0,0,0,0,0,0
SLL,10.3 PCR Act for Crimes Committed against Others,0,0,0,0,0,0,0,0,0,0,0,0
SLL,"11 Passport Act, 1967",0,0,0,1,1,2,1,4,5,2,5,7
SLL,"12 Essential Commodities Act, 1955",0,0,0,4,0,4,2,0,2,6,0,6
SLL,"13 Antiquities & Art Treasures Act, 1972",0,0,0,0,0,0,0,0,0,0,0,0
SLL,"14 Dowry Prohibition Act, 1961",0,0,0,0,0,0,5,0,5,5,0,5
SLL,"15 Indecent Representation of Women (Prohibition) Act, 1986",0,0,0,0,0,0,0,0,0,0,0,0
SLL,"16 Copyright Act, 1957",0,0,0,2,0,2,13,0,13,15,0,15
SLL,17 Protection of Children from Sexual Offences Act,5,0,5,150,1,151,337,1,338,492,2,494
SLL,"18 SC/ST (Prevention of Atrocities) Act, 1989)",0,0,0,10,1,11,29,1,30,39,2,41
SLL,18.1 POA Act for crimes committed against SCs,0,0,0,9,1,10,29,1,30,38,2,40
SLL,18.2 POA Act for crimes committed against STs,0,0,0,1,0,1,0,0,0,1,0,1
SLL,"19 Forest Act, 1927",0,0,0,0,0,0,1,0,1,1,0,1
SLL,"20 Prohibition of Child Marriage Act, 2006",0,0,0,0,0,0,1,0,1,1,0,1
SLL,"21 Protection of Women from Domestic Violence Act, 2005",0,0,0,0,0,0,0,0,0,0,0,0
SLL,"22 Information Technology Act, 2000",0,0,0,3,0,3,20,0,20,23,0,23
SLL,"23 Official Secrets Act, 1923",0,0,0,0,0,0,0,0,0,0,0,0
SLL,"24 Electricity Act, 2003",2,0,2,3,0,3,15,0,15,20,0,20
SLL,"25 Wildlife Protection Act, 1972",0,0,0,1,0,1,3,0,3,4,0,4
SLL,"26 Bonded Labour System (Abolition) Act, 1976",0,0,0,0,0,0,0,0,0,0,0,0
SLL,26.1 Against SCs,0,0,0,0,0,0,0,0,0,0,0,0
SLL,26.2 Against STs,0,0,0,0,0,0,0,0,0,0,0,0
SLL,26.3 Against others,0,0,0,0,0,0,0,0,0,0,0,0
SLL,"27 Environmental (Protection) Act, 1986",0,0,0,0,0,0,0,0,0,0,0,0
SLL,"28 Air (Prevention & Control of Pollution) Act, 1981",0,0,0,0,0,0,0,0,0,0,0,0
SLL,"29 Water (Prevention & Control of Pollution) Act, 1974(as amended in 1988)",0,0,0,0,0,0,0,0,0,0,0,0
SLL,"30 National Security Act, 1980",0,0,0,0,0,0,0,0,0,0,0,0
SLL,"31 Unlawful Activities (Prevention) Act, 1967",0,0,0,4,0,4,1,0,1,5,0,5
SLL,"32 Young Persons (Harmful Publications) Act, 1956",0,0,0,0,0,0,0,0,0,0,0,0
SLL,"33 Railway Property (Unlawful Possession) Act, 1966",0,0,0,0,0,0,0,0,0,0,0,0
SLL,"34 Prevention of Damage to Public Property Act, 1984",0,0,0,15,0,15,24,0,24,39,0,39
SLL,"35 Transplantation of Human Organs Act, 1994",0,0,0,0,0,0,0,0,0,0,0,0
SLL,"36 Trade Marks Act, 1999",0,0,0,0,0,0,0,0,0,0,0,0
SLL,"37 Prevention of Insults to National Honour Act, 1971",0,0,0,0,0,0,0,0,0,0,0,0
SLL,"38 State Emblem (Prohibition of Improper Use) Act, 2005",0,0,0,0,0,0,0,0,0,0,0,0
SLL,"39 Lotteries (Regulation) Act, 1998",0,0,0,0,0,0,0,0,0,0,0,0
SLL,"40 Citizenship Act, 1955",0,0,0,0,0,0,0,0,0,0,0,0
SLL,"41 Foreigners Act, 1946",2,0,2,9,0,9,18,0,18,29,0,29
SLL,"42 Place of Worship (Special Provisions) Act, 1991",0,0,0,0,0,0,0,0,0,0,0,0
SLL,"43 Religious Institution (Prevention of Misuse) Act, 1988",0,0,0,0,0,0,0,0,0,0,0,0
SLL,"44 Representation of People Act, 1951",0,0,0,0,0,0,0,0,0,0,0,0
SLL,"45 Emigration Act, 1983",0,0,0,0,0,0,0,0,0,0,0,0
SLL,"46 Juvenile Justice (Care and Protection of Children) Act, 2000",20,3,23,78,9,87,13,5,18,111,17,128
SLL,"47 Infant Substitutes Regulation Act, 2003",0,0,0,0,0,0,0,0,0,0,0,0
SLL,"48 Anti-Hijacking Act, 1982",0,0,0,0,0,0,0,0,0,0,0,0
SLL,"49 Atomic Energy Act, 1962",0,0,0,0,0,0,0,0,0,0,0,0
SLL,"50 Weapons of Mass Destruction (Proh. of Unlawful Activities) Act, 2005",0,0,0,0,0,0,0,0,0,0,0,0
SLL,"51 Suppression of Unlawful Acts against Safety of Civil Aviation Act, 1982",0,0,0,0,0,0,0,0,0,0,0,0
SLL,"52 Safety of Maritime Navigation Act, 2002",0,0,0,0,0,0,0,0,0,0,0,0
SLL,"53 Employment of Manual Scavengers and Construction of Dry Latrines (P) Act, 1993",0,0,0,0,0,0,0,0,0,0,0,0
SLL,"54 Pre-Natal Diagnostic Techniques (Reg and Prev of Misuse) Act, 1994",0,0,0,0,0,0,0,0,0,0,0,0
SLL,"55 The Maritime Zones of India (Reg of Fishing by Foreign Vessels) Act, 1981",0,0,0,0,0,0,0,0,0,0,0,0
SLL,56 Other SLL crimes,9,0,9,84,0,84,452,9,461,545,9,554
SLL,Total Cognizable SLL Crimes,44,7,51,488,27,515,1715,30,1745,2247,64,2311
