Category,Crime Head,Persons in Custody during the Stage of Trial at the Beginning of the year - Male,Persons in Custody during the Stage of Trial at the Beginning of the year - Female,Persons on Bail during the Stage of Trial at the Beginning of the year - Male,Persons on Bail during the Stage of Trial at the Beginning of the year - Female,Total Number of Persons under Trial During the Year - Male,Total Number of Persons under Trial During the Year - Female,Persons Against whom Cases were Compounded by Courts - Male,Persons Against whom Cases were Compounded by Courts - Female,Persons Against whom Cases were Withdrawn - Male,Persons Against whom Cases were Withdrawn - Female,Persons in whose Cases Trials were Completed During the Year - Male,Persons in whose Cases Trials were Completed During the Year - Female,Persons Convicted - Male,Persons Convicted - Female,Persons Acquitted - Male,Persons Acquitted - Female,Persons Discharged by Court - Male,Persons Discharged by Court - Female,Persons in Custody during the stage of Trial at the end of the year - Male,Persons in Custody during the stage of Trial at the end of the year - Female,Persons on Bail During the stage of Trial at the end of the year - Male,Persons on Bail During the stage of Trial at the end of the year - Female
Offences under IT Act,4.2 Under section 67B,0,0,12,0,18,0,0,0,0,0,2,0,2,0,0,0,0,0,4,0,12,0
Offences under IT Act,4.3 Under Section 67C,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Offences under IT Act,5 IT - Intentionally not Complying with the Order of Controller,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0
Offences under IT Act,6 IT - Failure to Provide or Monitor or Intercept or Decrypt Information,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Offences under IT Act,7 IT - Failure to Block Access any Information Hosted etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Offences under IT Act,8 IT - Not Providing Technical Assistance to Govt. to Enable Online Access,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Offences under IT Act,9 IT - Un-authorized Access/Attempt to Access to Protected Computer System,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
Offences under IT Act,10 IT - Misrepresentation/suppression of Fact for Obtaining License etc,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0
Offences under IT Act,11 IT - Breach of Confidentiality/Privacy,0,0,7,0,13,0,0,0,0,0,3,0,2,0,1,0,0,0,1,0,9,0
Offences under IT Act,12 IT - Disclosure of Information in Breach of Lawful Contract,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
Offences under IT Act,13 IT - Publishing /Making Available False Elect. Signature Certificate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Offences under IT Act,14 IT - Create/Publish/Make Available Elec. Signature Certificate for Unlawful Purpose,0,0,3,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
Offences under IT Act,15 IT - Others,37,2,292,6,679,10,5,0,3,0,55,2,17,1,38,1,0,0,47,1,569,7
Offences under IT Act,Total Offences under IT Act,292,4,2766,65,6460,169,58,0,6,0,619,15,248,2,348,10,23,3,943,52,4834,102
Offences under IPC,1 IPC - Offences by Public Servant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Offences under IPC,2 IPC - Fabrication/Destruction of electronic records for evidence,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Offences under IPC,3 IPC - Cheating,30,1,530,17,990,29,5,0,0,0,26,0,14,0,12,0,0,0,112,1,847,28
Offences under IPC,4 IPC - Forgery,12,0,90,0,161,4,0,0,0,0,0,0,0,0,0,0,0,0,26,0,135,4
Offences under IPC,5 IPC - Data theft,2,0,8,1,135,4,0,0,0,0,1,0,0,0,1,0,0,0,122,0,12,4
Offences under IPC,6 IPC - Criminal Breach of Trust/Fraud,6,0,21,0,61,0,0,0,0,0,3,0,0,0,3,0,0,0,16,0,42,0
Offences under IPC,6.1 IPC - Credit / Debit Card,0,0,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5,0
Offences under IPC,6.2 IPC - Others,6,0,19,0,44,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,37,0
Offences under IPC,7 IPC - Counterfeiting,1,0,24,0,35,0,0,0,0,0,7,0,0,0,7,0,0,0,1,0,27,0
Offences under IPC,7.1 IPC - Currency,1,0,24,0,35,0,0,0,0,0,7,0,0,0,7,0,0,0,1,0,27,0
Offences under IPC,7.2 IPC - Stamps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Offences under IPC,8 IPC - Others,75,1,795,23,1448,30,4,0,4,0,39,1,5,0,33,1,1,0,115,3,1286,26
Offences under IPC,Total Offences under IPC,126,2,1468,41,2832,67,9,0,4,0,77,1,20,0,56,1,1,0,393,4,2349,62
SLL Offences,"1 Copyright Act, 1957",25,0,724,1,886,3,0,0,0,0,136,0,32,0,104,0,0,0,224,2,526,1
SLL Offences,1.1 Under Section 63,23,0,326,0,429,0,0,0,0,0,73,0,19,0,54,0,0,0,38,0,318,0
SLL Offences,1.2 Under Section 68A,2,0,0,0,18,0,0,0,0,0,14,0,0,0,14,0,0,0,2,0,2,0
SLL Offences,1.3 Others,0,0,398,1,439,3,0,0,0,0,49,0,13,0,36,0,0,0,184,2,206,1
SLL Offences,"2 Trade Marks Act, 1999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLL Offences,2.1 Under Section 102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLL Offences,2.2 Under Section 103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLL Offences,2.3 Under Section 104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLL Offences,2.4 Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLL Offences,3 Other SLL Offences,2,0,90,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,103,0
SLL Offences,Total SLL Offences,27,0,814,1,1003,3,0,0,0,0,136,0,32,0,104,0,0,0,238,2,629,1
Total Cyber Crimes(IT Act + IPC +SLL),Total Cyber Crimes(IT Act + IPC +SLL),445,6,5048,107,10295,239,67,0,10,0,832,16,300,2,508,11,24,3,1574,58,7812,165
