Category (Col. 1),State/UT (Col. 2),Population of Senior Citizen# (Col. 3),Murder (Section 302 IPC) - I (Col. 4),Murder (Section 302 IPC) - V (Col. 5),Murder (Section 302 IPC) - R (Col. 6),Attempt To Commit Murder (Section 307 IPC) - I (Col. 7),Attempt To Commit Murder (Section 307 IPC) - V (Col. 8),Attempt To Commit Murder (Section 307 IPC) - R (Col. 9),Culpable Homicide Not Amounting To Murder (Section 304 IPC) - I (Col. 10),Culpable Homicide Not Amounting To Murder (Section 304 IPC) - V (Col. 11),Culpable Homicide Not Amounting To Murder (Section 304 IPC) - R (Col. 12),Attempt to Commit Culpable Homicide (Section 308 IPC) - I (Col. 13),Attempt to Commit Culpable Homicide (Section 308 IPC) - V (Col. 14),Attempt to Commit Culpable Homicide (Section 308 IPC) - R (Col. 15),Rape (Section 376 IPC) - I (Col. 16),Rape (Section 376 IPC) - V (Col. 17),Rape (Section 376 IPC) - R (Col. 18),"Dacoity (Section 395,396 & 398 IPC) - Dacoity (Section 395,396 & 398 IPC)(Total) - I (Col. 19)","Dacoity (Section 395,396 & 398 IPC) - Dacoity (Section 395,396 & 398 IPC)(Total) - V (Col. 20)","Dacoity (Section 395,396 & 398 IPC) - Dacoity (Section 395,396 & 398 IPC)(Total) - R (Col. 21)","Dacoity (Section 395,396 & 398 IPC) - Dacoity With Murder (Section 396 IPC) - I (Col. 22)","Dacoity (Section 395,396 & 398 IPC) - Dacoity With Murder (Section 396 IPC) - V (Col. 23)","Dacoity (Section 395,396 & 398 IPC) - Dacoity With Murder (Section 396 IPC) - R (Col. 24)","Dacoity (Section 395,396 & 398 IPC) - Others - I (Col. 25)","Dacoity (Section 395,396 & 398 IPC) - Others - V (Col. 26)","Dacoity (Section 395,396 & 398 IPC) - Others - R (Col. 27)",Making Preparation and Assembly for committing Dacoity (Section 399 & 420 IPC) - I (Col. 28),Making Preparation and Assembly for committing Dacoity (Section 399 & 420 IPC) - V (Col. 29),Making Preparation and Assembly for committing Dacoity (Section 399 & 420 IPC) - R (Col. 30),"Robbery (Section 392 to 394, 397 and 398 IPC) - I (Col. 31)","Robbery (Section 392 to 394, 397 and 398 IPC) - V (Col. 32)","Robbery (Section 392 to 394, 397 and 398 IPC) - R (Col. 33)","Grievous Hurt (325,326,326A & 326 B IPC) - Grievous Hurt (Total) - I (Col. 34)","Grievous Hurt (325,326,326A & 326 B IPC) - Grievous Hurt (Total) - V (Col. 35)","Grievous Hurt (325,326,326A & 326 B IPC) - Grievous Hurt (Total) - R (Col. 36)","Grievous Hurt (325,326,326A & 326 B IPC) - Grievous Hurt (325-326 IPC) - I (Col. 37)","Grievous Hurt (325,326,326A & 326 B IPC) - Grievous Hurt (325-326 IPC) - V (Col. 38)","Grievous Hurt (325,326,326A & 326 B IPC) - Grievous Hurt (325-326 IPC) - R (Col. 39)","Grievous Hurt (325,326,326A & 326 B IPC) - Acid attack (Section 326A IPC) - I (Col. 40)","Grievous Hurt (325,326,326A & 326 B IPC) - Acid attack (Section 326A IPC) - V (Col. 41)","Grievous Hurt (325,326,326A & 326 B IPC) - Acid attack (Section 326A IPC) - R (Col. 42)","Grievous Hurt (325,326,326A & 326 B IPC) - Attempt to Acid Attack (Section 326B IPC) - I (Col. 43)","Grievous Hurt (325,326,326A & 326 B IPC) - Attempt to Acid Attack (Section 326B IPC) - V (Col. 44)","Grievous Hurt (325,326,326A & 326 B IPC) - Attempt to Acid Attack (Section 326B IPC) - R (Col. 45)",Extortion (Section 384-389 IPC) - I (Col. 46),Extortion (Section 384-389 IPC) - V (Col. 47),Extortion (Section 384-389 IPC) - R (Col. 48),Cheating (Section 420 IPC) - I (Col. 49),Cheating (Section 420 IPC) - V (Col. 50),Cheating (Section 420 IPC) - R (Col. 51),Other IPC Crimes - I (Col. 52),Other IPC Crimes - V (Col. 53),Other IPC Crimes - R (Col. 54),"Total cognizable IPC Crimes against Senior Citizens (All ""I"" columns excluding sub heads) - I (Col. 55)","Total cognizable IPC Crimes against Senior Citizens (All ""I"" columns excluding sub heads) - V (Col. 56)","Total cognizable IPC Crimes against Senior Citizens (All ""I"" columns excluding sub heads) - R (Col. 57)"
State,Manipur,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,13,13,6.5,16,16,8
State,Meghalaya,1.4,2,2,1.4,1,1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.7,2,2,1.4,6,6,4.3
State,Mizoram,0.7,2,2,2.9,1,1,1.5,0,0,0,0,0,0,1,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.5,1,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.5,6,6,8.7
State,Nagaland,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Odisha,39.8,19,20,0.5,18,18,0.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,35,37,0.9,35,37,0.9,0,0,0,0,0,0,3,3,0.1,14,14,0.4,332,337,8.3,423,431,10.6
State,Punjab,28.7,40,42,1.4,4,4,0.1,4,4,0.1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.2,5,5,0.2,0,0,0,0,0,0,0,0,0,8,8,0.3,25,25,0.9,87,89,3
State,Rajasthan,51.1,29,30,0.6,2,2,0,1,1,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,0.2,11,11,0.2,11,11,0.2,0,0,0,0,0,0,6,6,0.1,112,112,2.2,508,508,9.9,685,687,13.4
State,Sikkim,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4.9,2,3,4.9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.5,3,4,7.4
State,Tamil Nadu,75.1,162,168,2.2,71,72,0.9,0,0,0,0,0,0,3,3,0,4,4,0.1,0,0,0,4,4,0.1,0,0,0,88,88,1.2,11,12,0.1,11,12,0.1,0,0,0,0,0,0,7,10,0.1,192,192,2.6,1409,1420,18.8,1947,1969,25.9
State,Telangana,34.4,53,54,1.5,6,6,0.2,2,2,0.1,0,0,0,4,4,0.1,2,2,0.1,0,0,0,2,2,0.1,0,0,0,21,21,0.6,7,7,0.2,7,7,0.2,0,0,0,0,0,0,12,12,0.3,240,240,7,1172,1172,34,1519,1520,44.1
State,Tripura,2.9,3,3,1,0,0,0,0,0,0,0,0,0,4,4,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.3,1,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1.4,12,12,4.1
State,Uttar Pradesh,154.4,151,154,1,15,15,0.1,29,29,0.2,0,0,0,4,4,0,3,3,0,1,1,0,2,2,0,0,0,0,18,18,0.1,50,52,0.3,50,52,0.3,0,0,0,0,0,0,3,3,0,33,33,0.2,64,64,0.4,370,375,2.4
State,Uttarakhand,9,2,2,0.2,0,0,0,0,0,0,0,0,0,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.2,5,5,0.6
State,West Bengal,77.4,15,15,0.2,9,11,0.1,4,4,0.1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,34,42,0.4,34,42,0.4,0,0,0,0,0,0,2,2,0,12,12,0.2,45,67,0.6,125,157,1.6
State,TOTAL (STATES),1024.6,1035,1071,1,453,465,0.4,77,80,0.1,48,48,0,55,55,0.1,45,45,0,2,2,0,43,43,0,0,0,0,1148,1157,1.1,936,962,0.9,935,961,0.9,1,1,0,0,0,0,91,94,0.1,1736,1744,1.7,13615,13841,13.3,19239,19562,18.8
UT,A & N Islands,0.3,3,3,11.8,1,1,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7.9,2,2,7.9,0,0,0,0,0,0,0,0,0,0,0,0,6,6,23.6,12,12,47.2
UT,Chandigarh,0.7,1,1,1.5,0,0,0,1,1,1.5,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.5,1,1,1.5,1,1,1.5,0,0,0,0,0,0,0,0,0,7,7,10.4,13,13,19.4,26,26,38.8
UT,D&N Haveli,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,Daman & Diu,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,Delhi UT,11.5,14,17,1.2,2,2,0.2,0,0,0,2,3,0.2,1,1,0.1,2,2,0.2,0,0,0,2,2,0.2,0,0,0,145,145,12.6,9,9,0.8,9,9,0.8,0,0,0,0,0,0,3,3,0.3,123,124,10.7,947,948,82.5,1248,1254,108.8
UT,Lakshadweep,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,Puducherry,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.8,1,1,0.8,0,0,0,0,0,0,0,0,0,1,1,0.8,5,5,4.2,7,7,5.8
UT,TOTAL (UTS),13.9,18,21,1.3,3,3,0.2,1,1,0.1,2,3,0.1,3,3,0.2,2,2,0.1,0,0,0,2,2,0.1,0,0,0,146,146,10.5,13,13,0.9,13,13,0.9,0,0,0,0,0,0,3,3,0.2,131,132,9.4,971,972,69.8,1293,1299,93
TOTAL ALL INDIA,TOTAL ALL INDIA,1024.6,1053,1092,1,456,468,0.4,78,81,0.1,50,51,0,58,58,0.1,47,47,0,2,2,0,45,45,0,0,0,0,1294,1303,1.3,949,975,0.9,948,974,0.9,1,1,0,0,0,0,94,97,0.1,1867,1876,1.8,14586,14813,14.2,20532,20861,20
