S. No.,Category,State/UT,"Arms Act, 1959","Narcotic Drugs & Psychotropic Substances Act, 1985","Gambling Act, 1867","Excise Act, 1944",Prohibition Act,"Explosives & Explosive Substances Act, 1884 & 1908","Immoral Traffic (Prevention) Act, 1956 - Immoral Traffic (Prevention) Act (Total)","Immoral Traffic (Prevention) Act, 1956 - Under Section 5","Immoral Traffic (Prevention) Act, 1956 - Under Section 6","Immoral Traffic (Prevention) Act,1956 - Under Section 7","Immoral Traffic (Prevention) Act,1956 - Under Section 8","Immoral Traffic (Prevention) Act,1956 - Others","Indian Railways Act, 1989","Registration of Foreigners Act, 1939","Protection of Civil Rights Act, 1955 - Protection of Civil Rights Act (Total)","Protection of Civil Rights Act, 1955 - For Crimes Committed Against SCs","Protection of Civil Rights Act, 1955 - For Crimes Committed Against STs","Protection of Civil Rights Act, 1955 - For Crimes Committed Against Others","Passport Act, 1967","Essential Commodities Act, 1955","Antiquities & Art Treasures Act, 1972","Dowry Prohibition Act, 1961","Indecent Representation of Women (Prohibition) Act, 1986","Copy Right Act, 1957",Protection of Children from Sexual Offences Act 1987,"SC/ST (Prevention of Atrocities) Act, 1989 - SC/ST (Prevention of Atrocities) Act, 1989","SC/ST (Prevention of Atrocities) Act, 1989 - For Crimes Committed Against SCs","SC/ST (Prevention of Atrocities) Act, 1989 - For Crimes Committed Against STs","Forest Act, 1927","Prohibition of Child Marriage Act, 2006","Protection of Women From Domestic Violence Act, 2005","Information Technology Act, 2000","Official Secrets Act, 1923","Electricity Act, 2003","Wildlife Protection Act, 1972","Bonded Labour System (Abolition) Act, 1976 - Bonded Labour System (Abolition) Act, 1976 (Total)","Bonded Labour System (Abolition) Act, 1976 - Against SC","Bonded Labour System (Abolition) Act, 1976 - Against ST","Bonded Labour System (Abolition) Act, 1976 - Against Others","Environmental Protection Act, 1986","Air (Prevention & Control of Pollution) Act, 1981",Water (Prevention & Control of Pollution) Act,"National Security Act, 1980","Unlawful Activities (Prevention) Act, 1967","Young Persons (Harmful Publications) Act, 1956","Railway Property (Unlawful Possession) Act, 1966","Prevention of Damage To Public Property Act, 1984","Transplantation of Human Organs Act, 1994","Trade Marks Act, 1999","Prevention of Insults To National Honour Act, 1971","State Emblem of India (Prohibition of Improper Use) Act, 2005","Lotteries (Regulation) Act, 1998","Citizenship Act, 1955","Foreigners Act, 1946","Place of Worship (Special Provisions) Act, 1991","Religious Institution (Prevention of Misuse) Act, 1988","Representation of the People Act, 1951","Emigration Act, 1983","Juvenile Justice (Care And Protection of Children) Act, 2000","Infant Milk Substitutes, Feeding Bottles And Infant Foods (Regulation of Production, Supply And Distribution) Amendment Act, 2003","Anti Hijacking Act, 1982","Atomic Energy Act, 1962","Weapons of Mass Destruction And Their Delivery Systems (Prohibition Of Unlawful Activities) Act, 2005","Suppression of Unlawful Acts Against Safety Of Civil Aviation Act, 1982","Safety of Maritime Navigation Act, 2002","The Employment of Manual Scavengers And Construction Of Dry Latrines (Prohibition) Act, 1993","Pre-Natal Diagnostic Techniques (Regulation And Prevention of Misuse) Act, 1994","The Maritime Zones of India (Regulation of Fishing by Foreign Vessels) Act, 1981",Other SLL Crimes,Total Cognizable SLL Crimes
27,State,Uttar Pradesh,24,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,48
28,State,Uttarakhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
29,State,West Bengal,3,4,0,2,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,89
TOTAL (STATES),State,TOTAL (STATES),181,123,215,139,130,15,8,5,1,1,0,1,3,0,0,0,0,0,2,5,0,5,0,14,456,33,32,1,1,3,0,17,0,18,4,0,0,0,0,0,0,0,0,5,0,0,21,0,0,0,0,0,0,14,0,0,0,0,107,0,0,0,0,0,0,0,0,0,481,2000
30,UT,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,UT,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,D&N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
33,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,UT,Delhi UT,6,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,34
35,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,UT,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TOTAL (Uts),UT,TOTAL (Uts),6,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,37
TOTAL (ALL INDIA),TOTAL (ALL INDIA),TOTAL (ALL INDIA),187,123,218,152,130,15,8,5,1,1,0,1,3,0,0,0,0,0,2,5,0,5,0,14,460,33,32,1,1,3,0,17,0,18,4,0,0,0,0,0,0,0,0,5,0,0,21,0,0,0,0,0,0,14,0,0,0,0,107,0,0,0,0,0,0,0,0,0,492,2037
