Category,State/UT (Col.2),Estimated Mid-Year Children Population+ (in Lakhs) (Col.3),Procuration of Minor Girls (Sec.366 A IPC) - I (Col.4),Procuration of Minor Girls (Sec.366 A IPC) - V (Col.5),Procuration of Minor Girls (Sec.366 A IPC) - R (Col.6),Importation of Girls from Foreign Country (Sec.366B IPC) - I (Col.7),Importation of Girls from Foreign Country (Sec.366B IPC) - V (Col.8),Importation of Girls from Foreign Country (Sec.366B IPC) - R (Col.9),Buying of Minors For Prostitution (Sec.373 IPC) - I (Col.10),Buying of Minors For Prostitution (Sec.373 IPC) - V (Col.11),Buying of Minors For Prostitution (Sec.373 IPC) - R (Col.12),Selling of Minors For Prostitution (Sec.372 IPC) - I (Col.13),Selling of Minors For Prostitution (Sec.372 IPC) - V (Col.14),Selling of Minors For Prostitution (Sec.372 IPC) - R (Col.15),Immoral Traffic (Prevention) Act - Immoral Traffic (Prevention) Act (Total) - I (Col.16),Immoral Traffic (Prevention) Act - Immoral Traffic (Prevention) Act (Total) - V (Col.17),Immoral Traffic (Prevention) Act - Immoral Traffic (Prevention) Act (Total) - R (Col.18),Immoral Traffic (Prevention) Act - Under Section 5 - I (Col.19),Immoral Traffic (Prevention) Act - Under Section 5 - V (Col.20),Immoral Traffic (Prevention) Act - Under Section 5 - R (Col.21),Immoral Traffic (Prevention) Act - Under Section 6 - I (Col.22),Immoral Traffic (Prevention) Act - Under Section 6 - V (Col.23),Immoral Traffic (Prevention) Act - Under Section 6 - R (Col.24),Immoral Traffic (Prevention) Act - Under Section 7 - I (Col.25),Immoral Traffic (Prevention) Act - Under Section 7 - V (Col.26),Immoral Traffic (Prevention) Act - Under Section 7 - R (Col.27),Immoral Traffic (Prevention) Act - Under Section 8 - I (Col.28),Immoral Traffic (Prevention) Act - Under Section 8 - V (Col.29),Immoral Traffic (Prevention) Act - Under Section 8 - R (Col.30),Immoral Traffic (Prevention) Act - Others - I (Col.31),Immoral Traffic (Prevention) Act - Others - V (Col.32),Immoral Traffic (Prevention) Act - Others - R (Col.33),Human Trafficking (Section 370 & 370A IPC) - I (Col.34),Human Trafficking (Section 370 & 370A IPC) - V (Col.35),Human Trafficking (Section 370 & 370A IPC) - R (Col.36),Total Cases Relating To Child Trafficking - I (Col.37),Total Cases Relating To Child Trafficking - V (Col.38),Total Cases Relating To Child Trafficking - R (Col.39)
State,Madhya Pradesh,300.8,5,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,30,0.1,32,40,0.1
State,Maharashtra,378.5,6,6,0,0,0,0,7,7,0,1,1,0,18,28,0,10,16,0,0,0,0,3,3,0,0,0,0,5,9,0,5,11,0,37,53,0.1
State,Manipur,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,10,18,18,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,1.8
State,Mizoram,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Nagaland,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Odisha,140.4,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,58,0.1,27,65,0.2
State,Punjab,87.7,6,6,0.1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,9,9,0.1
State,Rajasthan,285.4,38,38,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,0,44,63,0.2
State,Sikkim,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Tamil Nadu,202,9,9,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,13,13,0.1
State,Telangana,111.7,42,42,0.4,0,0,0,1,1,0,0,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,0.1,55,59,0.5
State,Tripura,12.4,14,14,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,1.1
State,Uttar Pradesh,885.8,1,1,0,0,0,0,2,2,0,4,4,0,3,3,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,0,13,13,0
State,Uttarakhand,38.5,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,4,0.1,7,7,0.2
State,West Bengal,293.7,1003,1055,3.4,1,1,0,0,0,0,91,97,0.3,9,30,0,5,26,0,0,0,0,0,0,0,0,0,0,4,4,0,15,15,0.1,1119,1198,3.8
State,TOTAL (STATES),4389.6,3080,3132,0.7,2,2,0,11,11,0,105,111,0,58,105,0,33,77,0,4,4,0,5,5,0,1,0,0,15,19,0,162,372,0,3418,3733,0.8
UT,A & N Islands,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,Chandigarh,4,7,7,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.5,9,9,2.3
UT,D&N Haveli,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,Daman & Diu,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,Delhi UT,56,0,0,0,0,0,0,0,0,0,6,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,156,1,63,163,1.1
UT,Lakshadweep,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,Puducherry,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,TOTAL (UTS),68.4,7,7,0.1,0,0,0,0,0,0,6,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,158,0.9,72,172,1.1
TOTAL ALL INDIA,TOTAL ALL INDIA,4458,3087,3139,0.7,2,2,0,11,11,0,111,118,0,58,105,0,33,77,0,4,4,0,5,5,0,1,0,0,15,19,0,221,530,0,3490,3905,0.8
