S.No. (Col. 1),Category (Col. 2),State/UT (Col. 3),District / Session Judge - Duration of Trial - Less Than 6 Months (Col. 4),District / Session Judge - Duration of Trial - 6–12 Months (Col. 5),District / Session Judge - Duration of Trial - 1–3 Years (Col. 6),District / Session Judge - Duration of Trial - 3–5 Years (Col. 7),District / Session Judge - Duration of Trial - 5–10 Years (Col. 8),District / Session Judge - Duration of Trial - Over 10 Years (Col. 9),District / Session Judge - Duration of Trial - Total (Col. 10) = (Col 4 to 9),Additional Session Judge - Duration of Trial - Less Than 6 Months (Col. 11),Additional Session Judge - Duration of Trial - 6–12 Months (Col. 12),Additional Session Judge - Duration of Trial - 1–3 Years (Col. 13),Additional Session Judge - Duration of Trial - 3–5 Years (Col. 14),Additional Session Judge - Duration of Trial - 5–10 Years (Col. 15),Additional Session Judge - Duration of Trial - Over 10 Years (Col. 16),Additional Session Judge - Duration of Trial - Total (Col. 17) = (Col 11 To 16),Chief Judicial Magistrate - Duration of Trial - Less Than 6 Months (Col. 18),Chief Judicial Magistrate - Duration of Trial - 6–12 Months (Col. 19),Chief Judicial Magistrate - Duration of Trial - 1–3 Years (Col. 20),Chief Judicial Magistrate - Duration of Trial - 3–5 Years (Col. 21),Chief Judicial Magistrate - Duration of Trial - 5–10 Years (Col. 22),Chief Judicial Magistrate - Duration of Trial - Over 10 Years (Col. 23),Chief Judicial Magistrate - Duration of Trial - Total (Col. 24) = (Col 18 To 23),Judicial Magistrate (I) - Duration of Trial - Less Than 6 Months (Col. 25),Judicial Magistrate (I) - Duration of Trial - 6–12 Months (Col. 26),Judicial Magistrate (I) - Duration of Trial - 1–3 Years (Col. 27),Judicial Magistrate (I) - Duration of Trial - 3–5 Years (Col. 28),Judicial Magistrate (I) - Duration of Trial - 5–10 Years (Col. 29),Judicial Magistrate (I) - Duration of Trial - Over 10 Years (Col. 30),Judicial Magistrate (I) - Duration of Trial - Total (Col. 31) = (Col 25 To 30),Judicial Magistrate (II) - Duration of Trial - Less Than 6 Months (Col. 32),Judicial Magistrate (II) - Duration of Trial - 6–12 Months (Col. 33),Judicial Magistrate (II) - Duration of Trial - 1–3 Years (Col. 34),Judicial Magistrate (II) - Duration of Trial - 3–5 Years (Col. 35),Judicial Magistrate (II) - Duration of Trial - 5–10 Years (Col. 36),Judicial Magistrate (II) - Duration of Trial - Over 10 Years (Col. 37),Judicial Magistrate (II) - Duration of Trial - Total (Col. 38) = (Col 32 To 37),Special Judicial Magistrate - Duration of Trial - Less Than 6 Months (Col. 39),Special Judicial Magistrate - Duration of Trial - 6–12 Months (Col. 40),Special Judicial Magistrate - Duration of Trial - 1–3 Years (Col. 41),Special Judicial Magistrate - Duration of Trial - 3–5 Years (Col. 42),Special Judicial Magistrate - Duration of Trial - 5–10 Years (Col. 43),Special Judicial Magistrate - Duration of Trial - Over 10 Years (Col. 44),Special Judicial Magistrate - Duration of Trial - Total (Col. 45) = (Col 39 To 44),Juvenile Justice Board - Duration of Trial - Less Than 6 Months (Col. 46),Juvenile Justice Board - Duration of Trial - 6–12 Months (Col. 47),Juvenile Justice Board - Duration of Trial - 1–3 Years (Col. 48),Juvenile Justice Board - Duration of Trial - 3–5 Years (Col. 49),Juvenile Justice Board - Duration of Trial - 5–10 Years (Col. 50),Juvenile Justice Board - Duration of Trial - Over 10 Years (Col. 51),Juvenile Justice Board - Duration of Trial - Total (Col. 52) = (Col 46 To 51),Other Type of Courts - Duration of Trial - Less Than 6 Months (Col. 53),Other Type of Courts - Duration of Trial - 6–12 Months (Col. 54),Other Type of Courts - Duration of Trial - 1–3 Years (Col. 55),Other Type of Courts - Duration of Trial - 3–5 Years (Col. 56),Other Type of Courts - Duration of Trial - 5–10 Years (Col. 57),Other Type of Courts - Duration of Trial - Over 10 Years (Col. 58),Other Type of Courts - Duration of Trial - Total (Col. 59) = (Col 53 To 58),Sum of All Type Of Courts - Duration of Trial - Less Than 6 Months (Col. 60),Sum of All Type Of Courts - Duration of Trial - 6–12 Months (Col. 61),Sum of All Type Of Courts - Duration of Trial - 1–3 Years (Col. 62),Sum of All Type Of Courts - Duration of Trial - 3–5 Years (Col. 63),Sum of All Type Of Courts - Duration of Trial - 5–10 Years (Col. 64),Sum of All Type Of Courts - Duration of Trial - Over 10 Years (Col. 65),Sum of All Type Of Courts - Duration of Trial - Total (Col. 66) = (Col 60 To 65)
25,State,Telangana,101,265,660,709,145,13,1893,66,466,1400,1019,219,47,3217,496,984,1482,1882,242,13,5099,4083,7527,9968,4923,2867,440,29808,931,702,1664,288,69,0,3654,842,943,916,900,146,15,3762,83,100,193,30,8,0,414,623,952,884,528,176,116,3279,7225,11939,17167,10279,3872,644,51126
26,State,Tripura,1,29,65,39,24,16,174,1,46,93,54,25,18,237,3,130,165,70,20,9,397,3,84,254,99,38,24,502,1,27,28,16,15,0,87,1,2,7,0,0,0,10,0,1,1,2,0,0,4,4,33,245,54,51,1,388,14,352,858,334,173,68,1799
27,State,Uttar Pradesh,0,7,1034,2136,2274,374,5825,0,34,2040,4032,4228,600,10934,1,183,2905,5417,5195,538,14239,0,136,3169,6996,6858,598,17757,0,111,3878,9764,10078,554,24385,0,84,1272,2375,1557,152,5440,129,15,346,294,193,19,996,0,105,1080,1641,1097,288,4211,130,675,15724,32655,31480,3123,83787
28,State,Uttarakhand,8,300,173,101,51,0,633,8,427,163,95,54,0,747,180,1129,1110,577,83,5,3084,62,622,625,347,77,1,1734,18,36,43,64,62,0,223,1,1,5,8,13,0,28,50,32,18,0,0,0,100,10,14,80,100,26,0,230,337,2561,2217,1292,366,6,6779
29,State,West Bengal,103,248,478,337,327,222,1715,639,904,2373,1886,1335,421,7558,239,719,1790,1572,1320,303,5943,214,543,1844,1495,1658,410,6164,225,636,1522,1247,1376,347,5353,12,19,256,327,217,36,867,10,27,135,60,52,0,284,331,590,1621,1414,1466,337,5759,1773,3686,10019,8338,7751,2076,33643
TOTAL (STATES),TOTAL (STATES),TOTAL (STATES),2675,5557,15649,15440,10001,2838,52160,3961,9690,27659,24351,15195,3892,84748,18740,34140,58592,45798,22719,6720,186709,102372,144783,177121,104621,45375,12860,587132,32077,51011,74415,50920,24694,4912,238029,5138,8509,13517,12581,5894,1530,47169,2270,3089,4865,2676,1468,359,14727,11526,17006,29666,19147,10499,2626,90470,178759,273785,401484,275534,135845,35737,1301144
30,UT,A & N Islands,0,0,0,0,0,0,0,0,0,13,18,2,0,33,0,14,45,31,6,0,96,0,11,26,67,34,2,140,0,1,24,40,9,0,74,0,0,19,17,1,0,37,0,3,5,6,1,0,15,0,0,0,0,0,0,0,0,29,132,179,53,2,395
31,UT,Chandigarh,7,5,5,0,0,0,17,146,59,37,5,3,1,251,7,20,154,34,19,4,238,538,897,781,257,58,14,2545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,39,15,1,2,2,87,0,0,0,0,0,0,0,726,1020,992,297,82,21,3138
32,UT,D&N Haveli,0,0,9,3,1,1,14,0,0,0,0,0,0,0,1,0,2,10,5,11,29,0,1,31,24,22,20,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,42,37,28,32,141
33,UT,Daman & Diu,0,2,5,6,0,0,13,0,0,0,0,0,0,0,0,9,9,11,0,0,29,0,9,62,30,5,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,76,47,5,0,148
34,UT,Delhi UT,119,357,968,614,302,21,2381,44,238,1075,948,262,13,2580,85,252,406,304,71,4,1122,769,1397,3465,2185,495,218,8529,156,245,686,867,200,10,2164,56,80,95,172,112,0,515,197,253,416,0,0,0,866,407,345,436,365,226,38,1817,1833,3167,7547,5455,1668,304,19974
35,UT,Lakshadweep,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,0,0,0,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,18,0,42
36,UT,Puducherry,4,0,1,0,0,0,5,0,4,3,1,0,0,8,0,44,0,0,0,0,44,55,98,3,1,0,0,157,349,100,138,14,3,1,605,0,0,0,0,0,0,0,2,1,3,0,0,0,6,77,45,60,0,0,0,182,487,292,208,16,3,1,1007
TOTAL (UTS),TOTAL (UTS),TOTAL (UTS),130,364,997,623,303,22,2439,190,301,1128,972,267,14,2872,93,339,616,405,101,19,1573,1362,2413,4368,2564,632,254,11593,505,346,848,921,212,11,2843,56,80,114,189,113,0,552,227,296,439,7,3,2,974,484,390,496,365,226,38,1999,3047,4529,9006,6046,1857,360,24845
TOTAL (ALL INDIA),TOTAL (ALL INDIA),TOTAL (ALL INDIA),2805,5921,16646,16063,10304,2860,54599,4151,9991,28787,25323,15462,3906,87620,18833,34479,59208,46203,22820,6739,188282,103734,147196,181489,107185,46007,13114,598725,32582,51357,75263,51841,24906,4923,240872,5194,8589,13631,12770,6007,1530,47721,2497,3385,5304,2683,1471,361,15701,12010,17396,30162,19512,10725,2664,92469,181806,278314,410490,281580,137702,36097,1325989
