Crime Head (Col. 1),Cases Pending Trial from the Previous Year (Col. 2),Cases Sent for Trial During the Year (Col. 3),No. of Cases Withdrawn by the Govt. (Col. 4),No. of Cases Disposed by Plea Bargaining (Col. 5),Total no. of Cases for Trial During the Year (Col. 6) = (Col.2+3 - Col.4 - Col.5),Cases Compounded or Withdrawn (Col. 7),Cases in Which Trials were Completed (Col. 8) = (Col. 9+10),Cases Convicted (Col. 9),Cases Acquitted or Discharged (Col. 10),Cases Pending Trial at the End of the Year (Col. 11) = (Col.6 - (Col.7+8)),Conviction Rate (Col. 12) = (Col.9/Col.10) * 100,Cases Pendency Percentage (Col. 13) = {Col.11/(Col.2+Col.3)} x 100
"26 Bonded Labour System (Abolition) Act, 1976",108,65,1,0,172,0,7,1,6,165,14.3,95.4
26.1 Against SCs,7,5,1,0,11,0,1,0,1,10,0,83.3
26.2 Against STs,7,2,0,0,9,0,0,0,0,9,NA,100
26.3 Against others,94,58,0,0,152,0,6,1,5,146,16.7,96.1
"27 Environmental (Protection) Act, 1986",170,274,0,0,444,1,32,8,24,411,25,92.6
"28 Air (Prevention & Control of Pollution) Act, 1981",30,23,0,0,53,0,6,3,3,47,50,88.7
"29 Water (Prevention & Control of Pollution) Act, 1974(as amended in 1988)",10,6,0,0,16,0,5,1,4,11,20,68.8
"30 National Security Act, 1980",229,406,0,0,635,0,231,200,31,404,86.6,63.6
"31 Unlawful Activities (Prevention) Act, 1967",1209,121,0,0,1330,1,76,11,65,1253,14.5,94.2
"32 Young Persons (Harmful Publications) Act, 1956",21,0,0,0,21,0,2,1,1,19,50,90.5
"33 Railway Property (Unlawful Possession) Act, 1966",4,2,0,0,6,0,0,0,0,6,NA,100
"34 Prevention of Damage to Public Property Act, 1984",5012,3675,0,0,8687,10,1127,320,807,7550,28.4,86.9
"35 Transplantation of Human Organs Act, 1994",2,13,0,0,15,0,0,0,0,15,NA,100
"36 Trade Marks Act, 1999",135,156,0,2,289,1,12,2,10,276,16.7,94.8
"37 Prevention of Insults to National Honour Act, 1971",84,50,0,0,134,0,13,3,10,121,23.1,90.3
"38 State Emblem (Prohibition of Improper Use) Act, 2005",1,0,0,0,1,0,1,0,1,0,0,0
"39 Lotteries (Regulation) Act, 1998",621,3187,0,0,3808,9,2434,2369,65,1365,97.3,35.8
"40 Citizenship Act, 1955",4,5,0,0,9,0,0,0,0,9,NA,100
"41 Foreigners Act, 1946",1545,1915,0,0,3460,0,1183,1135,48,2277,95.9,65.8
"42 Place of Worship (Special Provisions) Act, 1991",13,18,0,0,31,0,0,0,0,31,NA,100
"43 Religious Institution (Prevention of Misuse) Act, 1988",2,1,0,0,3,0,1,0,1,2,0,66.7
"44 Representation of People Act, 1951",517,927,0,0,1444,2,74,16,58,1368,21.6,94.7
"45 Emigration Act, 1983",26,20,0,0,46,0,10,3,7,36,30,78.3
"46 Juvenile Justice (Care and Protection of Children) Act, 2000",1230,1049,0,0,2279,5,292,159,133,1982,54.5,87
"47 Infant Substitutes Regulation Act, 2003",1,0,0,0,1,0,0,0,0,1,NA,100
"48 Anti-Hijacking Act, 1982",0,0,0,0,0,0,0,0,0,0,NA,NA
"49 Atomic Energy Act, 1962",1,0,0,0,1,0,0,0,0,1,NA,100
"50 Weapons of Mass Destruction (Proh. of Unlawful Activities) Act, 2005",0,0,0,0,0,0,0,0,0,0,NA,NA
"51 Suppression of Unlawful Acts against Safety of Civil Aviation Act, 1982",0,0,0,0,0,0,0,0,0,0,NA,NA
"52 Safety of Maritime Navigation Act, 2002",0,0,0,0,0,0,0,0,0,0,NA,NA
"53 Manual Scavengers and Construction of Dry Latrines (P) Act, 1993",0,1,0,0,1,0,0,0,0,1,NA,100
"54 Pre-Natal Diagnostic Techniques (Reg and Prev of Misuse) Act, 1994",34,26,0,0,60,0,8,2,6,52,25,86.7
"55 The Maritime Zones of India (Reg of Fishing by Foreign Vessels) Act, 1981",40,2,0,0,42,0,2,1,1,40,50,95.2
56 Other SLL crimes,2531081,3240391,161,53,5771258,9143,2816768,2755529,61239,2945347,97.8,51
57 Total Cognizable SLL crimes,5822935,4252670,628,158,10074819,20190,3555630,3284771,270859,6498999,92.4,64.5
