Category,States/ UTs/ Cities,"Murder (Sec.302,303 IPC) - 2006","Murder (Sec.302,303 IPC) - 2007","Murder (Sec.302,303 IPC) - % Variation",Attempt to Commit Murder (Sec.307 IPC) - 2006,Attempt to Commit Murder (Sec.307 IPC) - 2007,Attempt to Commit Murder (Sec.307 IPC) - % Variation,"C.H. not Amounting to Murder (Sec.304,308 IPC) - 2006","C.H. not Amounting to Murder (Sec.304,308 IPC) - 2007","C.H. not Amounting to Murder (Sec.304,308 IPC) - % Variation",Rape (Sec. 376 IPC) - 2006,Rape (Sec. 376 IPC) - Total 2007,Rape (Sec. 376 IPC) - % Variation,Rape (Sec. 376 IPC) - 2006,Rape (Sec. 376 IPC) - Custodial 2007,Rape (Sec. 376 IPC) - % Variation,Rape (Sec. 376 IPC) - 2006,Rape (Sec. 376 IPC) - Other 2007,Rape (Sec. 376 IPC) - % Variation,"Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - 2006","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total 2007","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - % Variation","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Women & Girls - 2006","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Women & Girls - 2007","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Women & Girls - % Variation","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Others - 2006","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Others - 2007","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Others - % Variation",Dacoity (Sec. 395-398 IPC) - 2006,Dacoity (Sec. 395-398 IPC) - 2007,Dacoity (Sec. 395-398 IPC) - % Variation,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - 2006,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - 2007,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - % Variation,"Robbery (Sec.392-394, 397, 398 IPC) - 2006","Robbery (Sec.392-394, 397, 398 IPC) - 2007","Robbery (Sec.392-394, 397, 398 IPC) - % Variation","Burglary (Sec.449-452,454,455,457-460 IPC) - 2006","Burglary (Sec.449-452,454,455,457-460 IPC) - 2007","Burglary (Sec.449-452,454,455,457-460 IPC) - % Variation",Theft (Sec. 379 - 382 IPC) - 2006,Theft (Sec. 379 - 382 IPC) - Total 2007,Theft (Sec. 379 - 382 IPC) - % Variation,Theft (Sec. 379 - 382 IPC) - Auto Theft - 2006,Theft (Sec. 379 - 382 IPC) - Auto Theft - 2007,Theft (Sec. 379 - 382 IPC) - Auto Theft - % Variation,Theft (Sec. 379 - 382 IPC) - Other Theft - 2006,Theft (Sec. 379 - 382 IPC) - Other Theft - 2007,Theft (Sec. 379 - 382 IPC) - Other Theft - % Variation,"Riots (Sec.143-145,147-151, 153,153A, 153B,157,158,160 IPC) - 2006","Riots (Sec.143-145,147-151, 153,153A, 153B,157,158,160 IPC) - 2007","Riots (Sec.143-145,147-151, 153,153A, 153B,157,158,160 IPC) - % Variation",Criminal Breach of Trust (Sec. 406-409 IPC) - 2006,Criminal Breach of Trust (Sec. 406-409 IPC) - 2007,Criminal Breach of Trust (Sec. 406-409 IPC) - % Variation,"Cheating (Sec. 419,420 IPC) - 2006","Cheating (Sec. 419,420 IPC) - 2007","Cheating (Sec. 419,420 IPC) - % Variation","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2006","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2007","Counterfeiting (Sec.231-254, 489A-489D IPC) - % Variation","Arson (Sec.435,436,438 IPC) - 2006","Arson (Sec.435,436,438 IPC) - 2007","Arson (Sec.435,436,438 IPC) - % Variation","Hurt (Sec.323-333, 335-338 IPC) - 2006","Hurt (Sec.323-333, 335-338 IPC) - 2007","Hurt (Sec.323-333, 335-338 IPC) - % Variation",Dowry Deaths (Sec.304B IPC) - 2006,Dowry Deaths (Sec.304B IPC) - 2007,Dowry Deaths (Sec.304B IPC) - % Variation,Molestation (Sec.354 IPC) - 2006,Molestation (Sec.354 IPC) - 2007,Molestation (Sec.354 IPC) - % Variation,Sexual Harassment (Sec.509 IPC) - 2006,Sexual Harassment (Sec.509 IPC) - 2007,Sexual Harassment (Sec.509 IPC) - % Variation,Cruelty by Husband and Relatives (Sec. 498A IPC) - 2006,Cruelty by Husband and Relatives (Sec. 498A IPC) - 2007,Cruelty by Husband and Relatives (Sec. 498A IPC) - % Variation,Importation of Girls (Sec. 366B IPC) - 2006,Importation of Girls (Sec. 366B IPC) - 2007,Importation of Girls (Sec. 366B IPC) - % Variation,Causing Death by Negligence (Sec. 304A IPC) - 2006,Causing Death by Negligence (Sec. 304A IPC) - 2007,Causing Death by Negligence (Sec. 304A IPC) - % Variation,Other IPC Crimes - 2006,Other IPC Crimes - 2007,Other IPC Crimes - % Variation,Total Cognizable Crimes Under IPC - 2006,Total Cognizable Crimes Under IPC - 2007,Total Cognizable Crimes Under IPC - % Variation
State,Jharkhand,1492,1617,8.4,1078,1076,-0.2,97,92,-5.2,799,855,7,0,0,0,799,855,7,635,762,20,410,534,30.2,225,228,1.3,536,524,-2.2,45,40,-11.1,779,771,-1,1428,1495,4.7,6173,7091,14.9,1146,1784,55.7,5027,5307,5.6,2650,2565,-3.2,319,448,40.4,833,814,-2.3,34,19,-44.1,178,160,-10.1,3055,3783,23.8,281,303,7.8,414,342,-17.4,44,15,-65.9,668,801,19.9,5,0,-100,1154,1019,-11.7,13667,13897,1.7,36364,38489,5.8
State,Karnataka,1627,1538,-5.5,1484,1251,-15.7,68,55,-19.1,400,436,9,0,1,NA,400,435,8.7,563,680,20.8,328,390,18.9,235,290,23.4,202,178,-11.9,247,242,-2,1349,1313,-2.7,5967,5449,-8.7,14901,14351,-3.7,5759,5887,2.2,9142,8464,-7.4,6183,5783,-6.5,471,400,-15.1,2910,3600,23.7,139,124,-10.8,268,262,-2.2,19488,18963,-2.7,244,251,2.9,1683,1828,8.6,38,28,-26.3,2129,2507,17.8,0,0,0,534,514,-3.7,56815,60853,7.1,117710,120606,2.5
State,Kerala,393,367,-6.6,347,402,15.9,87,92,5.7,601,512,-14.8,0,0,0,601,512,-14.8,294,255,-13.3,202,177,-12.4,92,78,-15.2,129,121,-6.2,125,157,25.6,691,869,25.8,4245,4100,-3.4,5431,5609,3.3,2014,2113,4.9,3417,3496,2.3,6365,7358,15.6,299,394,31.8,3316,4215,27.1,68,54,-20.6,435,398,-8.5,19105,18975,-0.7,25,27,8,2543,2624,3.2,222,262,18,3708,3999,7.8,0,0,0,49,59,20.4,56777,57681,1.6,105255,108530,3.1
State,Madhya Pradesh,2309,2244,-2.8,2370,2423,2.2,138,155,12.3,2900,3010,3.8,0,0,0,2900,3010,3.8,808,922,14.1,617,701,13.6,191,221,15.7,151,143,-5.3,121,109,-9.9,1770,1975,11.6,10960,11230,2.5,21733,22396,3.1,7552,8915,18,14181,13481,-4.9,2308,2648,14.7,519,531,2.3,1522,1661,9.1,38,38,0,815,909,11.5,34709,36643,5.6,764,742,-2.9,6243,6772,8.5,762,780,2.4,2989,3294,10.2,0,0,0,4823,5754,19.3,95959,98007,2.1,194711,202386,3.9
State,Maharashtra,2656,2693,1.4,1680,1615,-3.9,100,113,13,1500,1451,-3.3,1,0,-100,1499,1451,-3.2,1261,1312,4,921,967,5,340,345,1.5,663,716,8,323,405,25.4,2574,2770,7.6,15877,15607,-1.7,46473,47681,2.6,12741,13895,9.1,33732,33786,0.2,7453,7993,7.2,1726,1715,-0.6,6234,6235,0,317,270,-14.8,1188,1267,6.6,29407,29622,0.7,387,436,12.7,3479,3306,-5,984,1039,5.6,6738,7356,9.2,1,0,-100,10933,11946,9.3,49834,50159,0.7,191788,195707,2
State,Manipur,205,240,17.1,265,377,42.3,4,2,-50,40,20,-50,0,0,0,40,20,-50,130,150,15.4,79,83,5.1,51,67,31.4,2,3,50,27,146,440.7,8,11,37.5,55,70,27.3,290,454,56.6,105,150,42.9,185,304,64.3,60,70,16.7,40,19,-52.5,82,93,13.4,9,4,-55.6,109,63,-42.2,296,377,27.4,0,0,0,42,70,66.7,0,0,0,10,15,50,0,0,0,3,1,-66.7,1207,1074,-11,2884,3259,13
State,Meghalaya,157,114,-27.4,42,49,16.7,8,8,0,74,82,10.8,0,0,0,74,82,10.8,57,52,-8.8,25,22,-12,32,30,-6.3,57,55,-3.5,4,1,-75,65,56,-13.8,140,203,45,470,500,6.4,135,91,-32.6,335,409,22.1,7,33,371.4,16,17,6.3,83,164,97.6,7,12,71.4,28,36,28.6,138,124,-10.1,6,2,-66.7,57,45,-21.1,0,1,NA,13,19,46.2,0,0,0,68,68,0,438,438,0,1935,2079,7.4
State,Mizoram,25,43,72,19,21,10.5,7,4,-42.9,72,83,15.3,0,0,0,72,83,15.3,6,4,-33.3,1,0,-100,5,4,-20,7,0,-100,0,0,0,10,5,-50,422,457,8.3,758,808,6.6,60,64,6.7,698,744,6.6,0,1,NA,30,20,-33.3,78,66,-15.4,10,16,60,25,38,52,72,85,18.1,0,0,0,51,66,29.4,0,0,0,1,2,100,0,0,0,26,34,30.8,454,330,-27.3,2073,2083,0.5
State,Nagaland,123,111,-9.8,46,50,8.7,8,8,0,23,13,-43.5,0,0,0,23,13,-43.5,31,17,-45.2,3,6,100,28,11,-60.7,16,7,-56.3,0,0,0,84,75,-10.7,70,118,68.6,327,360,10.1,113,194,71.7,214,166,-22.4,7,15,114.3,18,13,-27.8,37,34,-8.1,10,8,-20,16,5,-68.8,50,52,4,0,0,0,3,8,166.7,2,1,-50,3,0,-100,0,0,0,28,43,53.6,201,242,20.4,1103,1180,7
State,Orissa,1159,1210,4.4,752,1105,46.9,36,22,-38.9,985,939,-4.7,0,0,0,985,939,-4.7,704,801,13.8,577,660,14.4,127,141,11,239,247,3.3,76,42,-44.7,1184,1273,7.5,3120,3073,-1.5,6567,6830,4,1571,1733,10.3,4996,5097,2,1535,1983,29.2,313,319,1.9,1364,1263,-7.4,16,30,87.5,371,411,10.8,6226,7478,20.1,457,461,0.9,2415,2775,14.9,247,241,-2.4,694,728,4.9,12,0,-100,2945,3771,28,21375,19870,-7,52792,54872,3.9
State,Punjab,817,760,-7,898,893,-0.6,165,170,3,442,519,17.4,0,0,0,442,519,17.4,591,760,28.6,418,545,30.4,173,215,24.3,35,37,5.7,90,92,2.2,142,138,-2.8,2277,2616,14.9,3946,5173,31.1,1561,2084,33.5,2385,3089,29.5,3,1,-66.7,281,329,17.1,3393,3581,5.5,66,68,3,68,96,41.2,5104,5663,11,130,133,2.3,314,427,36,60,48,-20,801,971,21.2,2,0,-100,2919,2801,-4,9524,10517,10.4,32068,35793,11.6
State,Rajasthan,1209,1303,7.8,1694,1772,4.6,79,64,-19,1085,1238,14.1,0,0,0,1085,1238,14.1,1970,2177,10.5,1553,1694,9.1,417,483,15.8,37,71,91.9,97,81,-16.5,631,778,23.3,5085,5164,1.6,17889,19345,8.1,7276,8258,13.5,10613,11087,4.5,1767,1626,-8,694,825,18.9,10191,11919,17,56,56,0,551,675,22.5,21296,19720,-7.4,394,439,11.4,2582,2477,-4.1,31,28,-9.7,7038,8170,16.1,3,0,-100,6234,7096,13.8,61379,63846,4,141992,148870,4.8
State,Sikkim,21,9,-57.1,16,14,-12.5,2,3,50,20,24,20,0,0,0,20,24,20,8,9,12.5,7,9,28.6,1,0,-100,0,0,0,0,0,0,9,6,-33.3,84,83,-1.2,113,118,4.4,8,11,37.5,105,107,1.9,12,15,25,10,7,-30,37,34,-8.1,1,3,200,1,1,0,96,95,-1,0,0,0,14,13,-7.1,0,0,0,6,7,16.7,0,0,0,39,34,-12.8,214,192,-10.3,703,667,-5.1
State,Tamil Nadu,1363,1633,19.8,1599,2078,30,20,28,40,457,523,14.4,0,0,0,457,523,14.4,906,1270,40.2,718,1097,52.8,188,173,-8,95,88,-7.4,4,33,725,450,495,10,3300,3717,12.6,13651,13217,-3.2,2877,2901,0.8,10774,10316,-4.3,1838,2375,29.2,194,261,34.5,2116,2510,18.6,63,74,17.5,460,653,42,14067,16967,20.6,187,208,11.2,1179,1540,30.6,852,875,2.7,1248,1976,58.3,0,0,0,10792,11485,6.4,94131,110748,17.7,148972,172754,16
State,Tripura,154,138,-10.4,52,58,11.5,1,2,100,189,157,-16.9,0,0,0,189,157,-16.9,105,113,7.6,62,81,30.6,43,32,-25.6,18,14,-22.2,1,2,100,71,64,-9.9,182,193,6,392,411,4.8,31,55,77.4,361,356,-1.4,154,142,-7.8,23,42,82.6,84,85,1.2,12,10,-16.7,35,23,-34.3,464,546,17.7,35,36,2.9,207,244,17.9,0,4,NA,471,545,15.7,0,0,0,199,203,2,1091,1241,13.7,3940,4273,8.5
State,Uttar Pradesh,5480,5000,-8.8,4997,4424,-11.5,1543,1616,4.7,1314,1648,25.4,0,0,0,1314,1648,25.4,3318,4478,35,2551,3363,31.8,767,1115,45.4,218,437,100.5,86,82,-4.7,2024,2169,7.2,4577,5057,10.5,20447,22816,11.6,9621,10859,12.9,10826,11957,10.4,3774,4495,19.1,2509,3639,45,5142,8399,63.3,278,337,21.2,299,268,-10.4,10412,10694,2.7,1798,2076,15.5,2096,2522,20.3,2714,2882,6.2,5204,7650,47,0,0,0,7235,7655,5.8,41536,51914,25,127001,150258,18.3
State,Uttarakhand,274,268,-2.2,215,228,6,40,50,25,147,117,-20.4,0,0,0,147,117,-20.4,212,253,19.3,183,227,24,29,26,-10.3,31,46,48.4,2,6,200,157,173,10.2,470,548,16.6,1696,1593,-6.1,525,565,7.6,1171,1028,-12.2,489,459,-6.1,95,163,71.6,514,697,35.6,14,39,178.6,39,37,-5.1,854,886,3.7,80,70,-12.5,153,146,-4.6,113,63,-44.2,358,463,29.3,0,0,0,524,608,16,1935,2686,38.8,8412,9599,14.1
State,West Bengal,1425,1652,15.9,672,877,30.5,401,394,-1.7,1731,2106,21.7,0,0,0,1731,2106,21.7,1355,1800,32.8,1199,1590,32.6,156,210,34.6,177,146,-17.5,1263,1150,-8.9,426,427,0.2,601,399,-33.6,12532,13747,9.7,2714,2421,-10.8,9818,11326,15.4,2385,3727,56.3,519,672,29.5,1947,2406,23.6,135,127,-5.9,111,121,9,6299,6909,9.7,445,451,1.3,1837,2281,24.2,63,99,57.1,7414,9900,33.5,1,5,400,3039,3803,25.1,23274,27903,19.9,68052,81102,19.2
State,Total (States),31944,31733,-0.7,26666,26773,0.4,3447,3539,2.7,18682,20096,7.6,2,1,-50,18680,20095,7.6,22440,25779,14.9,16258,19173,17.9,6182,6606,6.9,4717,4533,-3.9,2926,2973,1.6,17867,18520,3.7,89258,88720,-0.6,254820,265217,4.1,80683,89973,11.5,174137,175244,0.6,56262,59516,5.8,13087,15007,14.7,55467,62736,13.1,2113,2152,1.8,8397,8942,6.5,261812,270205,3.2,7467,7950,6.5,35802,37722,5.4,9765,10738,10,61264,73988,20.8,67,61,-9,77879,86208,10.7,748889,800255,6.9,1811038,1923363,6.2
Union Territory,A & N Islands,4,15,275,4,19,375,1,1,0,6,3,-50,0,0,0,6,3,-50,5,12,140,5,9,80,0,3,NA,0,5,NA,0,0,0,5,9,80,82,90,9.8,101,112,10.9,6,8,33.3,95,104,9.5,10,17,70,3,7,133.3,15,23,53.3,4,1,-75,9,11,22.2,78,99,26.9,0,1,NA,14,21,50,4,2,-50,7,18,157.1,0,0,0,2,4,100,322,337,4.7,676,807,19.4
Union Territory,Chandigarh,12,19,58.3,21,26,23.8,8,8,0,19,22,15.8,0,0,0,19,22,15.8,65,52,-20,57,46,-19.3,8,6,-25,1,2,100,3,0,-100,34,37,8.8,189,191,1.1,1234,1740,41,529,853,61.2,705,887,25.8,44,79,79.5,59,38,-35.6,232,170,-26.7,3,2,-33.3,5,9,80,55,78,41.8,10,1,-90,20,32,60,13,11,-15.4,102,112,9.8,0,0,0,14,15,7.1,983,999,1.6,3126,3643,16.5
Union Territory,D & N Haveli,9,10,11.1,0,2,NA,1,0,-100,6,7,16.7,0,0,0,6,7,16.7,18,9,-50,14,6,-57.1,4,3,-25,5,1,-80,0,0,0,5,3,-40,41,28,-31.7,61,87,42.6,13,19,46.2,48,68,41.7,8,39,387.5,30,17,-43.3,10,10,0,1,1,0,5,10,100,35,25,-28.6,1,0,-100,5,0,-100,1,0,-100,5,3,-40,0,0,0,16,12,-25,172,161,-6.4,435,425,-2.3
Union Territory,Daman & Diu,6,12,100,3,7,133.3,0,0,0,3,1,-66.7,0,0,0,3,1,-66.7,3,1,-66.7,1,1,0,2,0,-100,8,3,-62.5,0,1,NA,1,2,100,60,46,-23.3,63,43,-31.7,33,28,-15.2,30,15,-50,24,31,29.2,9,5,-44.4,3,6,100,4,6,50,5,3,-40,18,20,11.1,0,1,NA,2,0,-100,0,0,0,2,3,50,0,0,0,26,32,23.1,48,37,-22.9,288,260,-9.7
Union Territory,Delhi,476,495,4,510,530,3.9,75,94,25.3,623,598,-4,0,0,0,623,598,-4,1442,1688,17.1,1066,1167,9.5,376,521,38.6,14,34,142.9,200,229,14.5,541,557,3,1950,2055,5.4,17498,17037,-2.6,9366,8874,-5.3,8132,8163,0.4,87,87,0,442,451,2,2313,2336,1,42,41,-2.4,33,31,-6.1,1818,1736,-4.5,137,138,0.7,718,868,20.9,144,167,16,1728,1787,3.4,0,0,0,367,252,-31.3,26805,24854,-7.3,57963,56065,-3.3
