Category,States/ UTs,"Gain - Murder (Sec.302,303 IPC)","Gain - C.H.(Sec.304, 308 IPC)","Property Dispute - Murder (Sec.302,303 IPC)","Property Dispute - C.H.(Sec.304, 308 IPC)","Personal Vendetta or Enmity - Murder (Sec.302,303 IPC)","Personal Vendetta or Enmity - C.H.(Sec.304, 308 IPC)","Love Affairs/ Sexual Causes - Murder (Sec.302,303 IPC)","Love Affairs/ Sexual Causes - C.H.(Sec.304, 308 IPC)","Dowry - Murder (Sec.302,303 IPC)","Dowry - C.H.(Sec.304, 308 IPC)","Lunacy - Murder (Sec.302,303 IPC)","Lunacy - C.H.(Sec.304, 308 IPC)","Witchcraft - Murder (Sec.302,303 IPC)","Witchcraft - C.H.(Sec.304, 308 IPC)","Political Reasons - Murder (Sec.302,303 IPC)","Political Reasons - C.H.(Sec.304, 308 IPC)","Terrorist/ Extremist Violence - Murder (Sec.302,303 IPC)","Terrorist/ Extremist Violence - C.H.(Sec.304, 308 IPC)","Communalism - Murder (Sec.302,303 IPC)","Communalism - C.H.(Sec.304, 308 IPC)","Casteism - Murder (Sec.302,303 IPC)","Casteism - C.H.(Sec.304, 308 IPC)","Class Conflict - Murder (Sec.302,303 IPC)","Class Conflict - C.H.(Sec.304, 308 IPC)","Other Motives - Murder (Sec.302,303 IPC)","Other Motives - C.H.(Sec.304, 308 IPC)","Total - Murder (Sec.302,303 IPC)","Total - C.H.(Sec.304, 308 IPC)"
State,Manipur,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,152,0,0,0,0,0,0,0,86,2,240,2
State,Meghalaya,13,0,5,0,12,0,0,0,0,0,1,0,0,0,0,0,6,0,0,1,0,0,0,0,77,7,114,8
State,Mizoram,0,0,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,35,4,43,4
State,Nagaland,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,106,7,111,8
State,Orissa,60,0,43,4,113,1,61,0,138,2,1,0,28,0,4,0,6,0,0,0,1,11,0,0,755,4,1210,22
State,Punjab,10,0,77,3,43,3,111,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,519,158,760,170
State,Rajasthan,36,1,52,0,86,1,36,0,38,0,1,0,0,0,0,0,1,0,0,0,5,0,0,0,1048,62,1303,64
State,Sikkim,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,9,3
State,Tamil Nadu,102,0,176,0,302,0,206,1,24,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,818,27,1633,28
State,Tripura,3,0,31,0,16,0,2,0,6,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,66,2,138,2
State,Uttar Pradesh,161,1,180,14,384,7,279,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3995,1584,5000,1616
State,Uttarakhand,18,0,23,0,28,0,14,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,183,50,268,50
State,West Bengal,38,6,21,10,109,12,27,1,163,2,1,2,0,0,20,1,1,0,0,0,0,0,0,0,1272,360,1652,394
State,Total (States),1627,56,2836,103,3448,79,2271,41,952,19,61,5,177,2,119,1,663,5,6,1,24,11,21,3,19528,3213,31733,3539
Union Territory,A & N Islands,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,15,1
Union Territory,Chandigarh,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,19,8
Union Territory,D & N Haveli,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,0
Union Territory,Daman & Diu,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12,0
Union Territory,Delhi,30,1,20,9,58,13,48,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,69,495,94
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,3,0,0,0,18,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,2,34,2
Union Territory,Total (UTs),35,1,20,9,86,13,53,2,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,373,80,585,105
All India,Total (All-India),1662,57,2856,112,3534,92,2324,43,969,19,61,5,177,2,120,1,663,5,6,1,24,11,21,3,19901,3293,32318,3644
