Category,States/ UTs/ Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Running Trains - Number,Railways - Running Trains - Value,Railways - Others in Railways - Number,Railways - Others in Railways - Value,Railways - Total - Number,Railways - Total - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
City,Delhi (city),3786,2792.9,0,0,0,0,245,95.6,494,149.6,739,245.2,5,4.7,1039,903.2,10393,4846.9,15962,8792.9
City,Dhanbad,272,85.7,0,0,0,0,0,0,0,0,0,0,0,0,58,2.9,19,0.2,349,88.9
City,Faridabad,250,205.7,0,0,0,0,0,0,0,0,0,0,0,0,355,96.8,663,379,1268,681.5
City,Hyderabad,1468,285.5,0,0,0,0,0,0,0,0,0,0,0,0,927,206.5,2147,364.5,4542,856.6
City,Indore,753,98.2,0,0,0,0,0,0,0,0,0,0,0,0,280,65.4,1943,526,2976,689.6
City,Jabalpur,415,151.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,56.6,583,208.1
City,Jaipur,798,218.2,0,0,0,0,0,0,0,0,0,0,0,0,475,71.3,3145,1481.4,4418,1770.9
City,Jamshedpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,60.6,479,109,745,169.6
City,Kanpur,135,35.3,874,188.8,0,0,0,0,0,0,0,0,0,0,67,15.5,128,15,1204,254.6
City,Kochi,76,69.5,0,0,0,0,0,0,0,0,0,0,0,0,118,42.8,156,92.3,350,204.5
City,Kolkata,719,235,0,0,0,0,0,0,0,0,0,0,0,0,814,348.4,1391,879.6,2924,1463
City,Lucknow,116,5,1465,435.6,0,0,0,0,0,0,0,0,0,0,205,52.5,696,79,2482,572.1
City,Ludhiana,163,132.3,0,0,0,0,0,0,0,0,0,0,0,0,35,1.2,436,316.5,634,450
City,Madurai,36,13.4,0,0,0,0,0,0,0,0,0,0,0,0,10,1.2,288,61.6,334,76.1
City,Meerut,37,5.5,387,112.3,0,0,0,0,0,0,0,0,0,0,26,2.2,141,40,591,159.9
City,Mumbai,2004,1927.8,264,230.9,1,13.2,0,0,0,0,0,0,17,5.5,1129,1335.3,8255,7800.7,11670,11313.3
City,Nagpur,269,43.9,0,0,0,0,0,0,0,0,0,0,1,1.7,126,21,1958,731.5,2354,798.1
City,Nasik,142,22,0,0,0,0,0,0,0,0,0,0,2,15.8,71,52.2,803,368.5,1018,458.5
City,Patna,220,74.4,923,246.7,0,0,0,0,0,0,0,0,0,0,12,0.7,68,43.6,1223,365.5
City,Pune,581,245.5,0,0,0,0,0,0,0,0,0,0,7,4,508,313.8,3557,1728.1,4653,2291.4
City,Rajkot,108,18.8,0,0,0,0,0,0,0,0,0,0,7,1.8,91,16.2,640,228.5,846,265.3
City,Surat,1353,417.5,2,0.6,0,0,2,0,1,0.2,3,0.2,4,1.6,277,97.8,784,339.5,2423,857.2
City,Vadodara,318,117.4,2,9.2,0,0,0,0,0,0,0,0,3,1,191,29.9,889,398.9,1403,556.3
City,Varanasi,36,2.6,601,105.3,0,0,0,0,0,0,0,0,0,0,52,7.3,139,10,828,125.2
City,Vijayawada,263,50.4,50,11.9,1,0,0,0,0,0,0,0,10,1.5,94,31.6,959,169.5,1377,264.9
City,Visakhapatnam,433,107.6,0,0,0,0,0,0,0,0,0,0,0,0,88,20.8,694,133.9,1215,262.3
