Category,Crime Head,Below 18 Years - Male,Below 18 Years - Female,18 - 30 Years - Male,18 - 30 Years - Female,30 - 45 Years - Male,30 - 45 Years - Female,45 - 60 Years - Male,45 - 60 Years - Female,60 Years & Above - Male,60 Years & Above - Female,Total of Overall Age-Group - Male,Total of Overall Age-Group - Female,Grand Total of All Persons
A. IPC CRIMES,Criminal Breach of Trust (sec 406-409 IPC),20,2,6042,165,8159,274,3436,110,241,8,17898,559,18457
A. IPC CRIMES,"Cheating (sec 419, 420 IPC)",134,6,20066,737,26438,1389,11842,550,1153,70,59633,2752,62385
A. IPC CRIMES,"Counterfeiting (sec 231-254,489a-489d)",12,0,1184,25,1098,34,222,4,24,0,2540,63,2603
A. IPC CRIMES,"Arson (sec 435, 436, 438 IPC)",63,3,4905,130,4864,154,1611,31,134,8,11577,326,11903
A. IPC CRIMES,"Hurt (sec 323-333, 335-338 IPC)",4496,336,203856,12738,163122,14278,72170,5905,7714,602,451358,33859,485217
A. IPC CRIMES,Dowry Deaths (section 304b IPC),45,40,7276,1515,6251,1840,3277,1232,480,157,17329,4784,22113
A. IPC CRIMES,Molestation (section 354 IPC),517,1,25871,321,16145,401,4288,186,262,11,47083,920,48003
A. IPC CRIMES,Sexual Harassment (sec 509 IPC),158,0,9359,40,3594,34,531,9,27,1,13669,84,13753
A. IPC CRIMES,Cruelty by Husband and Relatives (sec 498a IPC),208,164,50158,10571,45778,13838,20310,9258,4291,1836,120745,35667,156412
A. IPC CRIMES,Importation of Girls (sec 366b IPC),0,0,52,0,28,0,15,0,0,0,95,0,95
A. IPC CRIMES,Causing Death by Negligence (sec 304a IPC),100,7,31049,91,30209,131,10467,90,770,17,72595,336,72931
A. IPC CRIMES,Other IPC Crimes,5983,451,434518,19920,380880,20905,163288,8522,19525,1172,1004194,50970,1055164
A. IPC CRIMES,Total Cognizable Crimes Under IPC,28207,1564,1196233,60045,962783,67871,385416,31201,42745,4494,2615384,165175,2780559
B. SLL CRIMES,Arms Act,322,0,45567,13,26514,22,6212,13,106,0,78721,48,78769
B. SLL CRIMES,Narcotic Drugs & Psychotropic Substances Act,78,2,16818,439,13956,690,4431,336,293,53,35576,1520,37096
B. SLL CRIMES,Gambling Act,1008,5,149738,109,143775,249,58145,130,7355,22,360021,515,360536
B. SLL CRIMES,Excise Act,522,34,62543,2727,56758,3960,22075,1622,2421,174,144319,8517,152836
B. SLL CRIMES,Prohibition Act,443,67,98303,26488,113705,44982,51512,19418,4794,1816,268757,92771,361528
B. SLL CRIMES,Explosive & Explosive Substances Act,8,0,2693,11,2106,24,452,5,34,1,5293,41,5334
B. SLL CRIMES,Immoral Traffic (p) Act,26,34,1850,3680,1619,1865,385,360,30,12,3910,5951,9861
B. SLL CRIMES,Indian Railways Act,0,0,136,0,87,0,38,0,0,0,261,0,261
B. SLL CRIMES,Registration of Foreigners Act,32,8,1450,258,1903,244,526,100,25,3,3936,613,4549
B. SLL CRIMES,Protection of Civil Rights Act - Total,0,0,158,3,148,11,63,1,4,0,373,15,388
B. SLL CRIMES,Protection of Civil Rights Act - (i) PCR Act for SCs,0,0,157,3,145,11,60,1,3,0,365,15,380
B. SLL CRIMES,Protection of Civil Rights Act - (ii) PCR Act for STs,0,0,1,0,3,0,3,0,1,0,8,0,8
B. SLL CRIMES,Indian Passport Act,17,3,659,163,679,106,200,12,5,1,1560,285,1845
B. SLL CRIMES,Essential Commodities Act,14,0,3905,29,5532,90,2018,58,125,6,11594,183,11777
B. SLL CRIMES,Terrorist & Disruptive Activities Act,0,0,0,0,0,0,0,0,0,0,0,0,0
B. SLL CRIMES,Antiquities & Art Treasures Act,0,0,30,0,51,0,12,0,1,0,94,0,94
B. SLL CRIMES,Dowry Prohibition Act,34,17,3078,570,3302,779,1561,538,366,76,8341,1980,10321
B. SLL CRIMES,Child Marriage Restraint Act,2,0,52,4,73,19,55,13,2,1,184,37,221
B. SLL CRIMES,Indecent Representation of Women (p) Act,0,0,122,528,157,295,39,88,0,0,318,911,1229
B. SLL CRIMES,Copyright Act,29,0,4179,7,3066,18,774,1,20,0,8068,26,8094
B. SLL CRIMES,Sati Prevention Act,0,0,0,0,0,0,0,0,0,0,0,0,0
B. SLL CRIMES,SC/ST (Prevention of Atrocities) Act - Total,39,11,7716,205,8105,297,3674,105,299,11,19833,629,20462
B. SLL CRIMES,SC/ST (Prevention of Atrocities) Act - (i) Prevention of Attrocities Act for SCs,30,5,7000,184,7351,258,3429,92,284,11,18094,550,18644
B. SLL CRIMES,SC/ST (Prevention of Atrocities) Act - (ii) Prevention of Attrocities Act for STs,9,6,716,21,754,39,245,13,15,0,1739,79,1818
B. SLL CRIMES,Forest Act,0,0,2841,2,2930,5,984,0,33,0,6788,7,6795
B. SLL CRIMES,Other SLL Crimes,1890,111,1352904,17632,1127935,21784,418935,11792,60655,1612,2962319,52931,3015250
B. SLL CRIMES,Total Cognizable Crimes Under SLL,4464,292,1754742,52868,1512401,75440,572091,34592,76568,3788,3920266,166980,4087246
C. Grand Total (a+b),C. Grand Total (a+b),32671,1856,2950975,112913,2475184,143311,957507,65793,119313,8282,6535650,332155,6867805
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,
