Category,States/ UTs,Arms Act - Incidence,Arms Act - Rate,Narcotic Drugs and Psychotropic Substances Act - Incidence,Narcotic Drugs and Psychotropic Substances Act - Rate,Gambling Act - Incidence,Gambling Act - Rate,Excise Act - Incidence,Excise Act - Rate,Prohibition Act - Incidence,Prohibition Act - Rate,Explosives and Explosive Substances Act - Incidence,Explosives and Explosive Substances Act - Rate,Immoral Traffic (Prevention) Act - Incidence,Immoral Traffic (Prevention) Act - Rate,Railways Act - Incidence,Railways Act - Rate,Registration of Foreigners Act - Incidence,Registration of Foreigners Act - Rate,PCR Act (Total SC & ST) - Incidence,PCR Act (Total SC & ST) - Rate,PCR Act for SCs - Incidence,PCR Act for SCs - Rate,PCR Act for ST - Incidence,PCR Act for ST - Rate,Indian Passport Act - Incidence,Indian Passport Act - Rate,Essential Commodities Act - Incidence,Essential Commodities Act - Rate,Terrorist & Disruptive Activities Act - Incidence,Terrorist & Disruptive Activities Act - Rate,Antiquities & Art Treasures Act - Incidence,Antiquities & Art Treasures Act - Rate,Dowry Prohibition Act - Incidence,Dowry Prohibition Act - Rate,Child Marriage Restraint Act - Incidence,Child Marriage Restraint Act - Rate,Indecent Representation of Women(P)Act - Incidence,Indecent Representation of Women(P)Act - Rate,Copyright Act - Incidence,Copyright Act - Rate,Sati Prevention Act - Incidence,Sati Prevention Act - Rate,SC/ST (Prev.) of Atrocities) Act (Total) - Incidence,SC/ST (Prev.) of Atrocities) Act (Total) - Rate,SC/ST (Prev) of Attrocities Act For Scs - Incidence,SC/ST (Prev) of Attrocities Act For Scs - Rate,"SC/ST (Prev) of Attrocities Act
for STs - Incidence","SC/ST (Prev) of Attrocities Act
for STs - Rate",Forest Act - Incidence,Forest Act - Rate,Other SLL Crimes - Incidence,Other SLL Crimes - Rate,Total Cognizable Crimes Under SLL - Incidence,Total Cognizable Crimes Under SLL - Rate
State,Maharashtra,1120,1.1,1569,1.5,16508,15.6,0,0,75904,71.6,63,0.1,322,0.3,39,0,40,0,20,0,20,0,0,0,63,0.1,2067,2,0,0,3,0,45,0,7,0,2,0,639,0.6,0,0,424,0.4,370,0.3,54,0.1,47,0,21428,20.2,120310,113.5
State,Manipur,5,0.2,34,1.3,5,0.2,0,0,0,0,15,0.6,0,0,0,0,6,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687,26.4,753,28.9
State,Meghalaya,32,1.3,15,0.6,27,1.1,7,0.3,0,0,10,0.4,1,0,0,0,13,0.5,0,0,0,0,0,0,0,0,6,0.2,0,0,0,0,0,0,1,0,0,0,6,0.2,0,0,0,0,0,0,0,0,0,0,5,0.2,123,4.9
State,Mizoram,28,2.9,35,3.6,2,0.2,0,0,169,17.4,6,0.6,0,0,0,0,79,8.1,0,0,0,0,0,0,33,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,48.6,824,84.8
State,Nagaland,33,1.5,69,3.2,1,0,91,4.2,27,1.2,12,0.6,4,0.2,0,0,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,0,0,0,0,0,0,0,0,0,0,64,3,305,14.1
State,Orissa,369,0.9,107,0.3,846,2.1,7513,19,1,0,90,0.2,40,0.1,0,0,2,0,0,0,0,0,0,0,0,0,175,0.4,0,0,3,0,1460,3.7,1,0,0,0,20,0.1,0,0,665,1.7,554,1.4,111,0.3,0,0,870,2.2,12162,30.7
State,Punjab,635,2.4,6112,23.2,5081,19.3,9313,35.3,2,0,16,0.1,45,0.2,8,0,2,0,0,0,0,0,0,0,44,0.2,132,0.5,0,0,0,0,6,0,5,0,0,0,237,0.9,0,0,88,0.3,88,0.3,0,0,5,0,881,3.3,22612,85.7
State,Rajasthan,3718,5.8,912,1.4,11640,18.2,9222,14.4,0,0,258,0.4,91,0.1,6,0,5,0,0,0,0,0,0,0,15,0,270,0.4,0,0,1,0,2,0,3,0,131,0.2,528,0.8,0,0,127,0.2,102,0.2,25,0,2470,3.9,8232,12.9,37631,58.9
State,Sikkim,1,0.2,13,2.2,1,0.2,123,20.9,0,0,1,0.2,2,0.3,0,0,1,0.2,1,0.2,0,0,1,0.2,0,0,31,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2.7,190,32.3
State,Tamil Nadu,145,0.2,2501,3.8,14512,22,0,0,101746,154.1,306,0.5,1199,1.8,13,0,15,0,6,0,6,0,0,0,410,0.6,178,0.3,0,0,1,0,368,0.6,2,0,25,0,918,1.4,0,0,1064,1.6,1064,1.6,0,0,4,0,351550,532.5,474963,719.4
State,Tripura,26,0.7,55,1.6,13,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,2.2,0,0,0,0,0,0,1,0,0,0,2,0.1,0,0,0,0,0,0,0,0,0,0,2,0.1,175,5
State,Uttar Pradesh,41800,22.2,10885,5.8,9350,5,46546,24.7,0,0,1261,0.7,49,0,26,0,2,0,8,0,8,0,0,0,16,0,1620,0.9,0,0,6,0,803,0.4,0,0,0,0,237,0.1,0,0,2117,1.1,2113,1.1,4,0,1455,0.8,1328161,704.4,1444342,766.1
State,Uttarakhand,1456,15.5,380,4,507,5.4,3199,34,0,0,4,0,9,0.1,30,0.3,5,0.1,0,0,0,0,0,0,1,0.1,49,0.5,0,0,0,0,2,0,0,0,0,0,37,0.4,0,0,56,0.6,56,0.6,0,0,72,6.8,134621,12760.3,140428,13310.7
State,West Bengal,1008,1.2,752,0.9,251,0.3,218,0.3,10,0,64,0.1,62,0.1,7,0,1705,2,2,0,1,0,1,0,102,0.1,175,0.2,0,0,5,0,40,0,9,0,10,0,286,0.3,0,0,3,0,1,0,2,0,1,0,1743,2,6453,7.4
State,Total (States),67635,6.1,28529,2.6,183651,16.4,127752,11.4,344297,30.8,3967,0.4,3487,0.3,186,0,2100,0.2,187,0,182,0,5,0,925,0.1,7895,0.7,0,0,45,0,5595,0.5,96,0,1199,0.1,6392,0.6,0,0,10899,1,9795,0.9,1104,0.1,4682,0.4,2915848,261.1,3715367,332.7
Union Territory,A & N Islands,1,0.2,22,5.4,40,9.9,4475,1104.9,59,14.6,5,1.2,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699,172.6,5304,1309.6
Union Territory,Chandigarh,5,0.5,144,13.8,235,22.5,311,29.7,0,0,0,0,5,0.5,0,0,1,0.1,0,0,0,0,0,0,0,0,5,0.5,0,0,0,0,0,0,0,0,1,0.1,20,1.9,0,0,0,0,0,0,0,0,0,0,126,12,853,81.5
Union Territory,D & N Haveli,1,0.4,0,0,2,0.8,4,1.6,0,0,2,0.8,2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.2,0,0,0,0,0,0,0,0,0,0,1,0.4,15,5.8
Union Territory,Daman & Diu,1,0.5,0,0,4,2.2,0,0,0,0,1,0.5,5,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.1,0,0,0,0,0,0,0,0,0,0,0,0,13,7.1
Union Territory,Delhi,6266,37.4,1133,6.8,996,6,10769,64.4,0,0,37,0.2,63,0.4,0,0,16,0.1,0,0,0,0,0,0,58,0.3,29,0.2,0,0,4,0,16,0.1,0,0,0,0,147,0.9,0,0,24,0.1,24,0.1,0,0,0,0,1436,8.6,20994,125.5
Union Territory,Lakshadweep,0,0,2,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11.8,10,14.7
Union Territory,Puducherry,157,14.8,1,0.1,44,4.1,0,0,0,0,7,0.7,5,0.5,0,0,0,0,24,2.3,24,2.3,0,0,1,0.1,35,3.3,0,0,0,0,11,1,0,0,0,0,64,6,0,0,0,0,0,0,0,0,0,0,829,78,1178,110.8
Union Territory,Total (UTs),6431,32.6,1302,6.6,1321,6.7,15559,78.8,59,0.3,52,0.3,81,0.4,0,0,17,0.1,24,0.1,24,0.1,0,0,59,0.3,70,0.4,0,0,4,0,28,0.1,0,0,1,0,236,1.2,0,0,24,0.1,24,0.1,0,0,0,0,3099,15.7,28367,143.6
All India,Total (All India),74066,6.5,29831,2.6,184972,16.3,143311,12.6,344356,30.3,4019,0.4,3568,0.3,186,0,2117,0.2,211,0,206,0,5,0,984,0.1,7965,0.7,0,0,49,0,5623,0.5,96,0,1200,0.1,6628,0.6,0,0,10923,1,9819,0.9,1104,0.1,4682,0.4,2918947,256.8,3743734,329.4
City,Agra,555,42,233,17.6,377,28.5,147,11.1,0,0,1,0.1,7,0.5,1,0.1,0,0,0,0,0,0,0,0,0,0,6,0.5,0,0,1,0.1,0,0,0,0,0,0,16,1.2,0,0,26,2,26,2,0,0,0,0,16547,1252.6,17917,1356.3
City,Ahmedabad,36,0.8,5,0.1,977,21.6,0,0,8103,179.3,29,0.6,9,0.2,0,0,0,0,0,0,0,0,0,0,0,0,10,0.2,0,0,0,0,0,0,0,0,0,0,54,1.2,0,0,19,0.4,19,0.4,0,0,0,0,3063,67.8,12305,272.3
City,Allahabad,301,28.7,152,14.5,99,9.4,172,16.4,0,0,312,29.7,3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,9,0.9,0,0,1,0.1,6,0.6,0,0,0,0,4,0.4,0,0,13,1.2,13,1.2,0,0,28,2.7,58533,5574.6,59633,5679.3
City,Amritsar,30,3,495,49,132,13.1,501,49.6,0,0,2,0.2,7,0.7,0,0,0,0,0,0,0,0,0,0,17,1.7,6,0.6,0,0,0,0,0,0,1,0.1,0,0,39,3.9,0,0,4,0.4,4,0.4,0,0,0,0,20,2,1254,124
City,Asansol,45,4.1,1,0.1,7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.4,0,0,0,0,8,0.7,0,0,0,0,0,0,0,0,0,0,28,2.6,93,8.5
City,Bengaluru,4,0.1,33,0.6,183,3.2,380,6.7,0,0,7,0.1,345,6.1,0,0,13,0.2,0,0,0,0,0,0,18,0.3,17,0.3,0,0,0,0,265,4.7,1,0,0,0,229,4,0,0,77,1.4,77,1.4,0,0,27,0.5,783,13.8,2382,41.9
City,Bhopal,764,52.5,103,7.1,1744,119.9,504,34.6,0,0,1,0.1,5,0.3,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,2,0.1,0,0,0,0,14,1,0,0,49,3.4,47,3.2,2,0.1,0,0,29,2,3229,221.9
City,Chennai,2,0,112,1.7,1494,23.3,0,0,772,12,5,0.1,202,3.1,0,0,1,0,0,0,0,0,0,0,340,5.3,0,0,0,0,0,0,0,0,0,0,0,0,227,3.5,0,0,23,0.4,23,0.4,0,0,0,0,71669,1115.5,74847,1164.9
City,Coimbatore,0,0,141,9.8,182,12.6,0,0,81,5.6,1,0.1,143,9.9,0,0,1,0.1,0,0,0,0,0,0,5,0.3,1,0.1,0,0,0,0,1,0.1,0,0,1,0.1,53,3.7,0,0,7,0.5,7,0.5,0,0,0,0,2088,144.4,2705,187.1
City,Delhi (city),6002,46.9,1098,8.6,979,7.7,9707,75.9,0,0,34,0.3,58,0.5,0,0,16,0.1,0,0,0,0,0,0,58,0.5,26,0.2,0,0,4,0,14,0.1,0,0,0,0,141,1.1,0,0,19,0.1,19,0.1,0,0,0,0,1341,10.5,19497,152.4
City,Dhanbad,9,0.8,5,0.5,9,0.8,4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,23,2.2,0,0,0,0,1,0.1,0,0,10,0.9,10,0.9,0,0,0,0,118,11.1,180,16.9
City,Faridabad,113,10.7,3,0.3,137,13,561,53.2,0,0,2,0.2,10,0.9,0,0,8,0.8,0,0,0,0,0,0,0,0,37,3.5,0,0,0,0,1,0.1,0,0,0,0,21,2,0,0,9,0.9,9,0.9,0,0,0,0,168,15.9,1070,101.4
City,Hyderabad,92,1.7,8,0.1,60,1.1,52,0.9,162,2.9,24,0.4,48,0.9,0,0,6,0.1,0,0,0,0,0,0,59,1.1,1,0,0,0,3,0.1,1,0,0,0,0,0,192,3.5,0,0,69,1.2,69,1.2,0,0,0,0,1941,35.1,2718,49.1
City,Indore,797,48.6,10,0.6,1582,96.5,1048,63.9,0,0,7,0.4,7,0.4,0,0,0,0,0,0,0,0,0,0,0,0,8,0.5,0,0,0,0,1,0.1,0,0,0,0,22,1.3,0,0,0,0,0,0,0,0,0,0,66,4,3548,216.5
City,Jabalpur,515,46.1,66,5.9,1453,130.1,1084,97,0,0,37,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.6,0,0,0,0,12,1.1,0,0,0,0,8,0.7,0,0,44,3.9,32,2.9,12,1.1,0,0,24779,2218.4,28005,2507.2
City,Jaipur,426,18.3,92,4,1119,48.1,625,26.9,0,0,2,0.1,33,1.4,0,0,3,0.1,0,0,0,0,0,0,4,0.2,11,0.5,0,0,0,0,1,0,0,0,40,1.7,120,5.2,0,0,2,0.1,0,0,2,0.1,0,0,690,29.7,3168,136.3
City,Jamshedpur,50,4.5,6,0.5,32,2.9,54,4.9,0,0,1,0.1,5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,3,0.3,0,0,0,0,36,3.3,0,0,0,0,5,0.5,0,0,9,0.8,3,0.3,6,0.5,1,0.1,3,0.3,205,18.6
City,Kanpur,1308,48.6,598,22.2,276,10.3,765,28.4,0,0,133,4.9,1,0,0,0,0,0,0,0,0,0,0,0,2,0.1,42,1.6,0,0,2,0.1,4,0.1,0,0,0,0,3,0.1,0,0,0,0,0,0,0,0,17,0.6,96914,3602.8,100065,3719.9
City,Kochi,15,1.1,153,11.3,51,3.8,0,0,1177,86.9,3,0.2,37,2.7,0,0,5,0.4,0,0,0,0,0,0,0,0,16,1.2,0,0,0,0,0,0,0,0,0,0,74,5.5,0,0,3,0.2,3,0.2,0,0,0,0,17076,1260.2,18610,1373.4
City,Kolkata,63,0.5,36,0.3,14,0.1,91,0.7,0,0,7,0.1,31,0.2,6,0,0,0,0,0,0,0,0,0,0,0,8,0.1,0,0,3,0,0,0,0,0,0,0,116,0.9,0,0,0,0,0,0,0,0,0,0,287,2.2,662,5
City,Lucknow,1187,52.4,342,15.1,230,10.1,271,12,0,0,13,0.6,7,0.3,0,0,0,0,0,0,0,0,0,0,0,0,46,2,0,0,1,0,0,0,0,0,0,0,6,0.3,0,0,35,1.5,35,1.5,0,0,10,0.4,44587,1966.8,46735,2061.5
City,Ludhiana,81,5.8,140,10,396,28.4,151,10.8,0,0,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.4,0,0,0,0,0,0,0,0,0,0,23,1.6,0,0,4,0.3,4,0.3,0,0,0,0,119,8.5,922,66.1
City,Madurai,1,0.1,100,8.4,137,11.5,0,0,143,12,0,0,14,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2.3,0,0,12,1,12,1,0,0,0,0,23895,1999.6,24330,2036
City,Meerut,810,69.4,105,9,310,26.6,546,46.8,0,0,4,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.3,0,0,0,0,0,0,0,0,0,0,11,0.9,0,0,0,0,0,0,0,0,5,0.4,41561,3561.4,43356,3715.2
City,Mumbai,210,1.3,1210,7.4,91,0.6,0,0,143,0.9,4,0,185,1.1,0,0,7,0,1,0,1,0,0,0,5,0,53,0.3,0,0,1,0,0,0,0,0,0,0,169,1,0,0,17,0.1,15,0.1,2,0,2,0,2086,12.7,4184,25.6
City,Nagpur,297,14,52,2.4,795,37.4,0,0,2154,101.5,1,0,16,0.8,1,0,0,0,0,0,0,0,0,0,0,0,153,7.2,0,0,0,0,8,0.4,2,0.1,2,0.1,51,2.4,0,0,7,0.3,7,0.3,0,0,0,0,1790,84.3,5329,251
City,Nasik,11,1,1,0.1,110,9.5,0,0,148,12.8,0,0,3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,8,0.7,0,0,0,0,0,0,0,0,0,0,3,0.3,0,0,3,0.3,3,0.3,0,0,0,0,629,54.6,916,79.5
City,Patna,173,10.1,19,1.1,16,0.9,100,5.9,0,0,13,0.8,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,8,0.5,0,0,0,0,0,0,2,0.1,0,0,0,0,0,0,33,1.9,33,1.9,0,0,0,0,126,7.4,491,28.8
City,Pune,65,1.7,69,1.8,512,13.6,0,0,1786,47.6,1,0,48,1.3,0,0,27,0.7,0,0,0,0,0,0,3,0.1,35,0.9,0,0,0,0,0,0,1,0,0,0,90,2.4,0,0,7,0.2,7,0.2,0,0,0,0,2333,62.1,4977,132.5
City,Rajkot,2,0.2,2,0.2,251,25,0,0,2385,238,0,0,0,0,0,0,0,0,1,0.1,1,0.1,0,0,0,0,16,1.6,0,0,0,0,0,0,0,0,0,0,23,2.3,0,0,14,1.4,14,1.4,0,0,0,0,383,38.2,3077,307.1
City,Surat,48,1.7,7,0.2,517,18.4,0,0,15307,544.5,75,2.7,14,0.5,0,0,2,0.1,0,0,0,0,0,0,0,0,7,0.2,0,0,0,0,0,0,0,0,0,0,56,2,0,0,15,0.5,10,0.4,5,0.2,0,0,782,27.8,16830,598.7
City,Vadodara,11,0.7,1,0.1,522,35,0,0,9356,627.1,0,0,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0,0,0,0,0,0,0,0,0,0,35,2.3,0,0,5,0.3,4,0.3,1,0.1,0,0,710,47.6,10645,713.5
City,Varanasi,543,44.8,367,30.3,86,7.1,187,15.4,0,0,15,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.8,0,0,0,0,4,0.3,0,0,0,0,2,0.2,0,0,62,5.1,62,5.1,0,0,6,0.5,16970,1400.2,18252,1505.9
City,Vijayawada,1,0.1,6,0.6,2622,259.3,132,13.1,10,1,4,0.4,33,3.3,0,0,0,0,2,0.2,2,0.2,0,0,0,0,4,0.4,0,0,1,0.1,0,0,1,0.1,0,0,37,3.7,0,0,5,0.5,4,0.4,1,0.1,0,0,212619,21030.6,215477,21313.3
City,Vishakhapatnam,0,0,9,0.7,1441,108.4,18,1.4,0,0,2,0.2,31,2.3,0,0,1,0.1,0,0,0,0,0,0,0,0,42,3.2,0,0,0,0,0,0,0,0,1,0.1,60,4.5,0,0,29,2.2,29,2.2,0,0,1,0.1,4511,339.4,6146,462.5
City,Total (Cities),14567,13.5,5780,5.4,18943,17.6,17100,15.9,41727,38.7,742,0.7,1305,1.2,8,0,90,0.1,4,0,4,0,0,0,511,0.5,618,0.6,0,0,17,0,383,0.4,8,0,44,0,1941,1.8,0,0,631,0.6,600,0.6,31,0,97,0.1,649244,601.8,753760,698.7
