Category,States/ UTs,"Murder (Sec. 302,303 IPC)",Attempt to Commit Murder (Sec. 307 IPC),"C.H. not Amounting to Murder (Sec. 304,308 IPC)",Rape (Sec. 376 IPC) -Total,Rape (Sec. 376 IPC) - Custodial,Rape (Sec. 376 IPC) - Others,"Kidnapping and Abduction (Sec. 363-369,371-373 IPC) - Total","Kidnapping and Abduction (Sec. 363-369,371-373 IPC) - of Women & Girls","Kidnapping and Abduction (Sec. 363-369,371-373 IPC) - of Others",Dacoity (Sec. 395-398 IPC),Preparation and Assembly For Dacoity (Sec. 399-402 IPC),"Robbery (Sec.392-394, 397,398 IPC)","Burglary (Sec. 449-452, 454, 455, 457-460 IPC)",Theft (Sec. 379-382 IPC) - Total,Theft (Sec. 379-382 IPC) - Auto Theft,Theft (Sec. 379-382 IPC) - Other Theft,"Riots (Sec. 143-145,147-151, 153, 153A,153B, 157, 158, 160 IPC)",Criminal Breach of Trust (Sec. 406-409 IPC),"Cheating (Sec. 419,420 IPC)","Counterfeiting (Sec. 231-254,489A, 489D IPC)","Arson (Sec. 435, 436, 438 IPC)","Hurt (Sec. 323-333,335-338 IPC)",Dowry Death (Sec. 304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec. 509 IPC),Cruelty by Husband and Relatives (Sec. 498A IPC),Importation of Girls (Sec. 366B IPC),Causing Death by Negligence (Sec. 304A IPC),Other IPC Crimes,Total Cog.Crimes Under IPC
State,Tripura,87.2,68.7,NA,97.8,NA,97.8,88.2,85.7,92,68.4,NA,69.2,40.5,52.8,46.7,54,61.8,54.8,67.7,81.3,23.4,80.4,95.5,93.2,100,92.9,NA,86.1,70.7,74.7
State,Uttar Pradesh,85.8,83.9,88.1,92,NA,92,67.5,68.9,62.1,88.1,96.4,75.9,38,34.2,21.2,46.9,82.1,56.6,59.4,57.9,72,78.1,87.6,94.9,99.3,73.4,NA,79.3,84.7,72.6
State,Uttarakhand,75.8,87.1,84.2,91.8,NA,91.8,66.1,68.6,41.2,67.7,100,71.1,38.3,42.8,32.4,48.1,77.5,57.9,63.4,53.6,63.3,83.6,94.9,90.9,100,80.2,NA,77.4,81.9,70.7
State,West Bengal,75.3,82.4,82.6,95,NA,95,72.9,75,58.2,69,98.9,61.1,36.3,26.5,16.2,28.7,88.6,72,51.8,76.3,82.1,89.5,95.8,94.5,86.5,98,81,85.3,84.1,75.4
State,Total (States),83.8,88.7,87.1,94.5,100,94.5,77.5,78.2,75.9,69,98.3,66.3,40.9,43.4,30.8,49.7,90.5,72.4,74,48.5,69.4,94.6,92.7,96.4,97.4,93.9,92.1,81.6,90.3,80.6
Union Territory,A & N Islands,100,100,100,100,NA,100,60,100,0,66.7,NA,77.8,36.8,49.5,57.1,48.9,70,20,88.9,0,46.7,84.1,NA,95.2,0,83.3,NA,100,93.6,79.3
Union Territory,Chandigarh,88.5,100,100,95,NA,95,92.3,95.8,50,50,NA,87.1,34.1,21.6,9.2,33.7,97.2,62.2,56,66.7,100,100,100,100,85.7,70.7,NA,90,70.2,45.9
Union Territory,D & N Haveli,80,100,NA,100,NA,100,62.5,71.4,0,50,NA,25,31.6,45.6,15.8,57.1,80,100,66.7,100,50,95,NA,0,NA,100,NA,100,85.1,72.9
Union Territory,Daman & Diu,83.3,100,NA,100,NA,100,100,100,NA,20,NA,100,9.1,14.9,15.8,13.8,96,75,0,25,33.3,65.2,100,100,NA,100,NA,56.3,80,44.4
Union Territory,Delhi,84.9,95.9,86.6,97.8,NA,97.8,46.2,46.9,44.8,96.6,100,90,36.2,23.5,14.8,34.1,93.5,70.4,77.7,77.4,48.6,94.4,94.6,97.5,95.3,94.3,NA,62.8,86.3,64.5
Union Territory,Lakshadweep,NA,100,NA,100,NA,100,NA,NA,NA,NA,NA,NA,100,60,0,66.7,0,NA,NA,NA,NA,0,NA,100,NA,NA,NA,NA,69.2,61
Union Territory,Puducherry,97.2,100,100,100,NA,100,86.7,90,80,100,100,83.3,66,58.9,44.6,80.7,99.2,77.8,92.9,100,44.4,99.9,100,98.9,100,100,NA,92.4,98.6,91.1
Union Territory,Total (UTs),86.2,96.5,89.2,97.8,0,97.8,48.4,50,45,81.4,100,89.1,36.6,25.4,16.1,36.4,94.3,69.9,76.8,68.9,48.8,95.6,94.9,97.5,94.7,92.3,0,76.8,87.2,66.3
All India,Total (All India),83.8,88.9,87.1,94.6,100,94.6,76.2,77,74.4,69.1,98.4,67,40.8,42.2,29.3,49,90.5,72.3,74.1,48.9,69.2,94.6,92.8,96.4,97.3,93.9,92.1,81.5,90.2,80.1
