Sl. No.,Category,State/ut/city,2002,2003,2004,2005,2006,"Quinquennial Average (2002-2006)
(Q.A.)@",2007,Percentage Change in 2007 [(+) Increase (-) Decrease] over - Qa,Percentage Change in 2007 [(+) Increase (-) Decrease] over - 2006
59,City,Meerut,2334,1641,2479,2439,2400,2259,2441,8.1,1.7
60,City,Mumbai,26276,25686,29453,31432,31070,28783,30481,5.9,-1.9
61,City,Nagpur,8721,7357,8518,9605,9991,8838,9791,10.8,-2
62,City,Nasik,2521,2542,2606,2776,2951,2679,3115,16.3,5.6
63,City,Patna,6100,6545,7597,7888,8432,7312,8944,22.3,6.1
64,City,Pune,8504,8813,10754,11817,11484,10274,12818,24.8,11.6
65,City,Rajkot,4644,4802,4339,3934,3489,4242,3912,-7.8,12.1
66,City,Surat,4172,4401,4131,5273,8659,5327,10986,106.2,26.9
67,City,Vadodara,7116,5712,5551,5276,5672,5865,5109,-12.9,-9.9
68,City,Varanasi,2281,1146,1557,1214,1970,1634,2802,71.5,42.2
69,City,Vijayawada,9083,10084,7659,5791,5862,7696,5587,-27.4,-4.7
70,City,Visakhapatnam,2838,3261,3182,4455,5478,3843,5480,42.6,0
City,City,Total (Cities),297679,291246,309929,314708,326363,307985,336889,9.4,3.2
