Category,State/UT/City,Estimated Mid-YearPopulation (In Lakhs)#,Rape(Sec. 376 IPC) (I),Rape(Sec. 376 IPC) ( R),Rape(Sec. 376 IPC) (P),"Kidnapping & Abduction(Sec.363-369,371-373 IPC) (I)","Kidnapping & Abduction(Sec.363-369,371-373 IPC) ( R)","Kidnapping & Abduction(Sec.363-369,371-373 IPC) (P)",Dowry Deaths(Sec.304B IPC) (I),Dowry Deaths(Sec.304B IPC) ( R),Dowry Deaths(Sec.304B IPC) (P),Cruelty By Husband And Relatives(Sec.498A IPC) (I),Cruelty By Husband And Relatives(Sec.498A IPC) ( R),Cruelty By Husband And Relatives(Sec.498A IPC) (P),Molestation(Sec.354 IPC) (I),Molestation(Sec.354 IPC) ( R),Molestation(Sec.354 IPC) (P),Sexual Harassment(Eve-Teasing)(Sec.509 IPC) (I),Sexual Harassment(Eve-Teasing)(Sec.509 IPC) ( R),Sexual Harassment(Eve-Teasing)(Sec.509 IPC) (P),Importation of Girls(Sec.366B IPC) (I),Importation of Girls(Sec.366B IPC) ( R),Importation of Girls(Sec.366B IPC) (P),"Sati PreventionAct, 1987 (I)","Sati PreventionAct, 1988 ( R)","Sati PreventionAct, 1989 (P)","Immoral Traffic (P) Act, 1956 (I)","Immoral Traffic (P) Act, 1957 ( R)","Immoral Traffic (P) Act, 1958 (P)","Indecent Representation of Women (P) Act, 1986 (I)","Indecent Representation of Women (P) Act, 1987 ( R)","Indecent Representation of Women (P) Act, 1988 (P)","Dowry Prohibition Act, 1961 (I)","Dowry Prohibition Act, 1962 ( R)","Dowry Prohibition Act, 1963 (P)",Total (I),Total ( R),Total (P)
City,Hyderabad,55.34,58,1,3.3,74,1.3,2.3,41,0.7,5.8,1365,24.7,11.3,216,3.9,6.2,128,2.3,7.2,0,0,0,0,0,0,48,0.9,3.7,0,0,0,1,0,0.3,1931,34.9,7.8
City,Indore,16.39,74,4.5,4.2,32,2,1,12,0.7,1.7,259,15.8,2.2,178,10.9,5.1,34,2.1,1.9,0,0,0,0,0,0,7,0.4,0.5,0,0,0,1,0.1,0.3,597,36.4,2.4
City,Jabalpur,11.17,40,3.6,2.3,18,1.6,0.6,24,2.1,3.4,101,9,0.8,145,13,4.2,34,3,1.9,0,0,0,0,0,0,0,0,0,0,0,0,12,1.1,3.1,374,33.5,1.5
City,Jaipur,23.24,62,2.7,3.5,179,7.7,5.6,25,1.1,3.5,484,20.8,4,101,4.3,2.9,0,0,0,0,0,0,0,0,0,33,1.4,2.5,40,1.7,90.9,1,0,0.3,925,39.8,3.7
City,Jamshedpur,11.02,39,3.5,2.2,30,2.7,0.9,15,1.4,2.1,41,3.7,0.3,12,1.1,0.3,0,0,0,0,0,0,0,0,0,5,0.5,0.4,0,0,0,36,3.3,9.4,178,16.2,0.7
City,Kanpur,26.9,46,1.7,2.6,222,8.3,6.9,59,2.2,8.3,673,25,5.6,102,3.8,2.9,165,6.1,9.2,0,0,0,0,0,0,1,0,0.1,0,0,0,4,0.1,1,1272,47.3,5.1
City,Kochi,13.55,23,1.7,1.3,6,0.4,0.2,0,0,0,88,6.5,0.7,75,5.5,2.2,5,0.4,0.3,0,0,0,0,0,0,37,2.7,2.8,0,0,0,0,0,0,234,17.3,0.9
City,Kolkata,132.17,44,0.3,2.5,88,0.7,2.7,8,0.1,1.1,296,2.2,2.5,189,1.4,5.5,58,0.4,3.2,3,0,100,0,0,0,31,0.2,2.4,0,0,0,0,0,0,717,5.4,2.9
City,Lucknow,22.67,51,2.2,2.9,176,7.8,5.5,32,1.4,4.5,445,19.6,3.7,59,2.6,1.7,150,6.6,8.4,0,0,0,0,0,0,7,0.3,0.5,0,0,0,0,0,0,920,40.6,3.7
City,Ludhiana,13.95,53,3.8,3,89,6.4,2.8,9,0.6,1.3,100,7.2,0.8,21,1.5,0.6,11,0.8,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,20.3,1.1
City,Madurai,11.95,4,0.3,0.2,16,1.3,0.5,10,0.8,1.4,76,6.4,0.6,11,0.9,0.3,31,2.6,1.7,0,0,0,0,0,0,14,1.2,1.1,0,0,0,0,0,0,162,13.6,0.7
City,Meerut,11.67,18,1.5,1,51,4.4,1.6,22,1.9,3.1,278,23.8,2.3,29,2.5,0.8,101,8.7,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,42.8,2
City,Mumbai,163.68,174,1.1,9.8,120,0.7,3.7,17,0.1,2.4,380,2.3,3.2,365,2.2,10.5,112,0.7,6.3,0,0,0,0,0,0,185,1.1,14.2,0,0,0,0,0,0,1353,8.3,5.5
City,Nagpur,21.23,50,2.4,2.8,50,2.4,1.6,7,0.3,1,251,11.8,2.1,96,4.5,2.8,51,2.4,2.9,0,0,0,0,0,0,16,0.8,1.2,2,0.1,4.5,8,0.4,2.1,531,25,2.1
City,Nasik,11.52,7,0.6,0.4,17,1.5,0.5,1,0.1,0.1,127,11,1.1,34,3,1,11,1,0.6,0,0,0,0,0,0,3,0.3,0.2,0,0,0,0,0,0,200,17.4,0.8
City,Patna,17.07,42,2.5,2.4,46,2.7,1.4,30,1.8,4.2,195,11.4,1.6,16,0.9,0.5,0,0,0,0,0,0,0,0,0,1,0.1,0.1,0,0,0,0,0,0,330,19.3,1.3
City,Pune,37.56,66,1.8,3.7,93,2.5,2.9,6,0.2,0.8,250,6.7,2.1,79,2.1,2.3,77,2.1,4.3,0,0,0,0,0,0,48,1.3,3.7,0,0,0,0,0,0,619,16.5,2.5
City,Rajkot,10.02,4,0.4,0.2,36,3.6,1.1,3,0.3,0.4,240,24,2,17,1.7,0.5,22,2.2,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,32.1,1.3
City,Surat,28.11,24,0.9,1.4,80,2.8,2.5,21,0.7,3,332,11.8,2.8,44,1.6,1.3,8,0.3,0.4,0,0,0,0,0,0,14,0.5,1.1,0,0,0,0,0,0,523,18.6,2.1
City,Vadodara,14.92,8,0.5,0.5,37,2.5,1.2,0,0,0,268,18,2.2,11,0.7,0.3,8,0.5,0.4,0,0,0,0,0,0,2,0.1,0.2,0,0,0,0,0,0,334,22.4,1.4
City,Varanasi,12.12,9,0.7,0.5,34,2.8,1.1,21,1.7,3,101,8.3,0.8,9,0.7,0.3,89,7.3,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0.3,1,267,22,1.1
City,Vijayawada,10.11,17,1.7,1,49,4.8,1.5,10,1,1.4,531,52.5,4.4,131,13,3.8,202,20,11.3,0,0,0,0,0,0,33,3.3,2.5,0,0,0,0,0,0,973,96.2,3.9
City,Vishakhapatnam,13.29,24,1.8,1.4,23,1.7,0.7,14,1.1,2,535,40.3,4.4,100,7.5,2.9,25,1.9,1.4,0,0,0,0,0,0,31,2.3,2.4,1,0.1,2.3,0,0,0,753,56.7,3
City,Total (Cities),1078.8,1775,1.6,100,3207,3,100,711,0.7,100,12031,11.2,100,3463,3.2,100,1787,1.7,100,3,0,100,0,0,0,1305,1.2,100,44,0,100,383,0.4,100,24709,22.9,100
