Category,State/ UT,Murder(Sec.302 & 303 IPC) (I),Murder(Sec.302 & 303 IPC) ( R),Attempt To Commit Murder (Sec. 307 IPC) (I),Attempt To Commit Murder (Sec. 307 IPC) ( R),"C.H. Not Amounting Murder (Sec.304 , 308 IPC) (I)","C.H. Not Amounting Murder (Sec.304 , 308 IPC) ( R)",Rape (Sec. 376 IPC) - Total (I),Rape (Sec. 376 IPC) - Total ( R),Rape(Sec. 376 IPC) - Custodial Rape (I),Rape(Sec. 376 IPC) - Custodial Rape ( R),Rape(Sec. 376 IPC) - Other Rape (I),Rape(Sec. 376 IPC) - Other Rape ( R),"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Total (I)","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Total ( R)","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Women & Girls (I)","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Women & Girls ( R)","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Others (I)","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Others ( R)",Dacoity (Sec.395-398 IPC) (I),Dacoity (Sec.395-398 IPC) ( R),Preparation & Assembly For Dacoity (Sec.399 To 402 IPC) (I),Preparation & Assembly For Dacoity (Sec.399 To 402 IPC) ( R),"Robbery(Sec.392-394, 397,398 IPC) (I)","Robbery(Sec.392-394, 3,97,398 IPC)
 ( R)","Burglary(Sec.449-452,454,455,457-460 IPC) (I)","Burglary(Sec.449-452,454,455,457-460 IPC) ( R)",Theft(Sec.379 – 382 IPC) - Total (I),Theft(Sec.379 – 382 IPC) - Total ( R),Theft(Sec.379 – 382 IPC) - Auto Theft (I),Theft(Sec.379 – 382 IPC) - Auto Theft ( R),Theft(Sec.379 – 382 IPC) - Other Theft (I),Theft(Sec.379 – 382 IPC) - Other Theft ( R),"Riots (Sec.143-145, 147-151, 153,153a,153b,157,158,160 IPC) (I)","Riots (Sec.143-145, 147-151, 153,153a,153b,157,158,160 IPC) ( R)",Criminal Breach of Trust(Sec.406-409 IPC) (I),Criminal Breach of Trust(Sec.406-409 IPC) ( R),"Cheating (Sec.419,420 IPC) (I)","Cheating (Sec.419,420 IPC) ( R)","Counterfeiting(Sec.231-254, 489a-489d IPC) (I)","Counterfeiting(Sec.231-254, 489a-489d IPC) ( R)","Arson (Sec.435,436,438 IPC) (I)","Arson (Sec.435,436,438 IPC) ( R)","Hurt(Sec.323-333,335-338 IPC) (I)","Hurt(Sec.323-333,335-338 IPC) ( R)",Dowry Deaths (Sec.304b IPC) (I),Dowry Deaths (Sec.304b IPC) ( R),Molestation (Sec. 354 IPC) (I),Molestation (Sec. 354 IPC) ( R),Sexual Harassment (Sec.509 IPC) (I),Sexual Harassment (Sec.509 IPC) ( R),Cruelty By Husband And Relatives (Sec. 498a IPC) (I),Cruelty By Husband And Relatives (Sec. 498a IPC) ( R),Importation of Girls (Sec.366b IPC) (I),Importation of Girls (Sec.366b IPC) ( R),Causing Death By Negligence (Sec. 304a IPC) (I),Causing Death By Negligence (Sec. 304a IPC) ( R),Other IPC Crimes (I),Other IPC Crimes ( R),Total Cognizable Crimes (I),Total Cognizable Crimes ( R)
State,Jharkhand,1617,5.4,1076,3.6,92,0.3,855,2.9,0,0,855,2.9,762,2.6,534,1.8,228,0.8,524,1.8,40,0.1,771,2.6,1495,5,7091,23.8,1784,6,5307,17.8,2565,8.6,448,1.5,814,2.7,19,0.1,160,0.5,3783,12.7,303,1,342,1.2,15,0.1,801,2.7,0,0,1019,3.4,13897,46.7,38489,129.4
State,Karnataka,1538,2.7,1251,2.2,55,0.1,436,0.8,1,0,435,0.8,680,1.2,390,0.7,290,0.5,178,0.3,242,0.4,1313,2.3,5449,9.6,14351,25.2,5887,10.3,8464,14.9,5783,10.1,400,0.7,3600,6.3,124,0.2,262,0.5,18963,33.3,251,0.4,1828,3.2,28,0,2507,4.4,0,0,514,0.9,60853,106.8,120606,211.7
State,Kerala,367,1.1,402,1.2,92,0.3,512,1.5,0,0,512,1.5,255,0.7,177,0.5,78,0.2,121,0.4,157,0.5,869,2.6,4100,12.1,5609,16.5,2113,6.2,3496,10.3,7358,21.6,394,1.2,4215,12.4,54,0.2,398,1.2,18975,55.8,27,0.1,2624,7.7,262,0.8,3999,11.8,0,0,59,0.2,57681,169.6,108530,319.1
State,Madhya Pradesh,2244,3.3,2423,3.5,155,0.2,3010,4.4,0,0,3010,4.4,922,1.3,701,1,221,0.3,143,0.2,109,0.2,1975,2.9,11230,16.4,22396,32.7,8915,13,13481,19.7,2648,3.9,531,0.8,1661,2.4,38,0.1,909,1.3,36643,53.5,742,1.1,6772,9.9,780,1.1,3294,4.8,0,0,5754,8.4,98007,143.2,202386,295.6
State,Maharashtra,2693,2.5,1615,1.5,113,0.1,1451,1.4,0,0,1451,1.4,1312,1.2,967,0.9,345,0.3,716,0.7,405,0.4,2770,2.6,15607,14.7,47681,45,13895,13.1,33786,31.9,7993,7.5,1715,1.6,6235,5.9,270,0.3,1267,1.2,29622,28,436,0.4,3306,3.1,1039,1,7356,6.9,0,0,11946,11.3,50159,47.3,195707,184.7
State,Manipur,240,9.2,377,14.5,2,0.1,20,0.8,0,0,20,0.8,150,5.8,83,3.2,67,2.6,3,0.1,146,5.6,11,0.4,70,2.7,454,17.4,150,5.8,304,11.7,70,2.7,19,0.7,93,3.6,4,0.2,63,2.4,377,14.5,0,0,70,2.7,0,0,15,0.6,0,0,1,0,1074,41.2,3259,125.1
State,Meghalaya,114,4.5,49,1.9,8,0.3,82,3.3,0,0,82,3.3,52,2.1,22,0.9,30,1.2,55,2.2,1,0,56,2.2,203,8.1,500,19.9,91,3.6,409,16.3,33,1.3,17,0.7,164,6.5,12,0.5,36,1.4,124,4.9,2,0.1,45,1.8,1,0,19,0.8,0,0,68,2.7,438,17.4,2079,82.7
State,Mizoram,43,4.4,21,2.2,4,0.4,83,8.5,0,0,83,8.5,4,0.4,0,0,4,0.4,0,0,0,0,5,0.5,457,47,808,83.1,64,6.6,744,76.5,1,0.1,20,2.1,66,6.8,16,1.6,38,3.9,85,8.7,0,0,66,6.8,0,0,2,0.2,0,0,34,3.5,330,34,2083,214.3
State,Nagaland,111,5.1,50,2.3,8,0.4,13,0.6,0,0,13,0.6,17,0.8,6,0.3,11,0.5,7,0.3,0,0,75,3.5,118,5.4,360,16.6,194,8.9,166,7.7,15,0.7,13,0.6,34,1.6,8,0.4,5,0.2,52,2.4,0,0,8,0.4,1,0,0,0,0,0,43,2,242,11.2,1180,54.4
State,Orissa,1210,3.1,1105,2.8,22,0.1,939,2.4,0,0,939,2.4,801,2,660,1.7,141,0.4,247,0.6,42,0.1,1273,3.2,3073,7.8,6830,17.2,1733,4.4,5097,12.9,1983,5,319,0.8,1263,3.2,30,0.1,411,1,7478,18.9,461,1.2,2775,7,241,0.6,728,1.8,0,0,3771,9.5,19870,50.2,54872,138.5
State,Punjab,760,2.9,893,3.4,170,0.6,519,2,0,0,519,2,760,2.9,545,2.1,215,0.8,37,0.1,92,0.3,138,0.5,2616,9.9,5173,19.6,2084,7.9,3089,11.7,1,0,329,1.2,3581,13.6,68,0.3,96,0.4,5663,21.5,133,0.5,427,1.6,48,0.2,971,3.7,0,0,2801,10.6,10517,39.9,35793,135.6
State,Rajasthan,1303,2,1772,2.8,64,0.1,1238,1.9,0,0,1238,1.9,2177,3.4,1694,2.7,483,0.8,71,0.1,81,0.1,778,1.2,5164,8.1,19345,30.3,8258,12.9,11087,17.3,1626,2.5,825,1.3,11919,18.6,56,0.1,675,1.1,19720,30.9,439,0.7,2477,3.9,28,0,8170,12.8,0,0,7096,11.1,63846,99.9,148870,232.9
State,Sikkim,9,1.5,14,2.4,3,0.5,24,4.1,0,0,24,4.1,9,1.5,9,1.5,0,0,0,0,0,0,6,1,83,14.1,118,20,11,1.9,107,18.2,15,2.5,7,1.2,34,5.8,3,0.5,1,0.2,95,16.1,0,0,13,2.2,0,0,7,1.2,0,0,34,5.8,192,32.6,667,113.2
State,Tamil Nadu,1633,2.5,2078,3.1,28,0,523,0.8,0,0,523,0.8,1270,1.9,1097,1.7,173,0.3,88,0.1,33,0,495,0.7,3717,5.6,13217,20,2901,4.4,10316,15.6,2375,3.6,261,0.4,2510,3.8,74,0.1,653,1,16967,25.7,208,0.3,1540,2.3,875,1.3,1976,3,0,0,11485,17.4,110748,167.7,172754,261.7
State,Tripura,138,4,58,1.7,2,0.1,157,4.5,0,0,157,4.5,113,3.2,81,2.3,32,0.9,14,0.4,2,0.1,64,1.8,193,5.5,411,11.8,55,1.6,356,10.2,142,4.1,42,1.2,85,2.4,10,0.3,23,0.7,546,15.7,36,1,244,7,4,0.1,545,15.7,0,0,203,5.8,1241,35.7,4273,122.8
State,Uttar Pradesh,5000,2.7,4424,2.3,1616,0.9,1648,0.9,0,0,1648,0.9,4478,2.4,3363,1.8,1115,0.6,437,0.2,82,0,2169,1.2,5057,2.7,22816,12.1,10859,5.8,11957,6.3,4495,2.4,3639,1.9,8399,4.5,337,0.2,268,0.1,10694,5.7,2076,1.1,2522,1.3,2882,1.5,7650,4.1,0,0,7655,4.1,51914,27.5,150258,79.7
State,Uttarakhand,268,2.8,228,2.4,50,0.5,117,1.2,0,0,117,1.2,253,2.7,227,2.4,26,0.3,46,0.5,6,0.1,173,1.8,548,5.8,1593,16.9,565,6,1028,10.9,459,4.9,163,1.7,697,7.4,39,0.4,37,0.4,886,9.4,70,0.7,146,1.6,63,0.7,463,4.9,0,0,608,6.5,2686,28.6,9599,102.1
State,West Bengal,1652,1.9,877,1,394,0.5,2106,2.4,0,0,2106,2.4,1800,2.1,1590,1.8,210,0.2,146,0.2,1150,1.3,427,0.5,399,0.5,13747,15.8,2421,2.8,11326,13,3727,4.3,672,0.8,2406,2.8,127,0.1,121,0.1,6909,7.9,451,0.5,2281,2.6,99,0.1,9900,11.4,5,0,3803,4.4,27903,32,81102,93
State,Total (States),31733,2.8,26773,2.4,3539,0.3,20096,1.8,1,0,20095,1.8,25779,2.3,19173,1.7,6606,0.6,4533,0.4,2973,0.3,18520,1.7,88720,7.9,265217,23.7,89973,8.1,175244,15.7,59516,5.3,15007,1.3,62736,5.6,2152,0.2,8942,0.8,270205,24.2,7950,0.7,37722,3.4,10738,1,73988,6.6,61,0,86208,7.7,800255,71.7,1923363,172.2
Union Territory,A & N Islands,15,3.7,19,4.7,1,0.2,3,0.7,0,0,3,0.7,12,3,9,2.2,3,0.7,5,1.2,0,0,9,2.2,90,22.2,112,27.7,8,2,104,25.7,17,4.2,7,1.7,23,5.7,1,0.2,11,2.7,99,24.4,1,0.2,21,5.2,2,0.5,18,4.4,0,0,4,1,337,83.2,807,199.3
Union Territory,Chandigarh,19,1.8,26,2.5,8,0.8,22,2.1,0,0,22,2.1,52,5,46,4.4,6,0.6,2,0.2,0,0,37,3.5,191,18.3,1740,166.3,853,81.5,887,84.8,79,7.6,38,3.6,170,16.3,2,0.2,9,0.9,78,7.5,1,0.1,32,3.1,11,1.1,112,10.7,0,0,15,1.4,999,95.5,3643,348.3
Union Territory,D & N Haveli,10,3.9,2,0.8,0,0,7,2.7,0,0,7,2.7,9,3.5,6,2.3,3,1.2,1,0.4,0,0,3,1.2,28,10.9,87,33.9,19,7.4,68,26.5,39,15.2,17,6.6,10,3.9,1,0.4,10,3.9,25,9.7,0,0,0,0,0,0,3,1.2,0,0,12,4.7,161,62.6,425,165.4
Union Territory,Daman & Diu,12,6.5,7,3.8,0,0,1,0.5,0,0,1,0.5,1,0.5,1,0.5,0,0,3,1.6,1,0.5,2,1.1,46,25,43,23.4,28,15.2,15,8.2,31,16.8,5,2.7,6,3.3,6,3.3,3,1.6,20,10.9,1,0.5,0,0,0,0,3,1.6,0,0,32,17.4,37,20.1,260,141.3
Union Territory,Delhi,495,3,530,3.2,94,0.6,598,3.6,0,0,598,3.6,1688,10.1,1167,7,521,3.1,34,0.2,229,1.4,557,3.3,2055,12.3,17037,101.8,8874,53,8163,48.8,87,0.5,451,2.7,2336,14,41,0.2,31,0.2,1736,10.4,138,0.8,868,5.2,167,1,1787,10.7,0,0,252,1.5,24854,148.5,56065,335.1
Union Territory,Lakshadweep,0,0,2,2.9,0,0,1,1.5,0,0,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,2,2.9,20,29.4,2,2.9,18,26.5,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,2,2.9,0,0,2,2.9,0,0,0,0,26,38.2,56,82.4
Union Territory,Puducherry,34,3.2,42,4,2,0.2,9,0.8,0,0,9,0.8,20,1.9,14,1.3,6,0.6,1,0.1,2,0.2,8,0.8,86,8.1,787,74,498,46.8,289,27.2,145,13.6,6,0.6,45,4.2,1,0.1,18,1.7,904,85,2,0.2,89,8.4,32,3,17,1.6,0,0,267,25.1,2537,238.7,5054,475.4
Union Territory,Total (UTs),585,3,628,3.2,105,0.5,641,3.2,0,0,641,3.2,1782,9,1243,6.3,539,2.7,46,0.2,232,1.2,616,3.1,2498,12.6,19826,100.4,10282,52,9544,48.3,399,2,524,2.7,2590,13.1,52,0.3,82,0.4,2862,14.5,143,0.7,1012,5.1,212,1.1,1942,9.8,0,0,582,2.9,28951,146.5,66310,335.6
All India,Total (All India),32318,2.8,27401,2.4,3644,0.3,20737,1.8,1,0,20736,1.8,27561,2.4,20416,1.8,7145,0.6,4579,0.4,3205,0.3,19136,1.7,91218,8,285043,25.1,100255,8.8,184788,16.3,59915,5.3,15531,1.4,65326,5.7,2204,0.2,9024,0.8,273067,24,8093,0.7,38734,3.4,10950,1,75930,6.7,61,0,86790,7.6,829206,73,1989673,175.1
City,Agra,63,4.8,74,5.6,30,2.3,15,1.1,0,0,15,1.1,152,11.5,113,8.6,39,3,6,0.5,0,0,36,2.7,170,12.9,1265,95.8,944,71.5,321,24.3,143,10.8,122,9.2,239,18.1,12,0.9,0,0,218,16.5,34,2.6,48,3.6,101,7.6,287,21.7,0,0,388,29.4,901,68.2,4304,325.8
City,Ahmedabad,100,2.2,44,1,2,0,37,0.8,0,0,37,0.8,213,4.7,147,3.3,66,1.5,13,0.3,3,0.1,417,9.2,677,15,4302,95.2,2316,51.3,1986,43.9,133,2.9,188,4.2,204,4.5,9,0.2,0,0,1421,31.4,4,0.1,104,2.3,13,0.3,1221,27,0,0,252,5.6,7953,176,17310,383
City,Allahabad,49,4.7,43,4.1,11,1,4,0.4,0,0,4,0.4,34,3.2,24,2.3,10,1,1,0.1,0,0,24,2.3,107,10.2,342,32.6,212,20.2,130,12.4,29,2.8,39,3.7,149,14.2,3,0.3,4,0.4,36,3.4,10,1,6,0.6,37,3.5,105,10,0,0,65,6.2,608,57.9,1706,162.5
City,Amritsar,43,4.3,46,4.5,11,1.1,21,2.1,0,0,21,2.1,48,4.7,46,4.5,2,0.2,2,0.2,9,0.9,21,2.1,137,13.6,445,44,152,15,293,29,0,0,28,2.8,267,26.4,9,0.9,2,0.2,251,24.8,5,0.5,20,2,6,0.6,78,7.7,0,0,103,10.2,590,58.4,2142,211.9
City,Asansol,26,2.4,2,0.2,8,0.7,15,1.4,0,0,15,1.4,18,1.6,10,0.9,8,0.7,3,0.3,63,5.8,9,0.8,1,0.1,145,13.3,45,4.1,100,9.2,18,1.6,1,0.1,57,5.2,1,0.1,1,0.1,109,10,11,1,20,1.8,1,0.1,242,22.2,0,0,61,5.6,679,62.2,1491,136.7
City,Bengaluru,246,4.3,264,4.6,7,0.1,62,1.1,1,0,61,1.1,119,2.1,35,0.6,84,1.5,41,0.7,203,3.6,545,9.6,1485,26.1,7377,129.7,3667,64.5,3710,65.2,425,7.5,183,3.2,2052,36.1,45,0.8,2,0,2381,41.9,54,0.9,187,3.3,2,0,290,5.1,0,0,110,1.9,10969,192.9,27049,475.6
City,Bhopal,54,3.7,57,3.9,1,0.1,62,4.3,0,0,62,4.3,43,3,41,2.8,2,0.1,3,0.2,1,0.1,184,12.6,856,58.8,2095,144,1263,86.8,832,57.2,56,3.8,20,1.4,124,8.5,5,0.3,13,0.9,1401,96.3,22,1.5,146,10,29,2,129,8.9,0,0,423,29.1,5345,367.4,11069,760.8
City,Chennai,145,2.3,247,3.8,4,0.1,46,0.7,0,0,46,0.7,83,1.3,59,0.9,24,0.4,8,0.1,0,0,74,1.2,654,10.2,2117,32.9,338,5.3,1779,27.7,115,1.8,14,0.2,433,6.7,9,0.1,11,0.2,1224,19.1,43,0.7,108,1.7,126,2,323,5,0,0,1125,17.5,9599,149.4,16508,256.9
City,Coimbatore,22,1.5,15,1,0,0,10,0.7,0,0,10,0.7,14,1,8,0.6,6,0.4,1,0.1,0,0,8,0.6,131,9.1,682,47.2,126,8.7,556,38.5,5,0.3,7,0.5,92,6.4,1,0.1,4,0.3,162,11.2,4,0.3,12,0.8,2,0.1,50,3.5,0,0,294,20.3,2408,166.5,3924,271.4
City,Delhi (city),411,3.2,458,3.6,80,0.6,524,4.1,0,0,524,4.1,1460,11.4,1021,8,439,3.4,30,0.2,203,1.6,501,3.9,1868,14.6,15962,124.8,8322,65.1,7640,59.7,72,0.6,418,3.3,2214,17.3,37,0.3,26,0.2,1536,12,111,0.9,744,5.8,148,1.2,1711,13.4,0,0,208,1.6,22173,173.3,50895,397.9
City,Dhanbad,24,2.3,14,1.3,10,0.9,5,0.5,0,0,5,0.5,26,2.4,20,1.9,6,0.6,13,1.2,2,0.2,17,1.6,92,8.6,349,32.8,185,17.4,164,15.4,104,9.8,13,1.2,40,3.8,2,0.2,1,0.1,106,10,7,0.7,5,0.5,0,0,12,1.1,0,0,0,0,489,46,1331,125.1
City,Faridabad,65,6.2,36,3.4,2,0.2,37,3.5,0,0,37,3.5,154,14.6,117,11.1,37,3.5,11,1,47,4.5,32,3,329,31.2,1268,120.2,973,92.2,295,28,153,14.5,120,11.4,25,2.4,4,0.4,10,0.9,224,21.2,19,1.8,23,2.2,0,0,167,15.8,0,0,263,24.9,1531,145.1,4520,428.4
City,Hyderabad,121,2.2,147,2.7,9,0.2,58,1,0,0,58,1,148,2.7,74,1.3,74,1.3,6,0.1,0,0,96,1.7,993,17.9,4542,82.1,1685,30.4,2857,51.6,214,3.9,116,2.1,1669,30.2,7,0.1,37,0.7,4352,78.6,41,0.7,216,3.9,128,2.3,1365,24.7,0,0,502,9.1,2624,47.4,17391,314.3
City,Indore,78,4.8,116,7.1,3,0.2,74,4.5,0,0,74,4.5,43,2.6,32,2,11,0.7,5,0.3,3,0.2,157,9.6,817,49.8,2976,181.6,1978,120.7,998,60.9,131,8,35,2.1,101,6.2,4,0.2,42,2.6,1252,76.4,12,0.7,178,10.9,34,2.1,259,15.8,0,0,266,16.2,6406,390.8,12992,792.7
City,Jabalpur,41,3.7,111,9.9,0,0,40,3.6,0,0,40,3.6,27,2.4,18,1.6,9,0.8,1,0.1,5,0.4,85,7.6,392,35.1,583,52.2,537,48.1,46,4.1,100,9,8,0.7,111,9.9,7,0.6,13,1.2,2139,191.5,24,2.1,145,13,34,3,101,9,0,0,81,7.3,2495,223.4,6543,585.8
City,Jaipur,52,2.2,76,3.3,2,0.1,62,2.7,0,0,62,2.7,206,8.9,179,7.7,27,1.2,7,0.3,4,0.2,153,6.6,821,35.3,4418,190.1,2606,112.1,1812,78,287,12.3,268,11.5,1613,69.4,9,0.4,14,0.6,782,33.6,25,1.1,101,4.3,0,0,484,20.8,0,0,552,23.8,4166,179.3,14102,606.8
City,Jamshedpur,57,5.2,64,5.8,3,0.3,39,3.5,0,0,39,3.5,30,2.7,30,2.7,0,0,11,1,1,0.1,39,3.5,123,11.2,745,67.6,222,20.1,523,47.5,86,7.8,102,9.3,76,6.9,0,0,6,0.5,703,63.8,15,1.4,12,1.1,0,0,41,3.7,0,0,125,11.3,489,44.4,2767,251.1
City,Kanpur,148,5.5,132,4.9,46,1.7,46,1.7,0,0,46,1.7,291,10.8,222,8.3,69,2.6,42,1.6,5,0.2,114,4.2,264,9.8,1204,44.8,839,31.2,365,13.6,273,10.1,252,9.4,582,21.6,32,1.2,18,0.7,548,20.4,59,2.2,102,3.8,165,6.1,673,25,0,0,107,4,2905,108,8008,297.7
City,Kochi,14,1,17,1.3,13,1,23,1.7,0,0,23,1.7,10,0.7,6,0.4,4,0.3,4,0.3,0,0,43,3.2,189,13.9,350,25.8,120,8.9,230,17,177,13.1,21,1.5,284,21,0,0,5,0.4,460,33.9,0,0,75,5.5,5,0.4,88,6.5,0,0,0,0,4824,356,6602,487.2
City,Kolkata,36,0.3,71,0.5,12,0.1,44,0.3,0,0,44,0.3,114,0.9,88,0.7,26,0.2,2,0,63,0.5,74,0.6,114,0.9,2924,22.1,621,4.7,2303,17.4,220,1.7,222,1.7,1126,8.5,14,0.1,0,0,1241,9.4,8,0.1,189,1.4,58,0.4,296,2.2,3,0,459,3.5,3611,27.3,10901,82.5
