Category,State / UTs/ Cities,"No. of Vehicles - Motor Cycles, Scooters - S","No. of Vehicles - Motor Cycles, Scooters - R","No. of Vehicles - Motor Cycles, Scooters - C",No. of Vehicles - Motor Car / Taxi / Jeep - S,No. of Vehicles - Motor Car / Taxi / Jeep - R,No. of Vehicles - Motor Car / Taxi / Jeep - C,No. of Vehicles - Buses - S,No. of Vehicles - Buses - R,No. of Vehicles - Buses - C,No. of Vehicles - Goods Carrying Vehicles (Trucks / Tempos Etc.) - S,No. of Vehicles - Goods Carrying Vehicles (Trucks / Tempos Etc.) - R,No. of Vehicles - Goods Carrying Vehicles (Trucks / Tempos Etc.) - C,No. of Vehicles - Other Motor Vehicles - S,No. of Vehicles - Other Motor Vehicles - R,No. of Vehicles - Other Motor Vehicles - C,No. of Vehicles - Total Motor Vehicles - S,No. of Vehicles - Total Motor Vehicles - R,No. of Vehicles - Total Motor Vehicles - C
City,Asansol,38,10,3,3,0,0,0,0,0,0,0,0,4,1,0,45,11,3
City,Bengaluru,2910,995,0,374,69,0,22,10,0,18,8,0,215,66,0,3539,1148,0
City,Bhopal,1143,449,0,105,54,0,0,0,0,8,5,0,7,2,0,1263,510,0
City,Chennai,275,222,222,21,16,16,1,1,1,12,11,11,29,27,27,338,277,277
City,Coimbatore,119,116,116,6,4,4,0,0,0,0,0,0,1,1,1,126,121,121
City,Delhi (city),4326,720,32,3512,523,49,8,0,0,41,4,2,435,455,4,8322,1702,87
City,Dhanbad,180,48,0,4,1,0,0,0,0,1,0,0,0,0,0,185,49,0
City,Faridabad,650,140,0,201,80,0,4,2,0,80,25,0,38,9,0,973,256,0
City,Hyderabad,1415,243,67,96,19,0,0,0,0,0,0,0,97,30,10,1608,292,77
City,Indore,1881,246,246,79,15,15,1,1,1,17,5,5,0,0,0,1978,267,267
City,Jabalpur,489,60,0,23,15,0,0,0,0,0,0,0,25,15,0,537,90,0
City,Jaipur,1719,226,56,403,114,20,30,13,0,21,15,0,406,209,6,2579,577,82
City,Jamshedpur,174,19,0,13,8,0,0,0,0,6,0,0,29,0,0,222,27,0
City,Kanpur,586,108,0,135,24,0,0,0,0,8,2,0,18,2,0,747,136,0
City,Kochi,77,26,8,26,6,1,0,0,0,6,2,0,11,8,0,120,42,9
City,Kolkata,394,79,0,214,43,0,2,2,0,11,3,0,0,0,0,621,127,0
City,Lucknow,1222,215,0,205,18,0,0,0,0,4,1,0,4,2,0,1435,236,0
City,Ludhiana,172,57,57,149,40,40,0,0,0,6,2,2,23,9,9,350,108,108
City,Madurai,72,42,0,1,0,0,1,1,0,4,4,0,2,2,0,80,49,0
City,Meerut,303,77,31,63,10,7,1,1,0,10,4,0,10,5,0,387,97,38
City,Mumbai,2397,565,461,1130,198,158,24,5,0,57,13,11,13,2,128,3621,783,758
City,Nagpur,810,223,0,54,20,0,0,0,0,32,19,0,6,4,0,902,266,0
City,Nasik,406,90,0,46,5,0,0,0,0,0,0,0,0,0,0,452,95,0
City,Patna,526,46,0,12,8,0,0,0,0,0,0,0,385,13,0,923,67,0
City,Pune,2167,562,94,235,74,12,0,0,0,43,13,3,47,20,12,2492,669,121
City,Rajkot,408,129,72,15,7,3,0,0,0,0,0,0,13,1,5,436,137,80
City,Surat,1452,357,0,65,14,0,0,0,0,0,0,0,70,23,0,1587,394,0
City,Vadodara,692,213,213,92,43,43,5,2,2,4,0,0,38,11,11,831,269,269
City,Varanasi,546,40,0,53,5,0,0,0,0,2,0,0,0,0,0,601,45,0
City,Vijayawada,286,146,0,11,6,0,0,0,0,0,0,0,15,11,0,312,163,0
City,Visakhapatnam,389,156,5,27,20,0,0,0,0,0,0,0,1,1,0,417,177,5
City,Total (Cities),31422,7024,1887,7692,1536,403,111,44,6,399,138,36,2007,950,221,41631,9692,2553
