Category,States/ UTs,District,Murder (Sec.302&303 IPC),Attempt to Commit Murder (Sec.307 IPC),C.H. not Amounting to Murder (Sec.304&308 IPC),Rape (Sec.376 IPC) - Total,Rape (Sec.376 IPC) - Custodial,Rape (Sec.376 IPC) - Other,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Total","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Women & Girls","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Others",Dacoity (Sec.395 to 398 IPC),Preparation & Assembly for Dacoity (Sec. 399 - 402 IPC),"Robbery (Sec. 392 - 394, 397 & 398 IPC)","Burglary (Sec. 449 - 452, 454, 455, 457 - 460 IPC)",Theft (Sec. 379 -382 IPC) - Total,Theft (Sec. 379 -382 IPC) - Auto theft,Theft (Sec. 379 -382 IPC) - Other theft,"Riots (Sec. 143- 145, 147- 151, 153, 153A, 153B, 157, 158, 160 IPC)",Criminal Breach of Trust (Sec. 406 - 409 IPC),"Cheating (Sec. 419, 420 IPC)","CounterFeiting (Sec. 231-254, 489A- 489D IPC)","Arson (Sec. 435,436, 438 IPC)","Hurt (Sec. 323- 333, 335-338 IPC)",Dowry Death (Sec. 304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec. 509 IPC),Cruelty by Husband & Relatives (Sec. 498A IPC),Importation of Girls (Sec. 366B IPC),Causing Death by Negligence (Sec. 304A IPC),Other IPC Crime,Total Cog. Crime Under IPC
State,Andhra Pradesh,Khammam,125,58,5,81,0,81,104,73,31,4,0,27,242,562,93,469,159,20,162,10,28,1137,28,176,272,422,0,463,2130,6215
State,Andhra Pradesh,Krishna,64,52,1,27,0,27,57,47,10,0,0,10,164,521,65,456,20,16,147,8,53,2370,13,161,150,348,0,307,689,5178
State,Andhra Pradesh,Kurnool,124,119,2,36,0,36,85,64,21,12,0,11,247,406,121,285,88,37,226,12,41,1234,7,327,219,364,0,465,2097,6159
State,Andhra Pradesh,Mahaboobnagar,173,63,31,87,0,87,86,75,11,10,0,34,261,759,6,753,87,19,198,4,77,2151,27,132,21,218,0,666,1285,6389
State,Andhra Pradesh,Medak,128,95,13,51,0,51,65,56,9,2,0,25,268,602,133,469,62,11,253,3,66,1869,49,115,96,346,0,963,988,6070
State,Andhra Pradesh,Nalgonda,135,55,4,69,0,69,87,75,12,8,0,45,240,468,109,359,117,16,232,6,82,1816,36,233,112,429,0,718,3052,7960
State,Andhra Pradesh,Nellore,68,81,3,44,0,44,67,65,2,2,0,11,239,718,169,549,63,30,168,5,59,2299,14,203,123,331,0,416,1047,5991
State,Andhra Pradesh,Nizamabad,151,77,9,23,0,23,60,48,12,22,1,17,287,490,83,407,84,20,161,5,40,1695,25,88,59,455,0,418,991,5178
State,Andhra Pradesh,Prakasham,78,63,1,40,0,40,74,65,9,4,0,20,207,511,126,385,27,27,199,12,122,1303,7,171,266,261,0,352,1910,5655
State,Andhra Pradesh,Ranga Reddy,72,21,6,21,0,21,27,10,17,3,0,2,110,150,18,132,19,8,67,0,26,872,25,40,10,93,0,182,416,2170
State,Andhra Pradesh,Secunderabad Rly.,12,0,0,0,0,0,0,0,0,0,0,6,0,339,0,339,0,0,8,14,0,13,0,2,0,0,0,4,47,445
State,Andhra Pradesh,Srikakulam,31,5,0,30,0,30,19,19,0,2,0,8,142,206,16,190,35,17,93,4,40,1607,12,99,57,345,0,263,883,3898
State,Andhra Pradesh,Vijayawada City,33,44,3,17,0,17,64,49,15,0,0,31,225,1377,326,1051,2,44,339,3,18,1671,10,131,202,531,0,265,577,5587
State,Andhra Pradesh,Vijayawada Rly.,3,1,0,0,0,0,0,0,0,1,0,4,0,293,0,293,2,1,4,0,0,5,0,4,1,1,0,6,47,373
State,Andhra Pradesh,Visakha Rural,70,36,6,12,0,12,11,11,0,2,0,7,90,111,2,109,57,5,73,5,20,1682,7,57,24,167,0,382,454,3278
State,Andhra Pradesh,Visakhapatnam,21,23,1,24,0,24,39,23,16,9,1,24,370,1215,417,798,24,65,285,16,9,513,14,100,25,535,0,255,1912,5480
State,Andhra Pradesh,Vizianagaram,34,30,0,10,0,10,23,20,3,3,0,5,97,253,1,252,17,8,66,5,11,495,3,90,46,270,0,239,1551,3256
State,Andhra Pradesh,Warangal,106,61,5,57,0,57,138,109,29,1,0,15,277,697,202,495,217,8,294,9,63,1690,56,279,50,608,0,469,2233,7333
State,Andhra Pradesh,West Godavari,62,106,0,52,0,52,117,80,37,3,0,8,279,1194,227,967,33,45,365,22,24,2223,22,309,155,573,0,523,1319,7434
State,Andhra Pradesh,Total,2665,1885,135,1070,0,1070,2097,1564,533,170,6,614,7677,24391,6183,18208,1998,869,8103,224,1176,46122,613,4406,3316,11335,0,12629,43586,175087
State,Arunachal Pradesh,Changlang,5,4,0,7,0,7,2,2,0,2,0,6,16,35,0,35,0,4,2,0,1,33,0,5,0,4,0,5,40,171
State,Arunachal Pradesh,Dibang Valley,7,1,0,2,0,2,4,3,1,1,0,2,7,31,3,28,1,0,0,0,0,16,0,5,0,1,0,3,20,101
State,Arunachal Pradesh,K/kumey,2,7,0,1,0,1,4,4,0,0,0,1,11,19,0,19,0,1,2,0,0,3,0,0,0,1,0,2,15,69
State,Arunachal Pradesh,Kameng East,6,0,0,1,0,1,4,0,4,0,0,2,14,29,7,22,1,0,1,0,0,24,0,10,0,0,0,1,17,110
State,Arunachal Pradesh,Kameng West,2,0,0,1,0,1,1,0,1,1,0,6,4,26,5,21,1,1,5,2,0,19,0,2,0,0,0,10,23,104
State,Arunachal Pradesh,Lohit,17,1,0,5,0,5,12,12,0,0,0,5,19,42,2,40,1,0,2,0,3,28,0,4,0,0,0,15,52,206
State,Arunachal Pradesh,Papum Pare,4,7,0,8,0,8,20,8,12,1,0,23,56,138,76,62,7,15,7,3,11,84,0,15,0,8,0,14,155,576
State,Arunachal Pradesh,Siang East,5,2,0,8,0,8,4,3,1,3,0,15,28,63,14,49,2,2,5,2,1,35,0,12,0,1,0,8,43,239
State,Arunachal Pradesh,Siang Upper,2,1,0,5,0,5,0,0,0,0,0,1,8,23,0,23,0,3,1,0,0,16,0,2,0,0,0,2,12,76
State,Arunachal Pradesh,Siang West,6,1,0,3,0,3,6,5,1,2,0,8,30,35,2,33,1,9,4,1,2,35,0,5,1,3,0,5,61,218
State,Arunachal Pradesh,Subansiri Lower,0,2,1,3,0,3,4,2,2,3,0,3,12,24,2,22,2,1,1,0,2,26,0,3,0,0,0,4,32,123
State,Arunachal Pradesh,Subansiri Upper,1,2,1,3,0,3,4,4,0,1,0,0,10,22,4,18,0,3,3,0,2,32,0,5,0,2,0,3,47,141
State,Arunachal Pradesh,Tawang,3,0,0,1,0,1,0,0,0,0,0,1,9,10,0,10,0,0,0,0,0,4,0,2,0,0,0,7,9,46
State,Arunachal Pradesh,Tirap,7,1,0,0,0,0,3,1,2,2,0,1,16,16,1,15,0,2,0,2,0,20,0,2,0,0,0,3,26,101
State,Arunachal Pradesh,Upper Dibang Valley,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
State,Arunachal Pradesh,Total,68,29,2,48,0,48,68,44,24,16,0,75,240,513,116,397,16,41,33,10,22,375,0,72,1,20,0,82,555,2286
State,Assam,Barpeta,40,7,3,83,0,83,87,81,6,19,2,19,151,211,19,192,213,40,23,3,12,112,10,16,0,180,0,177,631,2039
State,Assam,Baska,29,11,0,7,0,7,19,13,6,0,1,5,20,26,2,24,10,1,6,0,8,77,2,7,0,7,0,16,82,334
State,Assam,Bongaigaon,15,2,2,40,0,40,45,38,7,11,1,5,72,107,2,105,53,16,25,4,8,71,5,13,0,124,0,158,333,1110
State,Assam,C.i.d.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,23,26
State,Assam,Cachar,61,20,0,58,0,58,117,105,12,28,2,13,173,505,37,468,250,43,44,6,40,326,4,30,0,364,0,374,1219,3677
State,Assam,Chirang,12,0,0,10,0,10,20,17,3,18,0,9,11,32,10,22,45,8,7,2,12,21,0,13,0,55,0,21,219,515
State,Assam,Darrang,23,8,1,61,0,61,45,40,5,5,1,15,69,135,17,118,72,20,38,5,15,210,3,111,1,81,0,105,298,1322
State,Assam,Dhemaji,20,19,7,70,0,70,42,28,14,5,0,6,28,150,2,148,24,7,23,3,10,232,0,40,0,121,0,38,309,1154
State,Assam,Dhubri,44,42,1,148,0,148,138,111,27,7,2,17,102,198,11,187,664,76,103,16,32,311,12,128,0,392,0,359,465,3257
State,Assam,Dibrugarh,112,17,2,55,0,55,93,2,91,9,0,23,87,436,28,408,23,35,6,3,15,364,0,29,0,30,0,103,464,1906
State,Assam,G.r.p.,2,0,0,3,0,3,3,3,0,1,0,6,0,73,40,33,2,0,2,0,2,5,0,0,0,12,0,0,161,272
State,Assam,Goalpara,31,5,0,51,0,51,51,39,12,8,0,13,65,174,26,148,30,6,36,5,17,115,4,45,0,105,0,135,235,1131
State,Assam,Golaghat,80,23,6,64,0,64,78,58,20,2,0,29,95,281,25,256,0,23,33,4,18,280,0,50,0,99,0,87,216,1468
State,Assam,Guwahati City,68,11,19,71,0,71,284,135,149,14,0,81,458,1941,1380,561,73,90,109,15,12,205,6,24,0,106,0,164,178,3929
State,Assam,Hailakandi,27,2,0,26,0,26,42,30,12,8,0,1,48,71,8,63,126,6,19,3,20,29,3,15,0,60,0,20,345,871
State,Assam,Jorhat,46,14,6,45,0,45,70,59,11,2,0,16,92,299,48,251,90,20,24,3,13,175,3,21,0,55,0,60,580,1634
State,Assam,Kamrup,47,24,40,74,0,74,63,36,27,25,0,26,96,393,124,269,85,22,87,8,12,331,0,7,0,144,0,109,671,2264
State,Assam,Karbi Anglong,73,39,1,16,0,16,43,15,28,9,1,10,12,161,32,129,44,17,6,4,6,47,3,10,0,18,0,42,213,775
State,Assam,Karimganj,29,19,1,49,0,49,40,37,3,11,0,13,71,182,0,182,185,12,18,7,22,121,13,5,0,82,0,34,253,1167
State,Assam,Kokrajhar,41,8,0,42,0,42,47,38,9,4,0,13,58,176,2,174,58,9,13,5,0,282,1,35,0,82,0,35,137,1046
State,Assam,Lakhimpur,41,18,5,62,0,62,84,82,2,6,0,8,102,166,1,165,87,30,28,2,16,387,0,47,0,147,0,40,482,1758
State,Assam,Morigaon,21,10,6,65,0,65,57,57,0,6,0,3,73,123,5,118,53,22,47,3,3,379,3,63,0,110,0,31,232,1310
State,Assam,N.c. Hills,34,19,0,5,0,5,12,8,4,2,0,10,11,44,0,44,14,2,4,0,2,18,2,4,0,2,0,16,91,292
State,Assam,Nagaon,92,49,5,114,0,114,208,203,5,51,1,58,236,394,89,305,229,53,74,5,48,578,11,5,9,225,0,299,796,3540
State,Assam,Nalbari,21,15,0,12,0,12,32,22,10,5,0,11,61,90,4,86,10,10,8,0,9,145,3,18,0,32,0,36,179,697
State,Assam,R.p.o.,5,0,0,1,0,1,0,0,0,5,0,0,0,7,0,7,1,0,0,0,0,0,0,0,0,0,0,0,41,60
State,Assam,Sibsagar,78,43,1,53,0,53,54,43,11,8,0,28,119,295,31,264,39,20,34,1,6,145,0,24,0,104,0,154,969,2175
State,Assam,Sonitpur,102,16,2,70,0,70,80,75,5,9,0,23,128,460,23,437,97,29,40,3,10,148,8,20,0,155,0,247,1079,2726
State,Assam,Tinsukia,143,6,0,57,0,57,91,76,15,8,0,21,102,533,9,524,13,36,22,2,7,21,0,9,0,92,0,0,1056,2219
State,Assam,Udalguri,37,4,1,25,0,25,26,20,6,13,1,14,63,91,7,84,11,0,13,3,5,40,4,0,0,16,0,15,226,608
State,Assam,Total,1374,451,109,1437,0,1437,1971,1471,500,299,12,496,2603,7754,1982,5772,2601,653,895,115,380,5175,100,789,10,3000,0,2875,12183,45282
State,Bihar,Araria,48,185,5,47,0,47,27,5,22,41,0,51,67,228,22,206,95,24,51,0,58,251,11,51,0,86,0,36,1542,2904
State,Bihar,Arwal,19,12,2,8,0,8,4,0,4,5,0,4,18,53,3,50,30,15,10,0,6,0,12,0,0,5,0,41,298,542
State,Bihar,Aurangabad,68,12,2,30,0,30,35,28,7,29,1,27,82,289,21,268,216,33,77,4,33,1002,36,25,0,30,0,193,261,2485
State,Bihar,Bagaha,37,8,2,38,0,38,58,26,32,4,0,9,20,170,3,167,98,20,40,6,6,202,6,10,0,10,0,18,1227,1989
State,Bihar,Banka,56,12,6,74,0,74,34,17,17,24,2,28,84,111,12,99,264,26,49,1,13,0,24,4,0,37,0,36,1023,1908
State,Bihar,Begusarai,100,145,2,25,0,25,85,38,47,8,0,73,55,329,50,279,272,41,56,2,21,501,43,15,0,34,0,189,1201,3197
State,Bihar,Bettiah,61,8,5,23,0,23,17,15,2,12,0,15,40,208,12,196,202,29,18,5,9,1116,21,12,0,30,0,103,752,2686
State,Bihar,Bhabhua,50,28,11,12,0,12,25,8,17,7,0,19,61,192,8,184,191,37,28,0,18,372,24,5,0,30,0,72,566,1748
State,Bihar,Bhagalpur,92,85,11,25,0,25,76,59,17,15,4,31,114,425,115,310,210,20,75,3,13,604,21,33,2,16,0,73,1072,3020
State,Bihar,Bhojpur,112,133,5,41,0,41,57,40,17,11,2,47,112,333,65,268,222,58,100,1,45,1381,42,60,0,83,0,123,145,3113
State,Bihar,Buxar,36,75,6,13,0,13,32,19,13,11,0,29,51,166,32,134,154,35,43,1,38,193,23,37,0,34,0,55,435,1467
State,Bihar,Darbhanga,72,109,5,47,0,47,91,60,31,10,1,19,63,318,29,289,55,76,149,1,40,97,39,41,0,59,0,84,2012,3388
State,Bihar,Gaya,157,170,11,28,0,28,59,55,4,48,8,90,118,439,128,311,316,6,62,0,61,1431,74,15,0,15,0,93,205,3406
State,Bihar,Gopalganj,48,79,6,9,0,9,21,14,7,11,0,32,59,203,39,164,193,3,49,0,12,60,22,15,0,46,0,86,1476,2430
State,Bihar,Jamalpur Rly.,6,3,0,1,0,1,2,0,2,11,1,10,0,59,7,52,4,0,1,0,0,0,0,2,0,0,0,0,92,192
State,Bihar,Jamui,51,30,1,46,0,46,31,14,17,20,2,26,44,104,6,98,166,17,42,1,16,340,8,12,0,20,0,48,568,1593
State,Bihar,Jehanabad,40,16,3,7,0,7,27,18,9,11,1,16,26,85,1,84,87,10,18,0,8,65,19,7,0,24,0,47,802,1319
State,Bihar,Katihar,71,50,1,149,0,149,135,90,45,8,2,26,55,165,23,142,200,107,119,0,13,418,14,25,0,27,0,45,988,2618
State,Bihar,Katihar Rly.,6,0,0,2,0,2,7,4,3,9,2,10,10,238,8,230,13,2,14,0,0,0,0,0,0,0,0,1,150,464
State,Bihar,Khagaria,48,70,0,21,0,21,44,14,30,8,1,26,16,86,7,79,241,16,16,2,16,211,14,15,0,12,0,57,804,1724
State,Bihar,Kishanganj,23,12,0,53,0,53,65,40,25,7,4,11,38,108,22,86,80,15,19,0,11,115,8,25,0,18,0,30,398,1040
State,Bihar,Lakhisarai,32,21,0,31,0,31,36,18,18,5,0,22,31,104,6,98,83,10,32,0,12,188,10,14,0,14,0,35,550,1230
State,Bihar,Madhepura,65,18,1,32,0,32,36,21,15,12,0,34,29,120,14,106,139,4,21,1,12,22,7,3,0,18,4,30,848,1456
State,Bihar,Madhubani,76,176,11,47,0,47,71,46,25,17,2,16,71,228,16,212,318,31,40,0,24,913,27,36,0,29,0,65,1427,3625
State,Bihar,Motihari,111,88,9,25,0,25,104,71,33,25,2,41,128,444,84,360,348,44,29,1,34,1728,61,20,0,37,0,84,970,4333
State,Bihar,Munger,76,63,0,25,0,25,52,26,26,5,0,37,40,237,56,181,246,8,33,3,6,10,10,0,0,52,0,42,1092,2037
State,Bihar,Muzaffarpur,143,26,19,77,0,77,169,64,105,31,6,74,197,875,173,702,402,89,119,0,36,12,93,12,0,87,0,250,3031,5748
State,Bihar,Muzaffarpur Rly.,12,0,0,2,0,2,4,0,4,4,0,15,10,331,16,315,2,0,13,0,0,9,1,0,0,0,0,11,171,585
State,Bihar,Nalanda,102,62,15,14,0,14,105,51,54,18,3,41,72,406,34,372,160,71,105,0,17,972,57,33,0,104,0,260,1142,3759
State,Bihar,Naugachia,30,10,0,7,0,7,14,4,10,2,0,11,23,58,15,43,119,14,35,0,5,13,9,6,0,18,0,95,519,988
State,Bihar,Nawadah,75,103,2,38,0,38,29,15,14,7,1,18,51,113,10,103,199,25,61,1,11,322,15,6,1,22,0,193,510,1803
State,Bihar,Patna,317,115,12,74,0,74,313,65,248,57,0,380,644,1606,946,660,497,53,216,3,2,65,80,19,0,296,0,285,9030,14064
State,Bihar,Patna Rly.,15,10,3,2,0,2,8,2,6,11,3,10,0,536,27,509,6,9,27,0,0,0,2,12,0,2,0,2,177,835
State,Bihar,Purnea,101,79,11,219,0,219,143,58,85,31,1,54,101,220,50,170,175,45,68,1,22,146,17,61,0,63,4,104,916,2582
State,Bihar,Rohtas,89,207,0,23,0,23,29,26,3,11,0,36,106,287,35,252,124,45,12,5,25,175,58,21,0,34,0,250,1288,2825
State,Bihar,Saharsa,50,123,4,17,0,17,35,4,31,9,1,57,39,128,8,120,218,66,61,1,8,148,14,31,0,22,0,33,954,2019
State,Bihar,Samastipur,78,205,33,54,0,54,98,29,69,14,17,42,86,320,55,265,312,29,37,0,47,311,55,11,7,42,25,201,1130,3154
State,Bihar,Saran,112,345,13,57,0,57,41,30,11,39,3,93,110,410,57,353,331,44,165,0,53,1268,47,4,0,39,0,109,273,3556
State,Bihar,Sheikhpura,25,13,1,4,0,4,11,6,5,6,0,9,11,69,3,66,70,5,16,0,6,176,3,5,0,4,0,19,312,765
State,Bihar,Sheohar,25,24,6,13,0,13,8,3,5,1,0,2,8,35,9,26,97,4,12,0,2,47,1,13,0,8,1,4,123,434
State,Bihar,Sitamarhi,55,14,3,12,0,12,52,43,9,27,3,36,90,235,50,185,180,39,50,28,23,272,30,13,0,30,22,41,1410,2665
State,Bihar,Siwan,80,61,15,17,0,17,75,21,54,24,2,70,75,202,73,129,121,15,85,5,34,782,32,9,2,45,0,84,577,2412
State,Bihar,Supaul,44,73,3,43,0,43,34,19,15,11,1,39,47,168,16,152,239,24,34,1,13,139,14,69,0,17,0,26,573,1612
State,Bihar,Vaishali,120,35,12,23,0,23,131,74,57,9,2,51,157,354,26,328,267,62,51,2,36,211,68,46,0,36,0,136,1891,3700
State,Bihar,Total,3034,3113,257,1555,0,1555,2530,1260,1270,686,78,1787,3259,11795,2392,9403,7962,1326,2358,79,865,16288,1172,853,12,1635,56,3789,44931,109420
State,Chhattisgarh,Balrampur,34,14,3,46,0,46,2,1,1,3,0,6,33,25,5,20,25,0,4,0,5,204,1,45,0,22,0,27,159,658
State,Chhattisgarh,Bilaspur,93,43,5,61,0,61,22,22,0,3,1,62,527,784,294,490,158,10,34,7,19,1421,26,179,8,129,0,209,1780,5581
State,Chhattisgarh,Bizapur,113,148,0,4,0,4,9,0,9,29,0,1,9,9,2,7,11,0,3,0,14,11,0,4,0,2,0,12,96,475
State,Chhattisgarh,Dantewara,87,99,0,8,0,8,6,2,4,13,0,1,52,66,9,57,9,1,3,1,8,46,0,8,2,4,0,33,315,762
State,Chhattisgarh,Dhamtari,14,10,0,26,0,26,8,6,2,1,0,6,138,157,39,118,23,2,24,7,9,86,1,63,7,15,0,95,936,1628
State,Chhattisgarh,Durg,76,47,2,119,0,119,35,22,13,7,2,51,456,808,274,534,55,10,74,1,20,450,14,200,13,101,0,348,3195,6084
State,Chhattisgarh,Grpraipur,1,1,0,1,0,1,1,1,0,0,0,3,5,186,11,175,3,2,0,2,1,13,1,4,0,0,0,1,66,291
State,Chhattisgarh,Jagdalpur,70,31,1,60,0,60,14,14,0,2,1,13,85,122,44,78,60,6,24,3,0,192,2,45,2,24,0,145,1022,1924
State,Chhattisgarh,Janjgir,56,35,0,54,0,54,7,5,2,2,0,28,251,256,80,176,69,5,26,7,22,203,13,97,10,89,0,137,1373,2740
State,Chhattisgarh,Jashpur,57,16,0,61,0,61,22,18,4,13,2,32,82,82,32,50,27,4,24,4,10,112,1,43,4,11,0,56,390,1053
State,Chhattisgarh,Kabirdham,17,8,3,29,0,29,3,0,3,0,0,3,81,97,18,79,19,3,16,2,5,406,3,57,8,32,0,47,366,1205
State,Chhattisgarh,Kanker,38,27,0,22,0,22,6,6,0,9,0,16,81,85,12,73,29,3,12,0,16,35,1,24,1,16,0,69,653,1143
State,Chhattisgarh,Korba,47,11,1,31,0,31,5,4,1,3,3,15,152,290,118,172,31,1,19,4,11,461,1,69,4,43,0,154,872,2228
State,Chhattisgarh,Koriya,42,30,1,66,0,66,8,8,0,2,0,16,191,172,33,139,23,2,11,0,8,458,0,77,0,29,0,80,373,1589
State,Chhattisgarh,Mahasamund,16,9,0,25,0,25,4,3,1,2,1,10,122,212,57,155,17,7,11,0,6,213,2,56,3,16,0,128,600,1460
State,Chhattisgarh,Narayanpur,25,31,0,3,0,3,3,0,3,4,0,2,9,4,2,2,0,0,2,1,9,9,0,2,0,2,0,2,30,138
State,Chhattisgarh,Raigarh,62,30,0,55,0,55,7,7,0,1,0,23,222,329,120,209,80,21,21,6,20,499,7,86,12,33,0,171,1079,2764
State,Chhattisgarh,Raipur,110,77,3,120,0,120,53,39,14,8,1,61,714,1172,517,655,139,56,105,11,36,1535,15,253,28,131,0,491,3225,8344
State,Chhattisgarh,Rajnandgaon,44,25,0,54,0,54,16,11,5,3,0,18,219,247,67,180,28,11,24,4,16,79,8,78,6,59,0,122,1839,2900
State,Chhattisgarh,Sarguja,54,31,6,72,0,72,9,9,0,5,1,33,96,170,60,110,30,4,14,1,10,90,1,78,1,30,0,72,760,1568
State,Chhattisgarh,Surajpur,41,24,1,65,0,65,4,3,1,5,1,27,107,108,20,88,45,2,16,3,8,278,3,81,2,36,0,77,376,1310
State,Chhattisgarh,Total,1097,747,26,982,0,982,244,181,63,115,13,427,3632,5381,1814,3567,881,150,467,64,253,6801,100,1549,111,824,0,2476,19505,45845
State,Goa,North Goa,15,13,6,5,0,5,3,2,1,0,0,9,180,275,119,156,47,19,22,9,16,89,2,8,4,3,0,128,437,1290
State,Goa,South Goa,18,10,1,15,0,15,9,5,4,7,0,13,112,219,88,131,23,17,33,1,8,61,0,12,3,11,0,119,497,1189
State,Goa,Total,33,23,7,20,0,20,12,7,5,7,0,22,292,494,207,287,70,36,55,10,24,150,2,20,7,14,0,247,934,2479
State,Gujarat,Ahmedabad Commr.,100,44,2,37,0,37,213,147,66,13,3,417,677,4302,2316,1986,133,188,204,9,0,1421,4,104,13,1221,0,252,7953,17310
State,Gujarat,Ahmedabad Rural,30,16,1,6,0,6,48,46,2,7,0,38,133,434,98,336,61,45,9,4,17,316,0,22,0,172,0,339,2308,4006
State,Gujarat,Ahwa-dang,8,2,0,5,0,5,0,0,0,0,0,2,6,11,3,8,5,2,1,1,1,17,0,5,0,7,0,31,188,292
State,Gujarat,Amreli,30,13,0,7,0,7,49,49,0,3,0,11,98,172,61,111,62,34,6,11,6,295,0,20,0,162,0,104,1225,2308
State,Gujarat,Anand,26,7,3,10,0,10,59,53,6,9,1,21,161,589,241,348,33,77,12,11,15,386,0,22,2,170,0,244,2061,3919
State,Gujarat,Bharuch,38,10,0,8,0,8,15,14,1,6,0,11,112,277,118,159,29,43,7,8,8,219,0,18,4,68,0,284,1373,2538
State,Gujarat,Bhavnagar,43,37,0,18,0,18,104,90,14,12,0,76,338,879,258,621,156,61,61,29,30,116,1,94,35,280,0,6,3671,6047
State,Gujarat,Dahod,40,14,1,8,0,8,35,32,3,26,1,56,53,176,77,99,66,2,4,6,18,298,0,25,1,56,0,0,836,1722
State,Gujarat,Gandhinagar,19,12,0,12,0,12,24,17,7,5,0,21,129,434,191,243,39,6,46,9,3,220,1,17,2,170,0,195,1606,2970
State,Gujarat,Himatnagar,46,12,1,5,0,5,35,34,1,6,0,9,132,234,71,163,46,51,20,10,7,259,0,33,0,197,0,271,4667,6041
State,Gujarat,Jamnagar,41,34,2,11,0,11,22,21,1,5,0,23,182,404,167,237,64,37,23,12,27,367,0,15,4,245,0,3,5457,6978
State,Gujarat,Junagadh,46,15,0,13,0,13,56,46,10,5,0,43,175,545,186,359,64,52,24,17,21,522,1,42,11,419,0,206,2587,4864
State,Gujarat,Kheda North,43,7,1,10,0,10,35,34,1,6,0,8,138,393,88,305,49,39,33,9,17,387,0,31,0,154,0,260,3449,5069
State,Gujarat,Kutch,49,22,1,10,0,10,36,27,9,13,0,34,316,578,210,368,60,28,44,9,8,400,2,20,4,255,0,310,3029,5228
State,Gujarat,Mehsana,31,24,1,6,0,6,50,45,5,10,0,27,245,699,189,510,93,28,39,9,13,601,2,23,0,276,0,165,2582,4924
