Sl. No.,Category,STATE/UT,Population (In Lakhs)@,Rape (Sec. 376 IPC) - I,Rape (Sec. 376 IPC) - R,Rape (Sec. 376 IPC) - P,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) -I","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - R","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - P",Dowry Deaths (Sec.304B IPC) - I,Dowry Deaths (Sec.304B IPC) - R,Dowry Deaths (Sec.304B IPC) -P,Cruelty by Husband and Relatives (Sec.498A IPC) - I,Cruelty by Husband and Relatives(Sec.498A IPC) - R,Cruelty by Husband and Relatives(Sec.498A IPC) - P,Molestation (Sec.354 IPC) - I,Molestation (Sec.354 IPC) - R,Molestation (Sec.354 IPC) - P,Sexual Harassment (Eve-Teasing) (Sec.509 IPC) -I,Sexual Harassment (Eve-Teasing) (Sec.509 IPC) - R,Sexual Harassment (Eve-Teasing) (Sec.509 IPC) - P,Importation of Girls (Sec.366B IPC) - I,Importation of Girls (Sec.366B IPC) - R,Importation of Girls (Sec.366B IPC) - P,Sati Prevention Act - 1987 - I,Sati Prevention Act - 1987 - R,Sati Prevention Act - 1987 - P,"Immoral Traffic (P) Act, 1956 - I","Immoral Traffic (P) Act, 1956 - R","Immoral Traffic (P) Act, 1956 - P","Indecent Representation of Women (P) Act, 1986 - I","Indecent Representation of Women (P) Act, 1986 - R","Indecent Representation of Women (P) Act, 1986 - P","Dowry Prohibition Act, 1961 - I","Dowry Prohibition Act, 1961 - R","Dowry Prohibition Act, 1961 - P",Total - I,Total - R,Total - P
11,State,Jharkhand,329.66,784,2.4,3.2,660,2,1.9,282,0.9,3.3,659,2,0.7,317,1,0.7,7,0,0.1,6,0,7.5,0,0,0,15,0,0.6,0,0,0,402,1.2,6.1,3132,9.5,1.4
12,State,Karnataka,611.31,636,1,2.6,715,1.2,2,267,0.4,3.1,3712,6.1,3.7,2608,4.3,6.1,81,0.1,0.9,12,0,15,0,0,0,351,0.6,14.4,2,0,0.4,1210,2,18.3,9594,15.7,4.2
13,State,Kerala,333.88,1132,3.4,4.7,221,0.7,0.6,15,0,0.2,5377,16.1,5.4,3756,11.2,8.7,573,1.7,6.7,0,0,0,0,0,0,197,0.6,8.1,12,0,2.6,5,0,0.1,11288,33.8,4.9
14,State,Madhya Pradesh,725.98,3406,4.7,14.1,1088,1.5,3.1,811,1.1,9.4,3732,5.1,3.8,6665,9.2,15.5,762,1,8.9,45,0.1,56.3,0,0,0,24,0,1,0,0,0,66,0.1,1,16599,22.9,7.3
15,State,Maharashtra,1123.73,1701,1.5,7,1252,1.1,3.5,339,0.3,3.9,7136,6.4,7.2,3794,3.4,8.8,1071,1,12.5,0,0,0,0,0,0,390,0.3,16,1,0,0.2,44,0,0.7,15728,14,6.9
16,State,Manipur,27.22,53,1.9,0.2,116,4.3,0.3,1,0,0,39,1.4,0,38,1.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,9.1,0.1
17,State,Meghalaya,29.64,130,4.4,0.5,37,1.2,0.1,1,0,0,21,0.7,0,74,2.5,0.2,1,0,0,3,0.1,3.8,0,0,0,2,0.1,0.1,0,0,0,0,0,0,269,9.1,0.1
18,State,Mizoram,10.91,77,7.1,0.3,0,0,0,0,0,0,9,0.8,0,72,6.6,0.2,1,0.1,0,0,0,0,0,0,0,8,0.7,0.3,0,0,0,0,0,0,167,15.3,0.1
19,State,Nagaland,19.81,23,1.2,0.1,3,0.2,0,0,0,0,1,0.1,0,9,0.5,0,0,0,0,0,0,0,0,0,0,2,0.1,0.1,0,0,0,0,0,0,38,1.9,0
20,State,Odisha,419.47,1112,2.7,4.6,1008,2.4,2.8,465,1.1,5.4,2320,5.5,2.3,3207,7.6,7.5,235,0.6,2.7,0,0,0,0,0,0,23,0.1,0.9,1,0,0.2,1062,2.5,16,9433,22.5,4.1
