Sr. No.,Category,State/UT,Arms Act - Incidence,Arms Act - Rate,Narcotic Drugs and Psychotropic Substances Act - Incidence,Narcotic Drugs and Psychotropic Substances Act - Rate,Gambling Act - Incidence,Gambling Act - Rate,Excise Act - Incidence,Excise Act - Rate,Prohibition Act - Incidence,Prohibition Act - Rate,Explosives and Explosive Substances Act - Incidence,Explosives and Explosive Substances Act - Rate,Immoral Traffic (Prevention) Act - Incidence,Immoral Traffic (Prevention) Act - Rate,Indian Railways Act - Incidence,Indian Railways Act - Rate,The Foreigners Act - Incidence,The Foreigners Act - Rate,PCR Act (Total SC & ST) - Incidence,PCR Act (Total SC & ST) - Rate,PCR Act for SCs - Incidence,PCR Act for SCs - Rate,PCR Act for STs - Incidence,PCR Act for STs - Rate,Indian Passport Act - Incidence,Indian Passport Act - Rate,Essential Commodities Act - Incidence,Essential Commodities Act - Rate,Terrorist & Disruptive Activities Act - Incidence,Terrorist & Disruptive Activities Act - Rate,Antiquities & Art Treasures Act - Incidence,Antiquities & Art Treasures Act - Rate,Dowry Prohibition Act - Incidence,Dowry Prohibition Act - Rate,Prohibition of Child Marriage Act - Incidence,Prohibition of Child Marriage Act - Rate,Indecent Representation of Women (P) Act - Incidence,Indecent Representation of Women (P) Act - Rate,Copyright Act - Incidence,Copyright Act - Rate,Sati Prevention Act - Incidence,Sati Prevention Act - Rate,SC/ST (Prev.) of Atrocities) Act -Incidence - (Total),SC/ST (Prev.) of Atrocities) Act - Rate -(Total),SC/ST (Prev) of Atrocities Act For SCs - Incidence,SC/ST (Prev) of Atrocities Act For SCs - Rate,SC/ST (Prev) of Atrocities Act for STs - Incidence,SC/ST (Prev) of Atrocities Act for STs - Rate,Forest Act - Incidence,Forest Act - Rate,Other SLL Crimes # - Incidence,Other SLL Crimes # - Rate,Total Cognizable Crimes Under SLL - Incidence,Total Cognizable Crimes Under SLL - Rate
23,State,Sikkim,1,0.2,2,0.3,0,0,0,0,0,0,3,0.5,1,0.2,0,0,3,0.5,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,26.3,171,28.1
24,State,Tamil Nadu,138,0.2,1417,2,8618,11.9,0,0,95311,132.1,325,0.5,420,0.6,7,0,14,0,12,0,12,0,0,0,195,0.3,193,0.3,0,0,0,0,195,0.3,0,0,10,0,2636,3.7,0,0,1015,1.4,1011,1.4,4,0,12,0,415690,576.2,526208,729.4
25,State,Tripura,11,0.3,41,1.1,2,0.1,0,0,0,0,0,0,2,0.1,0,0,6,0.2,0,0,0,0,0,0,36,1,48,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,1,0,1,0,0,0,0,0,148,4
26,State,Uttar Pradesh,33607,16.8,8496,4.3,8354,4.2,41887,21,0,0,505,0.3,43,0,21,0,4,0,0,0,0,0,0,0,32,0,1843,0.9,0,0,13,0,124,0.1,4,0,4,0,344,0.2,0,0,2013,1,1995,1,18,0,1942,1,1791597,897.7,1890833,947.4
27,State,Uttarakhand,453,4.5,244,2.4,241,2.4,1993,19.7,0,0,0,0,3,0,4,0,3,0,0,0,0,0,0,0,2,0,47,0.5,0,0,0,0,3,0,0,0,0,0,4,0,0,0,21,0.2,21,0.2,0,0,44,0.4,75234,743.6,78296,773.9
28,State,West Bengal,2964,3.2,761,0.8,351,0.4,1756,1.9,5,0,212,0.2,96,0.1,2,0,792,0.9,0,0,0,0,0,0,121,0.1,130,0.1,0,0,0,0,116,0.1,25,0,2,0,276,0.3,0,0,56,0.1,37,0,19,0,4,0,3966,4.3,11635,12.7
State,State,Total (states),60985,5.1,24584,2.1,153394,12.9,139530,11.7,399178,33.5,3634,0.3,2388,0.2,156,0,1222,0.1,59,0,52,0,7,0,845,0.1,8567,0.7,0,0,68,0,6603,0.6,113,0,452,0,6819,0.6,1,0,12468,1,11316,1,1152,0.1,7446,0.6,3086842,259.4,3915354,329
29,Union Territory,A & N Islands,0,0,12,3.2,60,15.8,2855,751.3,70,18.4,1,0.3,3,0.8,0,0,24,6.3,0,0,0,0,0,0,0,0,3,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,0,2,0.5,1,0.3,741,195,3772,992.6
30,Union Territory,Chandigarh,21,2,53,5,244,23.1,282,26.7,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,1,0.1,8,0.8,0,0,0,0,1,0.1,0,0,0,0,16,1.5,0,0,1,0.1,1,0.1,0,0,0,0,59,5.6,687,65.1
31,Union Territory,D & N Haveli,2,0.6,0,0,1,0.3,1,0.3,0,0,1,0.3,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,11,3.2,0,0,0,0,0,0,0,0,0,0,1,0.3,0,0,0,0,0,0,0,0,0,0,1,0.3,19,5.5
32,Union Territory,Daman & Diu,1,0.4,0,0,2,0.8,0,0,0,0,0,0,6,2.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4,0,0,0,0,0,0,0,0,0,0,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,11,4.5
33,Union Territory,Delhi,1035,6.2,1127,6.7,598,3.6,1946,11.6,1,0,23,0.1,33,0.2,0,0,36,0.2,0,0,0,0,0,0,23,0.1,30,0.2,0,0,3,0,7,0,0,0,1,0,132,0.8,0,0,24,0.1,24,0.1,0,0,1,0,876,5.2,5896,35.2
34,Union Territory,Lakshadweep,0,0,3,4.7,0,0,0,0,8,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,17.2
35,Union Territory,Puducherry,285,22.9,6,0.5,36,2.9,0,0,0,0,10,0.8,3,0.2,0,0,2,0.2,15,1.2,15,1.2,0,0,0,0,34,2.7,0,0,0,0,8,0.6,0,0,0,0,7,0.6,0,0,1,0.1,1,0.1,0,0,0,0,997,80.1,1404,112.9
Union Territory,Union Territory,Total (uts),1344,6.7,1201,6,941,4.7,5084,25.3,79,0.4,35,0.2,47,0.2,0,0,62,0.3,15,0.1,15,0.1,0,0,24,0.1,87,0.4,0,0,3,0,16,0.1,0,0,1,0,157,0.8,0,0,28,0.1,26,0.1,2,0,2,0,2674,13.3,11800,58.8
Total (All-India),Total (All-India),Total (All-India),62329,5.2,25785,2.1,154335,12.8,144614,11.9,399257,33,3669,0.3,2435,0.2,156,0,1284,0.1,74,0,67,0,7,0,869,0.1,8654,0.7,0,0,71,0,6619,0.5,113,0,453,0,6976,0.6,1,0,12496,1,11342,0.9,1154,0.1,7448,0.6,3089516,255.3,3927154,324.5
36,City,Agra,272,15.6,75,4.3,317,18.2,214,12.3,0,0,2,0.1,7,0.4,0,0,0,0,0,0,0,0,0,0,0,0,43,2.5,0,0,6,0.3,0,0,0,0,0,0,18,1,0,0,17,1,17,1,0,0,3,0.2,103661,5937.1,104635,5992.8
36,City,Ahmedabad,39,0.6,3,0,952,15,0,0,6967,109.7,3,0,10,0.2,0,0,0,0,0,0,0,0,0,0,0,0,8,0.1,0,0,0,0,0,0,2,0,0,0,88,1.4,0,0,26,0.4,25,0.4,1,0,0,0,1639,25.8,9737,153.3
36,City,Allahabad,232,19.1,189,15.5,103,8.5,126,10.4,0,0,156,12.8,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,6,0.5,0,0,0,0,0,0,0,0,0,0,11,0.9,0,0,0,0,0,0,0,0,3,0.2,40073,3292.8,40905,3361.1
36,City,Amritsar,17,1.4,242,20.4,35,3,302,25.5,0,0,9,0.8,8,0.7,0,0,0,0,0,0,0,0,0,0,5,0.4,5,0.4,0,0,0,0,0,0,0,0,0,0,48,4.1,0,0,6,0.5,6,0.5,0,0,0,0,30,2.5,707,59.7
36,City,Asansol,137,11,16,1.3,8,0.6,24,1.9,5,0.4,4,0.3,4,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,6,0.5,0,0,0,0,9,0.7,0,0,4,0.3,3,0.2,1,0.1,0,0,22,1.8,240,19.3
36,City,Aurangabad,24,2,2,0.2,78,6.6,0,0,451,37.9,0,0,10,0.8,0,0,2,0.2,0,0,0,0,0,0,0,0,18,1.5,0,0,0,0,0,0,0,0,0,0,14,1.2,0,0,7,0.6,7,0.6,0,0,0,0,359,30.2,965,81.2
36,City,Bengaluru,25,0.3,51,0.6,278,3.3,239,2.8,0,0,7,0.1,180,2.1,0,0,86,1,0,0,0,0,0,0,110,1.3,41,0.5,0,0,0,0,605,7.1,3,0,1,0,150,1.8,0,0,102,1.2,102,1.2,0,0,0,0,793,9.3,2671,31.4
36,City,Bhopal,634,33.7,14,0.7,849,45.1,362,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.3,0,0,0,0,0,0,0,0,0,0,3,0.2,0,0,0,0,0,0,0,0,0,0,3,0.2,1870,99.3
36,City,Chandigarh(c),17,1.7,43,4.2,171,16.7,254,24.8,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,1,0.1,7,0.5,0,0,0,0,1,0.1,0,0,0,0,14,1.4,0,0,1,0.1,1,0.1,0,0,0,0,58,5.7,568,55.4
36,City,Chennai,4,0,131,1.5,403,4.6,0,0,9492,109.2,0,0,137,1.6,0,0,2,0,0,0,0,0,0,0,103,1.2,2,0,0,0,0,0,0,0,0,0,0,0,675,7.8,0,0,11,0.1,11,0.1,0,0,1,0,74058,851.6,85019,977.7
36,City,Coimbatore,0,0,118,5.5,159,7.4,0,0,264,12.3,0,0,50,2.3,0,0,0,0,0,0,0,0,0,0,12,0.6,2,0.1,0,0,0,0,0,0,0,0,0,0,134,6.2,0,0,12,0.6,12,0.6,0,0,0,0,2720,126.5,3471,161.4
36,City,Delhi (city),950,5.8,1044,6.4,573,3.5,1557,9.5,1,0,23,0.1,30,0.2,0,0,31,0.2,0,0,0,0,0,0,23,0.1,25,0.2,0,0,3,0,6,0,0,0,1,0,127,0.8,0,0,23,0.1,23,0.1,0,0,1,0,777,4.8,5195,31.8
36,City,Dhanbad,8,0.7,5,0.4,18,1.5,14,1.2,0,0,1,0.1,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,5,0.4,0,0,0,0,23,1.9,0,0,0,0,1,0.1,0,0,6,0.5,5,0.4,1,0.1,0,0,140,11.7,223,18.7
36,City,Durg-bhilainagar,157,14.8,22,2.1,920,86.5,411,38.6,0,0,2,0.2,3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0,0,0,0,1,0.1,0,0,0,0,2,0.2,0,0,0,0,0,0,0,0,0,0,45619,4287.5,47139,4430.4
36,City,Faridabad,102,7.3,16,1.1,227,16.2,660,47,0,0,3,0.2,5,0.4,0,0,3,0.2,0,0,0,0,0,0,0,0,12,0.9,0,0,0,0,4,0.3,0,0,0,0,10,0.7,0,0,18,1.3,18,1.3,0,0,0,0,481,34.2,1541,109.7
36,City,Ghaziabad,995,42.2,192,8.1,149,6.3,242,10.3,0,0,3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1.3,0,0,0,0,0,0,0,0,0,0,7,0.3,0,0,0,0,0,0,0,0,0,0,96587,4094.4,98206,4163
36,City,Gwalior,239,21.7,25,2.3,398,36.1,323,29.3,0,0,3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.5,0,0,0,0,1,0.1,0,0,0,0,6,0.5,0,0,1,0.1,1,0.1,0,0,0,0,23,2.1,1025,93
36,City,Hyderabad,124,1.6,71,0.9,191,2.5,104,1.3,189,2.4,20,0.3,96,1.2,1,0,5,0.1,0,0,0,0,0,0,6,0.1,0,0,0,0,1,0,24,0.3,1,0,0,0,72,0.9,0,0,103,1.3,100,1.3,3,0,0,0,59955,773.7,60963,786.7
36,City,Indore,788,36.4,23,1.1,846,39,1211,55.9,0,0,18,0.8,7,0.3,0,0,0,0,0,0,0,0,0,0,0,0,41,1.9,0,0,0,0,0,0,1,0,0,0,4,0.2,0,0,0,0,0,0,0,0,0,0,74,3.4,3013,139
36,City,Jabalpur,693,54.7,69,5.4,817,64.4,1271,100.2,0,0,39,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.3,0,0,0,0,4,0.3,0,0,0,0,5,0.4,0,0,0,0,0,0,0,0,0,0,11,0.9,2913,229.7
36,City,Jaipur,339,11,56,1.8,1331,43.3,782,25.4,0,0,7,0.2,30,1,1,0,0,0,0,0,0,0,0,0,2,0.1,25,0.8,0,0,1,0,2,0.1,3,0.1,42,1.4,53,1.7,0,0,11,0.4,6,0.2,5,0.2,195,6.3,1681,54.7,4565,148.6
36,City,Jamshedpur,63,4.7,11,0.8,26,1.9,64,4.8,0,0,3,0.2,10,0.7,0,0,0,0,0,0,0,0,0,0,0,0,4,0.3,0,0,0,0,40,3,0,0,0,0,5,0.4,0,0,11,0.8,4,0.3,7,0.5,0,0,78,5.8,315,23.6
36,City,Jodhpur,109,9.6,55,4.8,379,33.3,175,15.4,0,0,1,0.1,8,0.7,0,0,0,0,0,0,0,0,0,0,0,0,6,0.5,0,0,0,0,1,0.1,0,0,26,2.3,34,3,0,0,2,0.2,1,0.1,1,0.1,0,0,518,45.5,1314,115.5
36,City,Kannur,6,0.4,42,2.6,121,7.4,0,0,836,50.9,10,0.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,2,0.1,0,0,0,0,0,0,0,0,0,0,10,0.6,0,0,1,0.1,1,0.1,0,0,0,0,4003,243.6,5032,306.3
36,City,Kanpur,1137,38.9,548,18.8,530,18.2,797,27.3,0,0,21,0.7,7,0.2,0,0,0,0,0,0,0,0,0,0,1,0,37,1.3,0,0,5,0.2,19,0.7,0,0,0,0,19,0.7,0,0,0,0,0,0,0,0,35,1.2,110995,3801.2,114151,3909.3
36,City,Kochi,4,0.2,131,6.2,75,3.5,0,0,6412,302.7,7,0.3,34,1.6,0,0,2,0.1,0,0,0,0,0,0,1,0,121,5.7,0,0,0,0,0,0,0,0,1,0,27,1.3,0,0,4,0.2,4,0.2,0,0,0,0,18296,863.8,25115,1185.8
36,City,Kolkata,227,1.6,52,0.4,3,0,229,1.6,0,0,17,0.1,33,0.2,1,0,0,0,0,0,0,0,0,0,0,0,31,0.2,0,0,0,0,0,0,0,0,0,0,114,0.8,0,0,6,0,6,0,0,0,0,0,474,3.4,1187,8.4
36,City,Kollam,12,1.1,6,0.5,75,6.8,0,0,2761,248.7,5,0.5,1,0.1,0,0,0,0,0,0,0,0,0,0,13,1.2,19,1.7,0,0,0,0,0,0,0,0,0,0,15,1.4,0,0,2,0.2,2,0.2,0,0,0,0,14358,1293.5,17267,1555.6
36,City,Kota,627,62.6,247,24.7,1070,106.9,234,23.4,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,1,0.1,9,0.9,0,0,0,0,0,0,0,0,7,0.7,2429,242.7,4626,462.1
36,City,Kozhikode,2,0.1,106,5.2,78,3.8,0,0,1046,51.5,3,0.1,25,1.2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,3,0.1,2,0.1,1,0,0,0,7688,378.5,8974,441.9
36,City,Lucknow,1066,36.7,327,11.3,225,7.8,128,4.4,0,0,5,0.2,3,0.1,0,0,0,0,0,0,0,0,0,0,4,0.1,71,2.4,0,0,0,0,1,0,0,0,0,0,40,1.4,0,0,67,2.3,67,2.3,0,0,14,0.5,141265,4869.5,143216,4936.8
36,City,Ludhiana,149,9.2,179,11.1,180,11.2,279,17.3,0,0,0,0,22,1.4,0,0,0,0,0,0,0,0,0,0,2,0.1,18,1.1,0,0,0,0,0,0,0,0,0,0,52,3.2,0,0,1,0.1,1,0.1,0,0,0,0,58,3.6,940,58.2
36,City,Madurai,0,0,64,4.4,86,5.9,0,0,860,58.8,3,0.2,9,0.6,0,0,0,0,0,0,0,0,0,0,0,0,8,0.5,0,0,0,0,0,0,0,0,0,0,74,5.1,0,0,1,0.1,1,0.1,0,0,0,0,25777,1763.1,26882,1838.7
36,City,Malappuram,2,0.1,17,1,41,2.4,0,0,192,11.3,2,0.1,1,0.1,0,0,0,0,0,0,0,0,0,0,3,0.2,3,0.2,0,0,0,0,0,0,0,0,0,0,8,0.5,0,0,0,0,0,0,0,0,0,0,530,31.2,799,47
36,City,Meerut,664,46.6,67,4.7,187,13.1,138,9.7,0,0,1,0.1,5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,12,0.8,0,0,0,0,0,0,0,0,0,0,5,0.4,0,0,0,0,0,0,0,0,0,0,40475,2840.4,41554,2916.1
36,City,Mumbai,174,0.9,958,5.2,241,1.3,0,0,258,1.4,0,0,191,1,0,0,3,0,2,0,2,0,0,0,1,0,105,0.6,0,0,0,0,0,0,0,0,0,0,206,1.1,0,0,9,0,8,0,1,0,0,0,2886,15.7,5034,27.3
36,City,Nagpur,262,10.5,47,1.9,834,33.4,0,0,2152,86.1,2,0.1,13,0.5,0,0,2,0.1,0,0,0,0,0,0,0,0,71,2.8,0,0,0,0,6,0.2,1,0,0,0,21,0.8,0,0,4,0.2,4,0.2,0,0,0,0,18998,760.5,22413,897.2
36,City,Nasik,9,0.6,0,0,77,4.9,0,0,86,5.5,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,68,4.4,0,0,0,0,0,0,0,0,0,0,5,0.3,0,0,3,0.2,3,0.2,0,0,0,0,298,19.1,547,35
36,City,Patna,93,4.5,32,1.6,40,2,163,8,0,0,9,0.4,12,0.6,0,0,0,0,0,0,0,0,0,0,0,0,47,2.3,0,0,0,0,102,5,0,0,0,0,4,0.2,0,0,101,4.9,101,4.9,0,0,0,0,130,6.4,733,35.8
36,City,Pune,83,1.6,87,1.7,169,3.3,0,0,1144,22.7,1,0,71,1.4,0,0,24,0.5,0,0,0,0,0,0,5,0.1,78,1.5,0,0,0,0,0,0,2,0,0,0,57,1.1,0,0,9,0.2,9,0.2,0,0,0,0,4767,94.4,6497,128.7
36,City,Raipur,211,18.8,24,2.1,409,36.4,483,43,0,0,3,0.3,9,0.8,0,0,1,0.1,0,0,0,0,0,0,0,0,12,1.1,0,0,0,0,5,0.4,0,0,0,0,12,1.1,0,0,0,0,0,0,0,0,0,0,124572,11092.8,125741,11196.9
36,City,Rajkot,21,1.5,1,0.1,365,26.2,0,0,3030,217.8,0,0,6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,3,0.2,0,0,15,1.1,0,0,1,0.1,1,0.1,0,0,0,0,293,21.1,3736,268.6
36,City,Ranchi,51,4.5,4,0.4,9,0.8,17,1.5,0,0,5,0.4,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,7,0.6,0,0,0,0,4,0.4,0,0,0,0,3,0.3,0,0,27,2.4,12,1.1,15,1.3,1,0.1,201,17.8,331,29.4
36,City,Srinagar,23,1.8,46,3.6,68,5.3,6,0.5,0,0,3,0.2,1,0.1,0,0,1,0.1,0,0,0,0,0,0,0,0,96,7.5,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2.2,273,21.4
36,City,Surat,32,0.7,11,0.2,602,13.1,0,0,16347,356.5,6,0.1,8,0.2,0,0,26,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1.3,0,0,18,0.4,11,0.2,7,0.2,0,0,2036,44.4,19146,417.6
