Sl. No.,Category,State/UT,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Total - Number,Railways - Total - Value,Railways - Running Train - Number,Railways - Running Train - Value,Railways - Others in Railways - Number,Railways - Others in Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
61,City,Kochi,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.8,6,55.8
62,City,Kolkata,1,187.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,187.4
63,City,Kollam,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,2.4
64,City,Kota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,City,Lucknow,5,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.1,9,1
66,City,Ludhiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4,1,0.4
67,City,Madurai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24.5,0,0,1,24.5
68,City,Malappuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,City,Meerut,4,5.6,1,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9,6,21.5
70,City,Mumbai,6,17.4,0,0,0,0,0,0,0,0,0,0,0,0,7,73,15,147.4,28,237.8
71,City,Nagpur,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.8,10,15.6,12,16.4
72,City,Nasik,2,1,1,33.6,0,0,0,0,0,0,0,0,0,0,1,0.4,24,25.7,28,60.6
73,City,Patna,13,7.3,6,2.7,0,0,0,0,0,0,0,0,0,0,11,1,3,1.7,33,12.7
74,City,Pune,5,6.5,0,0,0,0,0,0,0,0,0,0,0,0,3,7.7,11,112.9,19,127
75,City,Raipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,7
76,City,Rajkot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.1,3,1.1
77,City,Ranchi,2,3.9,0,0,0,0,0,0,0,0,0,0,0,0,2,1.9,9,6.8,13,12.6
78,City,Srinagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.4,2,1.4
79,City,Surat,2,1.3,0,0,1,0.1,0,0,0,0,0,0,1,29.6,5,6,3,54.1,12,91.1
80,City,Thiruvananthapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.2,2,1.2
81,City,Thrissur,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,5,42,6,42.1
82,City,Tiruchirapalli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,City,Vadodara,5,12.9,3,0.7,0,0,0,0,0,0,0,0,0,0,1,0.4,4,1.1,13,15
84,City,Varanasi,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
85,City,Vasai Virar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,City,Vijayawada,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8,2,0.8
87,City,Vishakhapatnam,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,11,70.8,13,73.8
