Sr. No.,Category,State/UT,Murder (Sec. 302 IPC) - Incidence,Murder (Sec. 302 IPC) - Rate,Attempt to Commit Murder (Sec. 307 IPC) - Incidence,Attempt to Commit Murder (Sec. 307 IPC) - Rate,"C.H. not Amounting to Murder (Sec. 304, 308 IPC) - Incidence","C.H. not Amounting to Murder (Sec. 304, 308 IPC) - Rate",Rape (Sec. 376 IPC)- Total - Incidence,Rape (Sec. 376 IPC) - Total - Rate,Rape (Sec. 376 IPC) - Custodial - Incidence,Rape (Sec. 376 IPC) - Custodial - Rate,Rape (Sec. 376 IPC) - Others - Incidence,Rape (Sec. 376 IPC) - Others - Rate,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - Incidence","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - Rate","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) -of Women & Girls - Incidence","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - Rate","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - Incidence","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - Rate",Dacoity (Sec. 395-398 IPC) - Incidence,Dacoity (Sec. 395-398 IPC) - Rate,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) - Incidence,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) - Rate,"Robbery (Sec. 392-394,397,398 IPC) - Incidence","Robbery (Sec. 392-394,397,398 IPC) - Rate","Burglary (Sec. 449-452,454,455,457-460 IPC) - Incidence","Burglary (Sec. 449-452,454,455,457-460 IPC) - Rate",Theft (Sec.379-382 IPC) - Total - Incidence,Theft (Sec.379-382 IPC) - Total - Rate,Theft (Sec.379-382 IPC) - Auto Theft - Incidence,Theft (Sec.379-382 IPC) - Auto Theft - Rate,Theft (Sec.379-382 IPC) - Other Theft - Incidence,Theft (Sec.379-382 IPC) - Other Theft - Rate,"Riots (Sec.143-145,147-151,153,153A,153B,157,158,160 IPC) - Incidence","Riots (Sec.143-145,147-151,153,153A,153B,157,158,160 IPC) - Rate",Criminal Breach of Trust (Sec. 406-409 IPC) - Incidence,Criminal Breach of Trust (Sec. 406-409 IPC) - Rate,"Cheating (Sec. 419,420 IPC) - Incidence","Cheating (Sec. 419,420 IPC) - Rate","Counterfeiting (Sec. 231-254,489A-489D IPC) - Incidence","Counterfeiting (Sec. 231-254,489A-489D IPC) - Rate","Arson (Sec. 435,436,438 IPC) - Incidence","Arson (Sec. 435,436,438 IPC) - Rate","Hurt (Sec.323-333,335-338 IPC) - Incidence","Hurt (Sec.323-333,335-338 IPC) - Rate",Dowry Deaths (Sec.340B IPC) - Incidence,Dowry Deaths (Sec.340B IPC) - Rate,Molestation (Sec.354 IPC) - Incidence,Molestation (Sec.354 IPC) - Rate,Sexual Harassment (Sec.509 IPC) - Incidence,Sexual Harassment (Sec.509 IPC) - Rate,Cruelty by Husband and Relatives (Sec. 498A IPC) - Incidence,Cruelty by Husband and Relatives (Sec. 498A IPC) - Rate,Importation of Girls (Sec. 366B IPC) - Incidence,Importation of Girls (Sec. 366B IPC) - Rate,Causing Death by Negligence (Sec. 304A IPC) - Incidence,Causing Death by Negligence (Sec. 304A IPC) - Rate,Other IPC Crimes - Incidence,Other IPC Crimes - Rate,Total Cognizable Crimes Under IPC - Incidence,Total Cognizable Crimes Under IPC - Rate
11,State,Jharkhand,1747,5.3,718,2.2,83,0.3,784,2.4,0,0,784,2.4,941,2.9,660,2,281,0.9,309,0.9,40,0.1,614,1.9,1235,3.7,6378,19.3,1872,5.7,4506,13.7,2133,6.5,447,1.4,907,2.8,22,0.1,138,0.4,4403,13.4,282,0.9,317,1,7,0,659,2,6,0,1728,5.2,11940,36.2,35838,108.7
12,State,Karnataka,1820,3,1837,3,85,0.1,636,1,0,0,636,1,1395,2.3,715,1.2,680,1.1,214,0.4,399,0.7,2123,3.5,6136,10,19834,32.4,10226,16.7,9608,15.7,7265,11.9,440,0.7,5850,9.6,105,0.2,231,0.4,21295,34.8,267,0.4,2608,4.3,81,0.1,3712,6.1,12,0,750,1.2,60505,99,137600,225.1
13,State,Kerala,365,1.1,521,1.6,105,0.3,1132,3.4,0,0,1132,3.4,299,0.9,221,0.7,78,0.2,71,0.2,245,0.7,741,2.2,3001,9,4704,14.1,1454,4.4,3250,9.7,10754,32.2,340,1,5155,15.4,56,0.2,450,1.3,21747,65.1,15,0,3756,11.2,573,1.7,5377,16.1,0,0,65,0.2,112665,337.4,172137,515.6
14,State,Madhya Pradesh,2511,3.5,2340,3.2,139,0.2,3406,4.7,0,0,3406,4.7,1288,1.8,1088,1.5,200,0.3,118,0.2,117,0.2,1952,2.7,10230,14.1,22414,30.9,11595,16,10819,14.9,2080,2.9,557,0.8,1860,2.6,12,0,784,1.1,35711,49.2,811,1.1,6665,9.2,762,1,3732,5.1,45,0.1,7478,10.3,112082,154.4,217094,299
15,State,Maharashtra,2818,2.5,2105,1.9,144,0.1,1701,1.5,0,0,1701,1.5,1669,1.5,1252,1.1,417,0.4,773,0.7,291,0.3,4249,3.8,16313,14.5,53449,47.6,19270,17.1,34179,30.4,8556,7.6,1883,1.7,9098,8.1,351,0.3,1255,1.1,29769,26.5,339,0.3,3794,3.4,1071,1,7136,6.4,0,0,13024,11.6,45114,40.1,204902,182.3
16,State,Manipur,78,2.9,245,9,4,0.1,53,1.9,0,0,53,1.9,169,6.2,116,4.3,53,1.9,1,0,154,5.7,7,0.3,52,1.9,719,26.4,553,20.3,166,6.1,70,2.6,42,1.5,126,4.6,12,0.4,99,3.6,292,10.7,1,0,38,1.4,0,0,39,1.4,0,0,2,0.1,1015,37.3,3218,118.2
17,State,Meghalaya,170,5.7,51,1.7,3,0.1,130,4.4,0,0,130,4.4,87,2.9,37,1.2,50,1.7,49,1.7,0,0,63,2.1,145,4.9,696,23.5,190,6.4,506,17.1,8,0.3,52,1.8,166,5.6,13,0.4,34,1.1,197,6.6,1,0,74,2.5,1,0,21,0.7,3,0.1,90,3,701,23.7,2755,92.9
18,State,Mizoram,26,2.4,24,2.2,8,0.7,77,7.1,0,0,77,7.1,6,0.5,0,0,6,0.5,1,0.1,0,0,6,0.5,336,30.8,734,67.3,39,3.6,695,63.7,0,0,21,1.9,66,6,2,0.2,19,1.7,97,8.9,0,0,72,6.6,1,0.1,9,0.8,0,0,37,3.4,279,25.6,1821,166.9
19,State,Nagaland,46,2.3,43,2.2,11,0.6,23,1.2,0,0,23,1.2,34,1.7,3,0.2,31,1.6,7,0.4,0,0,59,3,73,3.7,360,18.2,85,4.3,275,13.9,1,0.1,16,0.8,31,1.6,5,0.3,2,0.1,55,2.8,0,0,9,0.5,0,0,1,0.1,0,0,15,0.8,292,14.7,1083,54.7
20,State,Odisha,1477,3.5,1621,3.9,51,0.1,1112,2.7,0,0,1112,2.7,1139,2.7,1008,2.4,131,0.3,417,1,84,0.2,1583,3.8,3031,7.2,8724,20.8,2986,7.1,5738,13.7,1556,3.7,250,0.6,1391,3.3,10,0,423,1,7894,18.8,465,1.1,3207,7.6,235,0.6,2320,5.5,0,0,3778,9,20509,48.9,61277,146.1
21,State,Punjab,842,3,997,3.6,112,0.4,479,1.7,0,0,479,1.7,681,2.5,517,1.9,164,0.6,28,0.1,143,0.5,236,0.9,2488,9,4784,17.3,2107,7.6,2677,9.7,0,0,281,1,3571,12.9,58,0.2,83,0.3,4757,17.2,143,0.5,282,1,31,0.1,1136,4.1,0,0,3576,12.9,10175,36.7,34883,125.9
22,State,Rajasthan,1461,2.1,1566,2.3,100,0.1,1800,2.6,0,0,1800,2.6,3204,4.7,2713,4,491,0.7,28,0,72,0.1,727,1.1,4510,6.6,21099,30.7,12566,18.3,8533,12.4,751,1.1,741,1.1,17497,25.5,56,0.1,473,0.7,17977,26.2,514,0.7,2447,3.6,9,0,12218,17.8,0,0,8122,11.8,70250,102.4,165622,241.4
23,State,Sikkim,14,2.3,7,1.2,8,1.3,16,2.6,0,0,16,2.6,10,1.6,10,1.6,0,0,0,0,0,0,5,0.8,60,9.9,72,11.8,8,1.3,64,10.5,25,4.1,4,0.7,31,5.1,3,0.5,4,0.7,75,12.3,0,0,24,3.9,0,0,4,0.7,0,0,57,9.4,177,29.1,596,98
24,State,Tamil Nadu,1877,2.6,2962,4.1,28,0,677,0.9,0,0,677,0.9,1984,2.8,1743,2.4,241,0.3,101,0.1,11,0,2066,2.9,4848,6.7,13924,19.3,4911,6.8,9013,12.5,3009,4.2,238,0.3,3872,5.4,275,0.4,706,1,21167,29.3,152,0.2,1467,2,464,0.6,1812,2.5,0,0,16076,22.3,115163,159.6,192879,267.4
25,State,Tripura,163,4.4,75,2,0,0,205,5.6,0,0,205,5.6,154,4.2,116,3.2,38,1,11,0.3,0,0,50,1.4,227,6.2,494,13.5,59,1.6,435,11.8,175,4.8,54,1.5,99,2.7,9,0.2,58,1.6,1340,36.5,30,0.8,294,8,9,0.2,702,19.1,0,0,14,0.4,1640,44.7,5803,158.1
26,State,Uttar Pradesh,4951,2.5,4653,2.3,1454,0.7,2042,1,0,0,2042,1,8500,4.3,7525,3.8,975,0.5,379,0.2,39,0,3148,1.6,5765,2.9,36683,18.4,21363,10.7,15320,7.7,5022,2.5,3721,1.9,9941,5,270,0.1,477,0.2,12234,6.1,2322,1.2,3455,1.7,3,0,7121,3.6,0,0,14380,7.2,68575,34.4,195135,97.8
27,State,Uttarakhand,178,1.8,189,1.9,54,0.5,129,1.3,0,0,129,1.3,314,3.1,283,2.8,31,0.3,13,0.1,1,0,179,1.8,342,3.4,2093,20.7,840,8.3,1253,12.4,401,4,115,1.1,519,5.1,26,0.3,17,0.2,852,8.4,83,0.8,116,1.1,72,0.7,307,3,0,0,696,6.9,2078,20.5,8774,86.7
28,State,West Bengal,2109,2.3,2242,2.5,486,0.5,2363,2.6,0,0,2363,2.6,4285,4.7,3711,4.1,574,0.6,236,0.3,939,1,760,0.8,455,0.5,21446,23.5,4642,5.1,16804,18.4,6019,6.6,1264,1.4,4171,4.6,207,0.2,413,0.5,13094,14.3,510,0.6,2363,2.6,200,0.2,19772,21.6,0,0,3249,3.6,56614,62,143197,156.8
State,State,Total (States),33672,2.8,30927,2.6,3616,0.3,23582,2,1,0,23581,2,40800,3.4,33403,2.8,7397,0.6,4229,0.4,2858,0.2,24050,2,90583,7.6,315484,26.5,135026,11.3,180458,15.2,68204,5.7,17069,1.4,84697,7.1,2255,0.2,8989,0.8,299883,25.2,8473,0.7,42238,3.5,8377,0.7,97494,8.2,80,0,107399,9,947926,79.7,2262885,190.1
29,Union Territory,A & N Islands,14,3.7,6,1.6,2,0.5,13,3.4,0,0,13,3.4,15,3.9,12,3.2,3,0.8,1,0.3,0,0,1,0.3,99,26.1,88,23.2,4,1.1,84,22.1,11,2.9,3,0.8,32,8.4,0,0,6,1.6,81,21.3,0,0,15,3.9,3,0.8,5,1.3,0,0,6,1.6,392,103.2,793,208.7
30,Union Territory,Chandigarh,24,2.3,40,3.8,6,0.6,27,2.6,0,0,27,2.6,58,5.5,46,4.4,12,1.1,6,0.6,2,0.2,68,6.4,285,27,1502,142.4,915,86.7,587,55.6,66,6.3,25,2.4,255,24.2,0,0,9,0.9,45,4.3,2,0.2,21,2,12,1.1,46,4.4,0,0,7,0.7,1036,98.2,3542,335.7
31,Union Territory,D & N Haveli,14,4.1,2,0.6,0,0,4,1.2,0,0,4,1.2,9,2.6,8,2.3,1,0.3,7,2,0,0,2,0.6,22,6.4,69,20.1,43,12.5,26,7.6,20,5.8,10,2.9,18,5.2,2,0.6,5,1.5,25,7.3,0,0,2,0.6,0,0,3,0.9,0,0,24,7,134,39.1,372,108.5
32,Union Territory,Daman & Diu,6,2.5,1,0.4,0,0,1,0.4,0,0,1,0.4,3,1.2,2,0.8,1,0.4,4,1.6,0,0,6,2.5,31,12.8,47,19.3,33,13.6,14,5.8,19,7.8,3,1.2,10,4.1,2,0.8,0,0,11,4.5,0,0,0,0,0,0,2,0.8,0,0,43,17.7,35,14.4,224,92.2
33,Union Territory,Delhi,543,3.2,386,2.3,71,0.4,572,3.4,0,0,572,3.4,3767,22.5,2085,12.4,1682,10,33,0.2,25,0.1,562,3.4,1419,8.5,22899,136.7,14668,87.6,8231,49.1,50,0.3,337,2,2590,15.5,44,0.3,42,0.3,1946,11.6,142,0.8,657,3.9,162,1,1575,9.4,0,0,1168,7,14363,85.7,53353,318.5
34,Union Territory,Lakshadweep,0,0,1,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6.3,0,0,4,6.3,5,7.8,1,1.6,0,0,0,0,3,4.7,3,4.7,0,0,0,0,0,0,0,0,0,0,0,0,27,42.2,44,68.8
35,Union Territory,Puducherry,32,2.6,22,1.8,12,1,7,0.6,0,0,7,0.6,12,1,9,0.7,3,0.2,5,0.4,10,0.8,11,0.9,65,5.2,707,56.8,511,41.1,196,15.8,125,10,9,0.7,54,4.3,4,0.3,10,0.8,853,68.6,1,0.1,35,2.8,16,1.3,10,0.8,0,0,243,19.5,2119,170.3,4362,350.6
Union Territory,Union Territory,Total (UTs),633,3.2,458,2.3,91,0.5,624,3.1,0,0,624,3.1,3864,19.2,2162,10.8,1702,8.5,56,0.3,37,0.2,650,3.2,1921,9.6,25316,126.1,16174,80.5,9142,45.5,296,1.5,388,1.9,2959,14.7,52,0.3,75,0.4,2964,14.8,145,0.7,730,3.6,193,1,1641,8.2,0,0,1491,7.4,18106,90.2,62690,312.2
Total (All-India),Total (All-India),Total (All-India),34305,2.8,31385,2.6,3707,0.3,24206,2,1,0,24205,2,44664,3.7,35565,2.9,9099,0.8,4285,0.4,2895,0.2,24700,2,92504,7.6,340800,28.2,151200,12.5,189600,15.7,68500,5.7,17457,1.4,87656,7.2,2307,0.2,9064,0.7,302847,25,8618,0.7,42968,3.6,8570,0.7,99135,8.2,80,0,108890,9,966032,79.8,2325575,192.2
City,City,Agra,112,6.4,126,7.2,28,1.6,61,3.5,0,0,61,3.5,286,16.4,241,13.8,45,2.6,5,0.3,0,0,134,7.7,240,13.7,3184,182.4,2582,147.9,602,34.5,417,23.9,139,8,330,18.9,35,2,1,0.1,344,19.7,56,3.2,190,10.9,0,0,282,16.2,0,0,468,26.8,1942,111.2,8380,480
City,City,Ahmedabad,95,1.5,69,1.1,2,0,60,0.9,0,0,60,0.9,230,3.6,184,2.9,46,0.7,31,0.5,0,0,720,11.3,831,13.1,3874,61,2308,36.3,1566,24.7,156,2.5,312,4.9,288,4.5,10,0.2,6,0.1,1427,22.5,19,0.3,83,1.3,16,0.3,1390,21.9,0,0,187,2.9,10397,163.7,20203,318.1
City,City,Allahabad,59,4.8,60,4.9,7,0.6,10,0.8,0,0,10,0.8,68,5.6,56,4.6,12,1,3,0.2,1,0.1,54,4.4,134,11,1027,84.4,829,68.1,198,16.3,45,3.7,67,5.5,155,12.7,11,0.9,2,0.2,220,18.1,10,0.8,11,0.9,1,0.1,92,7.6,0,0,178,14.6,487,40,2702,222
City,City,Amritsar,32,2.7,75,6.3,0,0,20,1.7,0,0,20,1.7,43,3.6,34,2.9,9,0.8,0,0,16,1.4,12,1,117,9.9,390,32.9,142,12,248,20.9,0,0,16,1.4,261,22,3,0.3,4,0.3,154,13,4,0.3,7,0.6,1,0.1,101,8.5,0,0,66,5.6,485,41,1807,152.6
City,City,Asansol,58,4.7,3,0.2,11,0.9,31,2.5,0,0,31,2.5,64,5.1,50,4,14,1.1,8,0.6,71,5.7,23,1.9,9,0.7,641,51.6,275,22.1,366,29.4,99,8,10,0.8,76,6.1,0,0,0,0,173,13.9,10,0.8,30,2.4,7,0.6,461,37.1,0,0,169,13.6,1427,114.8,3381,272
City,City,Aurangabad,41,3.4,118,9.9,1,0.1,16,1.3,0,0,16,1.3,35,2.9,24,2,11,0.9,23,1.9,5,0.4,152,12.8,380,32,852,71.7,429,36.1,423,35.6,154,13,21,1.8,194,16.3,5,0.4,26,2.2,470,39.5,7,0.6,65,5.5,29,2.4,122,10.3,0,0,168,14.1,897,75.4,3781,318
City,City,Bengaluru,232,2.7,460,5.4,3,0,97,1.1,0,0,97,1.1,573,6.7,206,2.4,367,4.3,43,0.5,342,4,783,9.2,1313,15.4,10543,124,5977,70.3,4566,53.7,390,4.6,152,1.8,3155,37.1,60,0.7,4,0,2927,34.4,53,0.6,250,2.9,40,0.5,458,5.4,0,0,108,1.3,8297,97.6,30283,356.3
City,City,Bhopal,60,3.2,96,5.1,5,0.3,100,5.3,0,0,100,5.3,32,1.7,26,1.4,6,0.3,0,0,2,0.1,149,7.9,850,45.1,2453,130.3,1708,90.7,745,39.6,80,4.2,17,0.9,75,4,0,0,15,0.8,655,34.8,14,0.7,93,4.9,16,0.8,272,14.4,1,0.1,164,8.7,7421,394.1,12570,667.6
City,City,Chandigarh(c),21,2,38,3.7,6,0.6,21,2,0,0,21,2,49,4.8,40,3.9,9,0.9,6,0.6,0,0,62,6,265,25.8,1393,135.8,854,83.2,539,52.5,64,6.2,24,2.3,246,24,0,0,7,0.7,43,4.2,2,0.2,16,1.6,11,1.1,42,12.1,0,0,7,0.7,976,95.1,3299,321.1
City,City,Chennai,168,1.9,332,3.8,1,0,76,0.9,0,0,76,0.9,56,0.6,41,0.5,15,0.2,3,0,0,0,219,2.5,766,8.8,2866,33,425,4.9,2441,28.1,160,1.8,22,0.3,767,8.8,99,1.1,7,0.1,1466,16.9,20,0.2,73,0.8,121,1.4,229,2.6,0,0,1431,16.5,12464,143.3,21346,245.5
City,City,Coimbatore,26,1.2,41,1.9,0,0,9,0.4,0,0,9,0.4,27,1.3,10,0.5,17,0.8,0,0,0,0,48,2.2,105,4.9,824,38.3,339,15.8,485,22.5,30,1.4,6,0.3,171,7.9,19,0.9,23,1.1,398,18.5,2,0.1,32,1.5,5,0.2,83,3.9,0,0,283,13.2,1898,88.2,4030,187.4
City,City,Delhi (city),438,2.7,323,2,53,0.3,453,2.8,0,0,453,2.8,3007,18.4,1681,10.3,1326,8.1,28,0.2,23,0.1,473,2.9,1226,7.5,21095,129.3,13497,82.7,7598,46.6,44,0.3,287,1.8,2403,14.7,44,0.3,33,0.2,1684,10.3,115,0.7,556,3.4,149,0.9,1498,9.2,0,0,1098,6.7,12182,74.7,47212,289.4
City,City,Dhanbad,28,2.3,9,0.8,8,0.7,10,0.8,0,0,10,0.8,36,3,30,2.5,6,0.5,10,0.8,2,0.2,9,0.8,63,5.3,383,32.1,234,19.6,149,12.5,68,5.7,46,3.8,27,2.3,2,0.2,0,0,92,7.7,8,0.7,9,0.8,0,0,8,0.7,0,0,2,0.2,662,55.4,1482,124
City,City,Durg-bhilainagar,46,4.3,48,4.5,2,0.2,61,5.7,0,0,61,5.7,72,6.8,58,5.5,14,1.3,4,0.4,2,0.2,59,5.5,441,41.4,734,69,244,22.9,490,46.1,35,3.3,14,1.3,137,12.9,9,0.8,22,2.1,179,16.8,0,0,147,13.8,35,3.3,96,9,0,0,225,21.1,4899,460.4,7267,683
City,City,Faridabad,60,4.3,59,4.2,5,0.4,54,3.8,0,0,54,3.8,105,7.5,82,5.8,23,1.6,10,0.7,40,2.8,37,2.6,356,25.3,1917,136.4,1439,102.4,478,34,173,12.3,160,11.4,42,3,1,0.1,9,0.6,213,15.2,10,0.7,31,2.2,59,4.2,218,15.5,0,0,229,16.3,1569,111.7,5357,381.3
City,City,Ghaziabad,82,3.5,70,3,20,0.8,5,0.2,0,0,5,0.2,129,5.5,103,4.4,26,1.1,2,0.1,1,0,75,3.2,171,7.2,2599,110.2,2090,88.6,509,21.6,67,2.8,112,4.7,304,12.9,2,0.1,0,0,10,0.4,22,0.9,35,1.5,47,2,135,5.7,0,0,241,10.2,1359,57.6,5488,232.6
City,City,Gwalior,67,6.1,97,8.8,18,1.6,48,4.4,0,0,48,4.4,71,6.4,65,5.9,6,0.5,7,0.6,7,0.6,155,14.1,678,61.5,1929,175,1534,139.2,395,35.8,67,6.1,34,3.1,129,11.7,2,0.2,11,1,706,64.1,22,2,97,8.8,13,1.2,133,12.1,0,0,135,12.3,3390,307.6,7816,709.3
City,City,Hyderabad,117,1.5,136,1.8,6,0.1,59,0.8,0,0,59,0.8,95,1.2,39,0.5,56,0.7,8,0.1,0,0,40,0.5,693,8.9,4416,57,1823,23.5,2593,33.5,220,2.8,75,1,1864,24.1,44,0.6,50,0.6,3334,43,37,0.5,157,2,93,1.2,1355,17.5,0,0,505,6.5,2353,30.4,15657,202.1
