Sr. No.,Category,State/UT,Murder (Sec.302 IPC) - 2010,Murder (Sec.302 IPC) - 2011,Murder (Sec.302 IPC) - % Variation,Attempt to Commit Murder (Sec.307 IPC) - 2010,Attempt to Commit Murder (Sec.307 IPC) - 2011,Attempt to Commit Murder (Sec.307 IPC) - % Variation,"C.H. not Amounting to Murder (Sec.304,308 IPC) - 2010","C.H. not Amounting to Murder (Sec.304,308 IPC) - 2011","C.H. not Amounting to Murder (Sec.304,308 IPC) - % Variation",Rape (Sec. 376 IPC) - Total - 2010,Rape (Sec. 376 IPC) - Total - 2011,Rape (Sec. 376 IPC) - Total - % Variation,Rape (Sec. 376 IPC) - Custodial - 2010,Rape (Sec. 376 IPC) - Custodial - 2011,Rape (Sec. 376 IPC) - Custodial - % Variation,Rape (Sec. 376 IPC) - Other - 2010,Rape (Sec. 376 IPC) - Other - 2011,Rape (Sec. 376 IPC) - Other - % Variation,"Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total - 2010","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total - 2011","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total - % Variation","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Toof Women & Girls - 2010","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Women & Girls - 2011","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Women & Girls -% Variation","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Others - 2010","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Others - 2011","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Others - % Variation",Dacoity (Sec. 395-398 IPC) - 2010,Dacoity (Sec. 395-398 IPC) - 2011,Dacoity (Sec. 395-398 IPC) - % Variation,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - 2010,Preparation & Assembly for Dacoity (Sec.399-402 IPC) -2011,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - % Variation,"Robbery (Sec.392-394, 397, 398 IPC) - 2010","Robbery (Sec.392-394, 397, 398 IPC) - 2011","Robbery (Sec.392-394, 397, 398 IPC) - % Variation","Burglary (Sec.449-452,454,455,457-460 IPC) - 2010","Burglary (Sec.449-452,454,455,457-460 IPC) - 2011","Burglary (Sec.449-452,454,455,457-460 IPC) - % Variation",Theft (Sec. 379 – 382 IPC) - Total - 2010,Theft (Sec. 379 – 382 IPC) - Total - 2011,Theft (Sec. 379 – 382 IPC) - Total - % Variation,Theft (Sec. 379 – 382 IPC) - Auto Theft,Theft (Sec. 379 – 382 IPC) - Auto Theft - 2011,Theft (Sec. 379 – 382 IPC) - Auto Theft - % Variation,Theft (Sec. 379 – 382 IPC) - Other Theft - 2010,Theft (Sec. 379 – 382 IPC) - Other Theft - 2011,Theft (Sec. 379 – 382 IPC) - Other Theft - % Variation,"Riots (Sec.143-145,147-151, 153,153A, 153B,157,158,160 IPC) - 2010","Riots (Sec.143-145,147-151, 153,153A, 153B,157,158,160 IPC) - 2011","Riots (Sec.143-145,147-151, 153,153A, 153B,157,158,160 IPC) - % Variation",Criminal Breach of Trust (Sec. 406-409 IPC) - 2010,Criminal Breach of Trust (Sec. 406-409 IPC)- 2011,Criminal Breach of Trust (Sec. 406-409 IPC) - % Variation,"Cheating (Sec. 419,420 IPC) - 2010","Cheating (Sec. 419,420 IPC) - 2011","Cheating (Sec. 419,420 IPC) - % Variation","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2010","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2011","Counterfeiting (Sec.231-254, 489A-489D IPC) - % Variation","Arson (Sec.435,436,438 IPC) - 2010","Arson (Sec.435,436,438 IPC) - 2011","Arson (Sec.435,436,438 IPC) - % Variation","Hurt (Sec.323-333, 335-338 IPC) - 2010","Hurt (Sec.323-333, 335-338 IPC) - 2011","Hurt (Sec.323-333, 335-338 IPC) - % Variation",Dowry Deaths (Sec.304B IPC) - 2010,Dowry Deaths (Sec.304B IPC) - 2011,Dowry Deaths (Sec.304B IPC) - % Variation,Molestation (Sec.354 IPC) - 2010,Molestation (Sec.354 IPC) - 2011,Molestation (Sec.354 IPC) - % Variation,Sexual Harassment (Sec.509 IPC) - 2010,Sexual Harassment (Sec.509 IPC) - 2011,Sexual Harassment (Sec.509 IPC) - % Variation,Cruelty by Husband and Relatives (Sec. 498A IPC) - 2010,Cruelty by Husband and Relatives (Sec. 498A IPC) - 2011,Cruelty by Husband and Relatives (Sec. 498A IPC) - % Variation,Importation of Girls (Sec. 366B IPC) - 2010,Importation of Girls (Sec. 366B IPC) - 2011,Importation of Girls (Sec. 366B IPC) - % Variation,Causing Death by Negligence (Sec. 304A IPC) - 2010,Causing Death by Negligence (Sec. 304A IPC) - 2011,Causing Death by Negligence (Sec. 304A IPC) - % Variation,Other IPC Crimes -2010,Other IPC Crimes -2011,Other IPC Crimes - % Variation,Total Cognizable Crimes Under IPC - 2010,Total Cognizable Crimes Under IPC - 2011,Total Cognizable Crimes Under IPC - % Variation,Note of Murder (Sec.302 IPC) - % Variation,Note of Attempt to Commit Murder (Sec.307 IPC) - % Variation,"Note of C.H. not Amounting to Murder (Sec.304,308 IPC) - % Variation",Note of Rape (Sec. 376 IPC) - Total - % Variation,Note of Rape (Sec. 376 IPC) - Custodial - % Variation,Note of Rape (Sec. 376 IPC) - Other - % Variation,"Note of Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total - % Variation","Note of Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Women & Girls -% Variation","Note of Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Others - % Variation",Note of Dacoity (Sec. 395-398 IPC) - % Variation,Note of Preparation & Assembly for Dacoity (Sec.399-402 IPC) - % Variation,"Note of Robbery (Sec.392-394, 397, 398 IPC) - % Variation","Note of Burglary (Sec.449-452,454,455,457-460 IPC) - % Variation",Note of Theft (Sec. 379 – 382 IPC) - Auto Theft - % Variation,"Note of Riots (Sec.143-145,147-151, 153,153A, 153B,157,158,160 IPC) - % Variation",Note of Criminal Breach of Trust (Sec. 406-409 IPC) - % Variation,"Note of Cheating (Sec. 419,420 IPC) - % Variation","Note of Counterfeiting (Sec.231-254, 489A-489D IPC) - % Variation","Note of Arson (Sec.435,436,438 IPC) - % Variation",Note of Dowry Deaths (Sec.304B IPC) - % Variation,Note of Molestation (Sec.354 IPC) - % Variation,Note of Sexual Harassment (Sec.509 IPC) - % Variation,Note of Cruelty by Husband and Relatives (Sec. 498A IPC) - % Variation,Note of Importation of Girls (Sec. 366B IPC) - % Variation,Note of Causing Death by Negligence (Sec. 304A IPC) - % Variation
11,State,Jharkhand,1689,1747,3.4,1028,718,-30.2,82,83,1.2,773,784,1.4,0,0,NA,773,784,1.4,978,941,-3.8,696,660,-5.2,282,281,-0.4,335,309,-7.8,19,40,110.5,709,614,-13.4,1357,1235,-9,7090,6378,-10,2709,1872,-30.9,4381,4506,2.9,2447,2133,-12.8,505,447,-11.5,988,907,-8.2,16,22,37.5,185,138,-25.4,4271,4403,3.1,276,282,2.2,245,317,29.4,16,7,-56.3,650,659,1.4,8,6,-25,1745,1728,-1,13477,11940,-11.4,38889,35838,-7.8,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,State,Karnataka,1805,1820,0.8,1850,1837,-0.7,94,85,-9.6,586,636,8.5,0,0,NA,586,636,8.5,1374,1395,1.5,586,715,22,788,680,-13.7,272,214,-21.3,300,399,33,1949,2123,8.9,6059,6136,1.3,20093,19834,-1.3,10840,10226,-5.7,9253,9608,3.8,7710,7265,-5.8,464,440,-5.2,5543,5850,5.5,192,105,-45.3,286,231,-19.2,21835,21295,-2.5,248,267,7.7,2544,2608,2.5,83,81,-2.4,3441,3712,7.9,0,12,NA,471,750,59.2,65123,60505,-7.1,142322,137600,-3.3,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
13,State,Kerala,363,365,0.6,361,521,44.3,86,105,22.1,634,1132,78.5,0,0,NA,634,1132,78.5,261,299,14.6,184,221,20.1,77,78,1.3,74,71,-4.1,221,245,10.9,636,741,16.5,2682,3001,11.9,4380,4704,7.4,1486,1454,-2.2,2894,3250,12.3,8724,10754,23.3,343,340,-0.9,3581,5155,44,54,56,3.7,374,450,20.3,18532,21747,17.3,22,15,-31.8,2936,3756,27.9,537,573,6.7,4797,5377,12.1,0,0,NA,47,65,38.3,98668,112665,14.2,148313,172137,16.1,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
14,State,Madhya Pradesh,2423,2511,3.6,2277,2340,2.8,123,139,13,3135,3406,8.6,0,0,NA,3135,3406,8.6,1187,1288,8.5,1030,1088,5.6,157,200,27.4,110,118,7.3,110,117,6.4,1919,1952,1.7,9897,10230,3.4,21577,22414,3.9,11353,11595,2.1,10224,10819,5.8,2606,2080,-20.2,507,557,9.9,1779,1860,4.6,33,12,-63.6,748,784,4.8,39193,35711,-8.9,892,811,-9.1,6646,6665,0.3,918,762,-17,3756,3732,-0.6,5,45,800,7038,7478,6.3,107390,112082,4.4,214269,217094,1.3,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,State,Maharashtra,2744,2818,2.7,1926,2105,9.3,152,144,-5.3,1599,1701,6.4,0,0,NA,1599,1701,6.4,1508,1669,10.7,1124,1252,11.4,384,417,8.6,778,773,-0.6,285,291,2.1,3721,4249,14.2,16617,16313,-1.8,52565,53449,1.7,18676,19270,3.2,33889,34179,0.9,8412,8556,1.7,1948,1883,-3.3,8684,9098,4.8,389,351,-9.8,1229,1255,2.1,29696,29769,0.2,393,339,-13.7,3661,3794,3.6,1180,1071,-9.2,7434,7136,-4,0,0,NA,13508,13024,-3.6,49739,45114,-9.3,208168,204902,-1.6,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
16,State,Manipur,92,78,-15.2,258,245,-5,1,4,300,34,53,55.9,0,0,NA,34,53,55.9,199,169,-15.1,107,116,8.4,92,53,-42.4,0,1,NA,196,154,-21.4,2,7,250,66,52,-21.2,417,719,72.4,254,553,117.7,163,166,1.8,65,70,7.7,24,42,75,59,126,113.6,7,12,71.4,86,99,15.1,227,292,28.6,0,1,NA,31,38,22.6,0,0,NA,18,39,116.7,0,0,NA,1,2,100,932,1015,8.9,2715,3218,18.5,NA,NA,NA,NA,@,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,@,NA,@,NA
17,State,Meghalaya,134,170,26.9,60,51,-15,8,3,-62.5,149,130,-12.8,0,0,NA,149,130,-12.8,71,87,22.5,37,37,0,34,50,47.1,42,49,16.7,1,0,-100,67,63,-6,166,145,-12.7,664,696,4.8,152,190,25,512,506,-1.2,7,8,14.3,37,52,40.5,98,166,69.4,4,13,225,52,34,-34.6,154,197,27.9,0,1,NA,48,74,54.2,0,1,NA,24,21,-12.5,0,3,NA,53,90,69.8,666,701,5.3,2505,2755,10,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,@,NA,@,NA
18,State,Mizoram,48,26,-45.8,27,24,-11.1,7,8,14.3,92,77,-16.3,0,0,NA,92,77,-16.3,9,6,-33.3,0,0,NA,9,6,-33.3,3,1,-66.7,0,0,NA,16,6,-62.5,425,336,-20.9,823,734,-10.8,69,39,-43.5,754,695,-7.8,0,0,NA,25,21,-16,79,66,-16.5,12,2,-83.3,15,19,26.7,116,97,-16.4,0,0,NA,75,72,-4,0,1,NA,3,9,200,0,0,NA,44,37,-15.9,355,279,-21.4,2174,1821,-16.2,NA,NA,NA,NA,@,NA,NA,@,NA,NA,@,NA,NA,NA,@,NA,NA,NA,NA,@,NA,@,NA,@,NA
19,State,Nagaland,45,46,2.2,35,43,22.9,13,11,-15.4,16,23,43.8,0,0,NA,16,23,43.8,50,34,-32,6,3,-50,44,31,-29.5,3,7,133.3,0,0,NA,63,59,-6.3,62,73,17.7,397,360,-9.3,80,85,6.3,317,275,-13.2,2,1,-50,13,16,23.1,39,31,-20.5,3,5,66.7,1,2,100,36,55,52.8,0,0,NA,13,9,-30.8,3,0,-100,1,1,0,0,0,NA,22,15,-31.8,242,292,20.7,1059,1083,2.3,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,@,NA
20,State,Odisha,1308,1477,12.9,1436,1621,12.9,31,51,64.5,1025,1112,8.5,0,0,NA,1025,1112,8.5,1016,1139,12.1,912,1008,10.5,104,131,26,346,417,20.5,117,84,-28.2,1491,1583,6.2,2855,3031,6.2,7572,8724,15.2,2627,2986,13.7,4945,5738,16,1779,1556,-12.5,322,250,-22.4,1108,1391,25.5,29,10,-65.5,430,423,-1.6,7181,7894,9.9,388,465,19.8,2905,3207,10.4,232,235,1.3,2067,2320,12.2,5,0,-100,3450,3778,9.5,19366,20509,5.9,56459,61277,8.5,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,State,Punjab,907,842,-7.2,994,997,0.3,120,112,-6.7,546,479,-12.3,0,0,NA,546,479,-12.3,789,681,-13.7,576,517,-10.2,213,164,-23,65,28,-56.9,143,143,0,241,236,-2.1,2661,2488,-6.5,5446,4784,-12.2,2467,2107,-14.6,2979,2677,-10.1,0,0,NA,243,281,15.6,3527,3571,1.2,75,58,-22.7,101,83,-17.8,4873,4757,-2.4,121,143,18.2,349,282,-19.2,38,31,-18.4,1163,1136,-2.3,0,0,NA,3350,3576,6.7,10896,10175,-6.6,36648,34883,-4.8,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
