Sl. No.,Category,State/UT,IT ACT - 2010,IT ACT - 2011,IT ACT - % Variation,IPC Section - 2010,IPC Section - 2011,IPC Section - % Variation,Note of IT ACT - 2010,Note of IT ACT - % Variation,Note of IPC Section - 2011,Note of IPC Section - % Variation
34,Union Territory,Lakshadweep,0,0,NA,0,0,NA,NA,@,NA,@
35,Union Territory,Puducherry,0,2,NA,0,0,NA,NA,@,NA,@
Union Territory,Union Territory,Total (UTs),44,66,50,0,52,NA,NA,NA,NA,@
Total (All-India),Total (All-India),Total (All-India),966,1791,85.4,356,422,18.5,NA,NA,NA,NA
36,City,Agra,7,5,-28.6,6,1,-83.3,NA,NA,NA,NA
36,City,Ahmedabad,8,24,200,18,12,-33.3,NA,NA,NA,NA
36,City,Allahabad,1,5,400,1,0,-100,NA,NA,NA,NA
36,City,Amritsar,10,12,20,0,1,NA,NA,NA,NA,@
36,City,Asansol,0,0,NA,0,0,NA,NA,@,NA,@
36,City,Aurangabad,NA,19,NA,NA,5,NA,#,NA,#,NA
36,City,Bengaluru,40,117,192.5,9,4,-55.6,NA,NA,NA,NA
36,City,Bhopal,10,5,-50,0,0,NA,NA,NA,NA,@
36,City,Chandigarh City,NA,0,NA,NA,0,NA,#,NA,#,NA
36,City,Chennai,10,13,30,15,4,-73.3,NA,NA,NA,NA
36,City,Coimbatore,12,15,25,5,2,-60,NA,NA,NA,NA
36,City,Delhi (city),41,50,22,0,49,NA,NA,NA,NA,@
36,City,Dhanbad,0,0,NA,0,0,NA,NA,@,NA,@
36,City,Durg- Bhilainagar,NA,6,NA,NA,0,NA,#,NA,#,NA
36,City,Faridabad,0,9,NA,0,0,NA,NA,@,NA,@
36,City,Ghaziabad,NA,0,NA,NA,0,NA,#,NA,#,NA
36,City,Gwalior,NA,6,NA,NA,0,NA,#,NA,#,NA
36,City,Hyderabad,51,67,31.4,5,0,-100,NA,NA,NA,NA
36,City,Indore,5,6,20,4,4,0,NA,NA,NA,NA
36,City,Jabalpur,0,7,NA,0,2,NA,NA,@,NA,@
36,City,Jaipur,27,76,181.5,0,20,NA,NA,NA,NA,@
36,City,Jamshedpur,0,0,NA,0,0,NA,NA,@,NA,@
36,City,Jodhpur,NA,15,NA,NA,0,NA,#,NA,#,NA
36,City,Kannur,NA,0,NA,NA,0,NA,#,NA,#,NA
36,City,Kanpur,3,8,166.7,1,2,100,NA,NA,NA,NA
36,City,Kochi,3,29,866.7,7,8,14.3,NA,NA,NA,NA
36,City,Kolkata,3,6,100,10,16,60,NA,NA,NA,NA
36,City,Kollam,NA,0,NA,NA,0,NA,#,NA,#,NA
36,City,Kota,NA,1,NA,NA,0,NA,#,NA,#,NA
36,City,Kozhikode,NA,13,NA,NA,0,NA,#,NA,#,NA
36,City,Lucknow,0,20,NA,0,3,NA,NA,@,NA,@
36,City,Ludhiana,10,16,60,1,0,-100,NA,NA,NA,NA
36,City,Madurai,1,0,-100,0,0,NA,NA,NA,NA,@
36,City,Malappuram,NA,7,NA,NA,0,NA,#,NA,#,NA
36,City,Meerut,0,2,NA,0,0,NA,NA,@,NA,@
36,City,Mumbai,8,8,0,41,25,-39,NA,NA,NA,NA
36,City,Nagpur,5,11,120,0,0,NA,NA,NA,NA,@
36,City,Nasik,14,2,-85.7,0,3,NA,NA,NA,NA,@
36,City,Patna,1,23,2200,0,13,NA,NA,NA,NA,@
36,City,Pune,32,83,159.4,26,0,-100,NA,NA,NA,NA
36,City,Raipur,NA,12,NA,NA,0,NA,#,NA,#,NA
36,City,Rajkot,0,1,NA,0,1,NA,NA,@,NA,@
36,City,Ranchi,NA,0,NA,NA,0,NA,#,NA,#,NA
36,City,Srinagar,NA,6,NA,NA,0,NA,#,NA,#,NA
36,City,Surat,3,1,-66.7,0,0,NA,NA,NA,NA,@
36,City,Thirissur,NA,8,NA,NA,0,NA,#,NA,#,NA
36,City,Thiruvananthapuram,NA,7,NA,NA,6,NA,#,NA,#,NA
36,City,Tiruchirappalli,NA,1,NA,NA,0,NA,#,NA,#,NA
36,City,Vadodara,10,14,40,0,0,NA,NA,NA,NA,@
36,City,Varanasi,2,4,100,0,0,NA,NA,NA,NA,@
36,City,Vasai Virar City,NA,4,NA,NA,0,NA,#,NA,#,NA
36,City,Vijayawada,0,7,NA,0,0,NA,NA,@,NA,@
36,City,Vishakhapatnam,30,107,256.7,1,19,1800,NA,NA,NA,NA
City,City,Total (Cities),347,858,147.3,150,200,33.3,NA,NA,NA,NA
