Sr.No.,Category,State/UT,Murder (Sec. 302 IPC),Attempt to Commit Murder (Sec. 307 IPC),"C.H. not Amounting to Murder (Sec.304,308 IPC)",Rape (Sec. 376 IPC) Total,Rape (Sec. 376 IPC) Custodial,Rape (Sec. 376 IPC) Other,"Kidnapping & Abduction (Sec. 363369,371373 IPC) Total","Kidnapping & Abduction (Sec. 363369,371373 IPC) of Women","Kidnapping & Abduction (Sec. 363369,371373 IPC) of Others",Dacoity (Sec.395398 IPC),Preparation and Assembly for Dacoity (Sec. 399402 IPC),"Robbery (Sec. 392394,397,398 IPC)","Burglary (Sec. 449452,454,455,457460 IPC)",Theft (Sec. 379382 IPC) total,Theft (Sec. 379382 IPC) Auto Theft,Theft (Sec. 379382 IPC) Other Theft,"Riots (Sec. 143145,147151,153,153A,153B,157,158,160 IPC)",Criminal Breach of Trust (Sec. 406409 IPC),"Cheating (Sec.419,420 IPC)","Counterfeiting (Sec. 231254, 489A489D IPC)","Arson (Sec.435,436,438 IPC)","Hurt (Sec. 323333,335338 IPC)",Dowry Death (Sec. 304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec. 509 IPC),Cruelty by Husband and Relatives (Sec. 498A IPC),Importation of Girls (Sec. 366B IPC),Causing Death by Negligence (Sec. 304A IPC),Other IPC Crimes,Total Cog. Crimes Under IPC
28,State,West Bengal,18.9,5.6,15.9,11.5,NA,11.5,7.6,8.8,4.3,10.9,2.1,8.3,5.7,4.8,3.8,4.8,2.2,2.4,4.4,15.8,2.2,15,17.3,8.7,40.2,6.5,0,10.5,20.1,13.4
State,State,Total (states),38.4,29.8,39.7,25.9,0,25.9,26.9,27.8,23.9,25,19.5,28.9,32.7,34.3,39.5,32.6,21.4,31.1,26.4,35.3,18,32.1,35.6,27.4,45.9,20.3,7.8,30.6,52.4,40.9
29,Union Territory,A & N Islands,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,50,NA,50,50,100,33.3,NA,NA,77.3,NA,100,NA,NA,NA,NA,75.8,71.4
30,Union Territory,Chandigarh,61.9,45.8,50,42.9,NA,42.9,41.7,45,25,20,33.3,43.8,87.3,75.2,75,75.3,14.6,40,30.4,100,NA,16,50,7.1,0,14.3,NA,0,40.3,49.3
31,Union Territory,D & N Haveli,25,NA,NA,0,NA,0,0,0,NA,0,NA,NA,33.3,12.5,33.3,0,11.1,50,NA,NA,NA,50,NA,50,NA,NA,NA,0,6.1,12.9
32,Union Territory,Daman & Diu,20,16.7,NA,NA,NA,NA,0,NA,0,0,NA,0,7.1,0,NA,0,11.1,16.7,100,NA,NA,47.6,NA,100,NA,0,NA,20,22.9,21.7
33,Union Territory,Delhi,47.9,43.3,20.9,41.5,NA,41.5,37.1,38.8,34,33.3,32.8,45.5,49.1,49.7,46.7,51.9,51.4,33.6,55.3,53.6,48,32.9,44,42.9,35.1,16.5,NA,51.9,51.1,48.1
34,Union Territory,Lakshadweep,NA,100,NA,50,NA,50,50,100,0,0,NA,NA,100,50,NA,50,75,NA,NA,NA,0,100,NA,0,NA,NA,NA,NA,100,72.5
35,Union Territory,Puducherry,22.2,9.1,0,0,NA,0,0,0,0,0,0,0,100,80.2,80.3,80,69.6,NA,0,100,0,43.3,NA,37.5,50,0,NA,66.7,95.2,84.3
Union Territory,Union Territory,Total (UTs),47.3,42.3,21.9,41.1,0,41.1,36.7,38.8,32.7,25.9,32.1,45.1,53.1,52.3,50.1,54,47.1,33.9,53.5,56.7,42.9,34.6,44.1,41.9,35.6,16.3,0,50.8,54.1,50.2
Total (AllIndia),Total (AllIndia),Total (AllIndia),38.5,30,39.1,26.4,0,26.4,27.3,28.1,24.3,25,20.4,29.5,33,35,40.2,33.3,21.5,31.2,27.5,36.1,18.2,32.2,35.8,27.7,45.8,20.2,7.8,30.9,52.4,41.1
