Sr. No.,Category,State/UT,District / Session Judge with duration of Trial Less Than 6 Months,District / Session Judge with duration of Trial 6–12 Months,District / Session Judge with duration of Trial 1–3 Years,District / Session Judge with duration of Trial 3–5 Years,District / Session Judge with duration of Trial 5–10 Years,District / Session Judge with duration of Trial Over 10 Years,District / Session Judge Total,Additional Session Judge with duration of Trial Less Than 6 Months,Additional Session Judge with duration of Trial 6–12 Months,Additional Session Judge with duration of Trial 1–3 Years,Additional Session Judge with duration of Trial 3–5 Years,Additional Session Judge with duration of Trial 5–10 Years,Additional Session Judge with duration of Trial Over 10 Years,Additional Session Judge Total,Chief Judicial Magistrate with duration of Trial Less Than 6 Months,Chief Judicial Magistrate with duration of Trial 6–12 Months,Chief Judicial Magistrate with duration of Trial 1–3 Years,Chief Judicial Magistrate with duration of Trial 3–5 Years,Chief Judicial Magistrate with duration of Trial 5–10 Years,Chief Judicial Magistrate with duration of Trial Over 10 Years,Chief Judicial Magistrate Total,Judicial Magistrate (I) with duration of Trial Less Than 6 Months,Judicial Magistrate (I) with duration of Trial 6–12 Months,1–3Judicial Magistrate (I) with duration of Trial 1-3 Years,Judicial Magistrate (I) with duration of Trial 3–5 Years,Judicial Magistrate (I) with duration of Trial 5–10 Years,Judicial Magistrate (I) with duration of Trial Over 10 Years,Judicial Magistrate (I) Total,Judicial Magistrate (II) with duration of Trial Less Than 6 Months,Judicial Magistrate (II) with duration of Trial 6–12 Months,1–3Judicial Magistrate (II) with duration of Trial 1-3 Years,Judicial Magistrate (II) with duration of Trial 3–5 Years,Judicial Magistrate (II) with duration of Trial 5–10 Years,Judicial Magistrate (II) with duration of Trial Over 10 Years,Judicial Magistrate (II) Total,Special Judicial Magistrate with duration of Trial Less Than 6 Months,Special Judicial Magistrate with duration of Trial 6–12 Months,Special Judicial Magistrate with duration of Trial 1–3 Years,Special Judicial Magistrate with duration of Trial 3–5 Years,Special Judicial Magistrate with duration of Trial 5–10 Years,Special Judicial Magistrate with duration of Trial Over 10 Years,Special Judicial Magistrate Total,Other Type of Courts with duration of Trial Less Than 6 Months,Other Type of Courts with duration of Trial 6–12 Months,Other Type of Courts with duration of Trial 1–3 Years,Other Type of Courts with duration of Trial 3–5 Years,Other Type of Courts with duration of Trial 5–10 Years,Other Type of Courts with duration of Trial Over 10 Years,Other Type of Courts Total,Sum of All Type of Courts with duration of Trial Less Than 6 Months,Sum of All Type of Courts with duration of Trial 6–12 Months,Sum of All Type of Courts with duration of Trial 1–3 Years,Sum of All Type of Courts with duration of Trial 3–5 Years,Sum of All Type of Courts with duration of Trial 5–10 Years,Sum of All Type of Courts with duration of Trial Over 10 Years,Sum of All Type of Courts Total
11,State,Jharkhand,1,23,491,980,893,390,2778,6,440,1404,1115,711,257,3933,32,284,1181,1499,815,388,4199,107,818,1789,1116,597,302,4729,78,517,1171,492,228,54,2540,65,620,277,150,25,0,1137,55,570,1424,667,181,43,2940,344,3272,7737,6019,3450,1434,22256
12,State,Karnataka,237,311,996,651,280,63,2538,26,182,709,482,184,47,1630,1366,2633,3683,3471,2352,298,13803,8534,6334,10046,5462,2907,249,33532,3430,3527,5584,3963,1264,201,17969,54,58,211,60,158,308,849,736,889,5256,440,229,311,7861,14383,13934,26485,14529,7374,1477,78182
13,State,Kerala,0,16,204,262,177,41,700,1,18,274,373,220,28,914,496,720,1305,684,246,38,3489,11780,19178,22067,11192,2249,171,66637,3947,5721,7568,4057,896,91,22280,0,20,787,121,13,0,941,144,420,1147,442,174,56,2383,16368,26093,33352,17131,3975,425,97344
14,State,Madhya Pradesh,615,1055,1972,1001,265,74,4982,1015,2362,3774,2847,1325,298,11621,6597,7726,8977,7071,1866,561,32798,9062,11184,12711,10960,3626,1186,48729,3903,5210,6922,6825,1662,502,25024,719,934,1819,1211,475,195,5353,1252,3608,5067,5013,1738,422,17100,23163,32079,41242,34928,10957,3238,145607
15,State,Maharashtra,33,201,870,791,460,139,2494,144,331,1464,1353,782,205,4279,390,1091,3367,3707,2594,1066,12215,2100,5276,18887,18234,11776,6206,62479,301,986,5573,5019,2817,844,15540,34,61,393,232,184,144,1048,39,82,621,437,167,115,1461,3041,8028,31175,29773,18780,8719,99516
16,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,2,4,6,0,3,6,0,2,1,12,0,0,0,0,6,26,32,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,3,6,0,10,35,54
17,State,Meghalaya,0,0,2,2,0,0,4,4,0,10,10,18,7,49,0,0,15,20,5,0,40,57,42,39,52,36,16,242,0,0,16,23,13,0,52,0,0,43,145,67,0,255,1,21,13,20,2,0,57,62,63,138,272,141,23,699
18,State,Mizoram,66,25,11,5,2,0,109,38,13,9,6,3,0,69,78,436,156,26,2,0,698,125,61,97,15,0,0,298,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,307,538,273,52,7,0,1177
19,State,Nagaland,22,31,213,209,203,0,678,18,36,36,32,18,0,140,55,48,26,14,18,0,161,48,63,74,3,2,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,6,3,1,0,24,145,190,355,261,242,0,1193
20,State,Odisha,9,43,899,576,853,125,2505,16,90,867,740,957,226,2896,26,623,1703,816,1010,145,4323,412,1296,3843,2002,1358,467,9378,258,1011,883,963,398,115,3628,29,1619,1145,1348,304,51,4496,716,2187,2101,1149,756,185,7094,1466,6869,11441,7594,5636,1314,34320
21,State,Punjab,42,126,793,777,223,19,1980,53,281,1127,895,431,21,2808,381,733,1383,981,508,30,4016,556,1114,2529,1344,793,31,6367,476,723,1686,909,446,206,4446,94,153,167,201,84,2,701,138,335,889,459,152,163,2136,1740,3465,8574,5566,2637,472,22454
22,State,Rajasthan,132,355,1152,1036,613,107,3395,466,769,1715,1366,819,142,5277,843,1438,4026,3432,1705,445,11889,1933,5043,10534,7068,3662,668,28908,1385,2543,5699,3936,1919,571,16053,275,714,915,1247,442,106,3699,376,1362,788,287,476,89,3378,5410,12224,24829,18372,9636,2128,72599
23,State,Sikkim,0,15,35,4,0,0,54,0,0,0,0,0,0,0,93,104,45,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,119,80,4,0,0,296
24,State,Tamil Nadu,102,290,716,546,379,42,2075,427,400,949,614,203,19,2612,313,589,740,352,114,23,2131,15881,13777,15047,6917,1627,275,53524,10297,12973,9952,4521,1770,384,39897,807,1137,685,483,22,2,3136,3036,1119,1366,667,213,45,6446,30863,30285,29455,14100,4328,790,109821
25,State,Tripura,12,6,122,46,19,4,209,9,28,142,27,7,0,213,208,115,273,117,25,22,760,137,221,280,278,15,0,931,89,43,122,58,3,1,316,0,3,5,14,8,0,30,0,4,283,2,3,0,292,455,420,1227,542,80,27,2751
26,State,Uttar Pradesh,0,392,1916,3346,2812,762,9228,0,778,3653,5092,3575,2132,15230,93,164,4363,9798,5320,845,20583,113,705,5589,9793,3578,422,20200,154,568,5394,9736,4486,473,20811,75,556,8597,10850,1354,329,21761,204,318,9412,3595,195,0,13724,639,3481,38924,52210,21320,4963,121537
27,State,Uttarakhand,0,34,114,76,39,3,266,0,46,95,57,32,6,236,80,282,454,183,31,0,1030,126,239,259,143,48,0,815,28,159,80,28,19,0,314,14,39,120,69,10,0,252,1,4,78,30,2,0,115,249,803,1200,586,181,9,3028
28,State,West Bengal,11,69,188,214,307,131,920,1319,628,940,822,601,411,4721,1276,921,610,855,590,751,5003,1091,725,688,642,820,223,4189,937,651,563,1012,1171,988,5322,13,34,143,149,126,176,641,847,501,722,803,390,644,3907,5494,3529,3854,4497,4005,3324,24703
State,State,Total (states),1828,5515,16274,14422,10435,2952,51426,4474,10214,28930,23813,13983,5082,86496,22180,27730,49782,45680,23381,6097,174850,68869,95515,152495,104841,47815,13491,483026,31914,47278,68197,52738,22587,5360,228074,4932,10747,20921,19572,4346,1683,62201,11528,17349,36860,19550,7750,3400,96437,145725,214348,373459,280616,130297,38065,1182510
29,Union Territory,A & N Islands,0,0,0,1,0,0,1,0,0,2,0,0,0,2,0,0,2,12,2,0,16,0,0,1,26,2,0,29,0,0,0,25,4,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,64,8,0,77
30,Union Territory,Chandigarh,1,4,13,1,1,0,20,29,31,53,7,5,1,126,78,18,83,55,28,4,266,372,112,178,115,142,17,936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,165,327,178,176,22,1348
31,Union Territory,D & N Haveli,0,3,5,4,0,1,13,0,0,0,0,0,0,0,1,9,19,27,20,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,4,1,14,26,31,20,1,93
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,27,60,29,9,4,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,27,60,29,9,4,138
33,Union Territory,Delhi,22,249,229,242,176,4,922,33,128,1002,801,204,61,2229,36,47,1705,1019,238,162,3207,225,2202,5821,5022,2816,525,16611,127,155,657,273,69,5,1286,2,1,0,5,5,4,17,210,186,391,125,92,40,1044,655,2968,9805,7487,3600,801,25316
34,Union Territory,Lakshadweep,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,51
35,Union Territory,Puducherry,0,0,2,5,1,0,8,0,4,2,8,0,0,14,65,90,44,2,0,0,201,42,347,172,26,8,0,595,37,537,215,78,7,0,874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,978,435,119,16,0,1692
Union Territory,Union Territory,Total (UTs),23,256,252,253,178,5,967,62,163,1059,816,209,62,2371,189,191,1913,1144,297,170,3904,639,2661,6220,5189,2968,542,18219,164,692,872,376,80,5,2189,2,1,0,5,5,4,17,210,188,393,125,92,40,1048,1289,4152,10709,7908,3829,828,28715
Total (All-India),Total (All-India),Total (All-India),1851,5771,16526,14675,10613,2957,52393,4536,10377,29989,24629,14192,5144,88867,22369,27921,51695,46824,23678,6267,178754,69508,98176,158715,110030,50783,14033,501245,32078,47970,69069,53114,22667,5365,230263,4934,10748,20921,19577,4351,1687,62218,11738,17537,37253,19675,7842,3440,97485,147014,218500,384168,288524,134126,38893,1211225
