Sr. No.,Category,State/UT,Disposal of Cases - Murder (Sec. 302 IPC) -Confession,Disposal of Cases - Murder (Sec. 302 IPC) - Trial,Disposal of Cases - Murder (Sec. 302 IPC) - Total,Disposal of Cases - Attempt to Commit Murder (Sec. 307 IPC) - Confession,Disposal of Cases - Attempt to Commit Murder (Sec. 307 IPC) - Trial,Disposal of Cases - Attempt to Commit Murder (Sec. 307 IPC) - Total,"Disposal of Cases - C.H. not Amounting to Murder (Sec. 304, 308 IPC) - Confession","Disposal of Cases - C.H. not Amounting to Murder (Sec. 304, 308 IPC) - Trial","Disposal of Cases - C.H. not Amounting to Murder (Sec. 304, 308 IPC) - Total",Disposal of Cases - Rape (Sec. 376 IPC) - Confession,Disposal of Cases - Rape (Sec. 376 IPC) - Trial,Disposal of Cases - Rape (Sec. 376 IPC) - Total,"Disposal of Cases - Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Confession","Disposal of Cases - Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Trial","Disposal of Cases - Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total",Disposal of Cases - Kidnapping & Abduction Women & Girls - Confession,Disposal of Cases - Kidnapping & Abduction Women & Girls - Trial,Disposal of Cases - Kidnapping & Abduction Women & Girls - Total,Disposal of Cases - Kidnapping & Abduction Others - Confession,Disposal of Cases - Kidnapping & Abduction Others - Trial,Disposal of Cases - Kidnapping & Abduction Others - Total,Disposal of Cases - Dacoity (Sec. 395-398 IPC) - Confession,Disposal of Cases - Dacoity (Sec. 395-398 IPC) - Trial,Disposal of Cases - Dacoity (Sec. 395-398 IPC) - Total,Disposal of Cases - Preparation and Assembly for Dacoity (Sec. 399-402 IPC) - Confession,Disposal of Cases - Preparation and Assembly for Dacoity (Sec. 399-402 IPC) - Trial,Disposal of Cases - Preparation and Assembly for Dacoity (Sec. 399-402 IPC) - Total,"Disposal of Cases - Robbery (Sec. 392-394, 397,398 IPC) - Confssion","Disposal of Cases - Robbery (Sec. 392-394, 397,398 IPC) - Trial","Disposal of Cases - Robbery (Sec. 392-394, 397,398 IPC) - Total","Disposal of Cases - Riots (Sec. 143-145,147-151,153, 153A, 153B, 157,158, 160 IPC) - Confession","Disposal of Cases - Riots (Sec. 143-145,147-151,153, 153A, 153B, 157,158, 160 IPC) - Trial","Disposal of Cases - Riots (Sec. 143-145,147-151,153, 153A, 153B, 157,158, 160 IPC) - Total","Disposal of Cases - Arson (Sec. 435, 436,438 IPC) - Confession","Disposal of Cases - Arson (Sec. 435, 436,438 IPC) - Trial","Disposal of Cases - Arson (Sec. 435, 436,438 IPC) - Total",Disposal of Cases - Dowry Death (Sec. 304B IPC) - Confession,Disposal of Cases - Dowry Death (Sec. 304B IPC) - Trial,Disposal of Cases - Dowry Death (Sec. 304B IPC) - Total,Disposal of Cases - Total - Confession,Disposal of Cases - Total - Trial,Disposal of Cases - Grand total
16,State,Manipur,0,1,1,0,3,3,0,0,0,0,1,1,0,5,5,0,5,5,0,0,0,0,3,3,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,15,15
17,State,Meghalaya,5,27,32,0,14,14,0,4,4,0,20,20,0,13,13,0,7,7,0,6,6,0,16,16,0,0,0,0,25,25,0,1,1,0,13,13,0,0,0,5,133,138
18,State,Mizoram,6,10,16,2,8,10,1,3,4,0,57,57,1,5,6,0,0,0,1,5,6,0,0,0,0,0,0,0,5,5,0,0,0,2,6,8,0,0,0,12,94,106
19,State,Nagaland,0,58,58,1,32,33,0,10,10,1,18,19,5,32,37,1,4,5,4,28,32,1,13,14,0,0,0,8,62,70,0,9,9,0,2,2,0,0,0,16,236,252
20,State,Odisha,0,800,800,0,1052,1052,0,37,37,0,639,639,0,485,485,0,429,429,0,56,56,0,234,234,0,47,47,0,818,818,0,1340,1340,0,246,246,0,345,345,0,6043,6043
21,State,Punjab,4,691,695,2,637,639,0,81,81,0,427,427,2,234,236,2,158,160,0,76,76,0,52,52,0,126,126,0,135,135,0,5,5,0,40,40,0,95,95,8,2523,2531
22,State,Rajasthan,0,657,657,0,1031,1031,0,50,50,0,785,785,0,653,653,0,517,517,0,136,136,0,35,35,0,42,42,0,422,422,0,2035,2035,0,252,252,0,269,269,0,6231,6231
23,State,Sikkim,0,11,11,0,11,11,0,6,6,0,20,20,0,3,3,0,3,3,0,0,0,0,1,1,0,0,0,0,2,2,0,8,8,0,1,1,0,0,0,0,63,63
24,State,Tamil Nadu,9,1270,1279,1,1516,1517,0,22,22,0,353,353,0,467,467,0,371,371,0,96,96,4,36,40,0,9,9,4,593,597,0,1201,1201,0,216,216,2,105,107,20,5788,5808
25,State,Tripura,0,66,66,0,27,27,0,5,5,0,202,202,0,56,56,0,40,40,0,16,16,0,4,4,0,0,0,0,32,32,0,86,86,0,17,17,0,10,10,0,505,505
26,State,Uttar Pradesh,0,4292,4292,0,4214,4214,0,1345,1345,0,1447,1447,0,3779,3779,0,3259,3259,0,520,520,0,359,359,0,88,88,0,1811,1811,0,3681,3681,0,360,360,0,1809,1809,0,23185,23185
27,State,Uttarakhand,0,85,85,0,159,159,0,40,40,0,88,88,0,99,99,0,86,86,0,13,13,0,17,17,0,2,2,0,58,58,0,65,65,0,10,10,0,43,43,0,666,666
28,State,West Bengal,3,573,576,0,461,461,0,164,164,12,674,686,19,678,697,14,499,513,5,179,184,3,89,92,4,329,333,0,145,145,0,1448,1448,4,131,135,9,228,237,54,4920,4974
State,State,Total (states),482,21713,22195,142,20474,20616,6,2748,2754,272,14674,14946,156,14062,14218,125,10855,10980,31,3207,3238,54,2877,2931,8,1702,1710,115,11033,11148,635,41622,42257,50,4634,4684,46,5886,5932,1966,141425,143391
29,Union Territory,A & N Islands,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4,4
30,Union Territory,Chandigarh,0,21,21,0,24,24,0,4,4,0,21,21,0,24,24,0,20,20,0,4,4,0,5,5,0,3,3,0,16,16,0,41,41,0,0,0,0,2,2,0,161,161
31,Union Territory,D & N Haveli,0,8,8,0,0,0,0,0,0,0,4,4,0,2,2,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,24,24
32,Union Territory,Daman & Diu,0,5,5,0,6,6,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,0,1,1,0,0,0,0,2,2,0,9,9,0,0,0,0,0,0,0,25,25
33,Union Territory,Delhi,0,386,386,0,388,388,0,91,91,0,448,448,0,428,428,0,278,278,0,150,150,0,18,18,0,125,125,0,418,418,0,35,35,0,25,25,0,116,116,0,2478,2478
34,Union Territory,Lakshadweep,0,0,0,0,1,1,0,0,0,0,2,2,0,2,2,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,20,20,0,1,1,0,0,0,0,27,27
35,Union Territory,Puducherry,0,9,9,0,11,11,0,1,1,0,2,2,0,5,5,0,3,3,0,2,2,0,1,1,0,3,3,0,1,1,4,52,56,0,2,2,0,0,0,4,87,91
Union Territory,Union Territory,Total (UTs),0,431,431,0,430,430,0,96,96,0,477,477,0,463,463,0,304,304,0,159,159,0,27,27,0,131,131,0,437,437,4,168,172,0,28,28,0,118,118,4,2806,2810
Total (All-India),Total (All-India),Total (All-India),482,22144,22626,142,20904,21046,6,2844,2850,272,15151,15423,156,14525,14681,125,11159,11284,31,3366,3397,54,2904,2958,8,1833,1841,115,11470,11585,639,41790,42429,50,4662,4712,46,6004,6050,1970,144231,146201
