Sl.No.,Category,State/UT,Population (In Lakhs) @,Infanticide (Sec. 315 IPC) - Incidence,Infanticide (Sec. 315 IPC) - Rate,Infanticide (Sec. 315 IPC) - Percentage,Murder (Sec. 302 IPC) - Incidence,Murder (Sec. 302 IPC) - Rate,Murder (Sec. 302 IPC) - Percentage,Rape (Sec. 376 IPC) - Incidence,Rape (Sec. 376 IPC) - Rate,Rape (Sec. 376 IPC) - Percentage,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Incidence","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Rate","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Percentage","Foeticide (Sec.315,316 IPC) - Incidence","Foeticide (Sec.315,316 IPC) - Rate","Foeticide (Sec.315,316 IPC) - Percentage",Abetment to Suicide (Sec.305 IPC) - Incidence,Abetment to Suicide (Sec.305 IPC) - Rate,Abetment to Suicide (Sec.305 IPC) - Percentage,Exposure and Abandonment (Sec.317 IPC) - Incidence,Exposure and Abandonment (Sec.317 IPC) - Rate,Exposure and Abandonment (Sec.317 IPC) - Percentage,Procuration of Minor Girl (Sec.366A IPC) - Incidence,Procuration of Minor Girl (Sec.366A IPC) - Rate,Procuration of Minor Girl (Sec.366A IPC) - Percentage,Buying of Girls for Prostitution (Sec.373 IPC) - Incidence,Buying of Girls for Prostitution (Sec.373 IPC) - Rate,Buying of Girls for Prostitution (Sec.373 IPC) - Percentage,Selling of Girls for Prostitution (Sec.372 IPC) - Incidence,Selling of Girls for Prostitution (Sec.372 IPC) - Rate,Selling of Girls for Prostitution (Sec.372 IPC) - Percentage,Prohibition of Child Marriage Act 2006 - Incidence,Prohibition of Child Marriage Act 2006 - Rate,Prohibition of Child Marriage Act 2006 - Percentage,Other Crimes - Incidence,Other Crimes - Rate,Other Crimes - Percentage,Total - Incidence,Total - Rate,Total - Percentage
14,State,Madhya Pradesh,725.98,13,0,20.6,110,0.2,7.6,1262,1.7,17.7,517,0.7,3.4,38,0.1,28.8,12,0,19.7,89,0.1,12.7,20,0,2.3,2,0,7.4,3,0,2.7,5,0,4.4,2312,3.2,32.2,4383,6,13.2
15,State,Maharashtra,1123.73,3,0,4.8,201,0.2,13.9,818,0.7,11.5,858,0.8,5.6,12,0,9.1,12,0,19.7,189,0.2,27,20,0,2.3,20,0,74.1,2,0,1.8,19,0,16.8,1208,1.1,16.8,3362,3,10.2
16,State,Manipur,27.22,0,0,0,3,0.1,0.2,19,0.7,0.3,65,2.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,3.2,0.3
17,State,Meghalaya,29.64,0,0,0,8,0.3,0.6,66,2.2,0.9,16,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.5,0.2,104,3.5,0.3
18,State,Mizoram,10.91,0,0,0,0,0,0,40,3.7,0.6,3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0.2,54,4.9,0.2
19,State,Nagaland,19.81,0,0,0,5,0.3,0.3,15,0.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0.1
20,State,Odisha,419.47,0,0,0,18,0,1.2,165,0.4,2.3,85,0.2,0.6,0,0,0,1,0,1.6,1,0,0.1,12,0,1.4,0,0,0,0,0,0,1,0,0.9,32,0.1,0.4,315,0.8,1
21,State,Punjab,277.04,1,0,1.6,40,0.1,2.8,166,0.6,2.3,349,1.3,2.3,15,0.1,11.4,0,0,0,22,0.1,3.1,0,0,0,0,0,0,0,0,0,0,0,0,29,0.1,0.4,622,2.2,1.9
22,State,Rajasthan,686.21,3,0,4.8,75,0.1,5.2,394,0.6,5.5,785,1.1,5.1,13,0,9.8,0,0,0,98,0.1,14,19,0,2.2,0,0,0,2,0,1.8,5,0,4.4,97,0.1,1.4,1491,2.2,4.5
23,State,Sikkim,6.08,1,0.2,1.6,0,0,0,11,1.8,0.2,7,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1.6,0.1,29,4.8,0.1
24,State,Tamil Nadu,721.39,7,0,11.1,101,0.1,7,271,0.4,3.8,519,0.7,3.4,0,0,0,2,0,3.3,2,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0.3,925,1.3,2.8
25,State,Tripura,36.71,0,0,0,9,0.2,0.6,45,1.2,0.6,28,0.8,0.2,0,0,0,0,0,0,0,0,0,5,1,0.6,0,0,0,0,0,0,0,0,0,15,0.4,0.2,102,2.8,0.3
26,State,Uttar Pradesh,1995.81,13,0,20.6,313,0.2,21.6,1088,0.5,15.3,3739,1.9,24.5,12,0,9.1,5,0,8.2,0,0,0,0,0,0,1,0,3.7,4,0,3.5,4,0,3.5,321,0.2,4.5,5500,2.8,16.6
27,State,Uttarakhand,101.17,0,0,0,9,0.1,0.6,23,0.2,0.3,39,0.4,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.1,0.2,83,0.8,0.3
28,State,West Bengal,913.48,0,0,0,46,0.1,3.2,252,0.3,3.5,660,0.7,4.3,0,0,0,3,0,4.9,1,0,0.1,298,0.3,34.6,0,0,0,87,0.1,77,25,0,22.1,78,0.1,1.1,1450,1.6,4.4
State,State,Total (States),11901.11,62,0,98.4,1407,0.1,97,6742,0.6,94.8,11688,1,76.5,127,0,96.2,61,0,100,622,0.1,88.9,859,0.1,99.7,27,0,100,111,0,98.2,113,0,100,6849,0.6,95.4,28668,2.4,86.6
29,Union Territory,A & N Islands,3.8,0,0,0,1,0.3,0.1,9,2.4,0.1,11,2.9,0.1,0,0,0,0,0,0,2,0.5,0.3,0,0,0,0,0,0,0,0,0,0,0,0,54,14.2,0.8,77,20.3,0.2
30,Union Territory,Chandigarh,10.55,0,0,0,3,0.3,0.2,15,1.4,0.2,40,3.8,0.3,0,0,0,0,0,0,7,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0.9,0.1,74,7,0.2
31,Union Territory,D & N Haveli,3.43,0,0,0,2,0.6,0.1,1,0.3,0,8,2.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3.2,0
32,Union Territory,Daman & Diu,2.43,0,0,0,0,0,0,0,0,0,2,0.8,0,0,0,0,0,0,0,1,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.2,0
33,Union Territory,Delhi,167.53,1,0,1.6,38,0.2,2.6,339,2,4.8,3528,21.1,23.1,5,0,3.8,0,0,0,68,0.4,9.7,3,4.7,0.3,0,0,0,2,0,1.8,0,0,0,266,1.6,3.7,4250,25.4,12.8
34,Union Territory,Lakshadweep,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,12.44,0,0,0,0,0,0,6,0.5,0.1,7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0,15,1.2,0
Union Territory,Union Territory,Total (UTs),200.82,1,0,1.6,44,0.2,3,370,1.8,5.2,3596,17.9,23.5,5,0,3.8,0,0,0,78,0.4,11.1,3,0,0.3,0,0,0,2,0,1.8,0,0,0,331,1.6,4.6,4430,22.1,13.4
Total (All-India),Total (All-India),Total (All-India),12101.93,63,0,100,1451,0.1,100,7112,0.6,100,15284,1.3,100,132,0,100,61,0,100,700,0.1,100,862,0.1,100,27,0,100,113,0,100,113,0,100,7180,0.6,100,33098,2.7,100
36,City,Agra,17.46,0,0,0,3,0.2,1.7,32,1.8,2.9,82,4.7,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.5,0.4,125,7.2,1.6
37,City,Ahmedabad,63.52,0,0,0,0,0,0,1,0,0.1,82,1.3,1.9,0,0,0,0,0,0,18,0.3,9,0,0,0,0,0,0,0,0,0,2,0,11.8,0,0,0,103,1.6,1.3
38,City,Allahabad,12.17,0,0,0,3,0.2,1.7,6,0.5,0.5,29,2.4,0.7,1,0.1,3.8,0,0,0,0,0,0,0,0,0,0,0,0,4,0.3,22.2,0,0,0,6,0.5,0.3,49,4,0.6
39,City,Amritsar,11.84,0,0,0,1,0.1,0.6,7,0.6,0.6,35,3,0.8,1,0.1,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.1,45,3.8,0.6
40,City,Asansol,12.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,City,Aurangabad,11.89,0,0,0,3,0.3,1.7,6,0.5,0.5,14,1.2,0.3,0,0,0,0,0,0,7,0.6,3.5,3,0.3,5.9,0,0,0,0,0,0,0,0,0,17,1.4,0.9,50,4.2,0.6
42,City,Bengaluru,84.99,0,0,0,4,0,2.2,13,0.2,1.2,34,0.4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17.6,0,0,0,54,0.6,0.7
43,City,Bhopal,18.83,0,0,0,2,0.1,1.1,32,1.7,2.9,12,0.6,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,5.6,0,0,0,0,0,0,47,2.5,0.6
44,City,Chandigarh(c),10.26,0,0,0,2,0.2,1.1,12,1.2,1.1,33,3.2,0.8,0,0,0,0,0,0,4,0.4,2,0,0,0,0,0,0,0,0,0,0,0,0,80,0.8,0.4,59,5.8,0.7
45,City,Chennai,86.96,0,0,0,6,0.1,3.3,46,0.5,4.1,31,0.4,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,1.1
46,City,Coimbatore,21.51,0,0,0,1,0,0.6,5,0.2,0.4,6,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.6,0.2
47,City,Delhi (city),163.15,1,0,9.1,32,0.2,17.8,272,1.7,24.4,2798,17.1,63.8,5,0,19.2,0,0,0,60,0.4,30,3,0,5.9,0,0,0,2,0,11.1,0,0,0,225,1.4,12.2,3398,20.8,43.2
48,City,Dhanbad,11.95,0,0,0,1,0.1,0.6,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.9,0.6,13,1.1,0.2
49,City,Durg-bhilainagar,10.64,0,0,0,3,0.3,1.7,29,2.7,2.6,47,4.4,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,19,11,281,26.4,3.6
50,City,Faridabad,14.05,0,0,0,0,0,0,16,1.1,1.4,42,3,1,5,0.4,19.2,0,0,0,2,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0.4,0.3,70,5,0.9
51,City,Ghaziabad,23.59,0,0,0,2,0.1,1.1,3,0.1,0.3,38,1.6,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,0.1,45,1.9,0.6
52,City,Gwalior,11.02,0,0,0,2,0.2,1.1,25,2.3,2.2,59,5.4,1.3,0,0,0,0,0,0,19,1.7,9.5,0,0,0,0,0,0,0,0,0,0,0,0,74,6.7,4,179,16.2,2.3
53,City,Hyderabad,77.49,0,0,0,1,0,0.6,10,0.1,0.9,13,0.2,0.3,5,0.1,19.2,0,0,0,5,0.1,2.5,0,0,0,0,0,0,0,0,0,1,0,5.9,45,0.6,2.4,80,1,1
54,City,Indore,21.67,0,0,0,9,0.4,5,24,1.1,2.2,6,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.9,295,13.6,16,335,15.5,4.3
55,City,Jabalpur,12.68,1,0.1,9.1,5,0.4,2.8,27,2.1,2.4,17,1.3,0.4,2,0.2,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,5.3,3.6,119,9.4,1.5
56,City,Jaipur,30.73,2,0.1,18.2,5,0.2,2.8,28,0.9,2.5,95,3.1,2.2,1,0,3.8,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,3,0.1,17.6,1,0,0.1,136,4.4,1.7
57,City,Jamshedpur,13.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,City,Jodhpur,11.38,0,0,0,2,0.2,1.1,5,0.4,0.4,10,0.9,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1.5,0.2
59,City,Kannur,16.43,0,0,0,1,0.1,0.6,5,0.3,0.4,1,0.1,0,0,0,0,0,0,0,0,0,0,1,0.1,2,0,0,0,0,0,0,0,0,0,2,0.1,0.4,10,0.6,0.1
60,City,Kanpur,29.2,0,0,0,8,0.3,4.4,43,1.5,3.9,177,6.1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0.9,1.5,255,8.7,3.2
61,City,Kochi,21.18,0,0,0,0,0,0,14,0.7,1.3,9,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.4,0.5,32,1.5,0.4
62,City,Kolkata,141.13,0,0,0,0,0,0,18,0.1,1.6,61,0.4,1.4,0,0,0,0,0,0,0,0,0,18,0.1,35.3,0,0,0,9,0.1,50,0,0,0,35,0.2,1.9,141,1,1.8
63,City,Kollam,11.1,0,0,0,2,0.2,1.1,29,2.6,2.6,15,1.4,0.3,0,0,0,0,0,0,1,0.1,0.5,1,0.1,2,0,0,0,0,0,0,0,0,0,29,2.6,1.6,77,6.9,1
64,City,Kota,10.01,0,0,0,1,0.1,0.6,9,0.9,0.8,0,0,0,0,0,0,0,0,0,4,0.4,2,9,0.9,17.6,0,0,0,0,0,0,0,0,0,0,0,0,23,2.3,0.3
65,City,Kozhikode,20.31,0,0,0,1,0,0.6,5,0.2,0.4,2,0.1,0,0,0,0,1,0,16.7,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,49,2.4,2.7,59,2.9,0.7
66,City,Lucknow,29.01,2,0.1,18.2,0,0,0,19,0.7,1.7,44,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.2,0.4,72,2.5,0.9
67,City,Ludhiana,16.14,0,0,0,5,0.3,2.8,27,1.7,2.4,57,3.5,1.3,1,0.1,3.8,0,0,0,19,1.2,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,6.8,1.4
68,City,Madurai,14.62,2,0.1,18.2,4,0.3,2.2,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.5,0.1
69,City,Malappuram,16.99,0,0,0,0,0,0,4,0.2,0.4,4,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.9,0.9,24,1.4,0.3
70,City,Meerut,14.25,0,0,0,2,0.1,1.1,14,1,1.3,59,4.1,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.4,0.3,80,5.6,1
71,City,Mumbai,184.14,2,0,18.2,15,0.1,8.3,117,0.6,10.5,132,0.7,3,3,0,11.5,2,0,33.3,22,0.1,11,0,0,0,1,0,4.8,0,0,0,0,0,0,131,0.7,7.1,425,2.3,5.4
72,City,Nagpur,24.98,0,0,0,5,0.2,2.8,23,0.9,2.1,17,0.7,0.4,1,0,3.8,1,0,16.7,2,0.1,1,0,0,0,0,0,0,2,0.1,11.1,1,0,5.9,125,5,6.8,177,7.1,2.2
73,City,Nasik,15.63,0,0,0,2,0.1,1.1,8,0.5,0.7,5,0.3,0.1,1,0.1,3.8,1,0.1,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.3,0.2,21,1.3,0.3
74,City,Patna,20.47,0,0,0,4,0.2,2.2,0,0,0,64,3.1,1.5,0,0,0,0,0,0,0,0,0,11,0.5,21.6,0,0,0,0,0,0,0,0,0,0,0,0,79,3.9,1
75,City,Pune,50.5,0,0,0,9,0.2,5,36,0.7,3.2,43,0.9,1,0,0,0,0,0,0,4,0.1,2,0,0,0,19,0.4,90.5,0,0,0,2,0,11.8,181,3.6,9.8,294,5.8,3.7
76,City,Raipur,11.23,0,0,0,2,0.2,1.1,24,2.1,2.2,13,1.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,5.8,3.5,104,9.3,1.3
77,City,Rajkot,13.91,0,0,0,4,0.3,2.2,5,0.4,0.4,18,1.3,0.4,0,0,0,1,0.1,16.7,1,0.1,0.5,3,0.2,5.9,0,0,0,0,0,0,3,0.2,17.6,11,0.8,0.6,46,3.3,0.6
78,City,Ranchi,11.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,City,Srinagar,12.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,City,Surat,45.85,0,0,0,13,0.3,7.2,21,0.5,1.9,14,0.3,0.3,0,0,0,0,0,0,18,0.4,9,0,0,0,0,0,0,0,0,0,0,0,0,17,0.4,0.9,83,1.8,1.1
81,City,Thiruvananthapur,16.87,0,0,0,0,0,0,23,1.4,2.1,13,0.8,0.3,0,0,0,0,0,0,0,0,0,1,0.1,2,0,0,0,0,0,0,0,0,0,16,0.9,0.9,53,3.1,0.7
82,City,Thrissur,18.55,0,0,0,0,0,0,8,0.4,0.7,8,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,3,3,71,3.8,0.9
83,City,Tiruchirapalli,14.05,0,0,0,4,0.3,2.2,4,0.3,0.4,5,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.9,0.2
84,City,Vadodara,18.17,0,0,0,1,0.1,0.6,7,0.4,0.6,41,2.3,0.9,0,0,0,0,0,0,6,0.3,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0.4,0.4,62,3.4,0.8
85,City,Varanasi,14.35,1,0.1,9.1,2,0.1,1.1,4,0.3,0.4,41,2.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,4.8,0,0,0,0,0,0,5,0.3,0.3,54,3.8,0.7
86,City,Vasai Virar,12.21,0,0,0,3,0.2,1.7,13,1.1,1.2,10,0.8,0.2,0,0,0,0,0,0,1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.1,28,2.3,0.4
87,City,Vijayawada,14.91,0,0,0,1,0.1,0.6,26,1.7,2.3,39,2.6,0.9,0,0,0,0,0,0,6,0.4,3,0,0,0,0,0,0,0,0,0,1,0.1,5.9,80,5.4,4.3,153,10.3,1.9
88,City,Vishakhapatnam,17.3,0,0,0,4,0.2,2.2,9,0.5,0.8,7,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1.2,0.3
City,City,Total (Cities),1611.07,11,0,100,180,0.1,100,1114,0.7,100,4384,2.7,100,26,0,100,6,0,100,200,0.1,100,51,0,100,21,0,100,18,0,100,17,0,100,1844,1.1,100,7872,4.9,100
