Sl. No.,Category,State/UT,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Total - Number,Railways -Total - Value,Railways - Running Train - Number,Railways - Running Train - Value,Railways - Others in Railways - Number,Railways - Others in Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
28,State,West Bengal,5147,8141.8,47,172,0,0,1140,111.8,774,68.5,366,43.4,63,26.7,2339,8755,12710,11105,21446,28312.4
State,State,Total (States),76049,39250.3,24007,9389.2,229,119.1,16792,5348.6,9883,3758.3,6909,1590.3,974,1798.1,27792,21858.3,169641,99758.2,315484,177521.7
29,Union Territory,A & N Islands,25,10.6,0,0,5,1.9,0,0,0,0,0,0,0,0,6,18.4,52,5.8,88,36.8
30,Union Territory,Chandigarh,722,676.9,0,0,0,0,0,0,0,0,0,0,2,0,555,320.8,223,674.1,1502,1671.9
31,Union Territory,D & N Haveli,45,45.6,0,0,6,1.5,0,0,0,0,0,0,0,0,8,5.7,10,5.3,69,58
32,Union Territory,Daman & Diu,14,4.6,1,2.2,0,0,0,0,0,0,0,0,0,0,2,0.7,30,48.3,47,55.8
33,Union Territory,Delhi,6018,6091.8,169,34.1,0,0,78,31.9,0,0,78,31.9,5,1.1,2011,531.6,14618,10067.8,22899,16758.1
34,Union Territory,Lakshadweep,4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.4
35,Union Territory,Puducherry,53,30.1,0,0,0,0,0,0,0,0,0,0,0,0,36,43.2,618,173.1,707,246.4
Union Territory,Union Territory,Total (UTs),6881,6859.9,170,36.3,11,3.4,78,31.9,0,0,78,31.9,7,1.1,2618,920.4,15551,10974.4,25316,18827.4
Total (All-India),Total (All-India),Total (All-India),82930,46110.2,24177,9425.5,240,122.5,16870,5380.4,9883,3758.3,6987,1622.1,981,1799.1,30410,22778.8,185192,110732.6,340800,196349.1
36,City,Agra,76,7.8,2582,309.3,0,0,0,0,0,0,0,0,0,0,62,69.9,464,22.7,3184,409.6
37,City,Ahmedabad,609,199,0,0,0,0,0,0,0,0,0,0,0,0,473,286.8,2792,2044.4,3874,2530.2
38,City,Allahabad,77,39.8,829,210.6,0,0,0,0,0,0,0,0,0,0,29,15.5,92,28.7,1027,294.5
39,City,Amritsar,82,35,4,2.9,0,0,0,0,0,0,0,0,2,0,131,19.2,171,161,390,218.1
40,City,Asansol,20,4.6,0,0,0,0,0,0,0,0,0,0,0,0,30,7.3,591,249.5,641,261.4
41,City,Aurangabad,182,71,0,0,0,0,0,0,0,0,0,0,0,0,63,9.7,607,304,852,384.7
42,City,Bengaluru,3545,18.7,177,28,0,0,4,0.8,0,0,4,0.8,72,29.9,1282,550,5463,179.1,10543,806.5
43,City,Bhopal,672,172,13,21,0,0,0,0,0,0,0,0,0,0,112,58.2,1656,288.5,2453,539.7
44,City,Chandigarh(c),662,661.7,0,0,0,0,0,0,0,0,0,0,2,0,551,314.7,178,663.2,1393,1639.6
45,City,Chennai,636,457.6,1166,486.1,0,0,0,0,0,0,0,0,1,1,351,204.7,712,228.4,2866,1377.8
46,City,Coimbatore,160,80.2,0,0,0,0,0,0,0,0,0,0,0,0,501,110.1,163,48.2,824,238.5
47,City,Delhi (city),5255,5676.3,162,20.6,0,0,78,31.9,0,0,78,31.9,5,1.1,1665,389.7,13930,9355.6,21095,15475.3
48,City,Dhanbad,161,14.2,55,11,0,0,0,0,0,0,0,0,0,0,64,13,103,57.6,383,95.8
49,City,Durg-bhilainagar,523,77.9,0,0,0,0,0,0,0,0,0,0,0,0,58,58.4,153,95.7,734,232
50,City,Faridabad,432,162.7,0,0,0,0,0,0,0,0,0,0,0,0,504,192.8,981,274.3,1917,629.8
51,City,Ghaziabad,524,26.4,0,0,0,0,0,0,0,0,0,0,0,0,21,6.5,2054,884,2599,916.9
52,City,Gwalior,820,192.5,5,2.6,0,0,0,0,0,0,0,0,0,0,386,83.2,718,207.5,1929,485.8
53,City,Hyderabad,958,471.3,0,0,0,0,0,0,0,0,0,0,0,0,439,216,3019,1485.4,4416,2172.7
54,City,Indore,3087,1240,0,0,0,0,0,0,0,0,0,0,0,0,92,37,53,21.3,3232,1298.3
55,City,Jabalpur,97,24,23,10.7,0,0,0,0,0,0,0,0,0,0,71,32.1,450,180.6,641,247.3
56,City,Jaipur,541,140.5,0,0,0,0,0,0,0,0,0,0,0,0,60,4.7,4294,1637.2,4895,1782.4
57,City,Jamshedpur,25,12.3,0,0,0,0,0,0,0,0,0,0,0,0,324,18.3,352,199,701,229.6
58,City,Jodhpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945,505.1,945,505.1
59,City,Kannur,3,4,0,0,0,0,0,0,0,0,0,0,0,0,4,1.3,104,58.2,111,63.5
60,City,Kanpur,73,37.8,1553,211.3,0,0,0,0,0,0,0,0,0,0,24,15.4,88,39.6,1738,304.2
61,City,Kochi,33,26.7,0,0,1,0.1,0,0,0,0,0,0,0,0,36,11.8,237,83.7,307,122.3
62,City,Kolkata,1335,6985.5,0,0,0,0,0,0,0,0,0,0,0,0,987,7383,1210,9168.3,3532,23536.8
63,City,Kollam,20,7.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0.8,204,91,227,99
64,City,Kota,34,6.3,0,0,0,0,0,0,0,0,0,0,0,0,50,3.3,779,310.5,863,320.1
65,City,Kozhikode,26,9.4,6,1.1,0,0,0,0,0,0,0,0,0,0,12,7.9,197,60.3,241,78.7
66,City,Lucknow,155,64.5,1279,492,0,0,0,0,0,0,0,0,0,0,74,17.8,479,106.7,1987,680.9
67,City,Ludhiana,144,301.9,0,0,0,0,0,0,0,0,0,0,0,0,54,166.6,268,168.5,466,637
68,City,Madurai,149,81.7,22,4.8,0,0,0,0,0,0,0,0,0,0,76,16.6,208,77.3,455,180.5
69,City,Malappuram,64,14,0,0,0,0,0,0,0,0,0,0,0,0,8,1.8,30,6.5,102,22.3
70,City,Meerut,195,2.9,1272,185.8,0,0,0,0,0,0,0,0,0,0,0,0,303,64.1,1770,252.8
71,City,Mumbai,2010,2323.3,235,233.6,0,0,0,0,0,0,0,0,23,837.8,982,1396.5,9733,13362.7,12983,18153.9
72,City,Nagpur,221,96.6,0,0,0,0,1,0,1,0,0,0,0,0,56,26.4,2009,1307,2287,1430
73,City,Nasik,341,897.3,0,0,0,0,0,0,0,0,0,0,3,5.1,209,100.1,1542,42.7,2095,1045.3
74,City,Patna,1325,262.3,0,0,0,0,0,0,0,0,0,0,0,0,72,95.7,969,434.6,2366,792.7
75,City,Pune,1101,810.7,20,4.8,7,1,0,0,0,0,0,0,6,0.9,592,324.5,2984,2001.3,4710,3143.1
76,City,Raipur,302,13.6,20,11.8,0,0,1,0,0,0,1,0,2,1.3,61,3.1,627,470.2,1013,499.9
77,City,Rajkot,32,16.3,0,0,0,0,0,0,0,0,0,0,0,0,16,15.7,875,384.2,923,416.2
78,City,Ranchi,215,22.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1291,136.8,1506,159.6
79,City,Srinagar,196,112.1,0,0,0,0,0,0,0,0,0,0,0,0,186,150.5,108,110.5,490,373.1
80,City,Surat,972,534.5,2,3.6,2,0.4,1,0,0,0,1,0,13,14.8,112,99.5,728,386,1830,1038.8
81,City,Thiruvananthapuram,86,31.9,0,0,0,0,0,0,0,0,0,0,0,0,29,8.5,290,133.5,405,174
82,City,Thrissur,32,20.7,0,0,0,0,0,0,0,0,0,0,0,0,5,1.9,107,90.2,144,112.7
83,City,Tiruchirapalli,61,16.8,0,0,3,0.2,0,0,0,0,0,0,0,0,26,7.2,347,81.8,437,106
84,City,Vadodara,452,162.4,0,0,0,0,0,0,0,0,0,0,2,1.4,134,47.1,918,435.3,1506,646.2
85,City,Varanasi,50,3.9,385,69.8,0,0,0,0,0,0,0,0,0,0,9,8.5,100,14.7,544,96.9
86,City,Vasai Virar,38,15.1,0,0,1,0.1,0,0,0,0,0,0,0,0,43,109.5,374,602.3,456,727
87,City,VIJAYAWADA,240,87.2,388,63.6,0,0,0,0,0,0,0,0,7,1.2,112,51.1,784,210,1531,413.2
88,City,VISHAKHAPATNAM,424,72,1,0.9,0,0,0,0,0,0,0,0,8,1.4,144,22.3,707,138.3,1284,234.8
