Sl. No.,Category,State / UT,"No. of Vehicles - Motor Cycles, Scooters - S","No. of Vehicles - Motor Cycles, Scooters - R","No. of Vehicles - Motor Cycles, Scooters - C",No. of Vehicles - Motor Car / Taxi / Jeep - S,No. of Vehicles - Motor Car / Taxi / Jeep - R,No. of Vehicles - Motor Car / Taxi / Jeep - C,No. of Vehicles - Buses - S,No. of Vehicles - Buses - R,No. of Vehicles - Buses - C,No. of Vehicles - Goods Carrying Vehicles (Trucks / Tempos Etc.) - S,No. of Vehicles - Goods Carrying Vehicles (Trucks / Tempos Etc.) - R,No. of Vehicles - Goods Carrying Vehicles (Trucks / Tempos Etc.) - C,No. of Vehicles - Other Motor Vehicles - S,No. of Vehicles - Other Motor Vehicles - R,No. of Vehicles - Other Motor Vehicles - C,No. of Vehicles - Total Motor Vehicles - S,No. of Vehicles - Total Motor Vehicles - R,No. of Vehicles - Total Motor Vehicles - C
20,State,Odisha,2688,1075,0,139,42,0,0,0,0,0,0,0,159,70,0,2986,1187,0
21,State,Punjab,1403,703,628,734,295,118,8,5,0,118,74,19,113,74,56,2376,1151,821
22,State,Rajasthan,10660,1463,0,1316,491,0,13,11,0,248,85,0,194,99,0,12431,2149,0
23,State,Sikkim,1,0,0,6,4,4,0,0,0,1,0,0,1,0,0,9,4,4
24,State,Tamil Nadu,4495,2804,1989,276,157,77,0,0,0,33,29,25,115,72,34,4919,3062,2125
25,State,Tripura,92,24,0,2,1,0,0,0,0,2,2,0,2,1,0,98,28,0
26,State,Uttar Pradesh,16480,2157,308,2939,378,56,9,4,0,190,55,10,337,106,34,19955,2700,408
27,State,Uttarakhand,671,194,0,125,29,0,2,2,0,8,3,0,14,4,0,820,232,0
28,State,West Bengal,3678,422,37,372,107,12,0,0,0,49,6,0,229,47,4,4328,582,53
State,State,Total (States),112006,30411,9200,15688,4398,891,172,65,10,2259,839,159,5565,2426,461,135690,38139,10721
29,Union Territory,A & N Islands,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0
30,Union Territory,Chandigarh,610,213,0,305,77,0,0,0,0,0,0,0,0,0,0,915,290,0
31,Union Territory,D & N Haveli,36,18,0,9,3,0,0,0,0,0,0,0,0,0,0,45,21,0
32,Union Territory,Daman & Diu,25,5,4,7,2,0,0,0,0,1,0,0,0,0,0,33,7,4
33,Union Territory,Delhi,9203,2087,140,5071,771,145,13,3,1,113,14,3,412,97,2,14812,2972,291
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,483,89,89,19,3,3,1,0,0,7,3,3,1,0,0,511,95,95
Union Territory,Union Territory,Total (UTs),10361,2415,233,5411,856,148,14,3,1,121,17,6,413,97,2,16320,3388,390
Total (All-India),Total (All-India),Total (All-India),122367,32826,9433,21099,5254,1039,186,68,11,2380,856,165,5978,2523,463,152010,41527,11111
36,City,Agra,2420,164,0,64,12,0,0,0,0,3,2,0,20,5,0,2507,183,0
37,City,Ahmedabad,1468,305,57,320,50,24,23,4,2,15,8,1,482,455,7,2308,822,91
38,City,Allahabad,711,53,0,83,6,0,0,0,0,0,0,0,1,1,0,795,60,0
39,City,Amritsar,70,30,161,67,11,21,0,0,0,3,2,2,2,2,8,142,45,192
40,City,Asansol,215,28,0,15,4,0,0,0,0,0,0,0,45,1,0,275,33,0
41,City,Aurangabad,392,86,3,22,3,1,0,0,0,8,1,0,7,5,0,429,95,4
42,City,Bengaluru,4969,1517,660,529,70,28,0,0,0,0,0,0,200,120,0,5698,1707,688
43,City,Bhopal,1610,491,90,64,8,2,34,4,2,0,0,0,0,0,0,1708,503,94
44,City,Chandigarh(c),560,188,0,294,73,0,0,0,0,0,0,0,0,0,0,854,261,0
45,City,Chennai,317,218,15,74,39,0,0,0,0,0,0,0,28,23,0,419,280,15
46,City,Coimbatore,325,131,131,5,3,3,0,0,0,9,9,9,0,0,0,339,143,143
47,City,Delhi (city),8374,1941,139,4872,735,145,10,3,1,37,7,3,348,86,2,13641,2772,290
48,City,Dhanbad,208,58,39,22,6,2,0,0,0,0,0,0,4,2,1,234,66,42
49,City,Durg-bhilainagar,219,67,0,11,4,0,0,0,0,0,0,0,14,4,0,244,75,0
50,City,Faridabad,1150,223,0,233,57,0,0,0,0,56,20,0,0,0,0,1439,300,0
51,City,Ghaziabad,1305,131,23,687,76,11,0,0,0,37,7,4,21,3,2,2050,217,40
52,City,Gwalior,1476,107,107,45,9,9,0,0,0,8,0,0,5,4,4,1534,120,120
53,City,Hyderabad,1543,552,0,105,27,0,0,0,0,0,0,0,94,58,0,1742,637,0
54,City,Indore,2072,209,89,194,32,9,0,0,0,19,2,0,0,0,0,2285,243,98
55,City,Jabalpur,380,87,87,27,7,7,0,0,0,0,0,0,9,3,3,416,97,97
56,City,Jaipur,6268,796,477,483,162,125,0,0,0,39,18,10,178,75,32,6968,1051,644
57,City,Jamshedpur,310,20,0,25,2,0,0,0,0,0,0,0,17,10,0,352,32,0
58,City,Jodhpur,588,93,495,65,15,49,0,0,0,0,0,0,0,0,0,653,108,544
59,City,Kannur,42,31,0,1,0,0,0,0,0,2,2,0,4,3,0,49,36,0
60,City,Kanpur,1027,153,0,99,16,0,0,0,0,8,3,0,6,1,0,1140,173,0
61,City,Kochi,53,29,1,9,5,0,0,0,0,0,0,0,4,2,0,66,36,1
62,City,Kolkata,439,71,0,78,39,0,0,0,0,22,11,0,0,0,0,539,121,0
63,City,Kollam,73,27,2,8,3,0,0,0,0,3,3,0,8,2,0,92,35,2
64,City,Kota,588,91,0,46,9,0,0,0,0,30,5,0,0,0,0,664,105,0
65,City,Kozhikode,92,27,6,9,3,0,0,0,0,1,1,0,5,1,0,107,32,6
66,City,Lucknow,956,238,0,193,37,0,0,0,0,0,0,0,6,4,0,1155,279,0
67,City,Ludhiana,130,59,59,116,41,41,0,0,0,9,7,7,12,4,4,267,111,111
68,City,Madurai,195,73,73,10,6,6,0,0,0,0,0,0,4,3,3,209,82,82
69,City,Malappuram,58,46,0,2,0,0,0,0,0,0,0,0,1,0,0,61,46,0
70,City,Meerut,1084,58,58,205,12,12,0,0,0,2,0,0,17,3,3,1308,73,73
71,City,Mumbai,2993,1626,653,1585,653,151,14,7,0,110,60,8,16,0,0,4718,2346,812
72,City,Nagpur,994,326,91,72,23,12,1,1,0,78,8,3,8,4,1,1153,362,107
73,City,Nasik,968,216,31,98,12,4,0,0,0,7,0,0,6,2,2,1079,230,37
74,City,Patna,885,13,0,161,3,0,0,0,0,0,0,0,163,2,0,1209,18,0
75,City,Pune,2563,629,124,216,68,16,5,2,1,50,15,1,35,10,6,2869,724,148
76,City,Raipur,548,90,0,61,25,0,0,0,0,0,0,0,30,13,0,639,128,0
77,City,Rajkot,678,158,158,39,2,2,0,0,0,0,0,0,16,5,5,733,165,165
78,City,Ranchi,955,42,0,92,16,0,0,0,0,0,0,0,13,5,0,1060,63,0
79,City,Srinagar,89,15,0,145,13,0,0,0,0,49,6,0,68,5,0,351,39,0
80,City,Surat,1135,355,355,80,17,17,0,0,0,0,0,0,48,22,22,1263,394,394
81,City,Thiruvananthapuram,113,36,2,6,3,0,0,0,0,1,1,0,7,4,0,127,44,2
82,City,Thrissur,48,10,2,6,1,0,0,0,0,4,4,0,4,2,0,62,17,2
83,City,Tiruchirapalli,152,139,139,0,0,0,0,0,0,1,1,1,1,1,1,154,141,141
84,City,Vadodara,911,221,221,75,28,28,0,0,0,11,5,5,9,5,5,1006,259,259
85,City,Varanasi,290,33,0,41,4,0,0,0,0,0,0,0,2,1,0,333,38,0
86,City,Vasai Virar,205,29,7,42,8,0,0,0,0,0,0,0,0,0,0,247,37,7
87,City,Vijayawada,583,254,0,1,1,0,0,0,0,0,0,0,6,2,0,590,257,0
88,City,Vishakhapatnam,365,175,0,10,3,0,0,0,0,3,3,0,15,10,0,393,191,0
City,City,Total (Cities),56162,12765,4555,11812,2462,725,87,21,6,625,211,54,1989,973,111,70675,16432,5451
