Sr. No.,Category,State/UT,Arms Act,NDPS Act,Gambling Act,Excise Act,Prohibition Act,Exp. & Exp. Sub.Act,I.T.P. Act,Railways Act,The Foreigners Act,Protection of Civil Rights Act - Total,Protection of Civil Rights Act - for SCs,Protection of Civil Rights Act - for STs,Indian Passport Act,Essential Commodities Act,TADA Act,Antiquities & Art Treasures Act,Dowry Prohibition Act,Prohibition of Child Marriage Act,Indecent Rep. of Women Proh. Act,Copy Right Act,Sati Prevention Act,SC/ST (Prev.) of Atrocities Act - Total,SC/ST (Prev.) of Atrocities Act - for SCs,SC/ST (Prev.) of Atrocities Act - for STs,Forest Act,Other SLL Crimes,Total Cog. Crimes Under SLL
21,State,Punjab,97.5,98.9,99.8,99.3,100,63.6,100,88.9,100,NA,NA,NA,90.9,92.6,NA,NA,100,NA,NA,99.2,NA,90,90,NA,100,90.7,98.7
22,State,Rajasthan,99.6,96.1,100,99.6,NA,97.7,100,0,100,100,100,NA,NA,99.6,NA,NA,NA,100,99,100,NA,100,100,100,99.9,79.7,94.9
23,State,Sikkim,100,100,NA,NA,NA,100,100,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100
24,State,Tamil Nadu,95,95.6,99.5,NA,95.8,97,100,61.5,87.5,100,100,NA,93.2,79.4,NA,NA,95.1,NA,80,97.6,NA,91.2,91.2,100,14.3,45.1,56.4
25,State,Tripura,78.6,95.9,100,NA,NA,0,0,NA,100,NA,NA,NA,100,92.7,NA,NA,NA,NA,NA,NA,NA,100,100,NA,NA,NA,92.9
26,State,Uttar Pradesh,99.5,99.2,99.8,99.8,NA,95.2,92.9,66.7,100,NA,NA,NA,96.2,84.8,NA,68.4,89.3,75,75,92.7,NA,88,87.9,100,94.7,98.5,98.5
27,State,Uttarakhand,99.5,99.6,100,99.7,NA,NA,100,100,100,NA,NA,NA,100,88.6,NA,NA,100,NA,NA,100,NA,84.6,84.6,NA,93.3,99.4,99.4
28,State,West Bengal,97.4,98,92.8,66.1,100,65.8,96.6,100,92.9,NA,NA,NA,98,91.5,NA,100,100,100,100,95,NA,75,83.3,62.5,100,82.8,87
State,State,Total (States),98.9,97.8,99.8,99.3,98.9,86.2,98.4,43.8,94.7,100,100,100,94.4,94.8,75,89.5,93.6,95.3,98.7,98.1,0,88,87.6,92.8,95.3,91.9,93.4
29,Union Territory,A & N Islands,0,100,100,100,100,100,NA,NA,96.8,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,100,NA,100,NA,99.9,99.9
30,Union Territory,Chandigarh,100,100,100,100,NA,NA,NA,NA,100,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,98.4,99.9
31,Union Territory,D & N Haveli,100,NA,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,100,100
32,Union Territory,Daman & Diu,0,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,87.5
33,Union Territory,Delhi,97.6,99,99.4,99.2,100,83.3,100,NA,96.8,NA,NA,NA,100,96.3,NA,100,100,NA,0,79.8,NA,100,100,NA,100,97.6,98.2
34,Union Territory,Lakshadweep,NA,100,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
35,Union Territory,Puducherry,100,100,100,NA,NA,100,100,NA,100,100,100,NA,NA,100,NA,NA,100,NA,NA,100,NA,100,100,NA,NA,99.8,99.9
Union Territory,Union Territory,Total (UTs),97.9,99,99.6,99.7,100,93.3,100,0,96.9,100,100,0,100,98.7,0,100,100,0,0,83.9,0,100,100,100,100,99.1,99.1
Total (All-India),Total (All-India),Total (All-India),98.9,97.8,99.8,99.3,98.9,86.3,98.4,43.8,94.8,100,100,100,94.6,94.8,75,89.7,93.6,95.3,97.8,97.9,0,88,87.6,92.9,95.3,91.9,93.4
