Sl. No.,Category,State/UT/City,Tampering Computer Source Document (Sec. 65),Hacking - Loss / damage to computer resource / Utility (Sec. 66(1),Hacking - Hacking (Sec. 66(2),Obscene Publication / Transmission in Electronic Form Sec. 67,Failure - Of compliance / orders of certifying Authority (Sec. 68),Failure - Of compliance / orders of certifying Authority (Sec. 68),Un-authorised access / attempt to access of protected Computer system (Sec. 70),Obtaining Licence or Digital Signature by misrepre-sentation / supression of fact (Sec. 71),Publishing false digital Signature certificate (Sec. 73),Fraud Digital Signature (Sec. 74),Breach of confidentiality/privacy (Sec. 72),Others,Total
74,City,Patna,0,2,15,5,0,0,0,0,1,0,0,0,23
75,City,Pune,1,22,5,4,1,1,0,0,0,0,3,46,83
76,City,Raipur,0,12,0,0,0,0,0,0,0,0,0,0,12
77,City,Rajkot,0,0,1,0,0,0,0,0,0,0,0,0,1
78,City,Ranchi,0,0,0,0,0,0,0,0,0,0,0,0,0
79,City,Srinagar,1,0,5,0,0,0,0,0,0,0,0,0,6
80,City,Surat,0,0,1,0,0,0,0,0,0,0,0,0,1
81,City,Thirissur,1,0,2,4,0,0,0,0,0,0,1,0,8
82,City,Thiruvananthapuram,1,0,2,4,0,0,0,0,0,0,0,0,7
83,City,Tiruchirappalli,0,0,0,1,0,0,0,0,0,0,0,0,1
84,City,Vadodara,7,2,2,2,0,0,0,0,0,0,1,0,14
85,City,Varanasi,0,0,2,1,0,0,0,0,0,1,0,0,4
86,City,Vasai virar city,0,1,1,0,0,0,0,0,0,0,0,2,4
87,City,Vijayawada,0,0,6,1,0,0,0,0,0,0,0,0,7
88,City,Vishakhapatnam,0,107,0,0,0,0,0,0,0,0,0,0,107
City,City,Total(cities),67,401,132,168,4,1,1,5,2,5,9,63,858
