Sl. No.,Category,States/ UTs,2005,2006,2007,2008,2009,Quinquennial Average (2005- 2009) (Q.A.)@,2010,Percentage Change In 2010 [(+) Increase (-) Decrease] Over - QA,Percentage Change In 2010 [(+) Increase (-) Decrease] Over - 2009
28,State,West Bengal,66406,68052,81102,105419,113036,86803,129616,49.3,14.7
Total (States),Total (States),Total (States),1757428,1811038,1923363,2033483,2061155,1917293,2164628,12.9,5
29,Union Territory,Andaman & Nicobar Islands,682,676,807,882,941,798,980,22.9,4.1
30,Union Territory,Chandigarh,3133,3126,3643,3931,3555,3478,3373,-3,-5.1
31,Union Territory,Dadra Nagar Haveli,434,435,425,401,442,427,378,-11.6,-14.5
32,Union Territory,Daman & Diu,243,288,260,248,276,263,203,-22.8,-26.4
33,Union Territory,Delhi,56065,57963,56065,49350,50251,53939,51292,-4.9,2.1
34,Union Territory,Lakshadweep,42,80,56,95,134,81,42,-48.4,-68.7
35,Union Territory,Pondicherry,4575,4687,5054,4989,4591,4779,3935,-17.7,-14.3
Total (UTs),Total (UTs),Total (UTs),65174,67255,66310,59896,60190,63765,60203,-5.6,0
Total (All-India),Total (All-India),Total (All-India),1822602,1878293,1989673,2093379,2121345,1981058,2224831,12.3,4.9
36,City,Agra,3248,4410,4304,4826,4836,4325,4802,11,-0.7
37,City,Ahmedabad,17468,19238,17310,18544,20726,18657,21442,14.9,3.5
38,City,Allahabad,1564,1589,1706,2068,2073,1800,1973,9.6,-4.8
39,City,Amritsar,931,1295,2142,2327,2157,1770,1833,3.5,-15
40,City,Asansol,1217,1699,1491,1676,1361,1489,1841,23.7,35.3
41,City,Bengaluru,29042,26284,27049,29664,32380,28884,32188,11.4,-0.6
42,City,Bhopal,8092,10468,11069,11515,12169,10663,11974,12.3,-1.6
43,City,Chennai,20127,16168,16508,11829,10905,15107,10869,-28.1,-0.3
44,City,Coimbatore,3845,3974,3924,4180,4318,4048,4180,3.3,-3.2
45,City,Delhi (city),51010,53007,50895,44573,45247,48946,45994,-6,1.7
46,City,Dhanbad,1758,1577,1331,1302,1316,1457,1006,-30.9,-23.6
47,City,Faridabad,3153,4682,4520,4516,4409,4256,4920,15.6,11.6
48,City,Hyderabad,17276,17295,17391,18567,17840,17674,17549,-0.7,-1.6
49,City,Indore,12556,12605,12992,15430,14101,13537,14230,5.1,0.9
50,City,Jabalpur,6082,6244,6543,5128,6195,6038,6205,2.8,0.2
51,City,Jaipur,11790,13877,14102,15407,16788,14393,16717,16.1,-0.4
52,City,Jamshedpur,2538,2624,2767,2685,3075,2738,2732,-0.2,-11.2
53,City,Kanpur,3718,4736,8008,8885,6812,6432,6747,4.9,-1
54,City,Kochi,5930,5699,6602,7956,8757,6989,25715,267.9,193.7
55,City,Kolkata,9391,9381,10901,13005,13615,11259,15510,37.8,13.9
56,City,Lucknow,6147,6772,8468,11735,10482,8721,10316,18.3,-1.6
57,City,Ludhiana,2541,2817,3075,2847,2888,2834,3522,24.3,22
58,City,Madurai,3384,2464,2325,2470,3000,2729,2672,-2.1,-10.9
59,City,Meerut,2439,2400,2441,2765,2431,2495,3307,32.5,36
60,City,Mumbai,31432,31070,30481,32770,31262,31403,33932,8.1,8.5
61,City,Nagpur,9605,9991,9791,8661,7785,9167,7728,-15.7,-0.7
62,City,Nasik,2776,2951,3115,3813,4218,3375,4484,32.9,6.3
63,City,Patna,7888,8432,8944,9014,8806,8617,9017,4.6,2.4
64,City,Pune,11817,11484,12818,14467,13848,12887,13602,5.5,-1.8
65,City,Rajkot,3934,3489,3912,5525,4475,4267,4024,-5.7,-10.1
66,City,Surat,5273,8659,10986,10741,7564,8645,7426,-14.1,-1.8
67,City,Vadodara,5276,5672,5109,5386,5060,5301,5352,1,5.8
68,City,Varanasi,1214,1970,2802,2734,2254,2195,2129,-3,-5.5
69,City,Vijayawada,5791,5862,5587,5127,5180,5509,5833,5.9,12.6
70,City,Vishakhapatnam,4455,5478,5480,5015,5416,5169,7112,37.6,31.3
Total (Cities),Total (Cities),Total (Cities),314708,326363,336889,347153,343749,333772,368883,10.5,7.3
