Si. No. (Col. 1),Category (Col. 2),States/UTs (Col. 3),Murder (Sec.302 IPC),Attempt to Commit Murder (Sec. 307 IPC),"C.h. Not Amounting Murder (Sec.304 , 308 IPC)",Rape (Sec. 376 IPC) -Total,Rape (Sec. 376 IPC) - Custodial,Rape (Sec. 376 IPC) - Other ,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Total","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Of Women & Girls","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Of Others",Dacoity (Sec.395-398 IPC),Preparation & Assembly for Dacoity (Sec.399 To 402 IPC),"Robbery (Sec. 392-394,3,97,398 IPC)","Burglary (Sec. 449-452,454,455,457-460 IPC)",Theft (Sec.379 – 382 IPC) - Total,Theft (Sec.379 – 382 IPC) - Auto Theft,Theft (Sec.379 – 382 IPC) - Other Theft,"Riots (Sec.143-145, 147-151, 153, 153A,153B,157,158,160 IPC)",Criminal Breach of Trust (Sec.406-409 IPC),"Cheating (Sec.419,420 IPC)","Counterfeiting (Sec.231-254, 489A-489D IPC)","Arson (Sec.435,436,438 IPC)","Hurt(Sec.323-3,33,335-338 IPC)",Dowry Death (Sec. 304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec.509 IPC),Cruelty by Husband and Relatives (Sec. 498 A IPC),Importation Of Girls (Sec.366B IPC),Causing Death By Negligence (Sec. 304A IPC),Other IPC Crimes,Total Cognizable Crimes Under IPC
13,State,Kerala,44.9,20.7,17,17.6,NA,17.6,5.7,5.3,6.7,15.6,50,30.7,37.3,36.1,34.2,36.7,25,14.3,10.4,27.8,13.7,9,7.7,12.2,30.2,5,NA,4.5,81.6,62.7
14,State,Madhya Pradesh,50.6,42.3,29.4,28.2,NA,28.2,32.3,32.4,31.9,41.2,20.2,37.2,35,40.6,37.7,41.3,43.5,54.6,33.2,35,25.7,42.5,34.6,37,51,38.5,0,49.7,52.3,45.9
15,State,Maharashtra,20.6,13.3,12.2,13.9,0,13.9,6.1,5.4,7.7,5.2,10.1,13.8,15.6,19.7,22.2,19.3,6.5,7.4,9.3,24.1,3.8,4.4,6.7,8.5,5.1,2.1,NA,4.4,8.8,9
16,State,Manipur,25,NA,NA,33.3,NA,33.3,0,0,NA,0,NA,NA,50,100,NA,100,33.3,100,NA,100,NA,0,NA,NA,NA,NA,NA,NA,87.9,68.5
17,State,Meghalaya,43.8,33.3,50,44.4,NA,44.4,0,0,0,33.3,NA,28.6,59.1,46,18.8,50.5,0,0,0,40,20,9.7,NA,25,NA,0,0,64,52.8,42.1
18,State,Mizoram,95.1,88.9,100,96.6,NA,96.6,100,NA,100,100,NA,90,94.6,95.5,95.8,95.5,NA,96.2,90.9,100,64.7,86.2,NA,91,100,100,NA,92.6,93.1,93.6
19,State,Nagaland,67.7,95.5,100,73.7,NA,73.7,32.3,28.6,35.3,50,NA,77.6,83.1,87,84.3,88.3,25,53.3,73.1,NA,100,83.9,NA,90,NA,100,NA,65.7,82.6,78.5
20,State,Odisha,26.4,12.9,15.2,19.8,NA,19.8,7.1,7.7,3.2,11.6,10.4,8.1,7.5,9.5,13.2,8.3,6.7,16.7,13.7,12.5,7.6,10.6,12,7.3,7.9,8.7,NA,9.4,9.1,9.9
21,State,Punjab,52.4,35.9,46.2,33.9,NA,33.9,29.3,27.6,31.9,35.5,45.9,37.7,57.4,49.5,50.7,48.6,0,36.3,26.4,60,36.2,24.7,51.9,36.8,52,23.1,NA,30,50.4,40.2
22,State,Rajasthan,49.3,48.6,33.3,30.8,NA,30.8,35.6,34.4,38.8,53.1,53.5,46.5,46.7,54.1,57.7,52.2,60.2,40.6,46.1,62.5,39.2,61.1,43.3,51.3,81.8,43.1,NA,51.2,64.7,59.1
23,State,Sikkim,25,100,NA,66.7,NA,66.7,50,50,NA,100,NA,66.7,52.9,40,40,40,14.3,50,50,NA,NA,40,NA,42.9,NA,NA,NA,50,60.7,47.3
24,State,Tamil Nadu,35.9,21,12.5,24.3,NA,24.3,22.3,24.2,15.4,25.4,11.1,41.6,57.3,57.7,62,56.1,30.7,14.6,29,30,21.6,40.2,28,46.6,57.6,20.3,NA,50.8,62.7,55.6
25,State,Tripura,29.2,4.3,0,25,NA,25,6.7,8.3,4.2,33.3,0,9.4,24.4,12.1,3.7,14.4,11.1,6.3,6.1,36.4,9.1,11.6,16.7,12.7,0,8.9,NA,10.2,7.3,11.1
26,State,Uttar Pradesh,52.4,52.2,54.3,50.6,NA,50.6,53,52.2,56.1,55.8,58.9,54,55.1,60.5,61.5,60,56.1,59.2,56.7,69.1,58.1,56.9,54.2,71.2,76.4,55.1,NA,64.3,58.5,58.4
27,State,Uttarakhand,55.4,44.7,60.3,52.3,NA,52.3,40.7,38.7,50,68.8,62.5,61.5,79.8,81.5,79.6,82.3,44.8,55.2,61.6,64.3,44.4,80.6,45.3,82.3,89.4,36.8,NA,36.5,80.8,67.3
28,State,West Bengal,20.3,10.7,16.5,13.7,NA,13.7,8.8,9.5,5.1,15.5,4,10.5,8,4.7,3.4,4.8,0.9,3.8,2.2,13,4.8,14.5,10.5,14.2,40.2,5.9,0,5.9,20.4,13.5
State,State,Total (States),36.7,29.9,39.2,26.3,66.7,26.3,27.5,27.9,26.5,21.9,26,27.6,34.2,36.6,41.6,34.9,21.6,32.5,28.6,37.9,19.4,29.9,33.9,29.5,52.1,19.1,20,34.2,51.9,40.4
29,Union Territories,Andaman & Nicobar Islands,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,57.1,48.3,42.9,50,0,NA,0,NA,0,23.8,NA,0,NA,0,NA,NA,67.5,49.7
30,Union Territories,Chandigarh,65,38.1,16.7,45.2,NA,45.2,38.9,42.9,25,0,20,33.3,76.9,61.3,69.2,57.2,20.6,37.1,23.1,NA,0,22.3,33.3,22.6,47.1,10.4,NA,40,39.1,40.3
31,Union Territories,Dadra Nagar Haveli,0,50,NA,50,NA,50,25,33.3,0,NA,NA,NA,23.1,35,40,33.3,14.3,0,0,NA,NA,13.3,NA,100,NA,100,NA,0,21.3,22.9
32,Union Territories,Daman & Diu,50,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,5.9,0,10,6.3,0,0,0,NA,0,0,0,0,0,NA,5.9,29.8,14
33,Union Territories,Delhi,39.9,32.4,34.7,34.6,NA,34.6,36.6,37.6,34.1,24,25,45.9,51.6,54.5,50.5,56.3,36.4,38.7,44.8,38.9,14.3,38.1,20.6,40.7,54,19.1,NA,56.5,58.2,51.5
34,Union Territories,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Union Territories,Puducherry,20,6.3,33.3,100,NA,100,33.3,40,0,NA,0,NA,84.2,80.8,97.7,64.9,46.3,100,44.4,50,0,38.3,0,22.6,20,0,NA,72.5,74.3,62.4
Union Territories,Union Territories,Total (UTs),38.8,31.5,32.3,35.7,0,35.7,36.5,37.9,33,17.6,24.7,44.8,56.8,57.7,59.5,56.7,36.5,37.8,40.6,38.1,10,37.4,20.9,38.2,49.6,17.8,0,55.9,60.2,52.4
All-India,All-India,Total (All-India),36.7,29.9,38.9,26.6,66.7,26.5,27.7,28.1,26.7,21.9,25.9,28.3,34.5,37.5,42.7,35.7,21.7,32.7,29.2,37.9,19.3,30.1,33.6,29.7,52,19.1,20,34.5,52.1,40.7
