Sr. No.,Category,States/ UTs/ Cities,"No. of Vehicles - Motor Cycles, Scooters - (S)","No. of Vehicles - Motor Cycles, Scooters - ( R)","No. of Vehicles - Motor Cycles, Scooters - ( C)",No. of Vehicles - Motor Car / Taxi / Jeep - (S),No. of Vehicles - Motor Car / Taxi / Jeep - ( R),No. of Vehicles - Motor Car / Taxi / Jeep - ( C),No. of Vehicles - Buses - (S),No. of Vehicles - Buses - ( R),No. of Vehicles - Buses - ( C),No. of Vehicles - Goods Carrying Vehicles (Trucks / Tempos Etc.) - (S),No. of Vehicles - Goods Carrying Vehicles (Trucks / Tempos Etc.) - ( R),No. of Vehicles - Goods Carrying Vehicles (Trucks / Tempos Etc.) - ( C),No. of Vehicles - Other Motor Vehicles - (S),No. of Vehicles - Other Motor Vehicles - ( R),No. of Vehicles - Other Motor Vehicles - ( C),No. of Vehicles - Total Motor Vehicles - (S),No. of Vehicles - Total Motor Vehicles - ( R),No. of Vehicles - Total Motor Vehicles - ( C)
35,Union Territory,Puducherry,371,156,156,12,4,4,0,0,0,0,0,0,1,1,1,384,161,161
Union Territory,Union Territory,Total (UTs),10061,1588,214,5656,675,28,6,1,0,214,45,1,460,65,3,16397,2374,246
Total (All-India),Total (All-India),Total (All-India),116480,30404,7595,21797,4969,1186,147,90,13,2152,714,184,5118,2024,334,145694,38201,9312
36,City,Agra,1268,174,160,106,16,15,0,0,0,12,2,2,14,0,0,1400,192,177
37,City,Ahmedabad,2457,397,3,278,54,0,0,0,0,47,4,0,319,61,0,3101,516,3
38,City,Allahabad,404,59,0,45,8,0,0,0,0,0,0,0,1,1,0,450,68,0
39,City,Amritsar,47,46,207,51,17,18,0,0,0,6,1,4,0,0,9,104,64,238
40,City,Asansol,166,19,2,0,0,0,0,0,0,5,1,0,9,0,0,180,20,2
41,City,Bengaluru,5232,1436,120,600,235,15,0,0,0,0,0,0,64,28,6,5896,1699,141
42,City,Bhopal,1256,185,0,270,115,0,0,0,0,0,0,0,30,8,0,1556,308,0
43,City,Chennai,170,117,15,36,25,0,0,0,0,0,0,0,28,26,0,234,168,15
44,City,Coimbatore,475,190,190,22,17,17,0,0,0,0,0,0,0,0,0,497,207,207
45,City,Delhi (city),8345,1120,57,4966,563,24,5,1,0,153,27,1,435,66,2,13904,1777,84
46,City,Dhanbad,213,34,2,25,1,0,0,0,0,14,1,0,0,0,0,252,36,2
47,City,Faridabad,934,208,0,375,79,0,0,0,0,20,7,0,23,10,0,1352,304,0
48,City,Hyderabad,1412,657,0,51,20,0,0,0,0,0,0,0,80,36,0,1543,713,0
49,City,Indore,2536,245,0,104,26,0,0,0,0,41,6,0,0,0,0,2681,277,0
50,City,Jabalpur,213,59,0,22,11,0,0,0,0,0,0,0,11,5,0,246,75,0
51,City,Jaipur,2357,370,311,1090,245,94,0,0,0,0,0,0,75,41,20,3522,656,425
52,City,Jamshedpur,353,34,0,85,4,0,0,0,0,0,0,0,0,0,0,438,38,0
53,City,Kanpur,658,94,0,87,12,0,0,0,0,0,0,0,16,3,0,761,109,0
54,City,Kochi,77,45,0,10,5,0,0,0,0,4,2,0,5,2,0,96,54,0
55,City,Kolkata,411,90,0,82,39,0,1,1,0,12,5,0,0,0,0,506,135,0
56,City,Lucknow,1203,195,0,350,53,0,0,0,0,1,1,0,17,6,0,1571,255,0
57,City,Ludhiana,247,49,49,265,21,21,0,0,0,18,2,2,20,5,5,550,77,77
58,City,Madurai,253,117,117,12,5,5,0,0,0,0,0,0,4,3,3,269,125,125
59,City,Meerut,850,80,125,95,5,24,1,1,0,3,1,3,1,1,16,950,88,168
60,City,Mumbai,2827,801,425,1199,262,159,0,0,0,73,17,15,68,51,39,4167,1131,638
61,City,Nagpur,738,263,69,42,10,6,0,0,0,65,11,4,9,4,0,854,288,79
62,City,Nasik,813,140,11,69,13,0,0,0,0,0,0,0,9,2,0,891,155,11
63,City,Patna,898,20,0,99,2,0,0,0,0,10,2,0,195,4,0,1202,28,0
64,City,Pune,2582,617,88,281,66,10,2,2,0,33,13,1,49,7,4,2947,705,103
65,City,Rajkot,757,183,185,39,2,2,0,0,0,0,0,0,2,2,0,798,187,187
66,City,Surat,1086,358,0,106,21,0,0,0,0,0,0,0,55,28,0,1247,407,0
67,City,Vadodara,913,214,214,109,24,24,0,0,0,19,8,8,3,1,1,1044,247,247
68,City,Varanasi,271,41,0,14,5,0,0,0,0,0,0,0,0,0,0,285,46,0
69,City,Vijayawada,522,246,0,9,4,0,0,0,0,2,1,0,6,6,0,539,257,0
70,City,Vishakhapatnam,345,106,0,14,8,0,0,0,0,1,0,0,11,10,0,371,124,0
City,City,Total (Cities),43289,9009,2350,11008,1993,434,9,5,0,539,112,40,1559,417,105,56404,11536,2929
