Sr. No.,Category,States/ UTs,Arms Act,Narcotic Drugs & Psychotropic Substances Act,Gambling Act,Excise Act,Prohibition Act,Explosive & Explosive Substances Act,Immoral Traffic (P) Act,Indian Railways Act,The Foreigners Act,Protection of Civil Rights Act -Total,Protection of Civil Rights Act - For SCs,Protection of Civil Rights Act - For STs,Indian Passport Act,Essential Commodities Act,Terrorist & Disruptive Activities Act,Antiquity & Art Treasure Act,Dowry Prohibition Act,Prohibition of Child Marriage Act,Indecent Representation of Women (p) Act,Copyright Act,Sati Prevention Act,SC/ST (Prevention of Atrocities) Act - Total,Prevention of Attrocities Act - for SCs,Prevention of Attrocities Act - for STs,Forest Act,Other Sll Crimes,Total Cognizable Crimes Under Sll
18,State,Mizoram,100,98.8,NA,NA,100,100,100,NA,100,NA,NA,NA,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,99.9
19,State,Nagaland,83.1,97.7,100,100,98.9,100,100,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.1,94.2
20,State,Odisha,89.4,83.6,100,100,100,91.6,100,NA,100,NA,NA,NA,NA,99.5,NA,NA,97.9,100,NA,100,NA,96.4,96,98.1,100,97.7,98.6
21,State,Punjab,97.6,98.4,99.7,99.2,100,75,100,70,NA,NA,NA,NA,100,85.2,NA,NA,100,NA,NA,99.3,NA,96.8,96.8,NA,83.3,92.1,98.6
22,State,Rajasthan,99.6,97.1,100,99.4,NA,98.7,100,70,87.5,NA,NA,NA,100,99.2,NA,NA,NA,100,98.8,99.8,NA,88.6,86.2,100,99.8,76.3,94.9
23,State,Sikkim,100,80,NA,NA,NA,66.7,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,56.4,57.5
24,State,Tamil Nadu,91.3,85.3,99.6,NA,88.2,98.1,98.6,70.6,80,66.7,66.7,NA,88.6,69.8,NA,NA,94.9,NA,100,97.8,NA,88.4,88.1,100,100,46.3,57
25,State,Tripura,85.7,100,100,NA,NA,100,100,NA,100,NA,NA,NA,100,92.5,NA,NA,50,100,NA,NA,NA,0,0,NA,NA,100,94
26,State,Uttarakhand,99.3,98.7,99.9,99.9,NA,93.2,91.3,63.2,100,0,0,NA,80,82.5,NA,72.2,81.4,100,NA,93.2,NA,80,80,NA,93,99,99
27,State,Uttar Pradesh,99.5,99.7,100,99.9,NA,100,100,100,100,NA,NA,NA,100,93,NA,NA,NA,NA,NA,100,NA,58.3,58.3,NA,86.2,99.8,99.8
28,State,West Bengal,98.4,96.6,94.4,76.5,40,68.4,96.6,0,98.9,NA,NA,NA,100,86.9,NA,100,100,100,100,78.3,NA,100,100,100,60,92.7,92.9
Total (States),Total (States),Total (States),98.9,97.4,99.8,99.6,96.8,87.9,98.8,44.9,92.2,83.2,82.6,100,93.9,92.4,50,84.1,91.7,93.8,99.8,97.4,0,88.3,87.5,95.5,95.5,93.9,94.7
29,Union Territories,Andaman & Nicobar Islands,0,100,100,100,96.1,66.7,100,NA,94.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.2,99.7
30,Union Territories,Chandigarh,100,100,100,99.5,NA,NA,100,NA,100,NA,NA,NA,NA,100,NA,NA,NA,100,NA,100,NA,NA,NA,NA,NA,93.1,98.9
31,Union Territories,Dadra Nagar Haveli,NA,NA,100,100,NA,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,100,NA,100,NA,100,100
32,Union Territories,Daman & Diu,NA,100,100,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100
33,Union Territories,Delhi,97.6,98.7,99.7,99.6,NA,100,100,NA,100,NA,NA,NA,92.5,92.9,NA,100,100,NA,NA,75.7,NA,100,100,NA,NA,98.1,98.2
34,Union Territories,Lakshadweep,100,100,NA,NA,100,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,0,92.3
35,Union Territories,Pondicherry,100,100,100,NA,NA,77.8,100,NA,NA,100,100,NA,100,100,NA,NA,100,100,NA,100,NA,100,100,NA,NA,99.7,99.6
Total (UTs),Total (UTs),Total (UTs),97.9,99.1,99.8,99.8,96.4,90,100,0,97.7,100,100,0,92.6,98.4,0,100,100,100,100,79.6,0,100,100,100,0,98.8,99
Total (All-India),Total (All-India),Total (All-India),98.9,97.4,99.8,99.6,96.8,87.9,98.9,44.9,92.4,86.4,86,100,93.8,92.4,50,84.8,91.7,94,99.8,97.1,0,88.3,87.5,95.5,95.5,93.9,94.7
