SI. No.,Category,States/ UTs,Cities,Murder (Sec.302 IPC),Attempt to Commit Murder (Sec. 307 IPC),"C.h. Not Amounting Murder (Sec.304 , 308 IPC)",Rape (Sec. 376 IPC) - Total,Rape (Sec. 376 IPC) - Custodial,Rape (Sec. 376 IPC) - Other,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Others",Dacoity (Sec. 395-398 IPC),Preparation & Assembly for Dacoity (Sec.399-402 IPC),"Robbery (Sec.392-394, 397,398 IPC)","Burglary (Sec.449-452,454,455,457-460 IPC)",Theft (Sec.379 – 382 IPC) Total,Theft (Sec.379 – 382 IPC) - Auto theft,Theft (Sec.379 – 382 IPC) - Other Theft,"Riots (Sec.143-145, 147-151, 153, 153A,153B,157,158,160 IPC)",Criminal Breach of Trust (Sec.406-409 IPC),"Cheating (Sec.419,420 IPC)","Counterfeiting (Sec.231-254, 489A-489D IPC)","Arson (Sec.435,436,438 IPC)","Hurt (Sec.323-333,335-338 IPC)",Dowry Deaths (Sec.304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec.509 IPC),Cruelty by Husband and Relatives (Sec. 498 A IPC),Importation Of Girls (Sec.366B IPC),Causing Death By Negligence (Sec. 304A IPC),Other IPC Crimes,Total Cognizable Crimes Under IPC
60,State,Uttar Pradesh*,Agra,58,61,26,13,0,13,171,145,26,2,0,37,132,1706,1400,306,129,119,266,58,1,268,39,54,61,285,0,216,1100,4802
61,State,Uttar Pradesh*,Aligarh,56,82,17,36,0,36,151,138,13,1,0,32,194,817,467,350,138,86,216,3,6,137,22,57,0,168,0,167,1118,3504
62,State,Uttar Pradesh*,Allahabad,44,47,4,7,0,7,40,30,10,2,0,22,129,614,481,133,42,43,141,31,1,255,14,9,0,64,0,307,157,1973
63,State,Uttar Pradesh*,Bareilly,74,78,15,32,0,32,118,104,14,0,0,31,69,454,256,198,81,94,163,5,0,106,38,75,0,137,0,233,1199,3002
64,State,Uttar Pradesh*,Gorakhpur,46,37,5,13,0,13,102,99,3,1,0,42,160,945,740,205,91,117,212,17,0,87,19,29,0,191,0,286,1097,3497
65,State,Uttar Pradesh*,Kanpur Nagar,150,109,41,42,0,42,316,263,53,10,1,81,267,1181,858,323,176,215,461,53,0,407,92,118,7,447,0,571,2002,6747
66,State,Uttar Pradesh*,Lucknow,83,67,19,52,0,52,251,246,5,11,4,86,415,2591,1701,890,141,432,750,50,0,35,50,97,0,605,0,375,4202,10316
67,State,Uttar Pradesh*,Meerut,34,55,5,19,0,19,93,75,18,4,0,118,109,1295,950,345,148,73,234,21,0,12,14,34,0,215,0,204,620,3307
68,State,Uttar Pradesh*,Moradabad,166,138,24,49,0,49,164,151,13,11,0,83,114,812,496,316,51,61,192,11,0,23,36,75,0,259,0,257,1597,4123
69,State,Uttar Pradesh*,Varanasi,15,34,15,2,0,2,48,34,14,0,2,9,41,601,451,150,16,113,209,25,0,94,11,3,0,50,0,177,664,2129
70,State,Uttar Pradesh*,Asansol,34,8,14,18,0,18,21,13,8,4,64,5,5,323,175,148,49,5,47,1,3,69,19,13,0,310,0,109,720,1841
71,State,Uttar Pradesh*,Kolkata,49,55,43,32,0,32,125,91,34,0,26,18,66,3118,506,2612,282,329,1271,73,0,2007,12,226,133,400,3,362,6880,15510
72,Union Territory,Delhi UT,Delhi (City),453,260,63,414,0,414,2629,1422,1207,30,27,554,1355,21373,13842,7531,46,249,1720,32,48,1700,112,550,73,1273,0,868,12165,45994
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,State/City,Arson,Hurt,Dowry,Moles-,Sexual,Cruelty by,Importa-,Causing,Other IPC,Total Cog.,,,,,,,,,,,,,,,,,,,
,,,,,(Sec.,(Sec. 323-,Death,tation,Harass-,Husband,tion of,Death By,Crime,Crime,,,,,,,,,,,,,,,,,,,
,,,,,"435,436,","333, 335-338",(Sec.,(Sec. 354,ment,&,Girls,Negligence,,Under IPC,,,,,,,,,,,,,,,,,,,
,,,,,438 IPC),IPC),304B,IPC),(Sec. 509,Relatives,(Sec. 366B,(Sec. 304A,,,,,,,,,,,,,,,,,,,,,
,,,,,,,IPC),,IPC),(Sec. 498A,IPC),IPC),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,IPC),,,,,,,,,,,,,,,,,,,,,,,
,,,,-2,-23,-24,-25,-26,-27,-28,-29,-30,-31,-32,,,,,,,,,,,,,,,,,,,
,,,,MAHARASHTRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,AURANGABAD,15,467,10,52,39,157,0,162,985,3953,,,,,,,,,,,,,,,,,,,
,,,,AMRAVATI,16,456,3,52,12,96,0,68,840,3079,,,,,,,,,,,,,,,,,,,
,,,,MUMBAI,22,4487,21,475,138,312,0,690,7093,33932,,,,,,,,,,,,,,,,,,,
,,,,NAGPUR,20,842,8,87,48,175,0,332,2780,7728,,,,,,,,,,,,,,,,,,,
,,,,NASIK,17,268,2,46,18,124,0,217,693,4484,,,,,,,,,,,,,,,,,,,
,,,,NAVI MUMBAI,6,462,3,36,38,89,0,432,1108,5873,,,,,,,,,,,,,,,,,,,
,,,,PUNE,17,1169,4,78,91,214,0,620,3358,13602,,,,,,,,,,,,,,,,,,,
,,,,SOLAPUR,4,155,2,22,2,78,0,106,446,1623,,,,,,,,,,,,,,,,,,,
,,,,THANE,22,1322,9,152,32,365,0,343,1607,9943,,,,,,,,,,,,,,,,,,,
,,,,PUNJAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,AMRITSAR,4,152,10,10,4,87,0,70,615,1833,,,,,,,,,,,,,,,,,,,
,,,,JALANDHAR,6,205,5,27,4,82,0,101,538,2126,,,,,,,,,,,,,,,,,,,
,,,,LUDHIANA,6,217,7,27,11,109,0,200,1059,3522,,,,,,,,,,,,,,,,,,,
,,,,RAJASTHAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,AJMER,2,35,4,13,0,182,0,0,2637,3611,,,,,,,,,,,,,,,,,,,
,,,,BHARATPUR,0,62,5,1,0,11,0,41,1022,2130,,,,,,,,,,,,,,,,,,,
,,,,BIKANER,0,85,2,24,0,130,0,32,821,1638,,,,,,,,,,,,,,,,,,,
,,,,JAIPUR,5,597,30,115,0,720,0,499,4906,16717,,,,,,,,,,,,,,,,,,,
,,,,JODHPUR,3,472,13,31,3,247,0,133,1149,3608,,,,,,,,,,,,,,,,,,,
,,,,KOTA,4,146,10,40,0,307,0,117,1697,4078,,,,,,,,,,,,,,,,,,,
,,,,UDAIPUR,10,486,4,29,5,16,0,102,795,2830,,,,,,,,,,,,,,,,,,,
,,,,TAMIL NADU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CHENNAI,1,773,16,45,23,125,0,604,6247,10869,,,,,,,,,,,,,,,,,,,
,,,,CHENNAISUBURBAN,10,797,18,61,87,57,0,820,4975,8670,,,,,,,,,,,,,,,,,,,
,,,,COIMBATORE,8,357,1,35,1,45,0,324,1861,4180,,,,,,,,,,,,,,,,,,,
,,,,MADURAI,0,130,11,12,20,69,0,120,1386,2672,,,,,,,,,,,,,,,,,,,
,,,,SALEM,5,554,3,25,23,46,0,138,1807,3218,,,,,,,,,,,,,,,,,,,
,,,,TIRUNELVELI,5,194,0,5,0,4,0,87,812,1630,,,,,,,,,,,,,,,,,,,
,,,,TRICHY,0,144,6,10,92,33,0,157,2602,3741,,,,,,,,,,,,,,,,,,,
,,,,UTTAR PRADESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,AGRA,1,268,39,54,61,285,0,216,1100,4802,,,,,,,,,,,,,,,,,,,
,,,,ALIGARH,6,137,22,57,0,168,0,167,1118,3504,,,,,,,,,,,,,,,,,,,
,,,,ALLAHABAD,1,255,14,9,0,64,0,307,157,1973,,,,,,,,,,,,,,,,,,,
,,,,BAREILLY,0,106,38,75,0,137,0,233,1199,3002,,,,,,,,,,,,,,,,,,,
,,,,GORAKHPUR,0,87,19,29,0,191,0,286,1097,3497,,,,,,,,,,,,,,,,,,,
,,,,KANPUR NAGAR,0,407,92,118,7,447,0,571,2002,6747,,,,,,,,,,,,,,,,,,,
,,,,LUCKNOW,0,35,50,97,0,605,0,375,4202,10316,,,,,,,,,,,,,,,,,,,
,,,,MEERUT,0,12,14,34,0,215,0,204,620,3307,,,,,,,,,,,,,,,,,,,
,,,,MORADABAD,0,23,36,75,0,259,0,257,1597,4123,,,,,,,,,,,,,,,,,,,
,,,,VARANASI,0,94,11,3,0,50,0,177,664,2129,,,,,,,,,,,,,,,,,,,
,,,,WEST BENGAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ASANSOL,3,69,19,13,0,310,0,109,720,1841,,,,,,,,,,,,,,,,,,,
,,,,KOLKATA,0,2007,12,226,133,400,3,362,6880,15510,,,,,,,,,,,,,,,,,,,
,,,,DELHI UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,DELHI (CITY),48,1700,112,550,73,1273,0,868,12165,45994,,,,,,,,,,,,,,,,,,,
