SI. No.,Category,States/ UTs,Districts,Murder (Sec.302 IPC),Attempt to Commit Murder (Sec. 307 IPC),"C.h. Not Amounting Murder (Sec.304 , 308 IPC)",Rape (Sec. 376 IPC) - Total,Rape (Sec. 376 IPC) - Custodial,Rape (Sec. 376 IPC) - Other,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Others",Dacoity (Sec. 395-398 IPC),Preparation & Assembly for Dacoity (Sec.399-402 IPC),"Robbery (Sec.392-394, 397,398 IPC)","Burglary (Sec.449-452,454,455,457-460 IPC)",Theft (Sec.379 – 382 IPC) Total,Theft (Sec.379 – 382 IPC) - Auto theft,Theft (Sec.379 – 382 IPC) - Other Theft,"Riots (Sec.143-145, 147-151, 153, 153A,153B,157,158,160 IPC)",Criminal Breach of Trust (Sec.406-409 IPC),"Cheating (Sec.419,420 IPC)","Counterfeiting (Sec.231-254, 489A-489D IPC)","Arson (Sec.435,436,438 IPC)","Hurt (Sec.323-333,335-338 IPC)",Dowry Deaths (Sec.304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec.509 IPC),Cruelty by Husband and Relatives (Sec. 498 A IPC),Importation Of Girls (Sec.366B IPC),Causing Death By Negligence (Sec. 304A IPC),Other IPC Crimes,Total Cognizable Crimes Under IPC
15,State,Gujarat,Kutch,37,17,0,8,0,8,36,31,5,11,1,16,130,404,199,205,63,42,26,14,10,360,0,18,1,227,0,13,2824,4258
16,State,Gujarat,Mehsana,22,15,3,8,0,8,66,58,8,9,1,25,150,641,231,410,67,38,23,17,6,1089,0,27,0,241,0,225,1929,4602
17,State,Gujarat,Narmada,17,2,1,7,0,7,4,4,0,0,0,3,8,34,21,13,12,17,8,2,2,112,0,8,0,5,0,84,515,841
18,State,Gujarat,Navsari,22,2,0,6,0,6,19,15,4,1,0,6,43,92,41,51,25,20,6,6,1,64,0,5,1,34,0,0,725,1078
19,State,Gujarat,Palanpur,40,23,1,38,0,38,110,108,2,11,0,58,208,563,300,263,73,37,35,8,22,551,1,59,5,293,0,248,2344,4728
20,State,Gujarat,Panchmahal,47,10,2,13,0,13,58,58,0,2,0,16,93,184,94,90,48,49,14,1,17,290,0,31,0,188,0,341,2316,3720
21,State,Gujarat,Patan,11,9,0,11,0,11,38,37,1,5,0,16,77,270,112,158,28,25,17,11,4,312,0,32,1,101,0,162,1308,2438
22,State,Gujarat,Porbandar,9,7,0,2,0,2,12,9,3,0,0,2,26,49,16,33,9,9,16,2,3,83,1,4,3,69,0,38,531,875
23,State,Gujarat,Rajkot Commr.,38,22,1,12,0,12,39,32,7,9,0,34,243,1039,798,241,64,52,26,9,17,393,0,14,7,294,0,117,1594,4024
24,State,Gujarat,Rajkot Rural,41,23,1,24,0,24,69,60,9,6,1,12,90,287,181,106,47,31,10,9,10,207,1,22,5,253,0,317,2275,3741
25,State,Gujarat,Surat Commr.,87,19,1,23,0,23,82,63,19,12,7,80,273,1712,1247,465,87,34,126,36,7,556,3,24,1,268,0,364,3624,7426
26,State,Gujarat,Surat Rural,41,8,0,6,0,6,25,23,2,2,0,8,50,187,132,55,20,26,20,6,6,76,0,4,0,28,0,386,799,1698
27,State,Gujarat,Surendranagar,24,12,2,29,0,29,29,27,2,3,1,15,76,203,95,108,56,37,11,4,6,410,0,36,2,113,0,235,1567,2871
28,State,Gujarat,Tapi,19,2,1,3,0,3,1,1,0,0,0,3,16,59,44,15,3,5,1,3,1,151,0,7,0,17,0,112,263,667
29,State,Gujarat,Vadodara Commr.,23,25,1,7,0,7,36,30,6,9,0,19,319,1529,1044,485,89,35,115,3,4,276,0,18,0,216,0,180,2448,5352
30,State,Gujarat,Vadodara Rural,66,16,4,16,0,16,55,50,5,8,0,14,71,212,102,110,37,35,10,7,18,266,0,18,0,85,0,329,1396,2663
31,State,Gujarat,Valsad,29,10,0,11,0,11,14,8,6,3,1,12,87,284,161,123,49,27,21,4,1,111,0,4,0,15,0,264,874,1821
32,State,Gujarat,W.rly,8,2,0,0,0,0,6,2,4,3,0,13,10,529,41,488,17,10,9,2,0,71,0,4,1,3,0,4,73,765
Total,Total,Total,Total,1048,462,44,408,0,408,1447,1290,157,186,18,1384,4071,16794,9817,6977,1623,1214,1002,255,260,10131,19,668,110,5600,0,5907,63788,116439
1,State,Haryana,Ambala,35,30,1,30,0,30,33,23,10,4,10,18,288,652,424,228,3,25,133,2,10,198,9,20,14,220,0,4,1109,2848
2,State,Haryana,Bhiwani,61,38,1,30,0,30,52,36,16,7,2,43,264,539,347,192,171,16,89,1,17,214,22,45,15,64,0,9,1171,2871
3,State,Haryana,Faridabad,70,49,5,51,0,51,102,86,16,9,70,20,277,1672,1352,320,178,174,154,0,5,191,23,27,78,224,0,224,1317,4920
4,State,Haryana,Fatehabad,27,33,2,21,0,21,33,31,2,1,9,9,119,241,168,73,14,7,37,3,5,119,5,13,9,79,0,6,593,1385
5,State,Haryana,Grp,22,4,0,1,0,1,3,2,1,2,0,18,1,473,109,364,23,5,7,3,0,9,5,8,144,0,0,17,454,1199
6,State,Haryana,Gurgaon,84,59,3,45,0,45,58,42,16,5,28,119,492,3124,2480,644,96,99,254,2,2,146,22,30,38,86,0,33,1911,6736
7,State,Haryana,Hissar,91,74,1,25,0,25,84,65,19,5,8,51,320,829,532,297,78,16,179,5,43,316,13,24,17,261,0,11,1370,3821
8,State,Haryana,Jhajjar,51,50,5,36,0,36,42,30,12,7,6,37,185,527,276,251,69,25,47,0,10,110,12,27,30,117,0,210,534,2137
9,State,Haryana,Jind,53,40,4,29,0,29,35,26,9,0,3,43,248,560,366,194,116,65,49,1,14,148,17,27,20,88,0,7,868,2435
10,State,Haryana,Kaithal,30,24,2,28,0,28,27,20,7,6,5,19,160,304,202,102,0,59,19,1,9,204,11,15,0,112,0,6,627,1668
11,State,Haryana,Karnal,49,50,2,52,0,52,33,20,13,5,13,24,269,836,529,307,53,25,135,1,7,285,21,29,22,231,0,256,1049,3447
12,State,Haryana,Kurukshetra,34,21,2,36,0,36,34,26,8,2,3,22,237,727,484,243,0,78,31,5,14,175,13,9,24,79,0,4,986,2536
13,State,Haryana,Mahendragarh,31,19,3,28,0,28,40,36,4,9,0,27,121,339,154,185,112,24,23,0,16,133,7,25,0,86,0,4,788,1835
14,State,Haryana,Mewat,26,36,3,28,0,28,36,19,17,13,20,17,63,407,269,138,130,18,59,1,1,80,5,12,5,150,0,3,796,1909
15,State,Haryana,Palwal,34,44,6,41,0,41,41,27,14,11,11,26,66,617,441,176,150,37,36,0,7,158,14,30,0,89,0,6,882,2306
16,State,Haryana,Panchkula,20,6,1,10,0,10,16,12,4,4,2,7,147,323,202,121,2,115,84,1,2,28,1,10,1,98,0,7,443,1328
17,State,Haryana,Panipat,32,31,10,55,0,55,65,49,16,7,12,41,176,849,639,210,88,27,50,0,5,152,13,22,30,175,0,275,694,2809
18,State,Haryana,Rewari,29,29,0,25,0,25,33,24,9,25,2,63,171,543,409,134,40,34,8,0,6,167,14,16,27,71,0,8,1040,2351
19,State,Haryana,Rohtak,72,53,6,51,0,51,32,19,13,7,27,34,276,855,616,239,59,28,76,1,8,173,17,26,57,87,0,194,938,3077
20,State,Haryana,Sirsa,45,33,1,39,0,39,47,30,17,3,2,14,190,387,272,115,28,13,28,1,19,329,8,9,0,125,0,0,686,2007
21,State,Haryana,Sonipat,81,66,3,27,0,27,75,56,19,9,10,62,215,984,668,316,3,20,104,1,14,222,26,32,36,123,0,305,1057,3475
22,State,Haryana,Yamunanagar,28,47,2,32,0,32,42,35,7,6,5,20,160,478,360,118,1,9,60,0,7,176,6,20,13,155,0,6,747,2020
Total,Total,Total,Total,1005,836,63,720,0,720,963,714,249,147,248,734,4445,16266,11299,4967,1414,919,1662,29,221,3733,284,476,580,2720,0,1595,20060,59120
1,State,Himachal Pradesh,Baddipolicedist,9,6,0,5,0,5,9,6,3,0,0,1,19,50,24,26,17,3,6,0,1,124,0,6,1,4,0,63,44,368
2,State,Himachal Pradesh,Bilaspur,9,10,2,15,0,15,8,6,2,0,0,1,28,69,30,39,32,4,14,0,8,46,0,37,6,32,0,25,792,1138
3,State,Himachal Pradesh,Chamba,5,4,1,13,0,13,22,21,1,0,0,0,77,48,24,24,26,1,5,0,6,72,1,29,1,5,0,58,289,663
4,State,Himachal Pradesh,Cid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
5,State,Himachal Pradesh,G.R.P.,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,1,0,0,1,0,0,0,0,0,0,11,17
6,State,Himachal Pradesh,Hamirpur,11,4,3,11,0,11,19,16,3,0,0,0,46,37,11,26,34,6,29,0,12,222,0,27,23,17,0,25,489,1015
7,State,Himachal Pradesh,Kangra,27,12,2,22,0,22,38,33,5,1,0,1,143,139,49,90,101,16,81,2,26,240,0,60,8,53,0,11,1433,2416
8,State,Himachal Pradesh,Kinnaur,4,0,0,2,0,2,2,2,0,0,0,0,19,3,1,2,33,1,3,0,1,8,0,2,0,4,0,32,83,197
9,State,Himachal Pradesh,Kullu,11,5,0,17,0,17,9,5,4,0,0,0,39,42,7,35,39,1,15,0,2,44,0,23,1,9,0,39,512,808
10,State,Himachal Pradesh,Lahaul- Spiti,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,5,1,1,0,0,0,1,0,1,0,3,0,10,44,67
11,State,Himachal Pradesh,Mandi,11,11,0,19,0,19,19,15,4,0,0,2,88,79,26,53,88,11,52,0,22,164,0,71,13,45,0,50,1043,1788
12,State,Himachal Pradesh,Shimla,20,6,1,21,0,21,23,22,1,0,0,1,121,163,66,97,92,24,31,2,30,47,0,27,4,29,0,120,1028,1790
13,State,Himachal Pradesh,Sirmaur,10,5,1,15,0,15,14,12,2,1,0,1,39,59,30,29,67,10,34,0,7,48,0,36,5,17,0,69,406,844
14,State,Himachal Pradesh,Solan,5,6,1,11,0,11,13,11,2,0,0,0,82,74,39,35,42,9,9,0,4,250,0,12,1,20,0,41,313,893
15,State,Himachal Pradesh,Una,9,4,1,9,0,9,18,13,5,0,0,4,42,67,27,40,43,23,38,0,8,107,1,19,15,37,0,67,528,1040
Total,Total,Total,Total,132,74,12,160,0,160,194,162,32,2,0,11,743,838,334,504,615,110,318,4,127,1374,2,350,78,275,0,610,7020,13049
1,State,Jammu & Kashmir,Anantnag,7,15,0,7,0,7,75,71,4,0,0,4,99,140,37,103,223,10,19,5,18,1,0,112,24,3,0,31,506,1299
2,State,Jammu & Kashmir,Awantipora,2,2,0,2,0,2,17,17,0,0,0,5,19,34,8,26,79,0,5,1,2,0,0,19,3,0,0,27,263,480
3,State,Jammu & Kashmir,Bandipora,14,13,0,4,0,4,45,42,3,0,0,3,33,53,7,46,106,0,5,0,5,0,0,66,9,0,0,0,204,560
4,State,Jammu & Kashmir,Baramulla,10,10,2,7,0,7,57,55,2,0,0,1,81,71,12,59,176,11,12,0,27,0,0,68,12,1,0,0,429,975
5,State,Jammu & Kashmir,Budgam,2,25,4,7,0,7,67,67,0,0,0,10,91,278,27,251,201,5,18,0,17,1,0,93,34,0,0,17,482,1352
6,State,Jammu & Kashmir,Crime Jammu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,1,20
7,State,Jammu & Kashmir,Crime Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,0,0,0,0,0,0,0,0,0,0,32
8,State,Jammu & Kashmir,Doda,5,32,0,21,0,21,59,57,2,0,0,1,49,46,2,44,14,4,11,0,14,15,0,27,6,21,0,4,541,870
9,State,Jammu & Kashmir,Ganderbal,4,3,0,1,0,1,15,15,0,0,0,0,15,32,7,25,66,6,8,1,3,2,0,44,0,1,0,77,87,365
10,State,Jammu & Kashmir,Handwara,10,36,0,1,0,1,36,35,1,1,0,0,19,47,2,45,25,4,10,0,2,1,0,47,7,1,0,0,173,420
11,State,Jammu & Kashmir,Jammu,23,86,5,36,0,36,81,78,3,0,0,1,216,494,315,179,69,42,105,0,16,34,6,36,42,70,0,184,2430,3976
12,State,Jammu & Kashmir,Kargil,1,0,0,0,0,0,1,1,0,0,0,0,11,11,3,8,8,2,1,0,2,0,0,0,0,0,0,6,93,136
13,State,Jammu & Kashmir,Kathua,11,20,2,17,0,17,19,17,2,0,0,1,49,68,23,45,40,5,17,0,13,17,2,26,4,5,0,4,741,1061
14,State,Jammu & Kashmir,Kishtwar,9,24,0,3,0,3,26,23,3,1,0,0,20,20,1,19,0,2,7,1,0,1,0,5,0,5,0,3,211,338
15,State,Jammu & Kashmir,Kulgam,6,15,0,4,0,4,45,40,5,0,0,10,58,61,19,42,115,13,6,1,11,41,0,60,5,1,0,26,234,712
16,State,Jammu & Kashmir,Kupwara,7,25,1,3,0,3,33,30,3,0,0,0,53,53,6,47,107,1,10,1,4,4,0,21,4,1,0,4,195,527
17,State,Jammu & Kashmir,Leh,1,1,0,2,0,2,4,3,1,0,0,0,10,5,0,5,8,1,3,0,0,3,0,3,0,0,0,0,117,158
18,State,Jammu & Kashmir,Poonch,12,37,1,20,0,20,39,34,5,0,0,0,23,31,3,28,132,4,8,0,0,54,0,30,10,16,0,4,529,950
19,State,Jammu & Kashmir,Pulwama,4,10,2,8,0,8,33,31,2,1,0,4,37,80,10,70,172,3,7,3,8,55,0,11,13,0,0,2,164,617
20,State,Jammu & Kashmir,Railways,0,0,0,0,0,0,1,0,1,0,0,0,1,12,1,11,16,1,0,0,0,0,0,0,0,0,0,0,5,36
21,State,Jammu & Kashmir,Railways,1,0,1,1,0,1,0,0,0,0,0,0,0,8,1,7,0,0,0,0,0,0,0,0,0,0,0,0,10,21
22,State,Jammu & Kashmir,Rajouri,15,36,6,36,0,36,47,42,5,2,0,0,44,52,20,32,33,10,15,0,22,30,0,26,4,44,0,38,1000,1460
23,State,Jammu & Kashmir,Ramban,3,9,0,6,0,6,17,17,0,0,0,0,24,37,20,17,17,3,10,1,1,2,0,11,2,0,0,2,491,636
24,State,Jammu & Kashmir,Reasi,5,15,1,8,0,8,12,12,0,0,0,1,29,41,4,37,1,1,9,0,4,2,0,13,1,0,0,3,399,545
25,State,Jammu & Kashmir,Samba,9,13,1,5,0,5,4,4,0,0,0,0,30,42,9,33,27,0,7,1,2,2,1,7,1,6,0,0,502,660
26,State,Jammu & Kashmir,Shopian,4,22,0,9,0,9,47,45,2,0,0,3,38,116,21,95,72,1,11,2,13,0,0,96,5,1,0,9,172,621
27,State,Jammu & Kashmir,Sopore,30,67,0,9,0,9,38,34,4,0,0,3,63,145,8,137,122,2,1,0,18,1,0,59,13,3,0,0,160,734
28,State,Jammu & Kashmir,Srinagar,15,186,0,13,0,13,68,60,8,1,0,12,247,497,388,109,313,14,63,2,20,8,0,130,58,17,0,53,913,2630
29,State,Jammu & Kashmir,Udhampur,7,9,0,15,0,15,10,10,0,0,0,2,47,36,13,23,27,2,6,0,2,4,0,28,5,15,0,0,817,1032
Total,Total,Total,Total,217,711,26,245,0,245,896,840,56,6,0,61,1406,2510,967,1543,2169,150,422,19,224,278,9,1038,262,211,0,494,11869,23223
1,State,Jharkhand,Bokaro,70,7,0,28,0,28,64,64,0,13,0,30,74,654,137,517,128,79,82,0,0,0,26,2,0,70,0,0,1481,2808
2,State,Jharkhand,Chaibasa,119,47,0,48,0,48,24,24,0,12,0,33,14,142,62,80,13,3,28,0,2,7,1,7,0,7,0,26,383,916
3,State,Jharkhand,Chatra,31,36,1,11,0,11,26,21,5,9,0,22,20,76,15,61,82,6,15,0,6,60,18,3,0,9,0,84,408,923
4,State,Jharkhand,Deoghar,58,17,3,33,0,33,28,17,11,16,5,20,126,293,97,196,158,23,22,2,6,331,19,7,2,21,0,19,493,1702
5,State,Jharkhand,Dhanbad,58,31,10,32,0,32,95,83,12,52,3,47,205,897,394,503,209,28,59,3,6,132,31,30,2,34,0,3,1868,3835
6,State,Jharkhand,Dhanbad Rly.,5,0,0,1,0,1,4,3,1,8,0,7,2,185,29,156,8,0,6,3,0,0,1,11,0,0,0,0,95,336
7,State,Jharkhand,Dumka,57,16,4,52,0,52,38,27,11,4,0,8,58,253,42,211,62,17,11,0,7,358,6,8,0,46,0,96,403,1504
8,State,Jharkhand,Garhwa,61,91,0,21,0,21,27,23,4,8,0,40,44,69,13,56,163,3,36,0,18,256,10,11,0,38,0,58,349,1303
9,State,Jharkhand,Giridih,59,55,0,37,0,37,58,18,40,33,0,30,73,293,63,230,316,8,42,0,12,135,39,9,4,63,0,70,1244,2580
10,State,Jharkhand,Godda,57,104,3,26,0,26,42,25,17,4,3,16,45,146,19,127,131,19,28,0,11,299,7,25,0,11,0,42,445,1464
11,State,Jharkhand,Gumla,153,66,11,57,0,57,44,41,3,6,2,31,11,76,33,43,30,17,22,0,12,80,2,8,0,7,1,98,211,945
12,State,Jharkhand,Hazaribagh,69,50,5,30,0,30,53,50,3,17,2,41,68,214,97,117,232,20,58,2,9,476,27,18,0,42,0,11,794,2238
13,State,Jharkhand,Jamshedpur,113,36,15,38,0,38,89,58,31,14,1,36,171,947,494,453,160,50,102,0,18,749,15,9,3,55,0,175,778,3574
14,State,Jharkhand,Jamshedpur Rly.,8,0,1,0,0,0,4,1,3,1,0,8,1,165,13,152,0,0,3,0,0,15,0,1,0,0,0,1,40,248
15,State,Jharkhand,Jamtara,25,54,1,9,0,9,9,7,2,8,0,10,17,59,29,30,49,5,9,0,3,0,2,9,0,0,0,0,256,525
16,State,Jharkhand,Khunti,71,7,2,2,0,2,7,2,5,6,0,13,6,43,9,34,4,20,8,0,0,7,0,2,0,4,4,53,47,306
17,State,Jharkhand,Koderma,29,44,1,15,0,15,23,13,10,7,0,8,21,85,25,60,60,19,52,0,3,144,8,6,0,21,0,78,303,927
18,State,Jharkhand,Latehar,43,32,0,16,0,16,25,14,11,11,0,12,17,70,17,53,27,3,15,0,9,35,3,0,0,8,0,45,84,455
19,State,Jharkhand,Lohardagga,35,0,1,39,0,39,24,0,24,6,0,13,19,46,4,42,19,20,30,0,4,63,0,0,0,25,0,43,126,513
20,State,Jharkhand,Pakur,32,4,6,45,0,45,17,15,2,2,1,8,15,79,4,75,77,8,8,0,6,34,1,11,0,31,0,38,308,731
21,State,Jharkhand,Palamu,89,151,0,27,0,27,63,15,48,25,0,49,68,173,42,131,193,37,62,0,29,290,23,21,0,22,0,81,698,2101
22,State,Jharkhand,Ramgarh,40,10,3,13,0,13,23,16,7,9,0,15,27,105,69,36,54,19,43,1,5,138,5,10,2,39,1,94,276,932
23,State,Jharkhand,Ranchi,183,55,8,92,0,92,128,113,15,34,1,160,174,1683,884,799,198,65,168,4,10,490,22,14,3,53,2,490,1825,5862
24,State,Jharkhand,Sahebganj,71,51,3,51,0,51,33,29,4,4,1,11,24,102,17,85,57,18,25,1,1,127,4,12,0,25,0,16,270,907
25,State,Jharkhand,Saraikela,65,49,4,32,0,32,16,12,4,15,0,24,45,198,90,108,13,12,51,0,2,0,6,8,0,17,0,91,238,886
26,State,Jharkhand,Simdega,88,15,0,18,0,18,14,5,9,11,0,17,12,37,11,26,4,6,3,0,6,45,0,3,0,2,0,33,54,368
Total,Total,Total,Total,1689,1028,82,773,0,773,978,696,282,335,19,709,1357,7090,2709,4381,2447,505,988,16,185,4271,276,245,16,650,8,1745,13477,38889
1,State,Karnataka,Bagalkot,51,28,0,9,0,9,11,6,5,0,0,24,92,149,71,78,164,8,46,1,4,244,5,67,0,59,0,0,1227,2189
2,State,Karnataka,Bangalore Commr.,266,445,5,65,0,65,513,29,484,66,246,641,1335,10568,6407,4161,349,139,3073,72,7,3153,52,308,50,398,0,104,10333,32188
3,State,Karnataka,Bangalore Rural,100,50,1,16,0,16,30,18,12,15,2,81,261,686,388,298,240,16,83,0,0,510,8,48,0,55,0,0,2410,4612
4,State,Karnataka,Belgaum,124,106,2,42,0,42,62,44,18,14,2,61,239,567,320,247,572,26,243,9,12,1053,10,222,8,273,0,39,3777,7463
5,State,Karnataka,Bellary,58,40,0,12,0,12,20,15,5,8,1,28,150,270,179,91,228,9,77,5,16,440,13,80,0,99,0,16,1844,3414
6,State,Karnataka,Bidar,41,39,1,8,0,8,26,19,7,5,0,17,114,149,54,95,165,16,48,2,15,882,6,26,1,88,0,8,1942,3599
7,State,Karnataka,Bijapur,59,49,1,13,0,13,43,27,16,4,2,23,126,135,71,64,294,16,100,2,3,551,5,58,0,160,0,0,1615,3259
8,State,Karnataka,Cbpura,39,41,11,9,0,9,30,18,12,3,1,29,109,257,98,159,248,14,56,1,0,355,5,34,0,41,0,0,1050,2333
9,State,Karnataka,Chamarajnagar,31,18,0,12,0,12,6,5,1,1,0,7,72,134,46,88,124,2,19,1,0,488,3,53,0,52,0,0,914,1937
10,State,Karnataka,Chickmagalur,26,32,2,19,0,19,28,21,7,7,1,26,122,179,70,109,152,6,46,5,6,846,11,63,3,90,0,4,1491,3165
11,State,Karnataka,Chitradurga,40,34,3,26,0,26,39,38,1,4,0,40,101,275,123,152,388,7,63,4,17,951,7,158,0,99,0,0,2496,4752
12,State,Karnataka,Dakshin Kannada,43,47,1,16,0,16,16,9,7,8,0,40,218,391,184,207,194,9,151,19,15,412,1,67,2,62,0,17,2467,4196
13,State,Karnataka,Davanagere,29,25,6,16,0,16,20,20,0,5,0,27,127,270,140,130,270,13,59,3,0,393,9,91,1,120,0,0,1575,3059
14,State,Karnataka,Dharwad Commr.,17,16,0,1,0,1,20,13,7,4,1,62,128,348,199,149,86,15,154,3,9,159,0,16,3,45,0,5,1129,2221
15,State,Karnataka,Dharwad Rural,28,33,1,8,0,8,14,11,3,0,0,11,40,56,11,45,128,6,13,0,3,207,0,44,0,23,0,0,872,1487
16,State,Karnataka,Gadag,27,11,0,6,0,6,8,0,8,1,1,6,46,62,24,38,96,3,19,0,1,140,1,35,0,53,0,127,464,1107
17,State,Karnataka,Gulbarga,89,103,3,34,0,34,75,56,19,26,17,87,216,349,159,190,456,19,81,2,31,927,6,56,0,152,0,20,2050,4799
18,State,Karnataka,Hassan,61,83,4,23,0,23,34,25,9,13,1,81,267,374,183,191,322,10,123,3,0,1432,14,134,0,180,0,0,3045,6204
19,State,Karnataka,Haveri,28,23,4,6,0,6,23,0,23,3,0,10,64,126,57,69,220,10,46,0,0,303,2,65,0,65,0,0,1247,2245
20,State,Karnataka,K.G.F.,16,12,0,7,0,7,16,14,2,0,1,10,57,88,37,51,55,0,17,1,0,283,8,20,0,26,0,51,323,991
21,State,Karnataka,Kodagu,37,30,0,20,0,20,15,7,8,3,0,20,116,113,27,86,44,4,31,1,3,769,1,57,0,61,0,5,869,2199
22,State,Karnataka,Kolar,40,54,2,12,0,12,18,5,13,2,2,18,73,212,129,83,196,17,20,1,0,261,4,29,0,12,0,0,939,1912
23,State,Karnataka,Koppal,28,27,14,10,0,10,21,0,21,6,0,9,92,117,60,57,153,6,37,0,0,193,2,29,0,46,0,0,1161,1951
24,State,Karnataka,Mandya,83,62,1,30,0,30,47,35,12,9,2,56,303,564,256,308,384,16,111,3,44,1407,10,117,0,185,0,0,3192,6626
25,State,Karnataka,Mysore Commr.,30,51,0,7,0,7,24,18,6,6,6,199,203,855,564,291,95,10,276,9,0,238,4,22,0,59,0,0,1313,3407
26,State,Karnataka,Mysore Rural,80,72,0,43,0,43,37,25,12,8,1,34,294,338,117,221,303,12,47,1,0,1029,13,93,0,161,0,0,1898,4464
27,State,Karnataka,Raichur,49,47,3,31,0,31,38,32,6,1,0,12,80,149,65,84,291,10,107,0,3,597,3,105,0,195,0,16,1612,3349
28,State,Karnataka,Railways,14,0,0,1,0,1,2,0,2,0,3,29,2,436,10,426,5,0,6,5,0,18,1,0,0,0,0,15,43,580
29,State,Karnataka,Ramanagar,89,72,0,14,0,14,38,24,14,10,4,70,244,512,233,279,275,8,57,11,28,531,22,53,0,76,0,0,2326,4440
30,State,Karnataka,Shimoga,34,58,2,17,0,17,31,24,7,15,1,44,231,403,232,171,495,6,144,2,21,1268,4,113,8,277,0,10,2655,5839
31,State,Karnataka,Tumkur,88,57,4,25,0,25,29,14,15,15,3,87,255,652,217,435,278,11,85,5,34,773,14,107,0,78,0,16,2485,5101
32,State,Karnataka,Udupi,15,17,1,12,0,12,7,3,4,5,2,40,139,142,51,91,134,5,54,16,2,315,1,31,1,38,0,13,1709,2699
33,State,Karnataka,Uttar Kannada,22,17,22,11,0,11,13,11,2,2,0,17,84,100,33,67,104,15,27,2,7,366,0,78,3,66,0,0,2037,2993
34,State,Karnataka,Yadgiri,23,51,0,5,0,5,20,0,20,3,0,3,59,67,25,42,202,0,24,3,5,341,3,65,3,47,0,5,613,1542
Total,Total,Total,Total,1805,1850,94,586,0,586,1374,586,788,272,300,1949,6059,20093,10840,9253,7710,464,5543,192,286,21835,248,2544,83,3441,0,471,65123,142322
1,State,Kerala,Alapuzha,27,27,10,40,0,40,21,20,1,6,0,43,171,287,116,171,443,15,228,0,18,1234,0,176,45,259,0,2,4790,7842
2,State,Kerala,Ernakulam Commr.,4,11,3,20,0,20,8,5,3,2,15,34,79,233,99,134,244,15,313,2,2,282,2,67,23,146,0,3,24227,25735
3,State,Kerala,Ernakulam Rural,25,17,11,42,0,42,14,11,3,3,2,56,130,301,73,228,323,10,168,5,13,886,1,146,44,203,0,0,9825,12225
4,State,Kerala,Idukki,15,37,2,33,0,33,7,4,3,1,0,11,111,145,27,118,307,12,173,5,11,1319,0,177,13,208,0,0,6033,8620
5,State,Kerala,Kannur,26,19,6,23,0,23,11,6,5,12,2,61,148,156,63,93,935,20,117,1,58,1237,0,131,9,300,0,4,2574,5850
6,State,Kerala,Kasargod,8,9,1,23,0,23,9,1,8,1,1,22,106,108,50,58,428,30,118,0,34,807,1,93,28,194,0,4,1213,3238
7,State,Kerala,Kollam,40,30,8,55,0,55,36,32,4,6,26,37,271,400,127,273,894,25,207,2,23,2142,4,364,10,581,0,4,6714,11879
8,State,Kerala,Kottayam,17,23,8,46,0,46,11,7,4,2,5,32,165,246,65,181,423,27,306,1,10,1708,0,236,66,257,0,0,4562,8151
9,State,Kerala,Kozhikode Commr.,7,3,0,16,0,16,11,7,4,2,22,73,175,363,183,180,265,32,130,3,16,500,1,70,70,164,0,0,2015,3938
10,State,Kerala,Kozhikode Rural,16,31,1,35,0,35,17,14,3,9,6,16,141,119,48,71,838,8,147,1,64,1096,1,146,12,321,0,3,4330,7358
11,State,Kerala,Malappuram,14,34,5,49,0,49,21,13,8,8,12,41,217,306,137,169,705,24,286,11,14,855,0,156,29,658,0,6,5745,9196
12,State,Kerala,Palakkad,42,24,4,49,0,49,11,9,2,2,2,13,177,186,57,129,523,41,205,9,24,1138,4,96,11,352,0,3,7533,10449
13,State,Kerala,Pathanamthitta,19,13,0,29,0,29,11,10,1,1,8,24,101,180,50,130,328,12,105,0,10,905,2,132,51,124,0,0,2916,4971
14,State,Kerala,Railways,1,0,0,0,0,0,1,0,1,0,15,9,2,223,0,223,6,0,1,0,0,41,0,12,4,0,0,0,18,333
15,State,Kerala,Thrissur,30,37,13,49,0,49,16,9,7,6,27,43,145,296,104,192,791,13,298,1,34,931,1,205,39,400,0,9,8036,11420
16,State,Kerala,Trivandrum Commr.,15,16,3,27,0,27,22,14,8,4,41,76,221,424,159,265,477,28,409,8,9,829,3,194,41,135,0,2,2668,5652
17,State,Kerala,Trivandrum Rural,42,26,11,68,0,68,31,21,10,8,35,42,246,342,115,227,610,26,280,5,27,1923,1,476,28,367,0,3,4099,8696
18,State,Kerala,Wayanadu,15,4,0,30,0,30,3,1,2,1,2,3,76,65,13,52,184,5,90,0,7,699,1,59,14,128,0,4,1370,2760
