SI. No.,Category,States/ UTs,Districts,Murder (Sec.302 IPC),Attempt to Commit Murder (Sec. 307 IPC),"C.h. Not Amounting Murder (Sec.304 , 308 IPC)",Rape (Sec. 376 IPC) - Total,Rape (Sec. 376 IPC) - Custodial,Rape (Sec. 376 IPC) - Other,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Others",Dacoity (Sec. 395-398 IPC),Preparation & Assembly for Dacoity (Sec.399-402 IPC),"Robbery (Sec.392-394, 397,398 IPC)","Burglary (Sec.449-452,454,455,457-460 IPC)",Theft (Sec.379 – 382 IPC) Total,Theft (Sec.379 – 382 IPC) - Auto theft,Theft (Sec.379 – 382 IPC) - Other Theft,"Riots (Sec.143-145, 147-151, 153, 153A,153B,157,158,160 IPC)",Criminal Breach of Trust (Sec.406-409 IPC),"Cheating (Sec.419,420 IPC)","Counterfeiting (Sec.231-254, 489A-489D IPC)","Arson (Sec.435,436,438 IPC)","Hurt (Sec.323-333,335-338 IPC)",Dowry Deaths (Sec.304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec.509 IPC),Cruelty by Husband and Relatives (Sec. 498 A IPC),Importation Of Girls (Sec.366B IPC),Causing Death By Negligence (Sec. 304A IPC),Other IPC Crimes,Total Cognizable Crimes Under IPC
2,Union Territory,Delhi UT,Central,25,11,3,20,0,20,126,62,64,0,0,35,65,1350,791,559,5,20,352,3,1,152,2,25,3,62,0,9,559,2828
3,Union Territory,Delhi UT,Crime Branch,0,5,0,0,0,0,1,0,1,0,0,0,0,8,0,8,0,0,27,2,0,0,0,0,0,0,0,0,18,61
4,Union Territory,Delhi UT,East,57,54,8,47,0,47,357,192,165,7,0,81,204,3443,2617,826,14,26,174,1,7,196,12,83,8,163,0,182,1599,6723
5,Union Territory,Delhi UT,Eow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,84,0,0,0,0,0,0,0,0,0,65,150
6,Union Territory,Delhi UT,GRP(Rly),12,5,0,2,0,2,23,5,18,2,0,9,0,647,32,615,1,7,8,1,1,11,0,3,0,0,0,1,83,816
7,Union Territory,Delhi UT,IGI Airport,0,0,0,0,0,0,13,0,13,0,0,0,1,85,31,54,0,3,12,0,0,0,0,7,0,0,0,13,569,703
8,Union Territory,Delhi UT,New Delhi,6,4,2,16,0,16,29,21,8,1,0,19,33,579,194,385,3,18,97,14,1,30,0,20,10,2,0,65,503,1452
9,Union Territory,Delhi UT,North,30,16,7,7,0,7,161,88,73,0,0,24,75,1166,604,562,1,25,109,1,7,142,8,23,8,63,0,19,997,2889
10,Union Territory,Delhi UT,North-East,68,27,7,51,0,51,458,252,206,5,1,57,81,2544,1821,723,6,12,90,0,5,276,24,68,5,216,0,162,899,5062
11,Union Territory,Delhi UT,North-West,60,49,4,50,0,50,260,132,128,8,5,178,225,2411,1472,939,2,20,112,0,5,177,11,62,5,163,0,24,1185,5016
12,Union Territory,Delhi UT,Outer,98,42,7,49,0,49,457,260,197,4,4,39,234,2129,1540,589,3,23,141,0,5,245,21,64,9,124,0,26,1771,5495
13,Union Territory,Delhi UT,South,35,21,5,59,0,59,240,144,96,4,12,47,203,2454,1677,777,0,30,200,5,4,104,9,66,10,79,0,35,1686,5308
14,Union Territory,Delhi UT,South-East,48,25,11,80,0,80,369,189,180,0,8,32,142,2345,1516,829,10,44,179,3,3,238,13,92,10,60,0,326,1568,5606
15,Union Territory,Delhi UT,South-West,63,20,3,54,0,54,363,203,160,1,0,30,83,1339,919,420,7,15,92,0,2,144,24,28,5,94,0,11,1125,3503
16,Union Territory,Delhi UT,STF,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,6,18
17,Union Territory,Delhi UT,West,63,29,14,72,0,72,350,192,158,0,1,48,156,2588,1752,836,1,29,161,2,11,210,19,60,7,191,0,41,1422,5475
