Category (Col. 1),Crime Head (Col. 2),Below 18 Years (Col. 3) - Male,Below 18 Years (Col. 4) - Female,18 - 30 Years (Col. 5) - Male,18 - 30 Years (Col. 6) - Female,30 - 45 Years (Col. 7) - Male,30 - 45 Years (Col. 8) - Female,45 - 60 Years (Col. 9) - Male,45 - 60 Years (Col. 10) - Female,60 Years & Above (Col. 11) - Male,60 Years & Above (Col. 12) - Female,Total of Overall Age-Group (Col. 13) - Male,Total of Overall Age-Group (Col. 14) - Female,Grand Total of All Persons (Col. 15) = Col. (13+14)
A. IPC CRIMES,"Counterfeiting (Sec.231-254,489a-489d)",12,0,995,19,945,16,220,8,17,0,2189,43,2232
A. IPC CRIMES,"Arson (Sec 435, 436, 438 IPC)",72,3,4449,99,4365,130,1361,44,132,12,10379,288,10667
A. IPC CRIMES,"Hurt (Sec 323-333, 335-338 IPC)",4301,241,207833,13168,173190,14740,70409,5839,9170,887,464903,34875,499778
A. IPC CRIMES,Dowry Deaths (Section 304b IPC),51,18,8116,1574,6410,1909,3324,1299,442,137,18343,4937,23280
A. IPC CRIMES,Molestation (Section 354 IPC),594,4,26198,637,16804,664,4554,219,317,33,48467,1557,50024
A. IPC CRIMES,Sexual Harassment (Sec 509 IPC),195,1,6383,94,2887,86,698,20,35,5,10198,206,10404
A. IPC CRIMES,Cruelty by Husband and Relatives (Sec 498a IPC),162,141,57813,12882,51492,14932,25588,10932,4279,2192,139334,41079,180413
A. IPC CRIMES,Importation of Girls (Sec 366b IPC),0,3,35,3,31,3,3,2,1,0,70,11,81
A. IPC CRIMES,Causing Death by Negligence (Sec 304a IPC),218,2,37415,141,35841,129,13710,49,559,6,87743,327,88070
A. IPC CRIMES,Other IPC Crimes,6247,379,468068,22822,401855,23260,175575,10306,21700,1702,1073445,58469,1131914
A. IPC CRIMES,Total Cognizable Crimes Under IPC,26160,1311,1261797,66141,1017867,72627,411061,35569,48538,6051,2765423,181699,2947122
B. SLL CRIMES,Arms Act,163,1,50393,59,24586,37,4885,0,154,1,80181,98,80279
B. SLL CRIMES,Narcotic Drugs & Psychotropic Substances Act,90,3,16031,272,12803,657,4093,238,338,19,33355,1189,34544
B. SLL CRIMES,Gambling Act,422,4,150172,348,139848,482,55556,168,5617,25,351615,1027,352642
B. SLL CRIMES,Excise Act,260,21,83137,1781,67096,2639,27933,1022,1996,71,180422,5534,185956
B. SLL CRIMES,Prohibition Act,280,52,109281,24416,136247,43480,67401,23238,9234,2523,322443,93709,416152
B. SLL CRIMES,Explosives & Explosive Substances Act,13,0,2129,7,2104,12,523,5,56,1,4825,25,4850
B. SLL CRIMES,Immoral Traffic (P) Act,1,9,1445,1907,1472,1252,391,257,32,9,3341,3434,6775
B. SLL CRIMES,Indian Railways Act,2,0,53,0,27,0,3,0,0,0,85,0,85
B. SLL CRIMES,The foreigners Act,44,12,916,107,1000,100,207,42,17,4,2184,265,2449
B. SLL CRIMES,Protection of Civil Rights Act - Total,0,0,133,1,182,2,35,0,0,0,350,3,353
B. SLL CRIMES,Protection of Civil Rights Act - (i) Pcr Act for Scs,0,0,130,1,176,2,33,0,0,0,339,3,342
B. SLL CRIMES,Protection of Civil Rights Act - (ii) Pcr Act for Sts,0,0,3,0,6,0,2,0,0,0,11,0,11
B. SLL CRIMES,Indian Passport Act,13,7,435,85,686,54,194,14,9,0,1337,160,1497
B. SLL CRIMES,Essential Commodities Act,14,0,3995,31,5392,69,2143,22,117,12,11661,134,11795
B. SLL CRIMES,Terrorist & Disruptive Activities Act,0,0,0,0,0,0,0,0,0,0,0,0,0
B. SLL CRIMES,Antiquities & Art Treasures Act,0,0,47,0,54,0,1,0,0,0,102,0,102
B. SLL CRIMES,Dowry Prohibition Act,1,2,3155,559,4373,855,2117,571,394,53,10040,2040,12080
B. SLL CRIMES,Prohibition of Child Marriage Act ##,0,1,39,3,74,21,41,8,14,3,168,36,204
B. SLL CRIMES,Indecent Representation of Women (P) Act,0,0,449,307,131,56,14,0,1,0,595,363,958
B. SLL CRIMES,Copyright Act,22,2,4633,11,3944,12,979,2,63,0,9641,27,9668
B. SLL CRIMES,Sati Prevention Act,0,0,0,0,0,0,0,0,0,0,0,0,0
B. SLL CRIMES,Sc/st (prevention of Atrocities) Act - Total,32,0,6721,228,7709,346,3202,141,280,22,17944,737,18681
B. SLL CRIMES,Sc/st (prevention of Atrocities) Act - (i) Prevention of Attrocities Act for Scs,29,0,6089,186,6879,309,2926,121,246,16,16169,632,16801
B. SLL CRIMES,Sc/st (prevention of Atrocities) Act - (ii) Prevention of Attrocities Act for Sts,3,0,632,42,830,37,276,20,34,6,1775,105,1880
B. SLL CRIMES,forest Act,9,0,3391,6,3319,1,1333,1,59,0,8111,8,8119
B. SLL CRIMES,Other SLL Crimes #,1237,115,1605023,15484,1176483,16370,844306,7782,27631,1195,3654680,40946,3695626
B. SLL CRIMES,Total Cognizable Crimes Under SLL,2603,229,2041578,45612,1587530,66445,1015357,33511,46012,3938,4693080,149735,4842815
C. Grand Total (A+B),C. Grand Total (A+B),28763,1540,3303375,111753,2605397,139072,1426418,69080,94550,9989,7458503,331434,7789937
