Sr. No.,Category,States/ UTs/ Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Total - Number,Railways - Total - Value,Railways - Running Train - Number,Railways - Running Train - Value,Railways - Others in Railways - Number,Railways - Others in Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
19,State,Nagaland,33,97.7,0,0,0,0,0,0,0,0,0,0,0,0,13,5,16,0.7,62,103.5
20,State,Odisha,1694,649.2,1,8.8,0,0,1,0.3,0,0,1,0.3,10,16.5,458,245.1,691,684.8,2855,1604.6
21,State,Punjab,1454,879.5,7,7.4,0,0,0,0,0,0,0,0,19,27.3,627,403.2,554,601.9,2661,1919.3
22,State,Rajasthan,2947,625.1,0,0,0,0,0,0,0,0,0,0,25,3.3,1020,427.1,722,1173.2,4714,2228.7
23,State,Sikkim,59,39.2,0,0,0,0,0,0,0,0,0,0,0,0,7,15.8,6,1.4,72,56.3
24,State,Tamil Nadu,3563,1815.3,3,2.1,0,0,0,0,0,0,0,0,11,92.9,520,323.5,618,244.1,4715,2477.9
25,State,Tripura,107,18.4,0,0,0,0,0,0,0,0,0,0,1,0.3,52,20.9,61,12.3,221,51.9
26,State,Uttar Pradesh,3430,1581.1,6,1.9,0,0,3,0.3,0,0,3,0.3,0,0,349,226.5,1127,502.5,4915,2312.2
27,State,Uttarakhand,202,126.2,0,0,0,0,0,0,0,0,0,0,0,0,43,39.2,65,27,310,192.5
28,State,West Bengal,253,167,2,10.5,0,0,0,0,0,0,0,0,0,0,32,82.2,101,98,388,357.8
State,State,Total (States),57119,26848.5,474,200.7,0,0,114,38.6,18,7.9,96,30.7,261,380.5,12603,9477.6,17661,9632.8,88232,46578.7
29,Union Territory,A & N Islands,46,15.3,0,0,0,0,0,0,0,0,0,0,0,0,3,0.8,31,3.5,80,19.6
30,Union Territory,Chandigarh,138,99.4,0,0,0,0,0,0,0,0,0,0,1,0,85,36.7,12,2.7,236,138.8
31,Union Territory,D & N Haveli,11,6.3,0,0,0,0,0,0,0,0,0,0,0,0,5,1,9,8.3,25,15.6
32,Union Territory,Daman & Diu,10,12.3,0,0,0,0,0,0,0,0,0,0,0,0,15,36.3,2,0.1,27,48.7
33,Union Territory,Delhi,1074,1017.8,0,0,0,0,0,0,0,0,0,0,0,0,222,235.3,206,621.9,1502,1874.9
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.3,5,0.3
35,Union Territory,Puducherry,47,28.3,0,0,0,0,0,0,0,0,0,0,0,0,14,5.9,11,1.7,72,35.9
Union Territory,Union Territory,Total (UTs),1326,1179.3,0,0,0,0,0,0,0,0,0,0,1,0,344,316,276,638.4,1947,2133.8
Total (All-India),Total (All-India),Total (All-India),58445,28027.8,474,200.7,0,0,114,38.6,18,7.9,96,30.7,262,380.5,12947,9793.6,17937,10271.2,90179,48712.5
36,City,Agra,99,52.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,11.1,132,63.5
37,City,Ahmedabad,587,423.2,0,0,0,0,0,0,0,0,0,0,0,0,155,134.8,57,104.6,799,662.6
38,City,Allahabad,114,47.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13.9,129,61
39,City,Amritsar,65,31.1,0,0,0,0,0,0,0,0,0,0,3,1.2,12,9.7,3,6.7,83,48.8
40,City,Asansol,4,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,5,0.5
41,City,Bengaluru,850,482.7,0,0,0,0,0,0,0,0,0,0,9,2.3,121,18.6,355,28.7,1335,532.3
42,City,Bhopal,758,256.8,0,0,0,0,0,0,0,0,0,0,0,0,86,5.1,0,0,844,261.9
43,City,Chennai,257,112,0,0,0,0,0,0,0,0,0,0,0,0,82,65.2,44,43.9,383,221.1
44,City,Coimbatore,100,42.9,0,0,0,0,0,0,0,0,0,0,0,0,34,14,8,3,142,59.9
45,City,Delhi (city),1011,938.5,0,0,0,0,0,0,0,0,0,0,0,0,182,185.9,162,542,1355,1666.5
46,City,Dhanbad,101,28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,28.5
47,City,Faridabad,154,99.8,0,0,0,0,0,0,0,0,0,0,0,0,94,3.5,29,9.2,277,112.4
48,City,Hyderabad,324,365.4,0,0,0,0,0,0,0,0,0,0,0,0,149,182.7,433,548.1,906,1096.3
49,City,Indore,648,239.3,0,0,0,0,0,0,0,0,0,0,0,0,35,9,6,6.2,689,254.4
50,City,Jabalpur,258,66.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,0,260,67.1
51,City,Jaipur,566,223.3,0,0,0,0,0,0,0,0,0,0,3,0.5,184,87.6,21,9.1,774,320.6
52,City,Jamshedpur,105,47.2,0,0,0,0,0,0,0,0,0,0,0,0,45,20.2,0,0,150,67.4
53,City,Kanpur,234,280.2,0,0,0,0,0,0,0,0,0,0,0,0,5,0.8,28,5.5,267,286.5
54,City,Kochi,46,44,0,0,0,0,0,0,0,0,0,0,0,0,16,12.4,17,1.4,79,57.9
55,City,Kolkata,41,97.2,0,0,0,0,0,0,0,0,0,0,0,0,18,57.9,7,12.8,66,167.9
56,City,Lucknow,391,181.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24.9,415,206.1
57,City,Ludhiana,62,17.4,0,0,0,0,0,0,0,0,0,0,1,12,70,21.4,80,162.5,213,213.3
58,City,Madurai,45,41.8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,12.8,65,54.6
59,City,Meerut,92,44.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7.4,109,52.3
60,City,Mumbai,1662,2409.4,0,0,0,0,0,0,0,0,0,0,4,11.1,918,1625.5,475,919.3,3059,4965.3
61,City,Nagpur,432,226.7,0,0,0,0,0,0,0,0,0,0,1,0,81,48.5,85,23.9,599,299.1
62,City,Nasik,366,259,0,0,0,0,0,0,0,0,0,0,3,0.4,122,76.2,37,25.9,528,361.5
63,City,Patna,376,1.4,0,0,0,0,0,0,0,0,0,0,0,0,27,0.4,76,1.4,479,3.2
64,City,Pune,916,820.2,0,0,0,0,0,0,0,0,0,0,2,0.3,202,276.9,130,69.6,1250,1167
65,City,Rajkot,152,86.3,0,0,0,0,2,0.2,0,0,2,0.2,1,0,53,87.4,35,7.1,243,181.1
66,City,Surat,165,143.8,0,0,0,0,0,0,0,0,0,0,1,0.2,33,22.7,74,30,273,196.6
67,City,Vadodara,239,140.5,0,0,0,0,0,0,0,0,0,0,1,0,58,134,21,9,319,283.5
68,City,Varanasi,23,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3.7,41,9.6
69,City,Vijayawada,149,82.8,0,0,0,0,0,0,0,0,0,0,0,0,58,47.8,21,6,228,136.7
70,City,Vishakhapatnam,177,64.3,0,0,0,0,0,0,0,0,0,0,1,0,47,35.2,110,28.6,335,128.1
