Sr. No.,Category,Crime Head,2006,2007,2008,2009,2010
15,B. SLL CRIMES,Terrorist & Disruptive Activities Act,0,0,0,0,0
16,B. SLL CRIMES,Antiquities & Art Treasures Act,1.5,1.9,1.8,1.9,1.8
17,B. SLL CRIMES,Dowry Prohibition Act,1.7,1.8,1.9,1.8,2.3
18,B. SLL CRIMES,Prohibition of Child Marriage Act ##,3.1,2.3,2.8,0.3,3.4
19,B. SLL CRIMES,Indecent Representation of Women (P) Act,1.1,1,1.1,1,1.1
20,B. SLL CRIMES,Copyright Act,1.2,1.2,1.3,1.3,1.2
21,B. SLL CRIMES,Sati Prevention Act,0,0,7,0,0
22,B. SLL CRIMES,Sc/st (prevention of Atrocities) Act - Total,1.7,1.9,1.8,1.7,1.6
23,B. SLL CRIMES,Sc/st (prevention of Atrocities) Act - (i) Prevention of Attrocities Act for Scs,1.8,1.9,1.9,1.7,1.6
24,B. SLL CRIMES,Sc/st (prevention of Atrocities) Act - (ii) Prevention of Attrocities Act for Sts,1.5,1.6,1.8,1.7,1.6
25,B. SLL CRIMES,forest Act,1.6,1.5,1.5,1.5,1.4
26,B. SLL CRIMES,Other SLL Crimes #,1,1,1.1,1,1
B. SLL CRIMES,B. SLL CRIMES,Total Cognizable Crimes Under SLL,1.1,1.1,1.1,1.1,1.1
