Sr. No.,Category,States/ UTs/ Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Total - Number,Railways - Total - Value,Railways - Running Train - Number,Railways - Running Train - Value,Railways - Others in Railways - Number,Railways - Others in Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
14,State,Madhya Pradesh,8027,2354.6,845,351.8,43,4,1444,337.8,929,249.7,515,88.1,35,5,1890,599.8,9293,2944.7,21577,6597.8
15,State,Maharashtra,10930,6547.8,370,270.8,75,167.9,3368,989.3,1659,611,1709,378.3,32,200.4,3826,2801.1,33964,25430.4,52565,36407.8
16,State,Manipur,68,50.3,60,44.3,1,0.1,0,0,0,0,0,0,0,0,22,54.2,266,153.2,417,302.1
17,State,Meghalaya,235,51.3,13,9.7,0,0,0,0,0,0,0,0,0,0,19,13.3,397,298.9,664,373.1
18,State,Mizoram,568,224.8,0,0,0,0,0,0,0,0,0,0,0,0,39,16.1,216,105.9,823,346.7
19,State,Nagaland,266,1959.3,23,23.1,0,0,0,0,0,0,0,0,0,0,36,19.1,72,233.3,397,2234.7
20,State,Odisha,1664,1723.2,93,117.1,0,0,621,217.3,427,151.2,194,66.2,2,0.6,761,756.2,4431,3823.8,7572,6638.2
21,State,Punjab,1624,1418.6,121,173.7,0,0,47,27.6,9,10,38,17.6,3,0.4,814,929.5,2837,2430,5446,4979.8
22,State,Rajasthan,2676,1073.3,311,227.2,12,0.3,477,87.3,339,62.3,138,25,4,0.7,621,202.2,18223,8293.7,22324,9884.7
23,State,Sikkim,35,22,0,0,0,0,0,0,0,0,0,0,0,0,5,0.1,13,6.2,53,28.4
24,State,Tamil Nadu,4437,1530.6,551,155.3,24,3.6,306,57.2,194,48.6,112,8.7,0,0,1970,589.8,7295,2307.6,14583,4644.1
25,State,Tripura,166,24,0,0,0,0,0,0,0,0,0,0,1,0.2,146,31.2,144,61.8,457,117.2
26,State,Uttar Pradesh,3541,1186.9,14090,4016.6,0,0,2412,332.4,2126,320.9,286,11.6,0,0,821,635.9,10289,1509.1,31153,7681
27,State,Uttarakhand,445,143.3,9,2.9,0,0,31,4,0,0,31,4,0,0,198,91.1,1455,567.9,2138,809.1
28,State,West Bengal,6214,9009.4,114,153.3,0,0,1061,147,667,110.8,394,36.2,0,0,1649,7527.2,10351,9707.6,19389,26544.5
State,State,Total (States),75973,39805.6,19391,6907.6,250,192.3,14409,3497.6,9202,2468.3,5207,1029.3,470,437.7,27254,19755.1,167226,90514.9,304973,161110.7
29,Union Territory,A & N Islands,20,6.9,0,0,0,0,0,0,0,0,0,0,2,2,8,2,91,40.3,121,51.2
30,Union Territory,Chandigarh,832,535.3,0,0,0,0,0,0,0,0,0,0,1,0,542,389.8,106,52.1,1481,977.2
31,Union Territory,D & N Haveli,29,30.8,0,0,0,0,0,0,0,0,0,0,0,0,8,4.3,26,27.9,63,62.9
32,Union Territory,Daman & Diu,7,3.4,0,0,0,0,0,0,0,0,0,0,0,0,11,32.3,29,28.4,47,64.1
33,Union Territory,Delhi,5454,4510.1,142,18.8,0,0,767,474.1,97,58.2,670,415.8,87,6.3,1202,829.9,15436,10149.3,23088,15988.5
34,Union Territory,Lakshadweep,5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.2
35,Union Territory,Puducherry,45,14,0,0,0,0,0,0,0,0,0,0,0,0,22,29.2,467,145.1,534,188.2
Union Territory,Union Territory,Total (UTs),6392,5100.7,142,18.8,0,0,767,474.1,97,58.2,670,415.8,90,8.3,1793,1287.4,16155,10443,25339,17332.3
Total (All-India),Total (All-India),Total (All-India),82365,44906.3,19533,6926.4,250,192.3,15176,3971.7,9299,2526.5,5877,1445.1,560,445.9,29047,21042.6,183381,100957.9,330312,178442.9
36,City,Agra,102,49.8,1214,185.4,0,0,0,0,0,0,0,0,0,0,33,5.3,357,64.4,1706,305
37,City,Ahmedabad,525,233,0,0,0,0,0,0,0,0,0,0,0,0,497,210.6,3637,1661.3,4659,2104.8
38,City,Allahabad,44,47.5,481,52.9,0,0,0,0,0,0,0,0,0,0,31,27.8,58,35.9,614,164
39,City,Amritsar,61,26.2,8,6.1,0,0,0,0,0,0,0,0,0,0,47,14.2,141,124,257,170.5
40,City,Asansol,61,10.8,0,0,0,0,0,0,0,0,0,0,0,0,10,3,252,56.6,323,70.4
41,City,Bengaluru,3356,2435.1,4,0.9,0,0,0,0,0,0,0,0,27,57.4,882,473.8,6299,7213.7,10568,10181
42,City,Bhopal,616,42.7,0,0,0,0,0,0,0,0,0,0,0,0,184,45.4,1643,337.8,2443,425.9
43,City,Chennai,485,215,305,85,0,0,0,0,0,0,0,0,0,0,220,180.5,530,201.2,1540,681.7
44,City,Coimbatore,189,57.2,0,0,0,0,0,0,0,0,0,0,0,0,641,155.2,254,39.1,1084,251.5
45,City,Delhi (city),4643,4079.2,135,13.4,0,0,767,474.1,97,58.2,670,415.8,87,6.3,1115,775.3,14626,9292,21373,14640.2
46,City,Dhanbad,201,105.1,0,0,0,0,0,0,0,0,0,0,0,0,181,67,59,16.6,441,188.7
47,City,Faridabad,753,351.8,0,0,0,0,0,0,0,0,0,0,0,0,543,183.5,376,121.4,1672,656.8
48,City,Hyderabad,1638,581.8,0,0,0,0,0,0,0,0,0,0,0,0,819,290.9,2459,872.7,4916,1745.4
49,City,Indore,3271,809.7,0,0,0,0,0,0,0,0,0,0,0,0,88,21.8,103,25.5,3462,856.9
50,City,Jabalpur,215,92.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,101.4,641,193.5
51,City,Jaipur,385,97.4,0,0,0,0,0,0,0,0,0,0,1,0.5,18,2.4,4421,1799.9,4825,1900.1
52,City,Jamshedpur,23,6.9,85,25.4,0,0,0,0,0,0,0,0,0,0,524,156.4,70,20.9,702,209.6
53,City,Kanpur,79,23.8,858,151,0,0,0,0,0,0,0,0,0,0,45,19.7,199,37.3,1181,231.8
54,City,Kochi,50,60.4,13,33.2,1,0,0,0,0,0,0,0,0,0,23,62.1,146,40.6,233,196.4
55,City,Kolkata,1379,7392.3,0,0,0,0,0,0,0,0,0,0,0,0,947,6798.3,792,6553.8,3118,20744.4
56,City,Lucknow,162,36.7,1701,632.8,0,0,0,0,0,0,0,0,0,0,32,12.5,696,88.6,2591,770.6
57,City,Ludhiana,269,516.9,0,0,0,0,0,0,0,0,0,0,1,0.3,56,286,513,211.2,839,1014.4
58,City,Madurai,82,24.5,91,15.7,0,0,0,0,0,0,0,0,0,0,85,18.9,242,45.7,500,104.7
59,City,Meerut,85,1,950,95.6,0,0,0,0,0,0,0,0,0,0,0,0,260,127,1295,223.5
60,City,Mumbai,2378,2575.9,231,166.5,1,0,0,0,0,0,0,0,10,166.8,820,1304.1,9755,10310.8,13195,14524.1
61,City,Nagpur,228,87.1,0,0,0,0,0,0,0,0,0,0,0,0,60,59.9,1444,979.9,1732,1126.9
62,City,Nasik,307,225.4,0,0,0,0,0,0,0,0,0,0,0,0,357,154.7,1218,550.1,1882,930.1
63,City,Patna,1052,133,0,0,0,0,0,0,0,0,0,0,0,0,91,71.3,974,488.5,2117,692.8
64,City,Pune,792,471.1,0,0,2,0.5,0,0,0,0,0,0,3,5.2,455,224.2,3422,2109.8,4674,2810.8
65,City,Rajkot,29,5.3,0,0,0,0,0,0,0,0,0,0,0,0,5,0.7,1005,383,1039,389.1
66,City,Surat,775,444.2,9,4.1,0,0,12,2.4,0,0,12,2.4,13,6,94,98,809,534.6,1712,1089.2
67,City,Vadodara,631,328.7,2,1.3,0,0,0,0,0,0,0,0,1,0,400,144.5,495,196.1,1529,670.6
68,City,Varanasi,24,7.3,451,48.9,0,0,0,0,0,0,0,0,0,0,0,0,126,14.6,601,70.7
69,City,Vijayawada,346,98.2,37,28.5,0,0,0,0,0,0,0,0,5,1.4,291,57.6,645,126.2,1324,311.9
70,City,Vishakhapatnam,343,91.9,3,0.3,0,0,0,0,0,0,0,0,6,16.1,159,47,723,115.1,1234,270.5
