Sl. No.,Category,States/ UTs/ Cities,Murder (Sec.302 IPC) (I),Murder (Sec.302 IPC) (R),Attempt to Commit Murder (Sec. 307 IPC) (I),Attempt to Commit Murder (Sec. 307 IPC) (R),"C.H. Not Amounting to Murder (Sec. 304, 308 IPC) (I)","C.H. Not Amounting to Murder (Sec. 304, 308 IPC) (R)",Rape (Sec. 376 IPC) - Total (I),Rape (Sec. 376 IPC) - Total (R),Rape (Sec. 376 IPC) - Custodial (I),Rape (Sec. 376 IPC) - Custodial (R),Rape (Sec. 376 IPC) - Others (I),Rape (Sec. 376 IPC) - Others ( R),"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total (I)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total (R)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) of Women & Girls (I)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) of Women & Girls (R)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) of Others (I)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) of Others ( R)",Dacoity (Sec. 395-398 IPC) (I),Dacoity (Sec. 395-398 IPC) (R),Preparation & Assembly for Dacoity (Sec. 399-402 IPC) (I),Preparation & Assembly for Dacoity (Sec. 399-402 IPC) (R),"Robbery (Sec. 392-394,397,398 IPC) (I)","Robbery (Sec. 392-394,397,398 IPC) (R)","Burglary (Sec. 449-452,454,455, 457-460 IPC) (I)","Burglary (Sec. 449-452,454,455, 457-460 IPC) (R)",Theft (Sec.379-382 IPC) - Total (I),Theft (Sec.379-382 IPC) - Total (R),Theft (Sec.379-382 IPC) - Auto Theft (I),Theft (Sec.379-382 IPC) - Auto Theft (R),Theft (Sec.379-382 IPC) - Other Theft (I),Theft (Sec.379-382 IPC) - Other Theft (R),"Riots (Sec.143-145,147- 151,153,153A,153B,157,158,160 IPC) (I)","Riots (Sec.143-145,147- 151,153,153A,153B,157,158,160 IPC) (R)",Criminal Breach of Trust (Sec. 406-409 IPC) (I),Criminal Breach of Trust (Sec. 406-409 IPC) (R),"Cheating (Sec. 419,420 IPC) (I)","Cheating (Sec. 419,420 IPC) (R)","Counterfeiting (Sec. 231-254,489A, 489D IPC) (I)","Counterfeiting (Sec. 231-254,489A, 489D IPC) (R)","Arson (Sec. 435,436,438IPC) (I)","Arson (Sec. 435,436,438IPC) (R)","Hurt (Sec.323-333,335-338 IPC) (I)","Hurt (Sec.323-333,335-338 IPC) (R)",Dowry Deaths (Sec.304B IPC) (I),Dowry Deaths (Sec.304B IPC) (R),Molestation (Sec.354 IPC) (I),Molestation (Sec.354 IPC) (R),Sexual Harassment (Sec.509 IPC) (I),Sexual Harassment (Sec.509 IPC) (R),Cruelty by Husband and Relatives (Sec. 498A IPC) (I),Cruelty by Husband and Relatives (Sec. 498A IPC) (R),Importation of Girls (Sec. 366B IPC) (I),Importation of Girls (Sec. 366B IPC) (R),Causing Death by Negligence (Sec. 304A IPC) (I),Causing Death by Negligence (Sec. 304A IPC) (R),Other IPC Crimes (I),Other IPC Crimes (R),Total Cognizable Crimes Under IPC (I),Total Cognizable Crimes Under IPC ( R)
11,State,Jharkhand,1689,5.5,1028,3.3,82,0.3,773,2.5,0,0,773,2.5,978,3.2,696,2.2,282,0.9,335,1.1,19,0.1,709,2.3,1357,4.4,7090,22.9,2709,8.8,4381,14.2,2447,7.9,505,1.6,988,3.2,16,0.1,185,0.6,4271,13.8,276,0.9,245,0.8,16,0.1,650,2.1,8,0,1745,5.6,13477,43.6,38889,125.7
12,State,Karnataka,1805,3.1,1850,3.1,94,0.2,586,1,0,0,586,1,1374,2.3,586,1,788,1.3,272,0.5,300,0.5,1949,3.3,6059,10.3,20093,34.2,10840,18.4,9253,15.7,7710,13.1,464,0.8,5543,9.4,192,0.3,286,0.5,21835,37.1,248,0.4,2544,4.3,83,0.1,3441,5.9,0,0,471,0.8,65123,110.8,142322,242
13,State,Kerala,363,1,361,1,86,0.2,634,1.8,0,0,634,1.8,261,0.7,184,0.5,77,0.2,74,0.2,221,0.6,636,1.8,2682,7.7,4380,12.5,1486,4.2,2894,8.3,8724,24.9,343,1,3581,10.2,54,0.2,374,1.1,18532,53,22,0.1,2936,8.4,537,1.5,4797,13.7,0,0,47,0.1,98668,282.1,148313,424.1
14,State,Madhya Pradesh,2423,3.4,2277,3.2,123,0.2,3135,4.3,0,0,3135,4.3,1187,1.6,1030,1.4,157,0.2,110,0.2,110,0.2,1919,2.7,9897,13.7,21577,29.9,11353,15.7,10224,14.2,2606,3.6,507,0.7,1779,2.5,33,0,748,1,39193,54.4,892,1.2,6646,9.2,918,1.3,3756,5.2,5,0,7038,9.8,107390,148.9,214269,297.2
15,State,Maharashtra,2744,2.5,1926,1.8,152,0.1,1599,1.5,0,0,1599,1.5,1508,1.4,1124,1,384,0.3,778,0.7,285,0.3,3721,3.4,16617,15.1,52565,47.8,18676,17,33889,30.8,8412,7.6,1948,1.8,8684,7.9,389,0.4,1229,1.1,29696,27,393,0.4,3661,3.3,1180,1.1,7434,6.8,0,0,13508,12.3,49739,45.2,208168,189.2
16,State,Manipur,92,3.4,258,9.5,1,0,34,1.3,0,0,34,1.3,199,7.4,107,4,92,3.4,0,0,196,7.3,2,0.1,66,2.4,417,15.4,254,9.4,163,6,65,2.4,24,0.9,59,2.2,7,0.3,86,3.2,227,8.4,0,0,31,1.1,0,0,18,0.7,0,0,1,0,932,34.5,2715,100.5
17,State,Meghalaya,134,5.1,60,2.3,8,0.3,149,5.7,0,0,149,5.7,71,2.7,37,1.4,34,1.3,42,1.6,1,0,67,2.6,166,6.4,664,25.5,152,5.8,512,19.6,7,0.3,37,1.4,98,3.8,4,0.2,52,2,154,5.9,0,0,48,1.8,0,0,24,0.9,0,0,53,2,666,25.5,2505,96
18,State,Mizoram,48,4.8,27,2.7,7,0.7,92,9.1,0,0,92,9.1,9,0.9,0,0,9,0.9,3,0.3,0,0,16,1.6,425,42.2,823,81.6,69,6.8,754,74.8,0,0,25,2.5,79,7.8,12,1.2,15,1.5,116,11.5,0,0,75,7.4,0,0,3,0.3,0,0,44,4.4,355,35.2,2174,215.7
19,State,Nagaland,45,2,35,1.6,13,0.6,16,0.7,0,0,16,0.7,50,2.2,6,0.3,44,2,3,0.1,0,0,63,2.8,62,2.8,397,17.6,80,3.6,317,14.1,2,0.1,13,0.6,39,1.7,3,0.1,1,0,36,1.6,0,0,13,0.6,3,0.1,1,0,0,0,22,1,242,10.8,1059,47.1
20,State,Odisha,1308,3.2,1436,3.5,31,0.1,1025,2.5,0,0,1025,2.5,1016,2.5,912,2.2,104,0.3,346,0.8,117,0.3,1491,3.7,2855,7,7572,18.5,2627,6.4,4945,12.1,1779,4.4,322,0.8,1108,2.7,29,0.1,430,1.1,7181,17.6,388,1,2905,7.1,232,0.6,2067,5.1,5,0,3450,8.5,19366,47.4,56459,138.3
21,State,Punjab,907,3.3,994,3.6,120,0.4,546,2,0,0,546,2,789,2.9,576,2.1,213,0.8,65,0.2,143,0.5,241,0.9,2661,9.8,5446,20,2467,9,2979,10.9,0,0,243,0.9,3527,12.9,75,0.3,101,0.4,4873,17.9,121,0.4,349,1.3,38,0.1,1163,4.3,0,0,3350,12.3,10896,40,36648,134.4
22,State,Rajasthan,1421,2.1,1557,2.3,104,0.2,1571,2.3,0,0,1571,2.3,2985,4.4,2477,3.7,508,0.8,37,0.1,84,0.1,872,1.3,4714,7,22324,33.3,13245,19.7,9079,13.5,986,1.5,789,1.2,16584,24.7,36,0.1,478,0.7,19247,28.7,462,0.7,2339,3.5,23,0,11145,16.6,0,0,7978,11.9,67221,100.2,162957,242.8
23,State,Sikkim,17,2.8,6,1,2,0.3,18,3,0,0,18,3,6,1,6,1,0,0,1,0.2,0,0,7,1.1,72,11.8,53,8.7,8,1.3,45,7.4,4,0.7,1,0.2,20,3.3,3,0.5,7,1.1,73,12,1,0.2,11,1.8,0,0,3,0.5,0,0,47,7.7,200,32.8,552,90.5
24,State,Tamil Nadu,1875,2.8,2641,3.9,32,0,686,1,0,0,686,1,1720,2.5,1464,2.2,256,0.4,85,0.1,12,0,1817,2.7,4715,7,14583,21.6,5045,7.5,9538,14.1,2664,3.9,177,0.3,3259,4.8,312,0.5,636,0.9,21309,31.5,165,0.2,1405,2.1,638,0.9,1570,2.3,0,0,14644,21.7,110733,163.7,185678,274.5
25,State,Tripura,150,4.2,63,1.7,8,0.2,238,6.6,0,0,238,6.6,114,3.2,91,2.5,23,0.6,16,0.4,2,0.1,65,1.8,221,6.1,457,12.7,64,1.8,393,10.9,163,4.5,53,1.5,122,3.4,6,0.2,51,1.4,1136,31.5,25,0.7,376,10.4,9,0.2,937,26,0,0,237,6.6,1356,37.6,5805,160.8
26,State,Uttar Pradesh,4401,2.2,4004,2,1401,0.7,1563,0.8,1,0,1562,0.8,6321,3.2,5468,2.7,853,0.4,337,0.2,48,0,2577,1.3,4915,2.5,31153,15.7,18216,9.2,12937,6.5,4186,2.1,3817,1.9,9553,4.8,426,0.2,170,0.1,10336,5.2,2217,1.1,2793,1.4,11,0,7978,4,0,0,14472,7.3,61500,30.9,174179,87.5
27,State,Uttarakhand,176,1.8,219,2.2,60,0.6,121,1.2,0,0,121,1.2,286,2.9,249,2.5,37,0.4,12,0.1,2,0,162,1.7,310,3.2,2138,21.8,871,8.9,1267,12.9,458,4.7,167,1.7,567,5.8,33,0.3,17,0.2,974,9.9,75,0.8,125,1.3,165,1.7,334,3.4,0,0,738,7.5,2101,21.4,9240,94.1
28,State,West Bengal,2398,2.7,2111,2.3,630,0.7,2311,2.6,0,0,2311,2.6,3345,3.7,2764,3.1,581,0.6,288,0.3,687,0.8,798,0.9,388,0.4,19389,21.5,4123,4.6,15266,16.9,6809,7.5,1011,1.1,3260,3.6,214,0.2,331,0.4,12764,14.1,507,0.6,2465,2.7,163,0.2,17796,19.7,8,0,2847,3.2,49096,54.4,129616,143.7
Total (States),Total (States),Total (States),32696,2.8,29052,2.5,3680,0.3,21603,1.9,6,0,21597,1.9,35147,3,27993,2.4,7154,0.6,4310,0.4,2568,0.2,22712,2,88232,7.6,304973,26.2,131142,11.3,173831,14.9,67253,5.8,16344,1.4,76835,6.6,2549,0.2,8421,0.7,286122,24.6,8242,0.7,39893,3.4,9843,0.8,92574,8,36,0,105114,9,906429,77.9,2164628,185.9
29,Union Territory,Andaman & Nicobar Islands,9,2.1,7,1.6,4,0.9,24,5.6,0,0,24,5.6,10,2.3,8,1.9,2,0.5,1,0.2,0,0,7,1.6,80,18.5,121,28,22,5.1,99,22.9,11,2.5,10,2.3,56,13,0,0,12,2.8,80,18.5,0,0,31,7.2,10,2.3,9,2.1,0,0,9,2.1,489,113.2,980,226.9
30,Union Territory,Chandigarh,21,1.9,30,2.7,9,0.8,31,2.8,0,0,31,2.8,38,3.4,28,2.5,10,0.9,5,0.4,6,0.5,67,6,236,21,1481,131.6,898,79.8,583,51.8,65,5.8,23,2,163,14.5,3,0.3,9,0.8,65,5.8,5,0.4,29,2.6,4,0.4,41,3.6,0,0,6,0.5,1036,92.1,3373,299.8
31,Union Territory,Dadra Nagar Haveli,6,2.1,0,0,1,0.4,3,1.1,0,0,3,1.1,18,6.4,10,3.5,8,2.8,2,0.7,0,0,3,1.1,25,8.8,63,22.3,34,12,29,10.2,44,15.5,12,4.2,18,6.4,1,0.4,2,0.7,11,3.9,0,0,11,3.9,2,0.7,3,1.1,0,0,20,7.1,133,47,378,133.6
32,Union Territory,Daman & Diu,5,2.5,2,1,1,0.5,1,0.5,0,0,1,0.5,2,1,2,1,0,0,6,3,0,0,0,0,27,13.5,47,23.5,29,14.5,18,9,11,5.5,4,2,5,2.5,0,0,0,0,12,6,0,0,2,1,0,0,3,1.5,0,0,38,19,37,18.5,203,101.5
33,Union Territory,Delhi,565,3.1,311,1.7,71,0.4,507,2.8,0,0,507,2.8,3208,17.5,1740,9.5,1468,8,32,0.2,31,0.2,599,3.3,1502,8.2,23088,125.9,14966,81.6,8122,44.3,53,0.3,273,1.5,1845,10.1,33,0.2,52,0.3,1925,10.5,143,0.8,601,3.3,80,0.4,1404,7.7,0,0,914,5,14055,76.7,51292,279.8
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6.9,5,6.9,0,0,5,6.9,3,4.2,0,0,0,0,0,0,2,2.8,1,1.4,0,0,0,0,0,0,0,0,0,0,0,0,26,36.1,42,58.3
35,Union Territory,Pondicherry,33,3,19,1.7,16,1.4,3,0.3,0,0,3,0.3,17,1.5,14,1.3,3,0.3,2,0.2,10,0.9,5,0.4,72,6.4,534,47.8,384,34.4,150,13.4,131,11.7,12,1.1,77,6.9,3,0.3,10,0.9,806,72.2,1,0.1,46,4.1,22,2,7,0.6,0,0,242,21.7,1867,167.1,3935,352.3
Total (UTs),Total (UTs),Total (UTs),639,3,369,1.7,102,0.5,569,2.6,0,0,569,2.6,3293,15.3,1802,8.4,1491,6.9,48,0.2,47,0.2,681,3.2,1947,9,25339,117.5,16333,75.7,9006,41.8,318,1.5,334,1.5,2164,10,40,0.2,87,0.4,2900,13.4,149,0.7,720,3.3,118,0.5,1467,6.8,0,0,1229,5.7,17643,81.8,60203,279.2
Total (All-India),Total (All-India),Total (All-India),33335,2.8,29421,2.5,3782,0.3,22172,1.9,6,0,22166,1.9,38440,3.2,29795,2.5,8645,0.7,4358,0.4,2615,0.2,23393,2,90179,7.6,330312,27.9,147475,12.4,182837,15.4,67571,5.7,16678,1.4,78999,6.7,2589,0.2,8508,0.7,289022,24.4,8391,0.7,40613,3.4,9961,0.8,94041,7.9,36,0,106343,9,924072,77.9,2224831,187.6
36,City,Agra,58,4.4,61,4.6,26,2,13,1,0,0,13,1,171,12.9,145,11,26,2,2,0.2,0,0,37,2.8,132,10,1706,129.1,1400,106,306,23.2,129,9.8,119,9,266,20.1,58,4.4,1,0.1,268,20.3,39,3,54,4.1,61,4.6,285,21.6,0,0,216,16.4,1100,83.3,4802,363.5
37,City,Ahmedabad,82,1.8,66,1.5,4,0.1,49,1.1,0,0,49,1.1,207,4.6,177,3.9,30,0.7,26,0.6,2,0,805,17.8,799,17.7,4659,103.1,3101,68.6,1558,34.5,171,3.8,263,5.8,212,4.7,17,0.4,4,0.1,1365,30.2,12,0.3,73,1.6,9,0.2,1230,27.2,0,0,203,4.5,11184,247.5,21442,474.5
38,City,Allahabad,44,4.2,47,4.5,4,0.4,7,0.7,0,0,7,0.7,40,3.8,30,2.9,10,1,2,0.2,0,0,22,2.1,129,12.3,614,58.5,481,45.8,133,12.7,42,4,43,4.1,141,13.4,31,3,1,0.1,255,24.3,14,1.3,9,0.9,0,0,64,6.1,0,0,307,29.2,157,15,1973,187.9
39,City,Amritsar,53,5.2,71,7,7,0.7,24,2.4,0,0,24,2.4,51,5,43,4.3,8,0.8,3,0.3,18,1.8,9,0.9,83,8.2,257,25.4,104,10.3,153,15.1,0,0,16,1.6,275,27.2,14,1.4,4,0.4,152,15,10,1,10,1,4,0.4,87,8.6,0,0,70,6.9,615,60.8,1833,181.3
40,City,Asansol,34,3.1,8,0.7,14,1.3,18,1.6,0,0,18,1.6,21,1.9,13,1.2,8,0.7,4,0.4,64,5.9,5,0.5,5,0.5,323,29.6,175,16,148,13.6,49,4.5,5,0.5,47,4.3,1,0.1,3,0.3,69,6.3,19,1.7,13,1.2,0,0,310,28.4,0,0,109,10,720,66,1841,168.7
41,City,Bengaluru,266,4.7,445,7.8,5,0.1,65,1.1,0,0,65,1.1,513,9,29,0.5,484,8.5,66,1.2,246,4.3,641,11.3,1335,23.5,10568,185.8,6407,112.7,4161,73.2,349,6.1,139,2.4,3073,54,72,1.3,7,0.1,3153,55.4,52,0.9,308,5.4,50,0.9,398,7,0,0,104,1.8,10333,181.7,32188,566
42,City,Bhopal,49,3.4,59,4.1,3,0.2,73,5,0,0,73,5,59,4.1,53,3.6,6,0.4,6,0.4,1,0.1,191,13.1,844,58,2443,167.9,1556,106.9,887,61,83,5.7,9,0.6,170,11.7,3,0.2,9,0.6,1286,88.4,25,1.7,21,1.4,139,9.6,191,13.1,1,0.1,219,15.1,6090,418.6,11974,823
43,City,Chennai,103,1.6,158,2.5,2,0,47,0.7,0,0,47,0.7,47,0.7,30,0.5,17,0.3,2,0,2,0,74,1.2,383,6,1540,24,234,3.6,1306,20.3,60,0.9,21,0.3,524,8.2,72,1.1,1,0,773,12,16,0.2,45,0.7,23,0.4,125,1.9,0,0,604,9.4,6247,97.2,10869,169.2
44,City,Coimbatore,22,1.5,27,1.9,0,0,15,1,0,0,15,1,22,1.5,10,0.7,12,0.8,1,0.1,0,0,25,1.7,142,9.8,1084,75,497,34.4,587,40.6,23,1.6,9,0.6,148,10.2,30,2.1,8,0.6,357,24.7,1,0.1,35,2.4,1,0.1,45,3.1,0,0,324,22.4,1861,128.7,4180,289.1
45,City,Delhi (city),453,3.5,260,2,63,0.5,414,3.2,0,0,414,3.2,2629,20.6,1422,11.1,1207,9.4,30,0.2,27,0.2,554,4.3,1355,10.6,21373,167.1,13842,108.2,7531,58.9,46,0.4,249,1.9,1720,13.4,32,0.3,48,0.4,1700,13.3,112,0.9,550,4.3,73,0.6,1273,10,0,0,868,6.8,12165,95.1,45994,359.6
46,City,Dhanbad,17,1.6,10,0.9,7,0.7,5,0.5,0,0,5,0.5,46,4.3,40,3.8,6,0.6,16,1.5,1,0.1,11,1,101,9.5,441,41.4,252,23.7,189,17.8,55,5.2,21,2,21,2,0,0,1,0.1,71,6.7,12,1.1,6,0.6,0,0,11,1,0,0,1,0.1,152,14.3,1006,94.5
47,City,Faridabad,70,6.6,49,4.6,5,0.5,51,4.8,0,0,51,4.8,102,9.7,86,8.2,16,1.5,9,0.9,70,6.6,20,1.9,277,26.3,1672,158.5,1352,128.2,320,30.3,178,16.9,174,16.5,154,14.6,0,0,5,0.5,191,18.1,23,2.2,27,2.6,78,7.4,224,21.2,0,0,224,21.2,1317,124.8,4920,466.4
48,City,Hyderabad,134,2.4,143,2.6,8,0.1,45,0.8,0,0,45,0.8,121,2.2,41,0.7,80,1.4,7,0.1,0,0,54,1,906,16.4,4916,88.8,1543,27.9,3373,61,513,9.3,96,1.7,2021,36.5,29,0.5,15,0.3,3425,61.9,44,0.8,171,3.1,60,1.1,1420,25.7,0,0,542,9.8,2879,52,17549,317.1
49,City,Indore,80,4.9,129,7.9,2,0.1,69,4.2,0,0,69,4.2,30,1.8,23,1.4,7,0.4,5,0.3,12,0.7,210,12.8,689,42,3462,211.2,2681,163.6,781,47.7,53,3.2,42,2.6,151,9.2,15,0.9,18,1.1,2800,170.8,26,1.6,211,12.9,47,2.9,259,15.8,2,0.1,220,13.4,5698,347.7,14230,868.2
50,City,Jabalpur,48,4.3,71,6.4,0,0,81,7.3,0,0,81,7.3,27,2.4,25,2.2,2,0.2,1,0.1,7,0.6,52,4.7,260,23.3,641,57.4,443,39.7,198,17.7,50,4.5,3,0.3,80,7.2,0,0,1,0.1,875,78.3,25,2.2,114,10.2,49,4.4,118,10.6,1,0.1,97,8.7,3604,322.6,6205,555.5
51,City,Jaipur,65,2.8,68,2.9,7,0.3,71,3.1,0,0,71,3.1,207,8.9,193,8.3,14,0.6,4,0.2,10,0.4,253,10.9,774,33.3,4825,207.6,3562,153.3,1263,54.3,138,5.9,270,11.6,3146,135.4,7,0.3,5,0.2,597,25.7,30,1.3,115,4.9,0,0,720,31,0,0,499,21.5,4906,211.1,16717,719.3
52,City,Jamshedpur,52,4.7,27,2.5,8,0.7,16,1.5,0,0,16,1.5,43,3.9,25,2.3,18,1.6,3,0.3,1,0.1,25,2.3,150,13.6,702,63.7,438,39.7,264,24,133,12.1,42,3.8,90,8.2,0,0,6,0.5,578,52.5,13,1.2,6,0.5,1,0.1,22,2,0,0,100,9.1,714,64.8,2732,247.9
53,City,Kanpur,150,5.6,109,4.1,41,1.5,42,1.6,0,0,42,1.6,316,11.7,263,9.8,53,2,10,0.4,1,0,81,3,267,9.9,1181,43.9,858,31.9,323,12,176,6.5,215,8,461,17.1,53,2,0,0,407,15.1,92,3.4,118,4.4,7,0.3,447,16.6,0,0,571,21.2,2002,74.4,6747,250.8
54,City,Kochi,4,0.3,11,0.8,3,0.2,20,1.5,0,0,20,1.5,8,0.6,5,0.4,3,0.2,2,0.1,15,1.1,34,2.5,79,5.8,233,17.2,99,7.3,134,9.9,244,18,13,1,297,21.9,0,0,2,0.1,282,20.8,2,0.1,67,4.9,23,1.7,146,10.8,0,0,3,0.2,24227,1788,25715,1897.8
