SI. No.,Category,States/ UTs,Arms Act (I),Arms Act (R),Narcotic Drugs & Psychotropic Substances Act (I),Narcotic Drugs & Psychotropic Substances Act (R),Gambling Act (I),Gambling Act ( R),Excise Act (I),Excise Act (R),Prohibition Act (I),Prohibition Act (R),Explosive & Explosive Substances Act (I),Explosive & Explosive Substances Act (R),Immoral Traffic (P) Act (I),Immoral Traffic (P) Act (R),Indian Railways Act (I),Indian Railways Act (R),The Foreigners Act (I),The Foreigners Act (R),Protection of Civil Rights Act (I),Protection of Civil Rights Act (R),PCR Act for SCs (I),PCR Act for SCs ( R),PCR Act for STs (I),PCR Act for STs (R),Indian Passport Act (I),Indian Passport Act ( R),Essential Commodities Act (I),Essential Commodities Act ( R),Terrorist & Disruptive Activities Act (I),Terrorist & Disruptive Activities Act (R),Antiquities & Art Treasures Act (I),Antiquities & Art Treasures Act (R),Dowry Prohibition Act (I),Dowry Prohibition Act (R),Marriage Act (I),Marriage Act ( R),Indecent Representation of Women (P) Act (I),Indecent Representation of Women (P) Act (R),Copyright Act (I),Copyright Act ( R),Sati Prevention Act (I),Sati Prevention Act ( R),SC/ST (Prev.) of Atrocities) Act Total (I),SC/ST (Prev.) of Atrocities) Act Total (R),SC/ST (Prev) of Atrocities Act For SCs (I),SC/ST (Prev) of Atrocities Act For SCs ( R),SC/ST (Prev) of Atrocities Act for STs (I),SC/ST (Prev) of Atrocities Act for STs ( R),Forest Act (I),Forest Act (R),Other SLL Crimes # (I),Other SLL Crimes # ( R),Total Cognizable Crimes Under SLL (I),Total Cognizable Crimes Under SLL ( R)
11,State,Jharkhand,741,2.4,170,0.5,137,0.4,418,1.4,6,0,87,0.3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0.3,0,0,0,0,404,1.3,0,0,6,0,38,0.1,0,0,320,1,245,0.8,75,0.2,127,0.4,1371,4.4,3932,12.7
12,State,Karnataka,135,0.2,302,0.5,5930,10.1,3190,5.4,1,0,119,0.2,242,0.4,6,0,95,0.2,33,0.1,33,0.1,0,0,33,0.1,442,0.8,0,0,6,0,1077,1.8,8,0,0,0,205,0.3,0,0,1460,2.5,1292,2.2,168,0.3,96,0.2,2794,4.8,16174,27.5
13,State,Kerala,344,1,769,2.2,3257,9.3,0,0,37896,108.4,466,1.3,309,0.9,2,0,47,0.1,0,0,0,0,0,0,209,0.6,215,0.6,0,0,0,0,7,0,6,0,37,0.1,611,1.7,0,0,48,0.1,35,0.1,13,0,1,0,181234,518.2,225458,644.7
14,State,Madhya Pradesh,8999,12.5,742,1,19768,27.4,32246,44.7,0,0,285,0.4,19,0,6,0,2,0,2,0,1,0,1,0,0,0,344,0.5,0,0,0,0,67,0.1,4,0,0,0,88,0.1,0,0,17,0,13,0,4,0,32,0,66953,92.9,129574,179.7
15,State,Maharashtra,1068,1,1081,1,11986,10.9,0,0,67932,61.7,51,0,306,0.3,35,0,16,0,25,0,25,0,0,0,69,0.1,1897,1.7,0,0,0,0,40,0,4,0,0,0,662,0.6,0,0,374,0.3,319,0.3,55,0,37,0,42357,38.5,127940,116.3
16,State,Manipur,14,0.5,38,1.4,0,0,0,0,0,0,9,0.3,0,0,0,0,24,0.9,0,0,0,0,0,0,0,0,7,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,887,32.8,979,36.2
17,State,Meghalaya,30,1.1,8,0.3,8,0.3,5,0.2,0,0,8,0.3,3,0.1,0,0,33,1.3,0,0,0,0,0,0,1,0,21,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0.7,135,5.2
18,State,Mizoram,27,2.7,87,8.6,0,0,0,0,146,14.5,2,0.2,0,0,0,0,37,3.7,0,0,0,0,0,0,29,2.9,14,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,48.6,832,82.5
19,State,Nagaland,83,3.7,118,5.2,1,0,22,1,99,4.4,5,0.2,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,3.4,408,18.1
20,State,Odisha,408,1,108,0.3,716,1.8,7330,18,1,0,155,0.4,25,0.1,0,0,3,0,3,0,3,0,0,0,0,0,143,0.4,0,0,0,0,942,2.3,0,0,0,0,8,0,0,0,1579,3.9,1224,3,355,0.9,1,0,627,1.5,12049,29.5
21,State,Punjab,915,3.4,5508,20.2,2957,10.8,7094,26,3,0,29,0.1,59,0.2,11,0,0,0,0,0,0,0,0,0,42,0.2,105,0.4,0,0,0,0,1,0,0,0,0,0,852,3.1,0,0,50,0.2,50,0.2,0,0,12,0,700,2.6,18338,67.3
22,State,Rajasthan,4352,6.5,1165,1.7,14482,21.6,11687,17.4,0,0,476,0.7,82,0.1,10,0,7,0,0,0,0,0,0,0,2,0,271,0.4,0,0,0,0,3,0,2,0,80,0.1,504,0.8,0,0,129,0.2,103,0.2,26,0,3340,5,13218,19.7,49810,74.2
23,State,Sikkim,1,0.2,1,0.2,0,0,0,0,0,0,1,0.2,3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,1,0.2,0,0,0,0,157,25.7,164,26.9
24,State,Tamil Nadu,167,0.2,1467,2.2,9445,14,0,0,93868,138.8,350,0.5,567,0.8,29,0,26,0,3,0,3,0,0,0,268,0.4,427,0.6,0,0,0,0,199,0.3,0,0,14,0,2511,3.7,0,0,1280,1.9,1255,1.9,25,0,2,0,405165,599.1,515788,762.6
25,State,Tripura,12,0.3,43,1.2,7,0.2,0,0,0,0,2,0.1,1,0,0,0,1,0,0,0,0,0,0,0,38,1.1,64,1.8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,0.2,178,4.9
26,State,Uttar Pradesh,49248,24.7,12953,6.5,12100,6.1,71883,36.1,0,0,834,0.4,23,0,23,0,3,0,0,0,0,0,0,0,6,0,1832,0.9,0,0,23,0,115,0.1,5,0,1,0,471,0.2,0,0,1328,0.7,1328,0.7,0,0,2021,1,1960751,985.2,2113620,1062
27,State,Uttarakhand,866,8.8,342,3.5,455,4.6,2244,22.9,0,0,5,0.1,4,0,4,0,8,0.1,0,0,0,0,0,0,6,0.1,55,0.6,0,0,0,0,1,0,0,0,0,0,17,0.2,0,0,25,0.3,25,0.3,0,0,53,0.5,156111,1590.2,160196,1631.8
28,State,West Bengal,1264,1.4,790,0.9,262,0.3,443,0.5,2,0,133,0.1,56,0.1,2,0,660,0.7,0,0,0,0,0,0,102,0.1,167,0.2,0,0,2,0,53,0.1,0,0,2,0,264,0.3,0,0,48,0.1,27,0,21,0,5,0,3179,3.5,7434,8.2
Total (States),Total (States),Total (States),74493,6.4,29303,2.5,157445,13.5,171299,14.7,385580,33.1,3989,0.3,2447,0.2,148,0,1124,0.1,122,0,117,0,5,0,913,0.1,7857,0.7,0,0,53,0,5156,0.4,59,0,894,0.1,7790,0.7,0,0,11664,1,10495,0.9,1169,0.1,6004,0.5,3648813,313.4,4515153,387.8
29,Union Territory,Andaman & Nicobar Islands,1,0.2,25,5.8,48,11.1,3390,784.7,79,18.3,2,0.5,3,0.7,0,0,50,11.6,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,831,192.4,4430,1025.5
30,Union Territory,Chandigarh,13,1.2,48,4.3,147,13.1,211,18.8,0,0,0,0,3,0.3,0,0,3,0.3,0,0,0,0,0,0,0,0,15,1.3,0,0,0,0,0,0,0,0,0,0,10,0.9,0,0,0,0,0,0,0,0,0,0,67,6,517,46
31,Union Territory,Dadra Nagar Haveli,0,0,0,0,1,0.4,2,0.7,0,0,0,0,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4,0,0,0,0,0,0,0,0,0,0,2,0.7,0,0,0,0,0,0,0,0,0,0,35,12.4,42,14.8
32,Union Territory,Daman & Diu,0,0,0,0,2,1,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,1,0.5,10,5
33,Union Territory,Delhi,884,4.8,197,1.1,292,1.6,2179,11.9,0,0,17,0.1,28,0.2,0,0,24,0.1,0,0,0,0,0,0,23,0.1,16,0.1,0,0,4,0,15,0.1,0,0,0,0,68,0.4,0,0,16,0.1,16,0.1,0,0,0,0,904,4.9,4667,25.5
34,Union Territory,Lakshadweep,1,1.4,1,1.4,0,0,0,0,11,15.3,0,0,0,0,0,0,2,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4,17,23.6
35,Union Territory,Pondicherry,158,14.1,2,0.2,23,2.1,0,0,0,0,13,1.2,11,1,0,0,1,0.1,26,2.3,26,2.3,0,0,1,0.1,38,3.4,0,0,0,0,11,1,1,0.1,0,0,18,1.6,0,0,2,0.2,2,0.2,0,0,0,0,776,69.5,1081,96.8
Total (UTs),Total (UTs),Total (UTs),1057,4.9,273,1.3,513,2.4,5782,26.8,90,0.4,32,0.1,52,0.2,0,0,80,0.4,26,0.1,26,0.1,0,0,24,0.1,71,0.3,0,0,4,0,26,0.1,1,0,1,0,99,0.5,0,0,18,0.1,18,0.1,0,0,0,0,2615,12.1,10764,49.9
Total (All-India),Total (All-India),Total (All-India),75550,6.4,29576,2.5,157958,13.3,177081,14.9,385670,32.5,4021,0.3,2499,0.2,148,0,1204,0.1,148,0,143,0,5,0,937,0.1,7928,0.7,0,0,57,0,5182,0.4,60,0,895,0.1,7889,0.7,0,0,11682,1,10513,0.9,1169,0.1,6004,0.5,3651428,307.9,4525917,381.7
36,City,Agra,660,50,257,19.5,473,35.8,311,23.5,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,17,1.3,0,0,17,1.3,1,0.1,1,0.1,0,0,20,1.5,0,0,27,2,27,2,0,0,4,0.3,29877,2261.7,31667,2397.2
37,City,Ahmedabad,49,1.1,5,0.1,839,18.6,1,0,5837,129.2,3,0.1,12,0.3,0,0,1,0,0,0,0,0,0,0,0,0,19,0.4,0,0,0,0,2,0,1,0,0,0,106,2.3,0,0,48,1.1,45,1,3,0.1,0,0,1401,31,8324,184.2
38,City,Allahabad,305,29,238,22.7,163,15.5,334,31.8,0,0,293,27.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,1,0.1,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,9,0.9,50590,4818.1,51953,4947.9
39,City,Amritsar,19,1.9,321,31.8,149,14.7,313,31,0,0,13,1.3,14,1.4,0,0,0,0,0,0,0,0,0,0,8,0.8,3,0.3,0,0,0,0,0,0,0,0,0,0,42,4.2,0,0,0,0,0,0,0,0,0,0,36,3.6,918,90.8
40,City,Asansol,62,5.7,10,0.9,6,0.5,0,0,0,0,5,0.5,1,0.1,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.5,0,0,0,0,0,0,0,0,0,0,64,5.9,155,14.2
41,City,Bengaluru,17,0.3,57,1,168,3,266,4.7,1,0,13,0.2,111,2,0,0,78,1.4,0,0,0,0,0,0,29,0.5,28,0.5,0,0,1,0,557,9.8,0,0,0,0,97,1.7,0,0,82,1.4,82,1.4,0,0,0,0,594,10.4,2099,36.9
42,City,Bhopal,525,36.1,30,2.1,1472,101.2,516,35.5,0,0,0,0,3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,39,2.7,0,0,0,0,0,0,0,0,0,0,8,0.5,0,0,0,0,0,0,0,0,0,0,34,2.3,2627,180.5
43,City,Chennai,2,0,56,0.9,547,8.5,0,0,3112,48.4,1,0,134,2.1,0,0,6,0.1,0,0,0,0,0,0,9,0.1,1,0,0,0,0,0,0,0,0,0,0,0,423,6.6,0,0,8,0.1,8,0.1,0,0,0,0,46722,727.2,51021,794.1
44,City,Coimbatore,1,0.1,77,5.3,120,8.3,0,0,133,9.2,2,0.1,24,1.7,0,0,0,0,0,0,0,0,0,0,29,2,3,0.2,0,0,0,0,0,0,0,0,0,0,105,7.3,0,0,14,1,14,1,0,0,0,0,2360,163.2,2868,198.3
45,City,Delhi (city),811,6.3,180,1.4,287,2.2,1803,14.1,0,0,16,0.1,27,0.2,0,0,24,0.2,0,0,0,0,0,0,23,0.2,11,0.1,0,0,4,0,15,0.1,0,0,0,0,65,0.5,0,0,15,0.1,15,0.1,0,0,0,0,799,6.2,4080,31.9
46,City,Dhanbad,12,1.1,7,0.7,14,1.3,24,2.3,0,0,2,0.2,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.8,0,0,0,0,4,0.4,0,0,4,0.4,3,0.3,1,0.1,0,0,195,18.3,272,25.6
47,City,Faridabad,127,12,11,1,361,34.2,1087,103,0,0,3,0.3,3,0.3,0,0,2,0.2,0,0,0,0,0,0,0,0,4,0.4,0,0,0,0,4,0.4,0,0,0,0,21,2,0,0,0,0,0,0,0,0,0,0,400,37.9,2023,191.8
48,City,Hyderabad,126,2.3,61,1.1,106,1.9,133,2.4,261,4.7,23,0.4,174,3.1,0,0,7,0.1,0,0,0,0,0,0,20,0.4,4,0.1,0,0,8,0.1,9,0.2,0,0,0,0,123,2.2,0,0,58,1,58,1,0,0,1,0,330912,5979.6,332026,5999.7
49,City,Indore,800,48.8,23,1.4,341,20.8,628,38.3,1445,88.2,0,0,1,0.1,3,0.2,0,0,0,0,0,0,0,0,0,0,21,1.3,0,0,0,0,1,0.1,0,0,0,0,10,0.6,0,0,0,0,0,0,0,0,0,0,49,3,3322,202.7
50,City,Jabalpur,640,57.3,60,5.4,849,76,1042,93.3,0,0,86,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.4,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,5,0.4,2688,240.6
51,City,Jaipur,384,16.5,64,2.8,1297,55.8,671,28.9,0,0,4,0.2,28,1.2,0,0,0,0,0,0,0,0,0,0,1,0,21,0.9,0,0,0,0,1,0,0,0,24,1,75,3.2,0,0,10,0.4,9,0.4,1,0,15,0.6,677,29.1,3272,140.8
52,City,Jamshedpur,71,6.4,9,0.8,32,2.9,66,6,0,0,11,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,5,0.5,0,0,0,0,58,5.3,0,0,0,0,2,0.2,0,0,11,1,6,0.5,5,0.5,6,0.5,80,7.3,352,31.9
53,City,Kanpur,1404,52.2,734,27.3,549,20.4,1127,41.9,0,0,45,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,2.6,0,0,1,0,0,0,0,0,0,0,38,1.4,0,0,0,0,0,0,0,0,28,1,145669,5415.2,149665,5563.8
54,City,Kochi,9,0.7,136,10,53,3.9,0,0,7551,557.3,4,0.3,98,7.2,0,0,1,0.1,0,0,0,0,0,0,1,0.1,27,2,0,0,0,0,0,0,0,0,2,0.1,52,3.8,0,0,0,0,0,0,0,0,0,0,22736,1677.9,30670,2263.5
55,City,Kolkata,165,1.2,58,0.4,1,0,63,0.5,0,0,6,0,10,0.1,1,0,0,0,0,0,0,0,0,0,0,0,38,0.3,0,0,0,0,0,0,0,0,0,0,132,1,0,0,0,0,0,0,0,0,0,0,423,3.2,897,6.8
56,City,Lucknow,1292,57,299,13.2,298,13.1,231,10.2,0,0,9,0.4,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,67,3,0,0,4,0.2,0,0,0,0,0,0,30,1.3,0,0,56,2.5,56,2.5,0,0,3,0.1,149150,6579.2,151441,6680.2
57,City,Ludhiana,136,9.7,211,15.1,258,18.5,207,14.8,0,0,0,0,3,0.2,0,0,0,0,0,0,0,0,0,0,1,0.1,16,1.1,0,0,0,0,0,0,0,0,0,0,91,6.5,0,0,2,0.1,2,0.1,0,0,1,0.1,69,4.9,995,71.3
58,City,Madurai,2,0.2,33,2.8,87,7.3,0,0,786,65.8,0,0,62,5.2,0,0,0,0,0,0,0,0,0,0,2,0.2,2,0.2,0,0,0,0,0,0,0,0,0,0,44,3.7,0,0,4,0.3,4,0.3,0,0,0,0,36279,3035.9,37301,3121.4
59,City,Meerut,935,80.1,105,9,274,23.5,411,35.2,0,0,0,0,1,0.1,1,0.1,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,7,0.6,0,0,0,0,0,0,0,0,2,0.2,51518,4414.6,53266,4564.4
60,City,Mumbai,193,1.2,657,4,128,0.8,0,0,246,1.5,0,0,123,0.8,0,0,5,0,2,0,2,0,0,0,2,0,71,0.4,0,0,0,0,0,0,0,0,0,0,216,1.3,0,0,12,0.1,12,0.1,0,0,2,0,3112,19,4769,29.1
61,City,Nagpur,296,13.9,48,2.3,818,38.5,0,0,2651,124.9,0,0,14,0.7,0,0,1,0,0,0,0,0,0,0,0,0,71,3.3,0,0,0,0,8,0.4,0,0,0,0,41,1.9,0,0,7,0.3,6,0.3,1,0,0,0,21566,1015.8,25521,1202.1
62,City,Nasik,5,0.4,6,0.5,76,6.6,0,0,136,11.8,0,0,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,9,0.8,0,0,0,0,0,0,0,0,0,0,9,0.8,0,0,0,0,0,0,0,0,0,0,405,35.2,648,56.2
63,City,Patna,184,10.8,29,1.7,76,4.5,201,11.8,0,0,9,0.5,4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,18,1.1,0,0,0,0,21,1.2,4,0.2,0,0,0,0,0,0,41,2.4,41,2.4,0,0,0,0,30,1.8,617,36.1
64,City,Pune,63,1.7,92,2.4,212,5.6,0,0,1180,31.4,0,0,24,0.6,0,0,7,0.2,0,0,0,0,0,0,2,0.1,51,1.4,0,0,0,0,0,0,0,0,0,0,52,1.4,0,0,10,0.3,10,0.3,0,0,0,0,4578,121.9,6271,167
65,City,Rajkot,9,0.9,2,0.2,316,31.5,0,0,3434,342.7,0,0,4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,9,0.9,0,0,0,0,0,0,0,0,0,0,10,1,0,0,2,0.2,2,0.2,0,0,0,0,366,36.5,4152,414.4
66,City,Surat,21,0.7,7,0.2,535,19,0,0,15205,540.9,3,0.1,3,0.1,0,0,25,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1.3,0,0,5,0.2,5,0.2,0,0,0,0,2058,73.2,17898,636.7
67,City,Vadodara,8,0.5,11,0.7,352,23.6,0,0,11168,748.5,2,0.1,7,0.5,0,0,0,0,0,0,0,0,0,0,0,0,12,0.8,0,0,0,0,0,0,1,0.1,0,0,74,5,0,0,9,0.6,5,0.3,4,0.3,0,0,1302,87.3,12946,867.7
68,City,Varanasi,430,35.5,296,24.4,89,7.3,194,16,0,0,3,0.2,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,25,2.1,0,0,0,0,0,0,0,0,0,0,25,2.1,0,0,57,4.7,57,4.7,0,0,7,0.6,27193,2243.6,28321,2336.7
69,City,Vijayawada,1,0.1,16,1.6,12,1.2,142,14,3,0.3,3,0.3,26,2.6,0,0,0,0,0,0,0,0,0,0,0,0,5,0.5,0,0,1,0.1,0,0,0,0,0,0,23,2.3,0,0,7,0.7,7,0.7,0,0,0,0,24,2.4,263,26
70,City,Vishakhapatnam,6,0.5,9,0.7,8,0.6,10,0.8,0,0,1,0.1,14,1.1,0,0,2,0.2,0,0,0,0,0,0,2,0.2,4,0.3,0,0,0,0,0,0,0,0,0,0,19,1.4,0,0,41,3.1,39,2.9,2,0.2,0,0,94197,7087.8,94313,7096.5
Total (Cities),Total (Cities),Total (Cities),9770,9.1,4215,3.9,11366,10.5,9781,9.1,53149,49.3,561,0.5,934,0.9,5,0,160,0.1,2,0,2,0,0,0,130,0.1,698,0.6,0,0,37,0,685,0.6,7,0,26,0,2017,1.9,0,0,530,0.5,513,0.5,17,0,78,0.1,1025470,950.6,1119621,1037.8
