SI. No.,Category,States/ UTs,Murder (Sec.302 IPC) - 2009,Murder (Sec.302 IPC) - 2010,Murder (Sec.302 IPC) - %Varitation,Attempt to Commit Murder (Sec. 307 IPC) - 2009,Attempt to Commit Murder (Sec. 307 IPC) - 2010,Attempt to Commit Murder (Sec. 307 IPC) - %Varitation,"C.h. Not Amounting Murder (Sec.304 , 308 IPC) - 2009","C.h. Not Amounting Murder (Sec.304 , 308 IPC) - 2010","C.h. Not Amounting Murder (Sec.304 , 308 IPC) - %Varitation",Rape (Sec. 376 IPC) - Total - 2009,Rape (Sec. 376 IPC) - Total - 2010,Rape (Sec. 376 IPC) - Total - % Variation,Rape (Sec. 376 IPC) - Custodial - 2009,Rape (Sec. 376 IPC) - Custodial - 2010,Rape (Sec. 376 IPC) - Custodial - % Variation,Rape (Sec. 376 IPC) - Others - 2009,Rape (Sec. 376 IPC) - Others - 2010,Rape (Sec. 376 IPC) - Others - % Variation,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - 2009","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - 2010","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - % Variation","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - 2009","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - 2010","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - % Variation","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - 2009","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - 2010","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - % Variation",Dacoity (Sec. 395-398 IPC) - 2009,Dacoity (Sec. 395-398 IPC) - 2010,Dacoity (Sec. 395-398 IPC) - % Variation,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - 2009,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - 2010,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - % Variation,"Robbery (Sec.392-394, 397, 398 IPC) - 2009","Robbery (Sec.392-394, 397, 398 IPC) - 2010","Robbery (Sec.392-394, 397, 398 IPC) - % Variation","Burglary (Sec.449-452,454,455,457-460 IPC) - 2009","Burglary (Sec.449-452,454,455,457-460 IPC) - 2010","Burglary (Sec.449-452,454,455,457-460 IPC) - % Variation",Theft (Sec.379-382 IPC) - Total - 2009,Theft (Sec.379-382 IPC) - Total - 2010,Theft (Sec.379-382 IPC) - Total - % Variation,Theft (Sec.379-382 IPC) - Auto Theft - 2009,Theft (Sec.379-382 IPC) - Auto Theft - 2010,Theft (Sec.379-382 IPC) - Auto Theft - % Variation,Theft (Sec.379-382 IPC) - Other Theft -2009,Theft (Sec.379-382 IPC) - Other Theft - 2010,Theft (Sec.379-382 IPC) - Other Theft - % Variation,"Riots (Sec.143-145,147- 151,153,153A,153B,157,158,160 IPC) - 2009","Riots (Sec.143-145,147- 151,153,153A,153B,157,158,160 IPC) - 2010","Riots (Sec.143-145,147- 151,153,153A,153B,157,158,160 IPC) - % Variation",Criminal Breach of Trust (Sec. 406-409 IPC) - 2009,Criminal Breach of Trust (Sec. 406-409 IPC) - 2010,Criminal Breach of Trust (Sec. 406-409 IPC) - % Variation,"Cheating (Sec. 419,420 IPC) - 2009","Cheating (Sec. 419,420 IPC) - 2010","Cheating (Sec. 419,420 IPC) - % Variation","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2009","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2010","Counterfeiting (Sec.231-254, 489A-489D IPC) - % Variation","Arson (Sec.435,436,438 IPC) - 2009","Arson (Sec.435,436,438 IPC) - 2010","Arson (Sec.435,436,438 IPC) - % Variation","Hurt (Sec.323-333, 335-338 IPC) - 2009","Hurt (Sec.323-333, 335-338 IPC) - 2010","Hurt (Sec.323-333, 335-338 IPC) - % Variation",Dowry Deaths (Sec.304B IPC) - 2009,Dowry Deaths (Sec.304B IPC) - 2010,Dowry Deaths (Sec.304B IPC) - % Variation,Molestation (Sec.354 IPC) - 2009,Molestation (Sec.354 IPC) - 2010,Molestation (Sec.354 IPC) - % Variation,Sexual Harassment (Sec.509 IPC) - 2009,Sexual Harassment (Sec.509 IPC) - 2010,Sexual Harassment (Sec.509 IPC) - % Variation,Cruelty by Husband and Relatives (Sec. 498A IPC) - 2009,Cruelty by Husband and Relatives (Sec. 498A IPC) - 2010,Cruelty by Husband and Relatives (Sec. 498A IPC) - % Variation,Importation of Girls (Sec. 366B IPC) - 2009,Importation of Girls (Sec. 366B IPC) - 2010,Importation of Girls (Sec. 366B IPC) - % Variation,Causing Death by Negligence (Sec. 304A IPC) - 2009,Causing Death by Negligence (Sec. 304A IPC) - 2010,Causing Death by Negligence (Sec. 304A IPC) - % Variation,Other IPC Crimes -2009,Other IPC Crimes - 2010,Other IPC Crimes - % Variation,Total Cognizable Sl. Crimes Under IPC - 2009,Total Cognizable Sl. Crimes Under IPC - 2010,Total Cognizable Sl. Crimes Under IPC - % Variation,Note of Murder (Sec.302 IPC) - %Varitation,"Note of C.h. Not Amounting Murder (Sec.304 , 308 IPC) - %Varitation",Note of Rape (Sec. 376 IPC) - Custodial - % Variation,"Note of Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - % Variation","Note of Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - % Variation","Note of Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - % Variation",Note of Dacoity (Sec. 395-398 IPC) - % Variation,Note of Preparation & Assembly for Dacoity (Sec.399-402 IPC) - % Variation,"Note of Robbery (Sec.392-394, 397, 398 IPC) - % Variation","Note of Riots (Sec.143-145,147- 151,153,153A,153B,157,158,160 IPC) - % Variation",Note of Criminal Breach of Trust (Sec. 406-409 IPC) - % Variation,"Note of Cheating (Sec. 419,420 IPC) - % Variation","Note of Counterfeiting (Sec.231-254, 489A-489D IPC) - % Variation","Note of Arson (Sec.435,436,438 IPC) - % Variation",Note of Dowry Deaths (Sec.304B IPC) - % Variation,Note of Molestation (Sec.354 IPC) - % Variation,Note of Sexual Harassment (Sec.509 IPC) - % Variation,Note of Cruelty by Husband and Relatives (Sec. 498A IPC) - % Variation,Note of Importation of Girls (Sec. 366B IPC) - % Variation,Note of Causing Death by Negligence (Sec. 304A IPC) - % Variation
11,State,Jharkhand,1636,1689,3.2,1274,1028,-19.3,104,82,-21.2,719,773,7.5,0,0,NA,719,773,7.5,827,978,18.3,517,696,34.6,310,282,-9,412,335,-18.7,53,19,-64.2,780,709,-9.1,1392,1357,-2.5,7716,7090,-8.1,2990,2709,-9.4,4726,4381,-7.3,2312,2447,5.8,473,505,6.8,910,988,8.6,15,16,6.7,203,185,-8.9,4132,4271,3.4,295,276,-6.4,276,245,-11.2,83,16,-80.7,710,650,-8.5,6,8,33.3,1678,1745,4,11430,13477,17.9,37436,38889,3.9,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,State,Karnataka,1702,1805,6.1,1607,1850,15.1,79,94,19,509,586,15.1,0,0,NA,509,586,15.1,892,1374,54,408,586,43.6,484,788,62.8,273,272,-0.4,346,300,-13.3,1825,1949,6.8,6629,6059,-8.6,20576,20093,-2.3,11093,10840,-2.3,9483,9253,-2.4,6269,7710,23,461,464,0.7,5079,5543,9.1,171,192,12.3,293,286,-2.4,20105,21835,8.6,264,248,-6.1,2186,2544,16.4,64,83,29.7,3185,3441,8,2,0,-100,417,471,12.9,61108,65123,6.6,134042,142322,6.2,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,State,Kerala,343,363,5.8,408,361,-11.5,100,86,-14,568,634,11.6,0,0,NA,568,634,11.6,256,261,2,173,184,6.4,83,77,-7.2,112,74,-33.9,266,221,-16.9,830,636,-23.4,3554,2682,-24.5,5564,4380,-21.3,2029,1486,-26.8,3535,2894,-18.1,8086,8724,7.9,354,343,-3.1,3394,3581,5.5,66,54,-18.2,503,374,-25.6,18274,18532,1.4,20,22,10,2540,2936,15.6,395,537,35.9,4007,4797,19.7,0,0,NA,41,47,14.6,68688,98668,43.6,118369,148313,25.3,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
14,State,Madhya Pradesh,2386,2423,1.6,2212,2277,2.9,117,123,5.1,2998,3135,4.6,1,0,-100,2997,3135,4.6,1036,1187,14.6,841,1030,22.5,195,157,-19.5,117,110,-6,156,110,-29.5,2270,1919,-15.5,10661,9897,-7.2,23260,21577,-7.2,10705,11353,6.1,12555,10224,-18.6,2409,2606,8.2,575,507,-11.8,1830,1779,-2.8,27,33,22.2,741,748,0.9,37132,39193,5.6,858,892,4,6307,6646,5.4,728,918,26.1,3983,3756,-5.7,1,5,400,6591,7038,6.8,101367,107390,5.9,207762,214269,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,State,Maharashtra,2653,2744,3.4,1880,1926,2.4,98,152,55.1,1483,1599,7.8,0,0,NA,1483,1599,7.8,1286,1508,17.3,926,1124,21.4,360,384,6.7,780,778,-0.3,287,285,-0.7,3314,3721,12.3,15841,16617,4.9,50930,52565,3.2,18133,18676,3,32797,33889,3.3,8030,8412,4.8,1895,1948,2.8,7976,8684,8.9,478,389,-18.6,1105,1229,11.2,28326,29696,4.8,341,393,15.2,3196,3661,14.5,1099,1180,7.4,7681,7434,-3.2,0,0,NA,12459,13508,8.4,48460,49739,2.6,199598,208168,4.3,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
16,State,Manipur,131,92,-29.8,478,258,-46,2,1,-50,31,34,9.7,0,0,NA,31,34,9.7,159,199,25.2,97,107,10.3,62,92,48.4,1,0,-100,188,196,4.3,3,2,-33.3,68,66,-2.9,394,417,5.8,283,254,-10.2,111,163,46.8,48,65,35.4,20,24,20,96,59,-38.5,1,7,600,81,86,6.2,224,227,1.3,0,0,NA,39,31,-20.5,2,0,-100,25,18,-28,0,0,NA,0,1,NA,861,932,8.2,2852,2715,-4.8,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,@,@
17,State,Meghalaya,128,134,4.7,39,60,53.8,12,8,-33.3,112,149,33,0,0,NA,112,149,33,56,71,26.8,26,37,42.3,30,34,13.3,64,42,-34.4,1,1,0,67,67,0,147,166,12.9,545,664,21.8,180,152,-15.6,365,512,40.3,18,7,-61.1,26,37,42.3,113,98,-13.3,9,4,-55.6,54,52,-3.7,207,154,-25.6,0,0,NA,72,48,-33.3,1,0,-100,24,24,0,1,0,-100,72,53,-26.4,680,666,-2.1,2448,2505,2.3,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA
18,State,Mizoram,31,48,54.8,14,27,92.9,8,7,-12.5,83,92,10.8,1,0,-100,82,92,12.2,9,9,0,0,0,NA,9,9,0,2,3,50,0,0,NA,4,16,300,381,425,11.5,761,823,8.1,77,69,-10.4,684,754,10.2,1,0,-100,30,25,-16.7,61,79,29.5,9,12,33.3,24,15,-37.5,120,116,-3.3,0,0,NA,61,75,23,1,0,-100,4,3,-25,0,0,NA,36,44,22.2,407,355,-12.8,2047,2174,6.2,NA,NA,NA,NA,@,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,@,NA
19,State,Nagaland,46,45,-2.2,35,35,0,7,13,85.7,22,16,-27.3,0,0,NA,22,16,-27.3,52,50,-3.8,10,6,-40,42,44,4.8,8,3,-62.5,0,0,NA,92,63,-31.5,82,62,-24.4,347,397,14.4,69,80,15.9,278,317,14,4,2,-50,6,13,116.7,33,39,18.2,3,3,0,4,1,-75,38,36,-5.3,0,0,NA,11,13,18.2,0,3,NA,0,1,NA,0,0,NA,34,22,-35.3,235,242,3,1059,1059,0,NA,NA,@,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA,@,@,@,NA
20,State,Odisha,1250,1308,4.6,1231,1436,16.7,48,31,-35.4,1023,1025,0.2,0,0,NA,1023,1025,0.2,930,1016,9.2,799,912,14.1,131,104,-20.6,380,346,-8.9,63,117,85.7,1488,1491,0.2,2937,2855,-2.8,7136,7572,6.1,2521,2627,4.2,4615,4945,7.2,1718,1779,3.6,258,322,24.8,1137,1108,-2.6,34,29,-14.7,413,430,4.1,6816,7181,5.4,384,388,1,2697,2905,7.7,210,232,10.5,2047,2067,1,1,5,400,2979,3450,15.8,20560,19366,-5.8,55740,56459,1.3,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,State,Punjab,853,907,6.3,1014,994,-2,129,120,-7,511,546,6.8,0,0,NA,511,546,6.8,692,789,14,513,576,12.3,179,213,19,38,65,71.1,96,143,49,171,241,40.9,2507,2661,6.1,5624,5446,-3.2,2713,2467,-9.1,2911,2979,2.3,8,0,-100,234,243,3.8,3098,3527,13.8,63,75,19,101,101,0,5498,4873,-11.4,126,121,-4,319,349,9.4,33,38,15.2,1061,1163,9.6,0,0,NA,3289,3350,1.9,10080,10896,8.1,35545,36648,3.1,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
22,State,Rajasthan,1395,1421,1.9,1673,1557,-6.9,80,104,30,1519,1571,3.4,0,0,NA,1519,1571,3.4,2870,2985,4,2310,2477,7.2,560,508,-9.3,53,37,-30.2,57,84,47.4,886,872,-1.6,5294,4714,-11,22144,22324,0.8,12156,13245,9,9988,9079,-9.1,1145,986,-13.9,842,789,-6.3,15037,16584,10.3,59,36,-39,556,478,-14,21652,19247,-11.1,436,462,6,2485,2339,-5.9,24,23,-4.2,10371,11145,7.5,0,0,NA,7898,7978,1,70089,67221,-4.1,166565,162957,-2.2,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
23,State,Sikkim,19,17,-10.5,7,6,-14.3,3,2,-33.3,18,18,0,0,0,NA,18,18,0,6,6,0,6,6,0,0,0,NA,0,1,NA,0,0,NA,4,7,75,93,72,-22.6,62,53,-14.5,8,8,0,54,45,-16.7,39,4,-89.7,4,1,-75,12,20,66.7,2,3,50,9,7,-22.2,91,73,-19.8,0,1,NA,10,11,10,0,0,NA,6,3,-50,0,0,NA,59,47,-20.3,225,200,-11.1,669,552,-17.5,NA,NA,@,NA,NA,@,@,@,NA,NA,NA,NA,NA,NA,@,NA,@,NA,@,NA
