SL. No.,Category,States/UTs,Disposal of Cases - Murder (Sec.302 IPC) - Confession,Disposal of Cases -Murder (Sec.302 IPC) - Trial,Disposal of Cases - Murder (Sec.302 IPC) - Total,Disposal of Cases - Attempt to Commit Murder (Sec. 307 IPC) - Confession,Disposal of Cases - Attempt to Commit Murder (Sec. 307 IPC) - Trial,Disposal of Cases - Attempt to Commit Murder (Sec. 307 IPC) - Total,"Disposal of Cases - C.H. Not Amounting Murder (Sec.304 , 308 IPC) -Confession","Disposal of Cases - C.H. Not Amounting Murder (Sec.304 , 308 IPC) - Trial","Disposal of Cases - C.H. Not Amounting Murder (Sec.304 , 308 IPC) - Total",Disposal of Cases - Rape (Sec. 376 IPC) -Confession,Disposal of Cases - Rape (Sec. 376 IPC) -Trial,Disposal of Cases - Rape (Sec. 376 IPC) -Total,"Disposal of Cases - Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Cofession","Disposal of Cases - Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Trial","Disposal of Cases - Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Total","Disposal of Cases - Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Women & Girls - Confession","Disposal of Cases - Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Women & Girls - Trial","Disposal of Cases - Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Women & Girls - Total","Disposal of Cases - Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Others - Confession","Disposal of Cases - Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Others - Trial","Disposal of Cases - Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Others - Total",Disposal of Cases -Dacoity (Sec.395-398 IPC) - Confession,Disposal of Cases -Dacoity (Sec.395-398 IPC) - Trial,Disposal of Cases -Dacoity (Sec.395-398 IPC) - Total,Disposal of Cases -Preparation & Assembly for Dacoity (Sec.399 To 402 IPC) - Confession,Disposal of Cases -Preparation & Assembly for Dacoity (Sec.399 To 402 IPC) -Trial,Disposal of Cases -Preparation & Assembly for Dacoity (Sec.399 To 402 IPC) - Total,"Disposal of Cases -Robbery (Sec. 392-394,3,97,398 IPC) - Confession","Disposal of Cases -Robbery (Sec. 392-394,3,97,398 IPC) - Trial","Disposal of Cases - Robbery (Sec. 392-394,3,97,398 IPC) - Total","Disposal of Cases - Riots (Sec.143-145, 147-151, 153, 153A,153B,157,158,160 IPC) - Confession","Disposal of Cases - Riots (Sec.143-145, 147-151, 153, 153A,153B,157,158,160 IPC) -Trial","Disposal of Cases - Riots (Sec.143-145, 147-151, 153, 153A,153B,157,158,160 IPC) -Total","Disposal of Cases - Arson (Sec.435,436,438 IPC) - Confession","Disposal of Cases - Arson (Sec.435,436,438 IPC) - Trial","Disposal of Cases - Arson (Sec.435,436,438 IPC) - Total",Disposal of Cases - Dowry Death (Sec. 304B IPC) - Confession,Disposal of Cases - Dowry Death (Sec. 304B IPC) - Trial,Disposal of Cases - Dowry Death (Sec. 304B IPC) - Total,Disposal of Cases - Total - Confession,Disposal of Cases - Total - Trial,Disposal of Cases - Total - Total
16,State,Manipur,0,4,4,0,0,0,0,0,0,0,3,3,0,2,2,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,13,13
17,State,Meghalaya,2,14,16,0,9,9,0,4,4,0,9,9,0,11,11,0,6,6,0,5,5,0,9,9,0,0,0,0,14,14,0,1,1,0,5,5,0,0,0,2,76,78
18,State,Mizoram,8,33,41,2,16,18,0,8,8,11,76,87,0,4,4,0,0,0,0,4,4,0,1,1,0,0,0,1,9,10,0,0,0,6,11,17,0,0,0,28,158,186
19,State,Nagaland,8,23,31,8,14,22,0,2,2,8,11,19,6,25,31,1,13,14,5,12,17,1,1,2,0,0,0,5,53,58,3,1,4,1,2,3,0,0,0,40,132,172
20,State,Odisha,0,745,745,0,938,938,0,46,46,0,666,666,0,465,465,0,402,402,0,63,63,0,216,216,0,48,48,0,835,835,0,1320,1320,0,301,301,0,415,415,0,5995,5995
21,State,Punjab,0,638,638,0,655,655,0,91,91,0,490,490,0,283,283,0,170,170,0,113,113,0,31,31,0,109,109,0,114,114,0,2,2,0,69,69,0,108,108,0,2590,2590
22,State,Rajasthan,0,617,617,0,1124,1124,0,30,30,0,656,656,0,519,519,0,372,372,0,147,147,0,32,32,0,43,43,0,314,314,0,1428,1428,0,212,212,0,231,231,0,5206,5206
23,State,Sikkim,1,7,8,2,7,9,0,0,0,0,3,3,0,2,2,0,2,2,0,0,0,0,1,1,0,0,0,0,3,3,0,7,7,0,0,0,0,0,0,3,30,33
24,State,Tamil Nadu,17,1288,1305,25,1772,1797,0,24,24,11,421,432,9,537,546,6,423,429,3,114,117,0,67,67,0,45,45,7,616,623,0,1617,1617,0,222,222,0,164,164,69,6773,6842
25,State,Tripura,0,72,72,1,22,23,0,3,3,0,112,112,0,60,60,0,36,36,0,24,24,0,3,3,0,1,1,0,32,32,5,67,72,0,11,11,0,18,18,6,401,407
26,State,Uttar Pradesh,0,4358,4358,0,4140,4140,0,1392,1392,0,1392,1392,0,3818,3818,0,3052,3052,0,766,766,0,369,369,0,95,95,0,1892,1892,0,3693,3693,0,384,384,0,1831,1831,0,23364,23364
27,State,Uttarakhand,0,175,175,0,152,152,0,58,58,0,111,111,0,113,113,0,93,93,0,20,20,0,32,32,0,8,8,0,109,109,0,183,183,0,9,9,0,86,86,0,1036,1036
28,State,West Bengal,7,773,780,0,309,309,2,234,236,13,642,655,13,455,468,7,383,390,6,72,78,1,115,116,0,227,227,0,143,143,0,2011,2011,2,82,84,0,229,229,38,5220,5258
Total (States),Total (States),Total (States),465,21889,22354,244,19585,19829,5,2683,2688,284,13536,13820,174,13441,13615,133,9840,9973,41,3601,3642,40,3101,3141,12,1604,1616,163,11666,11829,529,40007,40536,43,4593,4636,40,5942,5982,1999,138047,140046
29,Union Territories,Andaman & Nicobar Islands,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,4,4,0,1,1,0,0,0,0,17,17
30,Union Territories,Chandigarh,0,20,20,0,21,21,0,12,12,0,31,31,0,18,18,0,14,14,0,4,4,0,5,5,0,5,5,0,33,33,0,68,68,0,1,1,0,6,6,0,220,220
31,Union Territories,Dadra Nagar Haveli,0,6,6,0,2,2,0,0,0,0,4,4,0,4,4,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,23,23
32,Union Territories,Daman & Diu,0,2,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,1,0,16,16,0,0,0,0,1,1,0,28,28
33,Union Territories,Delhi,3,398,401,1,388,389,1,74,75,0,407,407,25,292,317,25,201,226,0,91,91,0,25,25,0,148,148,0,425,425,0,55,55,1,6,7,0,131,131,31,2349,2380
34,Union Territories,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territories,Puducherry,0,30,30,0,16,16,0,6,6,0,1,1,0,6,6,0,5,5,0,1,1,0,0,0,0,1,1,0,0,0,38,152,190,0,1,1,0,1,1,38,214,252
Total (UTs),Total (UTs),Total (UTs),3,463,466,1,431,432,1,92,93,0,443,443,25,320,345,25,223,248,0,97,97,0,34,34,0,154,154,0,464,464,38,302,340,1,9,10,0,139,139,69,2851,2920
Total (All-India),Total (All-India),Total (All-India),468,22352,22820,245,20016,20261,6,2775,2781,284,13979,14263,199,13761,13960,158,10063,10221,41,3698,3739,40,3135,3175,12,1758,1770,163,12130,12293,567,40309,40876,44,4602,4646,40,6081,6121,2068,140898,142966
