Sl. No.(Col.1),Category (Col.2),States/Uts (Col.3),District / Session Judge - Duration of Trial - Less than 6 Months (Col.4),District / Session Judge - Duration of Trial - 6-12 Months (Col.5),District / Session Judge - Duration of Trial - 1-3 Years (Col.6),District / Session Judge - Duration of Trial - 3-5 Years (Col.7),District / Session Judge - Duration of Trial - 5-10 Years (Col.8),District / Session Judge - Duration of Trial - Over 10 Years (Col.9),District / Session Judge - Duration of Trial - Total (Col.4 to Col.9) = (Col.10),Additional Session Judge - Duration of Trial - Less than 6 Months (Col.11),Additional Session Judge - Duration of Trial - 6-12 Months (Col.12),Additional Session Judge - Duration of Trial - 1-3 Years (Col.13),Additional Session Judge - Duration of Trial - 3-5 Years (Col.14),Additional Session Judge - Duration of Trial - 5-10 Years (Col.15),Additional Session Judge - Duration of Trial - Over 10 Years (Col.16),Additional Session Judge - Duration of Trial - Total (Col.11 to Col.16) = (Col.17),Chief Judicial Magistrate - Duration of Trial - Less than 6 Months (Col.18),Chief Judicial Magistrate - Duration of Trial - 6-12 Months (Col.19),Chief Judicial Magistrate - Duration of Trial - 1-3 Years (Col.20),Chief Judicial Magistrate - Duration of Trial - 3-5 Years (Col.21),Chief Judicial Magistrate - Duration of Trial - 5-10 Years (Col.22),Chief Judicial Magistrate - Duration of Trial - Over 10 Years (Col.23),Chief Judicial Magistrate - Duration of Trial - Total (Col.18 to Col.23) = (Col.24),Judicial Magistrate (I) - Duration of Trial - Less than 6 Months (Col.25),Judicial Magistrate (I) - Duration of Trial - 6-12 Months (Col.26),Judicial Magistrate (I) - Duration of Trial - 1-3 Years (Col.27),Judicial Magistrate (I) - Duration of Trial - 3-5 Years (Col.28),Judicial Magistrate (I) - Duration of Trial - 5-10 Years (Col.29),Judicial Magistrate (I) - Duration of Trial - Over 10 Years (Col.30),Judicial Magistrate (I) - Duration of Trial - Total (Col.25 to Col.30) = (Col.31),Judicial Magistrate (II) - Duration of Trial - Less than 6 Months (Col.32),Judicial Magistrate (II) - Duration of Trial - 6-12 Months (Col.33),Judicial Magistrate (II) - Duration of Trial - 1-3 Years (Col.34),Judicial Magistrate (II) - Duration of Trial - 3-5 Years (Col.35),Judicial Magistrate (II) - Duration of Trial - 5-10 Years (Col.36),Judicial Magistrate (II) - Duration of Trial - Over 10 Years (Col.37),Judicial Magistrate (II) - Duration of Trial - Total (Col.32 to Col.37) = (Col.38),Special Judicial Magistrate - Duration of Trial - Less than 6 Months (Col.39),Special Judicial Magistrate - Duration of Trial - 6-12 Months (Col.39),Special Judicial Magistrate - Duration of Trial - 1-3 Years (Col.41),Special Judicial Magistrate - Duration of Trial - 3-5 Years (Col.42),Special Judicial Magistrate - Duration of Trial - 5-10 Years (Col.43),Special Judicial Magistrate - Duration of Trial - Over 10 Years (Col.44),Special Judicial Magistrate - Duration of Trial - Total (Col.39 to Col.44) = (Col.45),Other Type of Courts - Duration of Trial - Less than 6 Months (Col.46),Other Type of Courts - Duration of Trial - 6-12 Months (Col.47),Other Type of Courts - Duration of Trial - 1-3 Years (Col.48),Other Type of Courts - Duration of Trial - 3-5 Years (Col.49),Other Type of Courts - Duration of Trial - 5-10 Years (Col.50),Other Type of Courts - Duration of Trial - Over 10 Years (Col.51),Other Type of Courts - Duration of Trial - Total (Col.46 to Col.51) = (Col.52),Sum of All Type of Courts - Duration of Trial - Less than 6 Months (Col.53),Sum of All Type of Courts - Duration of Trial - 6-12 Months (Col.54),Sum of All Type of Courts - Duration of Trial - 1-3 Years (Col.55),Sum of All Type of Courts - Duration of Trial - 3-5 Years (Col.56),Sum of All Type of Courts - Duration of Trial - 5-10 Years (Col.57),Sum of All Type of Courts - Duration of Trial - Over 10 Years (Col.58),Sum of All Type of Courts - Duration of Trial - Total (Col.53 to Col.58) = (Col.59)
14,State,Madhya Pradesh,839,1348,1864,1122,590,497,6260,1138,2120,3428,2701,1251,616,11254,5163,6320,7313,4575,1879,457,25707,8110,9019,12584,8777,3788,1255,43533,3709,5106,5204,3125,1363,362,18869,853,1140,1954,1629,759,416,6751,1335,11630,2467,2010,1312,774,19528,21147,36683,34814,23939,10942,4377,131902
15,State,Maharashtra,101,274,1318,944,408,162,3207,81,315,1382,1245,716,353,4092,487,1280,3339,3296,2207,985,11594,1638,4111,14967,17397,10908,4161,53182,211,777,4437,4657,3377,1161,14620,27,67,223,176,127,44,664,124,227,456,390,212,233,1642,2669,7051,26122,28105,17955,7099,89001
16,State,Manipur,1,3,2,0,0,1,7,0,0,0,1,0,1,2,18,3,0,3,1,3,28,10,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,2,0,1,3,29,6,2,7,1,9,54
17,State,Meghalaya,0,0,9,3,0,0,12,2,3,3,4,4,4,20,0,0,10,18,7,0,35,22,22,46,31,21,2,144,0,3,8,24,7,0,42,0,0,0,0,0,0,0,6,11,45,99,78,0,239,30,39,121,179,117,6,492
18,State,Mizoram,32,15,11,0,0,0,58,0,0,1,0,0,0,1,86,203,322,983,90,3,1687,143,181,80,36,0,0,440,7,56,0,0,0,0,63,4,4,0,0,0,0,8,5,12,6,0,0,0,23,277,471,420,1019,90,3,2280
19,State,Nagaland,24,16,1,8,2,0,51,31,49,50,22,2,0,154,29,37,35,51,4,0,156,86,99,100,12,5,4,306,14,2,0,0,0,0,16,0,0,0,0,0,0,0,3,5,2,1,0,0,11,187,208,188,94,13,4,694
20,State,Odisha,20,139,439,448,173,68,1287,6,130,1038,1013,420,111,2718,183,259,757,916,390,80,2585,860,1808,4420,3083,1769,341,12281,183,256,1125,1070,661,295,3590,242,606,1125,632,347,62,3014,106,2360,2745,1988,539,289,8027,1600,5558,11649,9150,4299,1246,33502
21,State,Punjab,34,310,702,524,118,19,1707,61,468,1332,747,250,21,2879,310,649,1546,907,238,18,3668,578,1176,2632,1201,353,31,5971,386,402,1211,916,494,63,3472,35,51,140,100,33,2,361,265,420,1076,525,171,158,2615,1669,3476,8639,4920,1657,312,20673
22,State,Rajasthan,90,210,726,809,431,89,2355,187,644,1572,1168,661,106,4338,568,1077,2815,2469,1035,262,8226,1592,3692,7017,5075,2356,393,20125,888,1801,3821,2447,1242,260,10459,177,579,1123,1091,281,65,3316,405,1412,2531,2110,1161,433,8052,3907,9415,19605,15169,7167,1608,56871
23,State,Sikkim,7,22,3,0,0,0,32,0,0,0,0,0,0,0,5,8,113,8,0,0,134,0,12,10,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,42,126,8,0,0,188
24,State,Tamil Nadu,183,411,1221,493,370,57,2735,365,568,1102,812,284,46,3177,372,699,749,441,223,14,2498,12675,16174,15656,8594,2310,228,55637,11111,15098,10512,5963,2810,318,45812,1240,1364,896,963,175,164,4802,1948,1580,1534,663,165,27,5917,27894,35894,31670,17929,6337,854,120578
25,State,Tripura,22,23,86,39,6,2,178,46,49,178,44,13,8,338,110,135,226,133,34,1,639,139,216,333,202,38,3,931,36,50,36,29,0,0,151,8,15,32,13,0,0,68,61,24,78,7,3,0,173,422,512,969,467,94,14,2478
26,State,Uttar Pradesh,0,378,1892,3340,2792,755,9157,0,764,3642,5088,3565,2128,15187,86,153,4353,9765,5314,836,20507,104,692,5574,9785,3567,412,20134,146,545,5384,9724,4477,469,20745,69,543,6475,10843,1342,323,19595,194,314,9392,3592,184,0,13676,599,3389,36712,52137,21241,4923,119001
27,State,Uttarakhand,10,36,177,75,34,0,332,14,43,163,68,42,28,358,133,422,637,363,144,0,1699,117,394,513,226,51,18,1319,28,231,235,119,14,6,633,22,27,126,74,11,0,260,2,5,81,30,2,0,120,326,1158,1932,955,298,52,4721
28,State,West Bengal,24,74,146,249,281,196,970,1212,511,882,750,730,379,4464,1490,820,597,712,619,446,4684,1154,604,757,520,603,600,4238,1060,574,592,904,1104,623,4857,9,40,125,122,123,124,543,976,484,690,772,311,620,3853,5925,3107,3789,4029,3771,2988,23609
Total (States),Total (States),Total (States),2937,5481,13825,12730,9802,3264,48039,3702,8731,25643,23101,14280,6051,81508,18458,24445,43347,38596,18986,5045,148877,59197,89700,142881,106459,44164,11837,454238,33546,49026,63678,48258,23163,4815,222486,5627,10330,18136,19240,4556,1505,59394,10094,25631,33034,18168,8330,4210,99467,133561,213344,340544,266552,123281,36727,1114009
29,Union Territories,Andaman & Nicobar Islands,0,0,3,8,10,4,25,0,0,0,0,0,0,0,6,6,7,4,3,3,29,0,4,9,11,25,4,53,2,4,10,9,22,2,49,0,0,0,0,0,0,0,0,0,9,0,0,0,9,8,14,38,32,60,13,165
30,Union Territories,Chandigarh,0,3,5,1,0,0,9,19,21,44,23,11,0,118,103,72,171,131,30,10,517,128,212,237,245,371,28,1221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,308,457,400,412,38,1865
31,Union Territories,Dadra Nagar Haveli,0,1,4,7,1,3,16,0,0,0,0,0,0,0,13,17,34,22,24,1,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,4,13,19,40,29,25,5,131
32,Union Territories,Daman & Diu,0,1,4,1,6,0,12,0,0,0,0,0,0,0,6,6,38,28,30,9,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,42,29,36,9,129
33,Union Territories,Delhi,71,215,166,117,59,43,671,85,146,546,318,356,52,1503,49,107,2239,2182,380,146,5103,627,1210,2857,3269,1220,389,9572,114,213,360,558,379,107,1731,0,0,0,0,0,0,0,217,184,459,189,7,5,1061,1163,2075,6627,6633,2401,742,19641
34,Union Territories,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territories,Puducherry,0,10,4,4,5,0,23,52,50,131,30,13,0,276,76,327,206,37,2,0,648,479,662,547,341,206,15,2250,458,702,512,119,6,0,1797,0,0,0,0,0,0,0,70,22,5,0,0,0,97,1135,1773,1405,531,232,15,5091
Total (UTs),Total (UTs),Total (UTs),71,230,186,138,81,50,756,156,217,721,371,380,52,1897,253,535,2695,2404,469,169,6525,1234,2088,3650,3866,1822,436,13096,574,919,882,686,407,109,3577,0,0,0,0,0,0,0,287,207,475,189,7,6,1171,2575,4196,8609,7654,3166,822,27022
Total (All-India),Total (All-India),Total (All-India),3008,5711,14011,12868,9883,3314,48795,3858,8948,26364,23472,14660,6103,83405,18711,24980,46042,41000,19455,5214,155402,60431,91788,146531,110325,45986,12273,467334,34120,49945,64560,48944,23570,4924,226063,5627,10330,18136,19240,4556,1505,59394,10381,25838,33509,18357,8337,4216,100638,136136,217540,349153,274206,126447,37549,1141031
