Sr. No.,Category,States/ UTs,Area (in Sqr. Kms.),Estimated Mid-Year Population (in Thousands),Total Cases for Investigation (Including Pending Cases from Previous Year) - IPC,Total Cases for Investigation (Including Pending Cases from Previous Year) - SLL,Total Cases for Investigation (Including Pending Cases from Previous Year) - Total,Actual Police Strength - Civil,Actual Police Strength - Armed,Actual Police Strength - Total,Percentage of Civil Police to Total Police,Actual Police Strength (of Ranks) - D.G. to A.S.I.,Actual Police Strength (of Ranks) - Head Constables to Constables,Actual Police Strength (of Ranks) - Teeth to Tail Ratio,Actual Police Strength of I.Os. (Insp.+ SI+ ASI of Civ. Pol.),No. of Policemen Per 100 Sqr. Kms. of Area,No. of Policemen Per 100000 of Population,No. of IPC Cases Per Civil Police Man,Total Police Expenditure (Rs. in Crores) @@,Unit Cost Per Policemen (Per Annum)
11,State,Jharkhand,79714,30937,71243,7131,78374,33806,12807,46613,72.5,5874,40739,1:07,4756,58.5,151,2.1,1252.73,268751
12,State,Karnataka,191791,58799,202157,18962,221119,63689,7908,71597,89,7763,63834,1:08,6858,37.3,122,3.2,1325.08,185075
13,State,Kerala,38863,34972,171554,230749,402303,37368,3182,40550,92.2,4421,36129,1:08,3755,104.3,116,4.6,995.38,245470
14,State,Madhya Pradesh*,308245,72106,225681,130054,355735,52765,23390,76155,69.3,9279,66876,1:07,6544,24.7,106,4.3,1256.55,164999
15,State,Maharashtra *,307713,110049,303062,177685,480747,165740,14215,179955,92.1,26839,153116,1:06,24793,58.5,164,1.8,2720.49,151176
16,State,Manipur,22327,2702,13364,4566,17930,10249,13274,23523,43.6,1964,21559,1:11,1343,105.4,871,1.3,315.75,134230
17,State,Meghalaya,22429,2609,8221,684,8905,5898,4349,10247,57.6,1179,9068,1:08,920,45.7,393,1.4,188,183468
18,State,Mizoram ##,21081,1008,2512,849,3361,3562,7171,10733,33.2,1515,9218,1:06,1093,50.9,1065,0.7,211.5,197056
19,State,Nagaland,16579,2250,1884,531,2415,5637,4366,10003,56.4,719,9284,1:13,456,60.3,445,0.3,498,497851
20,State,Odisha,155707,40828,90570,22545,113115,28965,14480,43445,66.7,7872,35573,1:05,6622,27.9,106,3.1,924.18,212724
21,State,Punjab,50362,27268,56564,25452,82016,47992,18678,66670,72,8026,58644,1:07,6309,132.4,244,1.2,1700.18,255014
22,State,Rajasthan,342239,67106,169883,50603,220486,59608,11962,71570,83.3,8753,62817,1:07,7584,20.9,107,2.9,1196.01,167111
23,State,Sikkim,7096,610,1124,293,1417,1645,2159,3804,43.2,464,3340,1:07,259,53.6,624,0.7,89.07,234148
24,State,Tamil Nadu,130058,67632,240255,577251,817506,72886,13869,86755,84,10858,75897,1:07,9244,66.7,128,3.3,1922.03,221547
25,State,Tripura,10486,3610,6920,221,7141,10671,13588,24259,44,2170,22089,1:10,1568,231.3,672,0.6,412.13,169887
26,State,Uttar Pradesh,240928,199028,191513,2124273,2315786,111234,30898,142132,78.3,11037,131095,1:12,8508,59,71,1.7,4227.99,297469
27,State,Uttarakhand,53483,9817,10445,160660,171105,13884,4160,18044,76.9,1219,16825,1:14,909,33.7,184,0.8,441.41,244630
28,State,West Bengal,88752,90222,198296,16449,214745,63906,22191,86097,74.2,20537,65560,1:03,16391,97,95,3.1,1176.02,136592
State,State,Total (States),3155431,1164194,2876307,4735923,7612230,1146213,348404,1494617,76.7,188521,1306096,1:07,153773,47.4,128,2.5,29938.18,200307
29,Union Territory,A & N Islands,8249,432,1532,4954,6486,2933,806,3739,78.4,491,3248,1:07,449,45.3,866,0.5,127.54,341107
30,Union Territory,Chandigarh,114,1125,5928,942,6870,4424,635,5059,87.4,620,4439,1:07,604,4437.7,450,1.3,101.2,200040
31,Union Territory,D & N Haveli,491,283,727,55,782,208,0,208,100,17,191,1:11,14,42.4,73,3.5,7.29,350481
32,Union Territory,Daman & Diu,112,200,418,24,442,220,0,220,100,19,201,1:11,15,196.4,110,1.9,4.22,191818
33,Union Territory,Delhi,1483,18333,96094,14392,110486,67268,6594,73862,91.1,12418,61444,1:05,11566,4980.6,403,1.4,1490.26,201763
34,Union Territory,Lakshadweep,32,72,213,17,230,332,0,332,100,25,307,1:12,23,1037.5,461,0.6,9.24,278313
35,Union Territory,Puducherry,492,1117,4500,1152,5652,1721,553,2274,75.7,346,1928,1:06,302,462.2,204,2.6,70.37,309455
Union Territory,Union Territory,Total (UTs),10973,21562,109412,21536,130948,77106,8588,85694,90,13936,71758,1:05,12973,781,397,1.4,1810.12,211231
Total (All-India),Total (All-India),Total (All-India),3166404,1185756,2985719,4757459,7743178,1223319,356992,1580311,77.4,202457,1377854,1:07,166746,49.9,133,2.4,31748.3,200899
