Sr. No.,Category,States/ UTs/ Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Total - Number,Railways - Total - Value,Railways - Running Train - Number,Railways - Running Train - Value,Railways - Others in Railways - Number,Railways - Others in Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
53,City,Kanpur,2,3.7,41,17.9,0,0,0,0,0,0,0,0,0,0,2,0.4,36,18.3,81,40.2
54,City,Kochi,4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,3,0.2,27,2.1,34,2.8
55,City,Kolkata,5,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9.5,18,19.3
56,City,Lucknow,10,4.2,12,20.3,0,0,0,0,0,0,0,0,0,0,0,0,64,149.8,86,174.3
57,City,Ludhiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9,29,81.7,30,82.7
58,City,Madurai,18,20.5,13,3.1,0,0,0,0,0,0,0,0,0,0,8,2.8,38,10.1,77,36.4
59,City,Meerut,9,7.4,60,38.1,0,0,0,0,0,0,0,0,0,0,0,0,49,19.7,118,65.2
60,City,Mumbai,35,25.5,22,567.5,0,0,0,0,0,0,0,0,0,0,24,12060.4,329,332.8,410,12986.3
61,City,Nagpur,8,11.2,0,0,0,0,0,0,0,0,0,0,1,0,11,4.4,239,76.3,259,91.9
62,City,Nasik,8,4.4,4,1.2,0,0,0,0,0,0,0,0,0,0,16,15.4,89,67.9,117,88.9
63,City,Patna,16,1,93,65.7,0,0,0,0,0,0,0,0,0,0,5,1.4,17,4.6,131,72.8
64,City,Pune,19,7.3,23,64.4,1,0.1,0,0,0,0,0,0,0,0,25,14.3,384,173,452,259
65,City,Rajkot,2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2,66.6,30,10.3,34,77.3
66,City,Surat,19,75.6,0,0,0,0,0,0,0,0,0,0,1,0.1,13,3.6,47,29.4,80,108.6
67,City,Vadodara,0,0,4,0.9,0,0,0,0,0,0,0,0,0,0,1,44.3,14,2.7,19,47.8
68,City,Varanasi,4,1.3,4,5.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,9,7.3
69,City,Vijayawada,11,7.6,2,0.3,0,0,0,0,0,0,0,0,0,0,3,0.1,4,0.2,20,8.3
70,City,Vishakhapatnam,6,0.5,1,0.3,0,0,0,0,0,0,0,0,0,0,1,0,32,5.9,40,6.6
