SL. No.,States/U.Ts.,Districts,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Thefts,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Total Cognizable Crimes Under IPC
2,Gujarat,Kheda,24,1,2,20,6,22,217,567,85,83,35,NA,2756
3,Gujarat,Anand,45,NA,4,20,10,14,212,602,52,73,24,NA,3324
4,Gujarat,Sabarkantha,30,NA,1,25,6,33,260,569,79,92,29,NA,3025
5,Gujarat,Banaskantha,33,NA,2,20,7,52,264,16,89,68,27,NA,3001
6,Gujarat,Meshana,30,NA,NA,30,19,77,297,1164,179,77,31,2,4291
7,Gujarat,Patan,20,NA,3,12,8,40,215,704,109,41,37,NA,2939
8,Gujarat,Jamnagar,56,NA,4,21,1,27,161,453,42,29,11,NA,2070
9,Gujarat,Kutch,30,NA,4,17,6,30,161,388,66,36,25,NA,1911
10,Gujarat,Rajkot Rural,45,NA,3,25,7,40,156,728,38,48,38,NA,3089
11,Gujarat,Surendranagar,24,NA,5,6,7,17,123,397,41,26,17,1,2045
12,Gujarat,Amreli,24,NA,4,12,NA,26,89,320,44,25,37,NA,1703
13,Gujarat,Bhavnagar,58,NA,9,21,7,50,225,670,117,41,35,NA,3205
14,Gujarat,Junagarh,53,NA,3,16,15,72,327,853,60,51,45,NA,3456
15,Gujarat,Vadodara Rural,72,NA,5,17,19,44,213,525,51,51,25,1,3322
16,Gujarat,Bharuch,64,1,10,37,15,25,285,551,71,63,27,2,3309
17,Gujarat,Panchamahal,85,NA,2,16,7,49,225,462,40,52,23,NA,3030
18,Gujarat,Surat Rural,59,NA,4,8,5,16,138,279,42,29,11,NA,1913
19,Gujarat,Valsad,46,NA,5,15,5,17,313,539,48,52,37,NA,3280
20,Gujarat,Western Railway,11,NA,3,5,4,26,49,1312,25,18,14,1,1914
21,Gujarat,Ahmedabad City,60,NA,8,115,10,31,540,2505,298,88,152,5,10500
22,Gujarat,Rajkot City,15,NA,NA,13,3,15,106,442,36,18,30,NA,1910
23,Gujarat,Surat City,26,1,NA,39,5,19,221,1318,170,82,68,1,3357
24,Gujarat,Vadodara City,18,NA,4,35,9,30,551,2039,80,65,106,NA,6764
1,Haryana,Faridabad,20,10,12,23,7,15,237,412,39,46,47,NA,3135
2,Haryana,Rohtak,47,5,4,20,NA,8,198,218,28,19,20,2,2748
3,Haryana,Gurgaon,24,11,4,11,1,13,209,251,40,12,10,NA,2026
4,Haryana,Sonepat,18,16,8,15,NA,7,134,220,35,7,12,NA,2519
5,Haryana,Kurukshetra,30,8,11,19,2,5,251,341,NA,20,49,1,1369
6,Haryana,Karnal,38,13,5,27,3,3,327,506,14,30,60,1,1959
7,Haryana,Jind,37,2,10,10,1,1,145,141,8,9,35,2,787
8,Haryana,Ambala,38,9,10,33,2,11,313,418,NA,61,41,3,2172
9,Haryana,Hissar,44,14,11,12,3,3,196,329,13,26,28,1,1627
10,Haryana,Mohindergarh,15,5,6,9,NA,4,106,223,20,22,20,1,1130
11,Haryana,Bhiwani,28,5,1,11,2,NA,90,110,18,6,18,NA,926
12,Haryana,Sirsa,27,5,3,12,5,6,94,92,NA,6,14,NA,714
1,Himachal Pradesh,Mandi,8,2,5,6,NA,4,47,73,6,4,8,1,538
2,Himachal Pradesh,Kangra,16,8,7,17,NA,3,75,67,19,17,10,NA,665
3,Himachal Pradesh,Hamirpur,4,1,NA,3,1,NA,16,21,7,5,3,NA,229
4,Himachal Pradesh,Una,5,NA,4,3,NA,3,18,39,16,8,5,NA,371
5,Himachal Pradesh,Kulu,3,1,1,6,NA,2,17,28,17,6,3,NA,204
6,Himachal Pradesh,Chamba,5,NA,2,5,NA,2,49,29,7,4,3,NA,225
7,Himachal Pradesh,Lahaul & Spiti,NA,NA,NA,NA,NA,NA,1,4,1,NA,1,1,18
8,Himachal Pradesh,Shimla,5,5,2,9,NA,NA,95,118,62,28,25,NA,819
9,Himachal Pradesh,Bilaspur,6,NA,3,3,NA,NA,12,18,21,9,3,NA,255
10,Himachal Pradesh,Sirmaur,5,NA,2,3,1,3,41,56,16,4,1,NA,349
11,Himachal Pradesh,Solan,4,NA,6,8,NA,3,62,86,43,11,19,NA,618
12,Himachal Pradesh,Kinnaur,2,NA,NA,2,NA,2,29,19,2,3,1,NA,124
13,Himachal Pradesh,Railway & Traffic,1,NA,NA,1,NA,1,NA,3,NA,1,2,NA,15
1,Jammu Kashmir,Anantnag,3,1,5,23,NA,NA,70,146,246,14,7,NA,941
2,Jammu Kashmir,Bramulla,5,NA,17,48,NA,5,116,180,331,21,15,NA,1727
3,Jammu Kashmir,Badgam,1,1,8,31,NA,NA,52,119,280,7,1,NA,846
4,Jammu Kashmir,Doda,9,NA,8,37,NA,1,93,93,104,5,1,NA,793
5,Jammu Kashmir,Jammu,38,2,22,87,15,12,320,671,147,25,64,NA,3441
6,Jammu Kashmir,Kathua,6,1,4,26,4,1,92,141,50,5,6,NA,937
7,Jammu Kashmir,Kargil,NA,NA,NA,1,NA,NA,4,4,7,NA,NA,NA,70
8,Jammu Kashmir,Kupwara,9,1,7,14,NA,2,55,100,153,17,3,NA,744
9,Jammu Kashmir,Leh,NA,NA,NA,NA,NA,NA,21,11,3,1,2,NA,81
10,Jammu Kashmir,Poonch,5,NA,4,14,1,NA,42,110,85,3,6,NA,596
11,Jammu Kashmir,Pulwama,4,1,12,32,2,7,61,151,117,4,13,NA,947
12,Jammu Kashmir,Rajouri,6,NA,14,34,NA,NA,70,174,87,4,7,NA,807
13,Jammu Kashmir,Srinagar,9,NA,19,73,2,12,225,430,344,31,71,NA,4043
14,Jammu Kashmir,Udhampur,8,1,25,39,7,6,143,197,66,4,5,NA,1095
15,Jammu Kashmir,Railways Jammu,NA,NA,1,2,2,NA,2,46,2,NA,4,NA,71
1,Karnataka,Bangalore City,68,2,27,83,11,285,2000,7653,350,222,674,74,20416
2,Karnataka,Bangalore,57,2,10,7,17,28,583,756,315,6,7,NA,4316
3,Karnataka,Kolar,29,NA,9,10,2,11,357,502,211,17,39,2,2807
4,Karnataka,K.G.F.,10,NA,2,4,2,3,227,233,65,6,8,NA,970
5,Karnataka,Tumkur,44,1,2,6,15,18,567,703,254,20,20,NA,4341
6,Karnataka,ChitraDurga,49,NA,10,11,2,13,323,466,299,21,38,2,2679
7,Karnataka,Shimoga,35,2,8,11,4,6,390,455,209,21,25,2,3162
8,Karnataka,Mysore,47,NA,4,20,6,27,842,1480,206,140,39,1,5657
9,Karnataka,Mandya,30,NA,2,6,3,8,354,409,191,30,26,2,3346
10,Karnataka,Hassan,36,NA,3,10,10,23,395,436,266,14,21,NA,2279
11,Karnataka,Chickmagalur,19,NA,5,1,5,6,206,197,161,14,8,1,1523
12,Karnataka,Kadagu,28,NA,2,8,3,9,292,329,94,10,9,1,2035
13,Karnataka,Dakshina Kannada,24,2,5,10,7,6,362,319,338,21,34,6,3122
14,Karnataka,Belgaum,132,2,6,29,18,28,418,635,505,42,73,2,3977
15,Karnataka,Bijapur,73,2,1,21,11,20,227,303,426,53,39,7,2497
16,Karnataka,Dharwad,64,NA,7,25,16,29,472,769,529,66,82,8,4322
17,Karnataka,Uttara Kannada,20,NA,3,4,NA,9,225,280,159,11,20,1,1629
18,Karnataka,Gulbarga,50,1,5,10,5,21,199,376,375,21,23,2,2107
19,Karnataka,Bidar,32,NA,NA,5,7,11,150,288,165,16,13,1,1417
20,Karnataka,Raichur,56,NA,1,11,11,15,234,298,349,24,29,11,2130
21,Karnataka,Bellary,41,1,7,8,8,9,238,364,258,27,25,8,2185
22,Karnataka,Railways,3,NA,NA,1,3,4,8,211,10,NA,7,NA,397
1,Kerala,Trivandrum City,10,1,1,2,4,2,333,336,167,34,36,NA,2102
2,Kerala,Trivandrum Rural,46,2,8,12,NA,7,408,210,422,27,36,NA,4381
3,Kerala,Quilon,51,2,5,10,5,4,215,149,384,19,31,NA,3157
4,Kerala,Pathanamthitta,33,1,3,1,3,7,147,65,233,4,26,NA,1895
5,Kerala,Alleppey,23,1,1,6,2,8,275,300,449,24,44,1,3860
6,Kerala,Kottayam,33,2,12,9,NA,5,35,217,315,53,73,NA,3217
7,Kerala,Idukki,46,3,8,11,4,9,270,243,251,14,22,NA,2403
8,Kerala,Ernakulam City,9,3,1,3,6,16,357,317,325,11,36,NA,2781
9,Kerala,Ernakulam Rural,40,NA,13,8,1,13,313,226,414,23,40,1,3491
10,Kerala,Trichur,43,1,17,12,NA,11,293,219,458,32,49,6,3714
11,Kerala,Palghat,46,NA,7,7,NA,17,377,317,482,50,47,1,3439
12,Kerala,Malappuram,24,2,6,1,2,4,253,139,310,35,28,2,2826
13,Kerala,Calicut City,6,1,1,5,NA,2,228,197,209,27,34,NA,1969
14,Kerala,Calicut Rural,17,NA,12,4,1,6,137,103,253,12,6,4,1798
15,Kerala,Wynad,13,3,11,2,4,5,103,84,106,7,13,NA,1216
16,Kerala,Cannanore,49,NA,9,15,1,16,356,212,555,24,99,6,4253
17,Kerala,Railways,NA,NA,NA,NA,NA,2,2,123,9,1,1,NA,243
18,Kerala,Crime Branch CID,25,2,1,NA,NA,4,17,11,98,11,229,76,566
1,Madhya Pradesh,Gwalior,90,NA,17,31,17,206,740,1401,226,23,65,3,5382
2,Madhya Pradesh,Bhind,68,1,9,19,15,88,347,546,194,8,21,NA,2564
3,Madhya Pradesh,Datiya,16,NA,6,NA,4,32,110,197,37,3,9,NA,934
4,Madhya Pradesh,Murana,85,4,10,18,12,69,335,781,315,26,44,NA,3866
5,Madhya Pradesh,Shivpuri,27,2,21,17,21,45,251,395,129,15,20,NA,2139
6,Madhya Pradesh,Guna,51,NA,46,14,11,65,403,529,247,31,27,1,3214
7,Madhya Pradesh,Indore,69,2,33,47,3,59,885,2469,293,74,108,1,8888
8,Madhya Pradesh,Dhar,71,NA,51,22,25,55,407,1250,174,24,37,NA,4089
9,Madhya Pradesh,Jhabua,153,4,18,103,22,178,253,607,107,47,29,NA,3087
10,Madhya Pradesh,Khargoan,73,2,36,44,9,59,372,1106,89,81,32,NA,3590
11,Madhya Pradesh,Khandawa,31,NA,22,15,3,33,274,931,87,12,16,1,3058
12,Madhya Pradesh,Ujjain,54,1,35,35,9,88,640,1521,238,59,143,NA,5934
13,Madhya Pradesh,Mandsaur,33,2,36,29,5,64,845,1423,189,56,39,NA,4520
14,Madhya Pradesh,Ratlam,32,3,25,23,3,59,442,1111,188,36,42,NA,3610
15,Madhya Pradesh,Devas,54,3,41,28,8,66,520,1245,251,27,26,1,4210
16,Madhya Pradesh,Shajapur,28,NA,33,16,3,40,495,660,165,16,23,NA,2916
17,Madhya Pradesh,Jabalpur,87,NA,54,32,9,125,1130,2260,738,32,88,1,10833
18,Madhya Pradesh,Mandla,53,2,27,12,NA,14,420,294,41,24,45,NA,2294
19,Madhya Pradesh,Chindwada,83,NA,46,17,5,30,351,747,96,26,31,NA,3588
20,Madhya Pradesh,Balaghat,34,NA,26,12,NA,19,436,673,58,25,23,NA,2561
21,Madhya Pradesh,Sivni,32,NA,23,6,NA,12,324,503,50,11,19,NA,1901
22,Madhya Pradesh,Narsinghpur,44,NA,17,10,1,25,206,497,47,7,7,NA,1685
23,Madhya Pradesh,Sagur,78,4,47,27,6,93,732,942,130,53,44,NA,5281
24,Madhya Pradesh,Panna,31,NA,6,8,9,46,282,238,60,4,10,NA,1362
25,Madhya Pradesh,Aamoh,43,NA,14,11,15,36,381,347,108,19,25,NA,2368
26,Madhya Pradesh,Chattarpur,59,1,16,18,34,77,273,286,78,10,14,NA,1968
27,Madhya Pradesh,Tikamgarh,21,NA,19,9,10,30,207,226,49,5,7,NA,1300
28,Madhya Pradesh,Raipur,69,2,41,17,11,48,947,2023,176,80,54,4,6463
29,Madhya Pradesh,Durg,47,NA,43,32,7,40,791,1643,110,39,61,1,5562
30,Madhya Pradesh,Rajnandgaon,38,1,19,14,3,23,410,598,103,34,52,NA,2438
31,Madhya Pradesh,Bastar,180,NA,48,29,6,68,455,844,123,31,44,2,4141
32,Madhya Pradesh,Bilaspur,120,NA,22,24,7,64,1078,2484,200,50,57,2,7095
33,Madhya Pradesh,Raigarh,59,NA,18,12,35,51,428,723,140,25,36,1,3208
34,Madhya Pradesh,Sarguja,105,2,28,22,18,60,811,855,148,15,38,NA,4018
35,Madhya Pradesh,Riva,43,NA,16,21,34,42,677,855,119,5,20,NA,3134
36,Madhya Pradesh,Satna,26,NA,24,23,25,70,541,513,104,14,16,NA,2550
37,Madhya Pradesh,Sidhi,32,NA,11,9,16,16,404,400,50,3,15,NA,1796
38,Madhya Pradesh,Shahdol,54,NA,9,13,2,42,453,448,136,15,15,NA,2441
39,Madhya Pradesh,Sehore,30,NA,26,22,6,33,271,467,150,17,7,NA,2182
40,Madhya Pradesh,Raisen,37,NA,25,19,19,41,294,529,113,15,17,NA,2432
41,Madhya Pradesh,Hoshangabad,48,3,51,17,3,41,306,634,64,12,18,NA,2760
42,Madhya Pradesh,Betul,63,2,20,22,9,27,251,411,65,80,11,NA,2216
43,Madhya Pradesh,Vidisha,42,NA,58,26,11,56,341,800,170,31,29,NA,3257
44,Madhya Pradesh,Rajgarh,35,1,37,13,18,48,237,500,93,25,20,NA,2192
45,Madhya Pradesh,Bhopal,50,NA,38,51,10,97,802,2130,128,38,92,NA,8520
46,Madhya Pradesh,Railway Police Jabalpur,5,1,NA,NA,3,13,6,316,6,4,4,NA,464
47,Madhya Pradesh,Railway Police Raipur,NA,NA,NA,5,1,12,18,383,6,NA,7,NA,548
48,Madhya Pradesh,Railway Police Indore,3,2,1,4,NA,9,12,283,12,1,12,NA,501
49,Madhya Pradesh,Railway Police Bhopal,7,NA,2,1,2,46,19,957,3,1,9,NA,1295
1,Maharashtra,Thane Rural,100,1,15,23,26,90,671,782,285,66,31,1,4550
2,Maharashtra,Raigarh,54,NA,8,14,32,57,420,686,218,48,21,1,3115
3,Maharashtra,Ratnagiri,19,1,6,10,4,19,276,204,73,14,9,NA,1402
4,Maharashtra,Sindhudurg,14,1,2,1,4,31,223,182,30,12,8,NA,989
5,Maharashtra,Ahmednagar,68,1,13,16,15,112,394,1073,303,51,31,2,3286
6,Maharashtra,Nasik,74,NA,21,23,18,101,945,1790,699,146,71,2,6786
7,Maharashtra,Dhule,70,3,12,10,19,58,324,989,297,82,31,1,3359
8,Maharashtra,Jalgaon,61,NA,14,8,14,82,335,1260,462,64,32,1,4271
9,Maharashtra,Pune Rural,74,NA,15,10,27,56,384,653,131,43,17,NA,2641
10,Maharashtra,Satara,73,NA,19,11,16,55,448,959,136,60,28,1,2826
11,Maharashtra,Sangli,50,NA,7,14,4,28,220,587,83,34,18,1,1896
12,Maharashtra,Solapur,90,4,13,11,38,119,497,843,584,50,37,2,3590
13,Maharashtra,Kolhapur,49,1,9,14,17,44,339,837,198,64,38,NA,2462
14,Maharashtra,Aurangabad,35,NA,10,22,18,117,496,1234,396,48,38,NA,3923
15,Maharashtra,Jalna,23,NA,3,7,21,87,233,597,282,27,22,NA,2250
16,Maharashtra,Parbhani,52,NA,4,13,24,135,297,711,309,29,25,1,2790
17,Maharashtra,Beed,41,NA,4,11,21,85,231,513,278,27,11,NA,2073
18,Maharashtra,Nanded,57,1,9,10,29,112,369,757,284,54,25,NA,3017
19,Maharashtra,Osmanabad,35,1,4,17,13,45,161,390,63,20,19,NA,1421
20,Maharashtra,Latur,33,NA,6,24,13,53,203,406,137,33,23,NA,1737
21,Maharashtra,Buldhana,37,1,14,11,10,71,371,1336,252,54,22,NA,4143
22,Maharashtra,Akola,50,1,17,31,19,122,892,2301,235,72,42,NA,5507
23,Maharashtra,Amravati,68,NA,31,34,15,134,1147,3288,253,79,62,NA,7403
24,Maharashtra,Yavatmal,62,1,23,25,6,42,412,1342,290,59,34,NA,3719
25,Maharashtra,Wardha,36,NA,23,19,6,53,433,993,108,25,53,NA,2831
26,Maharashtra,Nagpur (Rural),34,NA,17,17,13,51,408,1117,161,33,29,NA,3529
27,Maharashtra,Bhandara,59,1,29,24,8,48,522,1151,154,52,71,NA,3502
28,Maharashtra,Chandrapur,33,NA,18,10,4,28,249,831,62,25,23,NA,2504
29,Maharashtra,Gadchiroli,23,1,4,7,3,14,94,194,23,15,4,NA,784
30,Maharashtra,Bombay Railways,9,NA,2,5,3,67,7,2391,14,16,34,1,2693
31,Maharashtra,Pune Railways,11,NA,NA,NA,6,31,7,1169,19,14,12,NA,1375
32,Maharashtra,Nagpur Railways,4,NA,NA,3,15,28,9,1175,12,13,5,NA,136
33,Maharashtra,Thane City,94,NA,35,51,34,234,1381,2468,537,165,121,8,8205
34,Maharashtra,Pune City,52,5,16,56,15,106,687,2101,1304,112,146,7,7199
35,Maharashtra,Nagpur City,68,NA,35,50,18,252,746,2298,143,62,136,2,5311
36,Maharashtra,Bombay City,261,2,107,201,47,567,2059,13978,222,709,917,42,31722
1,Manipur,Imphal District,22,2,2,142,16,27,141,278,143,55,92,4,1696
2,Manipur,Thoubal District,12,2,NA,28,6,12,29,72,7,7,10,3,410
3,Manipur,Bishenpur District,11,NA,NA,20,NA,6,18,43,26,1,10,NA,282
4,Manipur,Ukhrul District,10,NA,2,2,NA,8,10,24,3,4,10,NA,131
5,Manipur,Tamenglong District,1,NA,NA,2,1,1,8,8,7,3,NA,NA,52
6,Manipur,Senapati District,7,NA,NA,6,2,5,10,34,30,4,4,2,213
7,Manipur,Churachandpur District,6,NA,1,4,4,4,36,72,7,12,2,2,216
8,Manipur,Tengnoupal District,2,NA,NA,1,2,3,13,17,3,NA,NA,1,69
1,Meghalaya,East Khasi Hills,20,1,NA,7,16,26,161,272,33,8,26,NA,924
2,Meghalaya,West Khasi Hills,14,NA,NA,1,1,2,3,15,NA,1,1,NA,101
3,Meghalaya,West Garo Hills,9,1,5,3,11,1,62,141,24,4,2,NA,408
4,Meghalaya,East Garo Hills,2,1,NA,NA,2,2,26,16,NA,1,1,NA,83
5,Meghalaya,Jaintia Hills,16,NA,3,NA,1,6,6,16,2,NA,6,NA,130
1,Nagaland,Dimapur,14,NA,3,9,4,25,110,166,10,15,15,NA,861
2,Nagaland,Kohima,2,NA,NA,3,NA,11,33,71,9,6,15,NA,231
3,Nagaland,Mokokchung,NA,NA,NA,3,NA,NA,33,53,4,3,2,NA,188
4,Nagaland,Tuensang,4,NA,3,NA,NA,3,49,42,5,13,3,NA,208
5,Nagaland,Mon,2,NA,NA,3,1,4,29,16,5,8,NA,NA,139
6,Nagaland,Phek,2,NA,3,NA,1,1,39,29,2,17,1,NA,122
7,Nagaland,Wokha,2,2,NA,1,NA,3,17,41,2,2,NA,NA,86
8,Nagaland,Zunhebot,1,NA,1,NA,NA,2,9,52,2,NA,5,NA,105
1,Orissa,Balasore,10,1,6,15,48,46,201,746,301,31,18,NA,2515
2,Orissa,Cuttack (R),15,1,14,17,38,49,678,1201,252,39,18,NA,4248
3,Orissa,Cuttack (S ),20,NA,5,17,32,78,641,1070,126,67,35,NA,3515
4,Orissa,Ganjam,54,9,5,16,10,77,419,770,214,30,18,NA,3600
5,Orissa,Karaput,71,6,17,12,17,89,550,863,238,50,46,8,3900
6,Orissa,Puri,48,4,13,17,74,62,578,1159,280,18,20,2,3908
7,Orissa,Sambalpur,56,8,20,13,25,85,915,1253,249,49,19,NA,4700
8,Orissa,Dhankanal,42,4,5,10,7,37,381,679,168,19,12,NA,2425
9,Orissa,Sundergarh,79,NA,26,7,27,44,207,388,41,19,8,NA,1698
10,Orissa,Balangir,24,8,8,62,5,33,286,464,204,24,18,NA,2052
11,Orissa,Keenjhar,28,6,11,13,15,16,253,368,57,13,36,NA,1588
12,Orissa,Phulbani,28,3,7,9,2,23,174,282,41,14,3,NA,1195
13,Orissa,Mayurbhanj,48,4,14,8,39,32,289,573,78,29,12,1,2128
