SL. No.,Category,States/U.Ts./Cities,By Family Background - Living with Parents,By Family Background - Living with Guardians,By Family Background - Homeless,By Family Background - Total,By Economic Set-Up - Lower Income (Below Rs. 150/PM),By Economic Set-Up - Lower Middle Income (Above Rs.150 But Below Rs. 500 P.M.),By Economic Set-Up - Upper Middle Income (Above Rs. 500 But Below Rs.1000P.M.),By Economic Set-Up - Upper Income (Above Rs. 1000 P.M.),By Economic Set-Up - Total,Recidivism - New Delinquents,Recidivism - Old Delinquents,Recidivism - Total,By Religion - Hindu,By Religion - Muslim,By Religion - Sikhs,By Religion - Christian,By Religion - Others,By Religion - Total,By Community - Schedule Caste,By Community - Schedule Tribe,By Community - Others,By Community - Total,By Education - Illiterate,By Education - Below Primary,By Education - Above Primary But Below Matric/hr. Sec.,By Education - Matric/ Higher Secondary and Above,By Education - Total
19,State,Tamil Nadu,17145,4676,2763,24584,17869,6044,560,111,24584,23001,1583,24584,19473,2367,NA,2288,456,24584,5827,369,18388,24584,13661,8127,2536,260,24584
20,State,Tripura,975,1173,247,2395,953,830,455,157,2395,1238,1157,2395,1848,295,NA,NA,252,2395,405,315,1675,2395,142,750,1363,140,2395
21,State,Uttar Pradesh,91,116,38,245,134,63,44,4,245,159,86,245,132,68,NA,NA,45,245,86,17,142,245,112,62,54,17,245
22,State,West Bengal,1800,1180,422,3402,1376,1199,606,221,3402,2790,612,3402,1469,1159,NA,174,600,3402,514,428,2460,3402,1194,1169,952,87,3402
Total (States),State,Total (States),123656,27959,13786,165401,104285,44171,13785,3160,165401,144809,20592,165401,108760,31696,1853,6072,17020,165401,33599,18663,113139,165401,73621,50882,27972,12926,165401
23,UT,A & N Islands,125,31,NA,156,28,120,8,NA,156,147,9,156,104,33,4,15,NA,156,NA,NA,156,156,20,117,15,4,156
24,UT,Arunachal Pradesh,56,9,NA,65,21,32,12,NA,65,64,1,65,7,NA,1,57,NA,65,2,56,7,65,7,48,10,NA,65
25,UT,Chandigarh,207,39,11,257,41,183,33,NA,257,244,13,257,99,7,42,5,104,257,29,23,205,257,86,146,25,NA,257
26,UT,D & N Haveli,12,NA,NA,12,NA,NA,NA,12,12,12,NA,12,12,NA,NA,NA,NA,12,NA,9,3,12,3,7,2,NA,12
27,UT,Delhi,NA,NA,NA,3718,NA,NA,NA,NA,3718,NA,NA,3718,NA,NA,NA,NA,NA,3718,NA,NA,NA,3718,NA,NA,NA,NA,3718
28,UT,"Goa, Daman & Diu",371,49,44,464,214,233,14,3,464,452,12,464,275,56,12,119,2,464,1,NA,463,464,98,116,165,85,464
29,UT,Lakshadweep,12,NA,NA,12,NA,12,NA,NA,12,12,NA,12,NA,12,NA,NA,NA,12,NA,12,NA,12,NA,NA,11,1,12
30,UT,Mizoram,370,157,6,533,180,299,54,NA,533,533,NA,533,17,31,NA,423,62,533,48,435,50,533,35,40,409,49,533
31,UT,Pondicherry,687,277,32,996,900,78,18,NA,996,899,97,996,886,13,NA,70,27,996,192,11,793,996,433,548,15,NA,996
Total (UTs),UT,Total (UTs),1840,562,93,6218,1384,957,139,15,6213,2363,132,6213,1400,152,59,689,195,6213,272,546,1677,6213,628,1022,652,139,6213
All India,All India,All India,125496,28521,13879,171614,105669,45128,13924,3175,171614,147172,20724,171614,110160,31848,1912,6761,17215,171614,33871,19209,114816,171614,74303,51904,28624,13065,171614
1,City,Ahmedabad,9268,665,337,10270,9211,1054,3,2,10270,9376,894,10270,8667,1397,56,73,77,10270,1572,897,7801,10270,6209,2263,1457,341,10270
2,City,Bangalore,1620,166,128,1914,1698,155,58,3,1914,1847,67,1914,801,321,5,53,734,1914,154,39,1721,1914,1415,161,188,150,1914
3,City,Bombay,1623,295,373,2291,1787,385,119,NA,2291,1997,294,2291,1065,435,105,121,565,2291,1468,85,638,2291,1145,425,199,522,2291
4,City,Calcutta,55,17,10,82,64,18,NA,NA,82,79,3,82,47,33,NA,2,NA,82,NA,NA,82,82,2,80,NA,NA,82
5,City,Delhi,NA,NA,NA,3718,NA,NA,NA,NA,3718,NA,NA,3718,NA,NA,NA,NA,NA,3718,NA,NA,NA,3718,NA,NA,NA,NA,3718
6,City,Hyderabad,607,819,280,1706,1018,613,69,6,1706,1385,321,1706,930,535,57,63,121,1706,273,86,1347,1706,967,203,487,49,1706
7,City,Jaipur,316,13,8,337,NA,NA,NA,NA,337,337,NA,337,169,93,8,9,58,337,7,73,207,337,69,73,112,83,337
8,City,Kanpur,1,NA,1,2,2,NA,NA,NA,2,2,NA,2,2,NA,NA,NA,NA,2,1,NA,1,2,NA,1,1,NA,2
9,City,Lucknow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,City,Madras,1964,437,451,2852,1974,658,209,11,2852,2725,127,2852,1862,455,NA,327,208,2852,1529,46,1277,2852,1400,1126,262,64,2852
11,City,Nagpur,1109,1346,1130,3585,1141,1423,845,176,3585,2869,716,3585,1674,1493,97,152,169,3585,639,309,2637,3585,706,799,1984,96,3585
12,City,Pune,4417,1263,441,6121,1378,3841,837,65,6121,5165,956,6121,3469,1463,191,585,413,6121,1137,667,4317,6121,843,3808,1194,276,6121
Total (Cities),City,Total (Cities),20980,5021,3159,32878,18273,8147,2140,263,32878,25782,3378,32878,18686,6225,519,1385,2345,32878,6830,2302,20028,32878,12756,8939,5884,1581,32878
