SL. No.,Category,State/U.Ts/Cities,Murder - Male,Murder - Female,Culpable Homicide Not Amounting to Murder - Male,Culpable Homicide Not Amounting to Murder - Female,Rape - Male,Rape - Female,Kidnapping & Abduction - Male,Kidnapping & Abduction - Female,Dacoity - Male,Dacoity - Female,Robbery - Male,Robbery - Female,Burglary - Male,Burglary - Female,Thefts - Male,Thefts - Female,Riots - Male,Riots - Female,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Cheating - Male,Cheating - Female,Counterfeiting - Male,Counterfeiting - Female,Total Cognizable Crime Under IPC - Male,Total Cognizable Crime Under IPC - Female
2,City,Bangalore,79,1,4,NA,26,NA,9,NA,34,NA,187,4,438,9,1609,32,1577,19,60,4,119,9,74,NA,8113,78
3,City,Bombay,471,19,2,NA,129,6,199,8,189,1,607,3,1308,7,5477,189,1627,40,500,1,537,7,12,NA,22620,1429
4,City,Calcutta,151,5,14,NA,23,NA,129,3,146,NA,512,NA,952,NA,7207,53,3114,NA,296,6,281,NA,32,NA,22568,114
5,City,Delhi,251,14,401,10,84,1,202,10,173,NA,139,NA,1059,10,1327,38,866,11,174,2,294,1,5,NA,26520,395
6,City,Hyderabad,67,3,NA,NA,32,NA,43,1,70,NA,85,1,259,2,790,10,876,13,24,NA,114,1,NA,NA,3824,205
7,City,Jaipur,27,2,2,NA,15,NA,30,3,3,NA,43,NA,170,1,298,13,2005,118,28,1,87,2,2,NA,4670,203
8,City,Kanpur,224,5,50,3,33,NA,93,NA,84,NA,164,NA,314,NA,515,NA,720,NA,112,NA,113,NA,12,NA,2403,39
9,City,Lucknow,165,NA,37,NA,19,NA,101,NA,49,NA,83,NA,213,NA,537,NA,756,NA,90,NA,89,NA,13,NA,NA,NA
10,City,Madras,58,1,14,NA,28,NA,14,3,NA,NA,89,NA,305,13,3484,221,724,26,193,3,302,NA,2,NA,11545,666
11,City,Nagpur,153,3,NA,NA,72,NA,50,2,78,1,285,NA,474,4,1039,44,896,52,42,NA,65,9,1,NA,5962,228
12,City,Pune,80,9,8,NA,21,3,57,1,39,3,118,4,587,12,1279,93,1716,155,110,4,122,6,1,NA,9929,1178
Total (Cities),City,Total (Cities),1849,81,532,13,493,10,1060,45,954,9,2361,12,6634,61,24837,754,16412,556,1713,24,2239,40,154,NA,131174,5107
