SL. No.,States/U.Ts,Cities,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Thefts,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Total Cognizable Crimes Under IPC
3,Karnataka,Tumkur,4,NA,NA,3,NA,6,203,241,29,NA,8,NA,765
4,Karnataka,Davangere,1,NA,1,7,NA,5,90,196,18,4,14,1,262
5,Karnataka,Shimoga,NA,4,5,5,2,181,2,199,53,2,11,2,466
6,Karnataka,Bhadravathy,7,NA,1,2,NA,1,70,77,28,3,5,NA,213
7,Karnataka,Mysore,17,NA,2,15,1,18,341,814,43,28,37,1,1301
8,Karnataka,Mandya,NA,NA,NA,1,NA,NA,46,71,6,2,7,1,321
9,Karnataka,Mangalore,3,NA,NA,4,3,1,78,105,39,7,9,5,364
10,Karnataka,Belgaum,1,NA,2,7,1,8,141,180,77,13,29,NA,753
11,Karnataka,Bijapur,1,1,NA,3,NA,2,75,85,36,2,5,NA,348
12,Karnataka,Dharwad,11,NA,3,7,3,8,160,195,51,14,29,4,995
13,Karnataka,Hubli,7,NA,1,4,1,6,90,120,29,6,18,2,636
14,Karnataka,Gadag Betgery,3,NA,1,3,1,3,61,94,17,4,12,1,232
15,Karnataka,Raichur,4,NA,NA,2,1,1,82,72,52,1,9,NA,316
16,Karnataka,Gulbarga,1,NA,NA,2,NA,7,73,122,33,4,9,NA,593
17,Karnataka,Bellary,7,NA,1,4,1,2,69,173,64,16,12,3,639
18,Karnataka,Hospet,3,NA,NA,2,NA,NA,50,82,20,6,9,2,308
1,Kerala,Trivandrum City,10,1,1,2,4,2,333,336,167,34,36,NA,2102
2,Kerala,Alleppey Town,13,1,NA,2,2,5,113,121,217,12,21,NA,3860
3,Kerala,Ernakulam City,9,3,1,3,6,16,357,317,325,11,36,NA,2781
4,Kerala,Calicut City,6,1,1,5,NA,2,228,197,209,27,34,NA,1969
1,Madhya Pradesh,Gwalior,45,NA,11,28,NA,149,458,911,99,17,56,NA,3462
2,Madhya Pradesh,Indore,44,1,21,36,2,41,645,1903,188,6,92,NA,6656
3,Madhya Pradesh,Ujjain,13,NA,10,21,4,46,286,672,89,36,16,NA,2915
4,Madhya Pradesh,Ratlam,10,NA,12,12,2,19,110,373,103,8,19,NA,1205
5,Madhya Pradesh,Burhanpur (Khandwa),NA,NA,NA,1,NA,2,29,113,9,2,2,NA,387
6,Madhya Pradesh,Jabalpur,30,NA,22,24,4,88,575,1394,127,17,54,NA,64020
7,Madhya Pradesh,Sagur,14,NA,2,NA,NA,21,186,264,14,11,16,NA,782
8,Madhya Pradesh,Raipur,8,NA,9,7,4,19,305,895,36,17,16,3,2506
9,Madhya Pradesh,Bhilai Nagar (Durg),9,NA,7,17,1,10,257,577,39,9,21,NA,1905
10,Madhya Pradesh,Bhopal,50,NA,38,51,10,97,802,2130,128,21,44,NA,4520
1,Maharashtra,Bombay City,261,2,107,201,47,567,2059,13973,222,709,917,42,31722
2,Maharashtra,Pune City,52,5,16,56,15,106,687,2101,1304,112,146,9,7199
3,Maharashtra,Nagpur City,68,NA,35,50,18,252,746,2298,143,62,136,2,4311
4,Maharashtra,Thane City,36,NA,19,25,17,93,418,1233,202,88,46,4,4025
5,Maharashtra,Ulhasnagar,15,NA,4,16,8,38,175,282,31,29,16,1,1156
6,Maharashtra,Ahmednagar,8,NA,1,1,1,10,41,205,10,3,13,NA,349
7,Maharashtra,Nasik,20,NA,3,13,6,43,340,836,92,43,34,NA,1917
8,Maharashtra,Malegaon,13,NA,3,7,4,16,124,219,144,23,8,NA,763
9,Maharashtra,Dhule,4,NA,1,3,1,9,99,335,38,8,7,NA,505
10,Maharashtra,Jalgaon,2,NA,NA,2,NA,20,75,397,33,14,17,1,927
11,Maharashtra,Sangli,7,NA,1,2,1,3,40,181,12,10,10,NA,405
12,Maharashtra,Solapur,9,4,4,7,7,25,157,368,NA,47,21,9,1138
13,Maharashtra,Kolhapur,7,1,8,6,3,2,110,361,29,8,24,NA,752
14,Maharashtra,Aurangabad,1,NA,2,7,NA,18,94,260,24,4,8,NA,603
15,Maharashtra,Nanded,14,1,2,3,1,22,96,263,13,30,11,NA,871
16,Maharashtra,Akola,6,NA,4,16,1,62,333,808,10,9,24,NA,1798
17,Maharashtra,Amravati,13,NA,9,15,3,73,441,1294,17,36,41,NA,2715
1,Manipur,Imphal City,15,2,2,127,6,19,112,229,109,46,80,4,1348
1,Orissa,Cuttack,4,NA,2,2,2,32,301,714,53,36,27,NA,2108
2,Orissa,Bhubaneswar,6,NA,3,11,7,47,309,629,61,17,18,1,1722
3,Orissa,Berhampur,7,1,2,5,2,24,147,336,19,14,5,NA,1350
4,Orissa,Raurkela,11,1,14,9,12,46,215,594,144,17,21,NA,1084
1,Punjab,Amritsar,45,7,3,11,NA,12,59,183,4,19,24,3,370
2,Punjab,Jullundur,9,8,NA,12,NA,NA,52,89,NA,12,24,NA,206
3,Punjab,Patiala,23,2,NA,18,NA,2,82,92,7,31,1,NA,258
4,Punjab,Ludhiana,39,13,3,27,NA,3,105,204,1,45,3,NA,443
1,Rajasthan,Ajmer,20,NA,5,30,1,21,146,241,113,19,56,5,1184
2,Rajasthan,Jaipur,21,NA,13,80,2,67,496,1321,537,77,200,5,4491
3,Rajasthan,Jodhpur,10,NA,6,37,3,33,111,252,212,20,68,NA,1557
4,Rajasthan,Udaipur,7,2,NA,24,NA,12,95,159,105,23,56,NA,1069
5,Rajasthan,Kota,16,1,9,23,4,56,198,290,101,30,36,NA,1478
6,Rajasthan,Bikaner,6,NA,3,7,1,12,87,117,126,10,36,NA,749
1,Tamil Nadu,Madras City,33,14,22,42,3,76,645,6141,104,86,505,24,13818
2,Tamil Nadu,Madurai City,27,1,4,23,1,4,180,740,172,27,57,12,2254
3,Tamil Nadu,Coimbatore City,15,NA,2,8,1,8,288,1048,156,47,93,5,2418
4,Tamil Nadu,Vellore Town,2,NA,3,7,1,3,93,329,44,10,20,1,877
5,Tamil Nadu,Cuddalore Town,1,NA,NA,NA,NA,NA,43,128,24,3,3,NA,202
6,Tamil Nadu,Thanjavur Town,3,1,NA,NA,NA,2,97,361,40,3,13,8,528
7,Tamil Nadu,Trichy Town,20,NA,2,10,NA,10,425,1242,75,57,85,3,2945
8,Tamil Nadu,Dindigul,5,NA,2,10,NA,1,80,137,46,3,18,NA,302
9,Tamil Nadu,Tirunelveli Town,16,NA,NA,NA,NA,11,51,300,74,25,7,2,3532
10,Tamil Nadu,Tuticorin Town,27,NA,NA,NA,3,13,28,274,65,40,11,3,1882
11,Tamil Nadu,Nagercoil Town,7,4,NA,NA,NA,1,98,241,52,2,2,3,702
12,Tamil Nadu,Salem Town,11,NA,1,18,2,3,196,414,85,31,21,NA,1889
13,Tamil Nadu,Kancheepuram Town,1,NA,NA,5,NA,NA,51,140,13,1,7,NA,307
14,Tamil Nadu,Kumbakonam Town,6,NA,1,5,NA,2,107,174,31,5,7,3,341
15,Tamil Nadu,Tiruppur,11,NA,1,NA,NA,2,69,224,92,6,12,1,761
16,Tamil Nadu,Erode,10,NA,1,NA,NA,NA,145,290,30,12,11,NA,499
17,Tamil Nadu,Singanallur,NA,NA,NA,NA,NA,NA,26,55,38,NA,3,NA,168
