SL. No.,Category,States/U.Ts/Cities,Murder - 1982,Murder - 1983,Murder - Percentage Variation,Kidnapping & Abduction - 1982,Kidnapping & Abduction - 1983,Kidnapping & Abduction - Percentage Variation,Culpable Homicide Not Amounting to Murder - 1982,Culpable Homicide Not Amounting to Murder - 1983,Culpable Homicide Not Amounting to Murder - Percentage Variation,Rape - 1982,Rape - 1983,Rape - Percentage Variation,Dacoity - 1982,Dacoity - 1983,Dacoity - Perentage Variation,Robbery - 1982,Robbery - 1983,Robbery - Percentage Variation,Burglary - 1982,Burglary - 1983,Burglary - Percentage Variation,Thefts - 1982,Thefts - 1983,Thefts - Percentage Variation,Riots - 1982,Riots - 1983,Riots - Percentage Variation,Criminal Breach of Trust - 1982,Criminal Breach of Trust - 1983,Criminal Breach of Trust - Percentage Variation,Cheating - 1982,Cheating - 1983,Cheating - Percentage Variation,Counterfeiting - 1982,Counterfeiting - 1983,Counterfeiting - Percentage Variation,Total Cognizable Crimes - 1982,Total Cognizable Crimes - 1983,Total Cognizable Crimes - Percentage Variation
11,State,Maharashtra,1932,1973,2.1,846,813,-3.9,25,26,4,512,565,10.4,713,595,-16.5,3603,3334,-7.5,17473,16890,-3.3,59755,53641,-10.2,9434,9037,-4.2,2550,2477,-2.9,2202,2246,2,132,73,-44.7,165747,157249,-5.1
12,State,Manipur,70,71,1.4,181,205,13.3,2,4,100,15,5,-66.7,29,31,6.9,90,66,-26.7,250,265,6,637,548,-14,190,226,18.9,68,86,26.5,127,128,0.8,7,12,71.4,3081,3069,-0.4
13,State,Meghalaya,67,61,-9,23,11,-52.2,NA,3,100,15,8,-46.7,26,31,19.2,43,37,-14,183,258,41,515,460,-10.7,88,59,-33,15,14,-6.7,23,36,56.5,NA,NA,NA,1733,1646,-5
14,State,Nagaland,18,27,50,21,19,-9.5,5,2,-60,9,10,11.1,12,6,-50,67,49,-26.9,328,319,-2.7,457,470,2.8,60,39,-35,38,64,68.4,42,41,-2.4,1,NA,-100,1058,1940,83.4
15,State,Orissa,552,566,2.5,218,248,13.8,41,52,26.8,156,174,11.5,333,377,13.2,873,836,-4.2,6964,6522,-6.3,13529,12285,-9.2,2878,2761,-4.1,492,462,-6.1,326,313,-4,9,12,33.3,48060,44662,-7.1
16,State,Punjab,575,591,2.8,245,204,-16.7,151,169,11.9,53,57,7.5,1,9,800,23,64,178.3,1094,1018,-6.9,1988,1703,-14.3,72,89,23.6,369,356,-3.5,307,354,15.3,2,9,350,12263,13960,13.8
17,State,Rajasthan,939,979,4.3,1630,1465,-10.1,49,35,-28.6,339,378,11.5,146,147,0.7,1419,1217,-14.2,6680,6431,-3.7,14016,12202,-12.9,11665,11874,1.8,1067,1030,-3.5,1796,2056,14.5,9,13,44.4,73610,71367,-3
18,State,Sikkim,13,7,-46.2,NA,1,100,1,NA,-100,4,4,0,3,3,0,6,5,-16.7,21,28,33.3,86,85,-1.2,3,7,133.3,9,8,-11.1,5,4,-20,NA,NA,NA,226,257,13.7
19,State,Tamil Nadu,1347,1310,-2.7,805,640,-20.5,12,31,158.3,179,202,12.8,59,63,6.8,321,373,16.2,8851,11446,29.3,28583,29566,3.4,11057,9575,-13.4,1166,1244,6.7,1191,1451,21.8,184,166,-9.8,115410,114416,-0.9
20,State,Tripura,98,111,13.3,73,39,-46.6,23,1,-95.7,18,26,44.4,198,228,15.2,175,200,14.3,1001,1175,17.4,1361,1471,8.1,446,374,-16.1,43,42,-2.3,20,30,50,NA,NA,NA,5486,5900,7.5
21,State,Uttar Pradesh,5788,5752,-0.6,2671,2834,6.1,1564,1702,8.8,792,856,8.1,4437,4210,-5.1,6196,5710,-7.8,24359,22494,-7.7,54797,49804,-9.1,10027,9016,-10.1,3938,4256,8.1,2428,2966,22.2,46,62,34.8,167747,164926,-1.7
22,State,West Bengal,1324,1327,0.2,916,936,2.2,668,616,-7.8,498,464,-6.8,1413,1193,-15.6,1386,1339,-3.4,3992,3667,-8.1,33068,32031,-3.1,12237,10952,-10.5,1287,1221,-5.1,1102,1089,-1.2,61,53,-13.1,83379,81239,-2.6
Total (States),State,Total (States),22988,24739,7.6,12616,12999,3,3169,3542,11.8,5299,5867,10.7,12624,12336,-2.3,21665,20985,-3.1,140031,136429,-2.6,358235,337495,-5.8,105860,107511,1.6,17667,17924,1.5,16707,18811,12.6,905,770,-14.9,1315622,1311915,-0.3
23,UT,A & N Islands,7,12,71.4,6,3,-50,NA,1,100,NA,4,100,NA,NA,NA,NA,6,100,71,50,-29.6,199,164,-17.6,42,42,NA,7,10,42.9,3,13,333.3,NA,NA,NA,702,755,7.5
24,UT,Arunachal Pradesh,30,34,13.3,21,17,-19,4,5,25,11,8,-27.3,9,7,-22.2,21,17,-19,127,131,3.1,234,237,1.3,18,19,5.6,11,17,54.5,4,9,125,NA,1,100,1011,1071,5.9
25,UT,Chandigarh,12,19,58.3,18,23,27.8,3,7,133.3,5,3,-40,NA,NA,NA,9,11,22.2,80,140,75,858,735,-14.3,15,19,26.7,40,43,7.5,67,64,-4.5,NA,2,100,1617,1612,-0.3
26,UT,D & N Haveli,7,4,0,2,2,0,NA,NA,NA,2,1,-50,NA,2,100,2,4,100,40,36,-10,49,25,-49,10,5,-50,12,6,-50,4,5,25,NA,NA,NA,272,205,-24.6
27,UT,Delhi,237,245,3.4,642,759,18.2,238,226,-5,73,79,8.2,51,29,-43.1,156,211,35.3,1545,1503,-2.7,13655,13028,-4.6,163,173,6.1,399,384,-3.8,577,752,30.3,20,26,30,27163,27360,0.7
28,UT,"Goa, Daman & Diu",23,20,-12,11,16,45.5,4,5,25,2,11,450,5,3,-40,44,44,0,598,536,-10.4,871,805,-7.6,273,234,-14.3,42,43,2.4,45,52,15.6,5,5,NA,3218,2936,-8.8
29,UT,Lakshadweep,NA,NA,NA,1,NA,-100,NA,NA,NA,NA,1,100,NA,NA,NA,NA,NA,NA,1,1,NA,3,6,100,NA,1,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,18,20
30,UT,Mizoram,28,22,-21.4,9,11,22.2,9,7,-22.2,31,38,22.6,7,3,-57.1,33,23,-30.3,51,81,58.8,183,262,43.2,2,1,-50,42,53,26.2,26,34,30.8,6,5,-16.7,1709,1696,-0.8
31,UT,Pondicherry,7,14,100,15,12,-20,NA,NA,NA,4,7,75,4,2,-50,8,9,12.5,182,196,7.7,953,779,-18.3,128,96,-25,39,34,-12.8,38,27,-28.9,3,NA,-100,2575,2298,-10.8
Total (UTs),UT,Total (UTs),351,373,6.3,725,843,16.3,258,251,-2.7,128,152,18.8,76,46,-39.5,273,325,19,2695,2674,-0.8,17005,16041,-5.7,651,590,-9.4,592,590,-0.3,764,956,25.1,34,39,14.7,38282,37951,-0.9
All India,All India,All India,23339,25112,7.6,13341,13842,3.8,3427,3793,10.7,5427,6019,10.9,12700,12382,-2.5,21938,21310,-2.9,142726,139103,-2.5,375240,353536,-5.8,106511,108101,1.5,18259,18514,1.4,17471,19767,13.1,939,809,-13.8,1353904,1349866,-0.3
1,City,Ahmedabad,62,60,-3.2,115,115,0,2,NA,-100,11,8,-27.3,13,10,-23.1,39,31,-20.5,502,540,7.6,2921,2508,-14.1,297,298,0.3,97,88,-9.3,178,148,-16.9,12,5,-58.3,11432,10500,-8.2
2,City,Bangalore,46,56,21.7,40,46,15,5,2,-60,15,21,40,4,7,75,186,270,45.2,1489,1467,-1.5,6523,6275,-3.8,470,242,-48.5,185,195,5.4,457,540,18.2,88,74,-15.9,14818,14149,-4.5
3,City,Bombay,249,261,4.8,196,201,2.6,9,2,-77.8,70,107,52.9,84,47,-44,617,567,-8.1,1929,2059,6.7,15726,13973,-11.1,413,222,-46.2,716,709,-1,820,917,11.8,56,42,-25,34696,31722,-8.6
4,City,Calcutta,75,95,26.7,121,114,-5.8,15,11,-26.7,26,21,-19.2,67,45,-32.8,355,360,1.4,793,916,15.5,6338,6943,9.5,761,830,9.1,325,351,8,429,426,-0.7,29,27,-6.9,13249,14062,6.1
5,City,Delhi,216,214,-0.9,614,722,17.6,211,190,-10,71,74,4.2,49,28,-42.9,151,200,32.5,1489,1443,-3.1,13186,12600,-4.4,147,159,8.2,379,372,-1.8,549,732,33.3,20,26,30,25855,26070,0.8
6,City,Hyderabad,43,99,130.2,54,63,16.7,1,NA,-100,17,22,29.4,13,20,53.8,63,75,19,917,1066,16.2,2955,2565,-13.2,309,312,1,75,90,20,329,339,3,14,22,57.1,6510,6649,2.1
7,City,Jaipur,23,21,-8.7,105,80,-23.8,2,NA,-100,9,13,44.4,3,2,-33.3,84,67,-20.2,443,496,12,1840,1323,-28.1,631,537,-14.9,69,77,11.6,195,200,2.6,7,5,-28.6,5173,4491,-13.2
8,City,Kanpur,119,119,0,134,169,26.1,35,165,371.4,23,39,69.6,43,30,-30.2,159,166,4.4,636,545,-14.3,2291,1259,-45,207,189,-8.7,240,409,70.3,216,110,-49.1,19,31,63.2,6017,6638,10.3
9,City,Lucknow,142,65,-54.2,125,98,-21.6,22,16,-27.3,26,10,-61.5,90,20,-77.8,192,79,-58.9,1129,725,-35.8,4236,2760,-34.8,268,168,-37.3,296,217,-26.7,248,218,-12.1,7,28,300,9100,6659,-26.8
10,City,Madras,34,33,-2.9,46,42,-8.7,2,14,600,19,22,15.8,NA,3,100,51,76,49,511,645,26.2,5993,6141,2.5,211,104,-50.7,213,86,-59.6,429,505,17.7,53,24,54.7,13375,13816,3.3
11,City,Nagpur,51,68,33.3,42,50,19,1,NA,-100,34,35,2.9,19,18,-5.3,191,252,31.9,750,746,-0.5,2363,2270,-3.9,188,133,-29.3,73,62,-15.1,138,136,-1.4,15,2,-86.7,16763,6148,-63.3
12,City,Pune,50,52,4,47,56,19.1,NA,5,100,15,16,6.7,10,15,50,114,106,-7,707,687,-2.8,2269,2101,-7.4,214,167,-22,80,112,40,121,146,20.7,4,7,75,7892,7517,-4.8
Total (Cities),City,Total (Cities),1110,1143,3,1639,1756,7.1,305,405,32.8,336,388,15.5,395,245,-38,2202,2249,2.1,11295,11335,0.4,66641,60718,-8.9,4116,3361,-18.3,2748,2768,0.7,4109,4417,7.5,324,293,-9.6,164880,148421,-10
