SI.No.,States/UT/City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping and Abduction - Total,Kidnapping and Abduction - of Women,Kidnapping and Abduction - of Others,Dacoity,Preaparation and Assembly for Dacoity,Robbery,Burglary,Theft - Total,Theft - Auto Theft ,Theft - Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelity by Husband and Relatives,Importation of Girls,Others IPC Crimes,Total Cog. Under IPC
28,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Daman & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Delhi,9,16,1,10,9,6,3,0,0,4,58,135,30,105,1,1,5,0,0,23,1,11,1,6,0,69,360
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,Pondicherry,0,0,0,0,0,0,0,0,0,1,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,9
Total (UTs),Total (UTs),9,16,1,11,9,6,3,0,0,5,66,149,33,116,1,1,5,0,0,24,1,12,1,6,0,79,396
Total (All-India),Total (All-India),324,236,24,179,88,69,19,32,3,79,1752,2684,206,2470,917,14,40,7,48,1928,72,127,27,351,0,2939,11871
33,Ahmedabad,4,1,0,0,15,15,0,0,0,0,22,69,11,58,14,0,0,0,0,18,0,1,0,9,0,55,208
34,Bangalore,3,0,0,0,0,0,0,0,0,1,32,49,1,48,0,0,0,0,0,7,0,0,0,0,0,7,99
35,Bhopal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
36,Calcutta,0,0,0,0,0,0,0,0,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4
37,Chennai,0,0,0,0,0,0,0,0,0,0,8,21,0,21,0,0,0,0,0,0,0,0,0,0,0,8,37
38,Coimbatore,0,0,0,0,0,0,0,0,0,0,1,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,11
39,Delhi,9,16,1,10,9,6,3,0,0,4,58,135,30,105,1,1,5,0,0,23,1,11,1,6,0,69,360
40,Hyderabad,4,0,0,2,0,0,0,0,0,1,44,79,0,79,0,0,0,0,0,10,0,0,0,0,0,0,140
41,Indore,10,6,0,8,0,0,0,0,0,0,10,24,2,22,0,1,0,0,0,33,0,3,1,0,0,85,181
42,Jaipur,2,0,0,1,0,0,0,0,0,4,17,29,4,25,26,2,0,5,0,5,0,2,0,0,0,27,120
43,Kanpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Kochi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Lucknow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Ludhiana,1,1,1,0,2,1,1,0,0,0,3,2,0,2,0,0,0,0,0,1,0,0,0,0,0,2,13
47,Madurai,0,0,0,0,0,0,0,0,0,2,4,30,0,30,1,0,0,0,0,0,0,0,0,0,0,5,42
48,Mumbai,8,0,0,7,0,0,0,0,0,0,33,96,0,96,6,0,1,0,0,39,3,4,0,0,0,22,219
49,Nagpur,1,2,0,2,0,0,0,3,0,1,86,18,0,18,3,0,0,0,13,16,0,1,1,0,0,13,160
50,Patna,0,2,0,0,0,0,0,0,0,3,0,3,1,2,2,0,2,0,0,3,2,0,0,3,0,17,37
51,Pune,3,0,0,1,3,1,2,0,2,0,27,107,31,76,8,0,0,0,0,15,0,3,0,0,0,8,177
52,Surat,0,1,0,1,0,0,0,1,0,0,1,14,8,6,5,2,0,0,0,12,0,1,0,6,0,1,45
53,Vadodra,0,1,0,0,0,0,0,0,0,0,3,34,0,34,6,0,1,0,0,10,0,0,1,1,0,37,94
54,Varanasi,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
55,Vishakhapatnam,0,0,0,0,0,0,0,0,0,0,16,54,0,54,0,0,0,0,0,7,0,0,1,0,0,0,78
Total Cities,Total Cities,45,30,2,32,29,23,6,4,2,17,365,779,88,691,72,6,9,5,13,199,6,26,5,25,0,359,2030
