Sl.No.,State,City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping and Abduction Total,Kidnapping and Abduction of Women & Girls,Kidnapping and Abduction of Others,Dacoity,Preaparation and Assembly for Dacoity,Robbery,Burglary,Theft Total,Theft Auto Theft,Theft Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelity by Husband and Relatives,Importation of Girls,Others IPC Crimes,Total Cog. Under IPC
1,Punjab,Amritsar,22,13,0,10,13,12,1,1,2,6,62,86,53,33,0,10,65,3,2,36,7,7,2,40,0,215,602
2,Punjab,Jalandhar,34,18,3,3,16,13,3,0,1,2,89,130,40,90,0,8,110,3,3,44,7,2,0,23,0,205,701
3,Punjab,Ludhiana,39,34,8,38,50,35,15,6,12,4,127,339,235,104,0,23,301,3,5,124,14,5,0,146,0,602,1880
1,Rajasthan,Ajmer,15,54,0,11,31,31,0,2,0,35,162,326,119,207,47,13,177,4,4,14,6,12,3,113,0,1085,2114
2,Rajasthan,Bharatpur,14,25,0,9,40,34,6,2,1,20,76,276,66,210,221,16,69,2,3,0,2,7,0,53,0,840,1676
3,Rajasthan,Bikaner,9,0,1,9,18,18,0,2,0,1,114,215,45,170,138,5,96,2,0,49,10,0,0,70,0,914,1653
4,Rajasthan,Jaipur,47,51,2,38,191,154,37,8,0,61,824,2619,970,1649,1369,173,773,22,24,125,26,115,2,337,0,5616,12423
5,Rajasthan,Jodhpur,17,31,2,7,69,56,13,1,0,23,207,596,235,361,127,43,339,2,23,1589,7,33,1,221,0,312,3650
6,Rajasthan,Kota,21,166,1,22,122,122,0,1,0,45,404,801,294,507,161,18,229,2,15,393,8,76,10,203,0,1594,4292
7,Rajasthan,Udaipur,13,46,1,10,64,43,21,1,0,43,149,424,161,263,98,23,149,2,3,12,0,24,0,85,0,1109,2256
1,Tamil Nadu,Chennai,93,333,1,37,41,12,29,18,0,104,475,2227,592,1635,60,98,1067,47,0,612,22,40,0,55,0,1468,6788
2,Tamil Nadu,Coimbatore,22,28,0,4,23,14,9,0,0,17,174,909,288,621,75,32,47,6,8,171,11,25,100,18,0,2129,3799
3,Tamil Nadu,Madurai,28,36,0,6,21,15,6,7,0,29,137,621,250,371,87,15,103,11,2,181,5,10,100,34,0,2265,3698
4,Tamil Nadu,Salem,18,18,0,3,20,20,0,1,0,10,83,405,208,197,26,2,34,4,1,179,0,10,23,8,0,860,1705
5,Tamil Nadu,Tirunelveli,22,17,2,2,11,5,6,5,0,33,105,326,108,218,25,3,16,1,21,83,1,7,5,0,0,794,1479
6,Tamil Nadu,Trichy,20,23,0,4,6,6,0,1,0,7,128,651,195,456,26,23,54,6,0,463,5,6,18,16,0,379,1836
1,Uttar Pradesh,Agra,69,72,14,18,98,82,16,9,0,68,278,764,334,430,162,111,185,10,3,210,12,29,0,75,0,1268,3455
2,Uttar Pradesh,Aligarh,65,102,4,9,66,66,0,5,0,99,170,505,40,465,154,67,73,0,1,156,13,25,9,116,0,1998,3637
3,Uttar Pradesh,Allahabad,76,78,17,9,49,45,4,12,0,60,188,512,138,374,69,72,136,2,4,224,9,24,49,59,0,525,2174
4,Uttar Pradesh,Bareilly,66,97,15,10,75,41,34,10,0,74,141,571,105,466,66,77,126,1,1,239,13,23,36,140,0,106,1887
5,Uttar Pradesh,Gorakhpur,48,32,14,6,28,28,0,3,3,33,142,264,42,222,57,57,63,2,1,112,6,8,23,3,0,269,1174
6,Uttar Pradesh,Kanpur,208,175,43,34,190,147,43,24,6,125,329,1204,415,789,202,218,316,45,29,524,75,58,238,287,0,2480,6810
7,Uttar Pradesh,Lucknow,129,140,21,28,114,94,20,17,0,127,624,2109,517,1592,229,235,436,8,8,81,34,44,227,211,0,2224,7046
8,Uttar Pradesh,Meerut,75,131,5,9,52,36,16,15,4,97,209,700,203,497,74,77,116,1,5,36,13,12,190,128,0,804,2753
9,Uttar Pradesh,Moradabad,105,127,18,31,83,67,16,19,0,116,195,515,102,413,87,38,94,0,12,129,28,42,68,103,0,362,2172
10,Uttar Pradesh,Varanasi,68,56,8,10,17,11,6,0,0,52,165,342,160,182,63,55,56,1,9,107,14,7,36,39,0,270,1375
1,West Bengal,Calcutta,72,148,11,24,134,93,41,24,72,157,131,4490,1145,3345,324,325,787,28,0,1183,5,199,28,159,1,3145,11447
1,Delhi (UT),Delhi (City),514,509,61,332,1176,837,339,42,30,649,3068,22517,7959,14558,163,468,1797,67,49,1928,95,480,126,58,0,18602,52731
