SI.No.,States/UT/City,Murder - Male,Murder - Female,Murder - Total,Attempt to Commit Murder - Male,Attempt to Commit Murder - Female,Attempt to Commit Murder - Total,C. H. Not Amounting to Murder - Male,C. H. Not Amouniting to Murder - Female,C. H. Amouniting to Murder - Total,Rape - Male,Rape - Female,Rape - Total,Kidnapping & Abuduction - Total - Male,Kidnapping & Abuduction - Total - Female,Kidnapping & Abuduction - Total - Total,Kidnapping & Abuduction - of Women & Girls - Male,Kidnapping & Abuduction - of Women & Girls - Female,Kidnapping & Abuduction - of Women & Girls - Total,Kidnapping & Abuduction - of Others - Male,Kidnapping & Abuduction - of Others - Female,Kidnapping & Abuduction - of Others - Total,Dacoity - Male,Dacoity - Female,Dacoity - Total,Preparation & Assembly For Dacoity - Male,Preparation & Assembly For Dacoity - Female,Preparation & Assembly For Dacoity - Total,Robbery - Male,Robbery - Female,Robbery - Total,Burglary - Male,Burglary - Female,Burglary - Total,Theft  -Total - Male,Theft  -Total - Female,Theft  -Total - Total,Theft  -Auto Theft  -Male,Theft  -Auto Theft  -Female,Theft  -Auto Theft  -Total,Theft  -Other Theft - Male,Theft  -Other Theft - Female,Theft  -Other Theft - total,Riots - Male,Riots - Female,Riots - Total,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Criminal Breach of Trust - Total,Cheating - Male,Cheating - Female,Cheating - Total,Counterfeiting -Male,Counterfeiting -Female,Counterfeiting -Total,Arson - Male,Arson - Female,Arson - Total,Hurt - Male,Hurt - Female,Hurt - Total,Dowary Death - Male,Dowary Death - Female,Dowary Death - Total,Molestation - Male,Molestation - Female,Molestation - Total,Sexual Harassment - Male,Sexual Harassment - Female,Sexual Harassment - Total,Cruelty By Husband And Relatives - Male,Cruelty By Husband And Relatives - Female,Cruelty By Husband And Relatives - Total,Importantion of Girls - Male,Importantion of Girls - Female,Importantion of Girls - Total,Other IPC Crimes - Male,Other IPC Crimes - Female,Other IPC Crimes - Total,Total Cognizable Crimes Under IPC - Male,Total Cognizable Crimes Under IPC - Female,Total Cognizable Crimes Under IPC - Total,Percentage of Female to Total
11,Kerala,944,49,993,2570,25,2595,165,8,173,496,3,499,323,10,333,190,6,196,133,4,137,544,2,546,27,0,27,580,2,582,2496,19,2515,3034,69,3103,820,0,820,2214,69,2283,37914,1083,38997,413,15,428,2443,118,2561,180,5,185,538,2,540,26886,1330,28216,37,12,49,2097,23,2120,77,0,77,3639,1105,4744,0,0,0,51730,1499,53229,137133,5379,142512,3.8
12,Madhya Pradesh,6733,338,7071,7763,294,8057,282,18,300,4633,125,4758,1975,87,2062,1406,80,1486,569,7,576,753,3,756,1617,0,1617,2378,21,2399,9669,158,9827,13302,217,13519,1901,2,1903,11401,215,11616,21660,618,22278,842,9,851,2323,64,2387,28,1,29,1765,28,1793,56142,2930,59072,1210,425,1635,9680,14,9694,844,3,847,6353,1950,8303,0,0,0,149683,5820,155503,299635,13123,312758,4.2
13,Maharashtra,5805,758,6563,4228,183,4411,166,22,188,1716,86,1802,1474,157,1631,958,130,1088,516,27,543,2375,19,2394,1088,1,1089,3594,25,3619,10640,292,10932,22792,935,23727,2481,0,2481,20311,935,21246,33726,3596,37322,2128,55,2183,4351,229,4580,128,16,144,1601,14,1615,53859,4598,58457,844,421,1265,3329,35,3364,1020,5,1025,17340,5654,22994,0,0,0,59388,5488,64876,231592,22589,254181,8.9
14,Manipur,65,4,69,39,1,40,2,0,2,14,0,14,29,2,31,15,2,17,14,0,14,3,0,3,11,0,11,3,0,3,12,0,12,75,0,75,9,0,9,66,0,66,51,0,51,18,0,18,18,3,21,10,3,13,40,1,41,111,2,113,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,701,26,727,1207,42,1249,3.4
15,Meghalaya,159,6,165,30,0,30,2,0,2,38,0,38,34,2,36,6,2,8,28,0,28,231,1,232,9,0,9,118,0,118,118,0,118,369,0,369,3,0,3,366,0,366,99,0,99,16,0,16,56,1,57,0,0,0,31,0,31,195,2,197,0,0,0,14,0,14,0,0,0,0,0,0,0,0,0,492,22,514,2011,34,2045,1.7
16,Mizoram,52,2,54,32,0,32,10,0,10,70,0,70,3,0,3,0,0,0,3,0,3,3,0,3,0,0,0,5,0,5,275,0,275,841,8,849,30,0,30,811,8,819,18,0,18,35,0,35,74,0,74,24,6,30,15,0,15,100,1,101,0,0,0,60,0,60,0,0,0,0,0,0,0,0,0,455,8,463,2072,25,2097,1.2
17,Nagaland,80,10,90,28,1,29,0,0,0,17,0,17,24,0,24,7,0,7,17,0,17,45,0,45,0,0,0,83,0,83,117,1,118,155,1,156,21,0,21,134,1,135,28,0,28,5,0,5,51,0,51,4,1,5,1,0,1,32,0,32,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,369,32,401,1042,46,1088,4.2
18,Orissa,1561,84,1645,2437,30,2467,76,2,78,888,9,897,531,14,545,485,13,498,46,1,47,1159,5,1164,65,0,65,1409,3,1412,3342,10,3352,5305,44,5349,129,2,131,5176,42,5218,7527,194,7721,185,0,185,442,3,445,2,0,2,394,5,399,7526,277,7803,402,156,558,2170,20,2190,232,1,233,1570,277,1847,0,0,0,34949,1256,36205,72172,2390,74562,3.2
19,Punjab,1235,116,1351,1555,64,1619,194,30,224,419,34,453,462,70,532,255,51,306,207,19,226,64,0,64,297,8,305,89,0,89,1171,14,1185,1656,56,1712,613,2,615,1043,54,1097,7,0,7,388,13,401,2085,164,2249,32,2,34,108,3,111,8713,438,9151,380,173,553,290,6,296,6,0,6,990,506,1496,0,0,0,9320,462,9782,29461,2159,31620,6.8
20,Rajasthan,2883,203,3086,4292,175,4467,57,1,58,1186,28,1214,2066,126,2192,1483,109,1592,583,17,600,428,7,435,137,0,137,1508,18,1526,4125,60,4185,6428,236,6664,1047,19,1066,5381,217,5598,45376,4578,49954,339,8,347,2205,86,2291,40,11,51,932,27,959,24357,1522,25879,602,192,794,3222,49,3271,110,0,110,5839,1455,7294,0,0,0,102630,7112,109742,208762,15894,224656,7.1
21,Sikkim,32,3,35,21,0,21,4,0,4,13,0,13,26,0,26,0,0,0,26,0,26,7,0,7,0,0,0,26,0,26,46,0,46,59,5,64,NR,NR,NR,NR,NR,NR,538,26,564,6,0,6,5,0,5,0,0,0,11,0,11,185,6,191,0,0,0,62,2,64,0,0,0,0,0,0,NR,NR,NR,325,5,330,1366,47,1413,3.3
22,Tamil Nadu,4116,281,4397,6789,460,7249,40,4,44,541,13,554,1518,103,1621,1288,87,1375,230,16,246,799,0,799,75,0,75,1224,6,1230,4816,99,4915,14330,582,14912,5187,23,5210,9143,559,9702,28875,2831,31706,339,12,351,1197,31,1228,79,1,80,1169,49,1218,32877,2405,35282,347,127,474,2773,61,2834,1869,6,1875,968,269,1237,0,0,0,81499,8714,90213,186240,16054,202294,7.9
23,Tripura,447,0,447,43,0,43,3,0,3,89,0,89,273,3,276,35,1,36,238,2,240,154,0,154,0,0,0,132,2,134,213,20,233,198,5,203,0,0,0,198,5,203,440,0,440,25,0,25,25,2,27,0,0,0,21,0,21,521,5,526,24,4,28,86,0,86,0,0,0,162,30,192,0,0,0,910,16,926,3766,87,3853,2.3
24,Uttar Pradesh,18076,222,18298,16673,39,16712,3073,32,3105,2230,0,2230,6846,233,7079,4129,223,4352,2717,10,2727,3438,2,3440,419,0,419,5396,0,5396,5143,8,5151,19730,166,19896,2416,0,2416,17314,166,17480,35679,360,36039,3036,8,3044,5455,31,5486,250,1,251,1694,4,1698,39870,689,40559,4745,1236,5981,3419,0,3419,3244,0,3244,12997,2338,15335,0,0,0,100589,1688,102277,292002,7057,299059,2.4
25,West Bengal,4439,58,4497,993,15,1008,1260,8,1268,1098,0,1098,1449,81,1530,1265,66,1331,184,15,199,1917,3,1920,1842,0,1842,1983,0,1983,683,0,683,14529,478,15007,1717,5,1722,12812,473,13285,24880,781,25661,540,7,547,956,18,974,47,0,47,225,6,231,5993,124,6117,590,87,677,1320,0,1320,35,0,35,5583,1103,6686,3,0,3,27201,1704,28905,97566,4473,102039,4.4
Total States,Total States,72876,3395,76271,70021,2006,72027,6871,182,7053,19364,414,19778,28174,1547,29721,17238,1328,18566,10936,219,11155,22943,86,23029,7063,9,7072,28389,146,28535,66922,960,67882,155071,4054,159125,24554,64,24618,130458,3985,134443,373189,21282,394471,14542,405,14947,33947,1104,35051,1432,50,1482,13334,256,13590,414424,26493,440917,12995,3960,16955,39463,443,39906,10162,31,10193,77901,22889,100790,3,0,3,931390,53014,984404,2400476,142726,2543202,5.6
26,A & N Islands,8,0,8,4,0,4,0,0,0,10,1,11,6,1,7,0,0,0,6,1,7,0,0,0,0,0,0,0,0,0,49,0,49,26,0,26,0,0,0,26,0,26,123,0,123,4,0,4,16,0,16,0,0,0,3,0,3,95,7,102,0,0,0,13,0,13,2,0,2,7,1,8,0,0,0,272,21,293,638,31,669,4.6
27,Chandigarh,24,5,29,48,2,50,14,0,14,18,1,19,79,6,85,70,3,73,9,3,12,0,0,0,7,0,7,11,0,11,107,4,111,344,9,353,116,0,116,228,9,237,265,14,279,16,1,17,225,5,230,1,0,1,8,0,8,196,15,211,14,7,21,36,0,36,23,0,23,61,38,99,0,0,0,1603,78,1681,3100,185,3285,5.6
28,D & N Haveli,23,0,23,2,0,2,0,0,0,9,0,9,6,0,6,0,0,0,6,0,6,9,0,9,0,0,0,12,0,12,36,0,36,55,2,57,0,0,0,55,2,57,287,15,302,3,0,3,10,0,10,0,0,0,1,0,1,64,1,65,4,2,6,11,0,11,0,0,0,5,3,8,0,0,0,217,12,229,754,35,789,4.4
29,Daman & DIU,9,1,10,6,5,11,0,0,0,4,0,4,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,10,0,10,28,0,28,12,0,12,16,0,16,111,14,125,15,2,17,8,0,8,0,0,0,0,0,0,23,1,24,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,68,1,69,296,24,320,7.5
30,Delhi,862,88,950,907,33,940,129,4,133,455,32,487,509,40,549,284,30,314,225,10,235,256,5,261,182,0,182,1134,7,1141,2019,25,2044,10309,245,10554,2420,31,2451,7889,214,8103,1192,65,1257,262,14,276,1503,112,1615,87,1,88,16,0,16,3384,129,3513,213,100,313,755,20,775,230,6,236,529,178,707,0,0,0,20364,1301,21665,45297,2405,47702,5
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,16,0,16,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,23,0,23,0
32,Pondicherry,40,3,43,36,0,36,4,0,4,5,0,5,12,1,13,3,1,4,9,0,9,22,0,22,0,0,0,14,0,14,56,0,56,195,22,217,52,0,52,143,22,165,490,3,493,2,0,2,15,1,16,1,0,1,1,0,1,939,54,993,7,3,10,69,5,74,26,0,26,6,2,8,0,0,0,2696,156,2852,4636,250,4886,5.1
Total (UTs),Total (UTs),966,97,1063,1003,40,1043,147,4,151,501,34,535,614,48,662,359,34,393,255,14,269,287,5,292,189,0,189,1173,7,1180,2278,29,2307,10957,278,11235,2600,31,2631,8357,247,8604,2484,111,2595,303,17,320,1777,118,1895,89,1,90,29,0,29,4703,207,4910,238,112,350,884,25,909,281,6,287,618,222,840,0,0,0,25223,1569,26792,54744,2930,57674,5.1
Total (All-India),Total (All-India),73842,3492,77334,71024,2046,73070,7018,186,7204,19865,448,20313,28788,1595,30383,17597,1362,18959,11191,233,11424,23230,91,23321,7252,9,7261,29562,153,29715,69200,989,70189,166028,4332,170360,27154,95,27249,138815,4232,143047,375673,21393,397066,14845,422,15267,35724,1222,36946,1521,51,1572,13363,256,13619,419127,26700,445827,13233,4072,17305,40347,468,40815,10443,37,10480,78519,23111,101630,3,0,3,956613,54583,1011196,2455220,145656,2600876,5.6
33,Ahmedabad,240,21,261,190,3,193,5,0,5,20,2,22,202,23,225,130,22,152,72,1,73,132,0,132,8,0,8,224,4,228,446,17,463,1148,30,1178,412,0,412,736,30,766,1193,56,1249,209,6,215,408,7,415,17,0,17,19,0,19,2686,243,2929,25,7,32,59,1,60,40,0,40,1135,499,1634,0,0,0,7205,388,7593,15611,1307,16918,7.7
34,Bangalore,348,10,358,600,20,620,2,0,2,55,1,56,142,6,148,63,5,68,79,1,80,246,4,250,0,0,0,458,7,465,853,18,871,1568,81,1649,375,0,375,1193,81,1274,879,21,900,124,5,129,453,49,502,38,0,38,0,1,1,3259,271,3530,74,45,119,219,18,237,19,0,19,419,139,558,0,0,0,3388,404,3792,13144,1100,14244,7.7
35,Bhopal,92,0,92,159,5,164,0,0,0,53,0,53,32,0,32,28,0,28,4,0,4,0,0,0,0,0,0,94,0,94,166,0,166,337,25,362,56,0,56,281,25,306,393,0,393,37,0,37,142,2,144,2,0,2,11,0,11,1087,37,1124,17,7,24,139,0,139,16,0,16,132,28,160,0,0,0,8377,267,8644,11286,371,11657,3.2
36,Calcutta,94,2,96,135,7,142,15,0,15,23,0,23,94,16,110,67,9,76,27,7,34,41,0,41,252,0,252,195,0,195,87,0,87,2216,21,2237,203,0,203,2013,21,2034,681,0,681,161,0,161,422,0,422,1,0,1,0,0,0,987,0,987,9,4,13,204,0,204,29,0,29,176,26,202,3,0,3,1463,35,1498,7288,111,7399,1.5
37,Chennai,228,4,232,492,3,495,2,0,2,34,0,34,52,5,57,15,0,15,37,5,42,114,0,114,0,0,0,307,0,307,387,27,414,1398,30,1428,152,0,152,1246,30,1276,324,13,337,37,0,37,186,11,197,1,0,1,0,0,0,994,11,1005,34,31,65,46,0,46,0,0,0,108,13,121,0,0,0,1841,173,2014,6585,321,6906,4.6
38,Coimbatore,37,1,38,65,0,65,0,0,0,4,0,4,35,0,35,12,0,12,23,0,23,0,0,0,0,0,0,15,0,15,76,0,76,778,44,822,136,0,136,642,44,686,356,13,369,17,1,18,23,0,23,5,0,5,10,0,10,290,8,298,15,5,20,43,0,43,100,0,100,18,0,18,0,0,0,2129,33,2162,4016,105,4121,2.5
39,Delhi,680,72,752,787,28,815,109,4,113,361,30,391,423,39,462,234,29,263,189,10,199,174,5,179,153,0,153,1011,5,1016,1817,25,1842,9243,226,9469,1922,28,1950,7321,198,7519,953,48,1001,245,14,259,1418,112,1530,83,1,84,13,0,13,2926,93,3019,170,82,252,596,15,611,192,2,194,471,152,623,0,0,0,17321,1105,18426,39146,2058,41204,5
40,Hyderabad,190,7,197,116,0,116,3,0,3,52,0,52,54,0,54,11,0,11,43,0,43,20,0,20,0,0,0,65,0,65,1000,15,1015,1899,76,1975,514,0,514,1385,76,1461,451,0,451,36,0,36,654,18,672,0,0,0,0,0,0,2801,6,2807,16,5,21,70,0,70,10,0,10,539,78,617,0,0,0,1031,59,1090,9007,264,9271,2.8
41,Indore,226,9,235,164,4,168,2,0,2,45,2,47,26,3,29,25,3,28,1,0,1,0,0,0,48,0,48,50,2,52,156,5,161,460,9,469,129,3,132,331,6,337,266,5,271,28,0,28,174,2,176,4,0,4,11,0,11,1770,36,1806,81,2,83,103,0,103,11,0,11,382,10,392,0,0,0,4710,139,4849,8717,228,8945,2.5
42,Jaipur,69,1,70,103,2,105,3,0,3,38,2,40,83,10,93,48,4,52,35,6,41,36,0,36,0,0,0,47,3,50,265,3,268,600,71,671,165,19,184,435,52,487,2859,335,3194,81,3,84,295,14,309,15,11,26,14,2,16,189,6,195,21,10,31,119,4,123,2,0,2,290,48,338,0,0,0,5830,477,6307,10959,1002,11961,8.4
43,Kanpur,389,11,400,427,2,429,81,2,83,65,1,66,234,17,251,161,15,176,73,2,75,49,0,49,27,0,27,173,0,173,176,4,180,584,1,585,90,0,90,494,1,495,783,6,789,82,1,83,271,1,272,5,0,5,30,0,30,2145,50,2195,50,85,135,80,0,80,238,0,238,448,193,641,0,0,0,2981,105,3086,9318,479,9797,4.9
44,Kochi,54,1,55,90,0,90,8,0,8,8,0,8,11,0,11,3,0,3,8,0,8,13,0,13,0,0,0,52,0,52,106,3,109,235,4,239,63,0,63,172,4,176,1168,113,1281,27,1,28,136,9,145,3,0,3,4,0,4,803,55,858,0,0,0,52,0,52,5,0,5,87,23,110,0,0,0,3075,24,3099,5937,233,6170,3.8
45,Lucknow,222,5,227,248,0,248,33,3,36,63,0,63,113,6,119,97,5,102,16,1,17,17,0,17,0,0,0,133,0,133,184,0,184,538,11,549,112,0,112,426,11,437,961,0,961,121,0,121,339,0,339,13,0,13,10,0,10,192,9,201,72,24,96,70,0,70,252,0,252,720,54,774,0,0,0,2527,77,2604,6828,189,7017,2.7
46,Ludhiana,51,4,55,56,5,61,12,0,12,40,5,45,39,6,45,22,4,26,17,2,19,19,0,19,60,0,60,7,0,7,122,4,126,172,5,177,109,0,109,63,5,68,0,0,0,41,0,41,388,29,417,12,1,13,14,0,14,245,13,258,32,8,40,11,2,13,0,0,0,300,74,374,0,0,0,491,27,518,2112,183,2295,8
47,Madurai,98,4,102,115,0,115,0,0,0,9,2,11,47,5,52,37,5,42,10,0,10,40,0,40,0,0,0,65,0,65,164,0,164,554,33,587,139,0,139,415,33,448,346,61,407,8,0,8,105,2,107,11,0,11,3,0,3,277,9,286,5,4,9,12,0,12,100,0,100,23,16,39,0,0,0,2857,131,2988,4839,267,5106,5.2
48,Mumbai,534,45,579,283,7,290,10,3,13,166,4,170,171,45,216,98,42,140,73,3,76,187,0,187,375,0,375,574,1,575,1353,14,1367,4522,127,4649,609,0,609,3913,127,4040,1898,371,2269,407,13,420,964,59,1023,44,7,51,1,0,1,5736,234,5970,58,39,97,274,10,284,49,1,50,405,207,612,0,0,0,7668,718,8386,25679,1905,27584,6.9
49,Nagpur,289,19,308,169,0,169,0,0,0,47,0,47,56,1,57,44,1,45,12,0,12,49,0,49,146,0,146,185,0,185,368,17,385,539,25,564,78,0,78,461,25,486,1044,34,1078,128,1,129,248,12,260,11,2,13,19,0,19,1613,45,1658,12,0,12,117,0,117,63,0,63,284,58,342,0,0,0,2826,33,2859,8213,247,8460,2.9
50,Patna,681,0,681,824,0,824,59,0,59,21,0,21,254,27,281,0,27,27,254,0,254,352,0,352,62,0,62,805,0,805,371,0,371,1655,0,1655,385,0,385,1270,0,1270,692,0,692,261,0,261,156,0,156,11,0,11,41,0,41,538,0,538,149,14,163,59,0,59,1,0,1,189,15,204,0,0,0,6575,9,6584,13756,65,13821,0.5
51,Pune,151,16,167,106,6,112,8,0,8,60,8,68,71,15,86,49,8,57,22,7,29,72,0,72,22,0,22,123,1,124,691,28,719,1339,45,1384,512,0,512,827,45,872,2645,932,3577,55,2,57,198,16,214,5,1,6,18,1,19,2053,89,2142,0,0,0,86,9,95,121,2,123,190,105,295,0,0,0,2844,116,2960,10858,1392,12250,11.4
52,Surat,194,13,207,102,3,105,5,0,5,22,0,22,94,3,97,62,2,64,32,1,33,62,0,62,0,0,0,104,0,104,401,0,401,841,20,861,342,0,342,499,20,519,610,23,633,75,4,79,214,10,224,1,0,1,23,0,23,870,43,913,54,14,68,23,0,23,5,0,5,253,124,377,0,0,0,1652,31,1683,5605,288,5893,4.9
53,Vadodra,77,3,80,64,1,65,1,0,1,21,0,21,76,6,82,58,6,64,18,0,18,42,0,42,0,0,0,74,0,74,238,9,247,527,40,567,104,0,104,423,40,463,479,85,564,165,19,184,230,15,245,4,0,4,11,0,11,760,52,812,0,0,0,38,2,40,20,0,20,329,202,531,0,0,0,2906,265,3171,6062,699,6761,10.3
54,Varanasi,75,0,75,105,0,105,18,0,18,10,0,10,44,0,44,17,0,17,27,0,27,0,0,0,0,0,0,80,0,80,75,0,75,152,0,152,67,0,67,85,0,85,230,2,232,45,0,45,86,0,86,1,0,1,10,0,10,302,3,305,56,12,68,12,0,12,48,0,48,110,27,137,0,0,0,615,5,620,2074,49,2123,2.3
55,Vishakhapatnam,30,4,34,76,7,83,0,0,0,23,1,24,10,2,12,6,1,7,4,1,5,5,0,5,0,0,0,23,3,26,223,5,228,502,21,523,55,0,55,447,21,468,24,0,24,25,1,26,198,13,211,2,0,2,6,1,7,761,67,828,12,6,18,57,0,57,224,0,224,229,80,309,0,0,0,448,467,915,2878,678,3556,19.1
Total Cities,Total Cities,5049,252,5301,5476,103,5579,376,12,388,1240,58,1298,2363,235,2598,1287,188,1475,1076,47,1123,1670,9,1679,1153,0,1153,4864,26,4890,9725,194,9919,31807,945,32752,6729,50,6779,25078,895,25973,19235,2118,21353,2415,71,2486,7708,381,8089,289,23,312,268,5,273,33284,1380,34664,962,404,1366,2489,61,2550,1545,5,1550,7237,2171,9408,3,0,3,90760,5088,95848,229918,13541,243459,5.6
