SI.No,States / UT,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction Total,Kidnapping & Abduction of Women & Girls,Kidnapping & Abduction Of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft Total,Theft Auto Theft,Theft Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelity by Husband and Relatives,Importation of Girls,Others IPC Crimes,Total Cog. Under IPC
15,Andhra Pradesh,Nalgonda,130,56,1,45,29,22,7,10,0,38,157,305,57,248,131,16,77,2,47,1095,23,199,60,139,0,2265,4825
16,Andhra Pradesh,Nellore,87,52,3,41,53,48,5,9,0,12,234,562,60,512,56,14,56,1,58,793,15,162,54,108,0,1706,4076
17,Andhra Pradesh,Nizambad,138,68,13,18,31,21,10,23,0,42,147,264,29,235,130,28,73,2,31,1076,12,64,14,182,0,1105,3461
18,Andhra Pradesh,Prakasham,111,82,3,20,42,31,11,7,2,10,185,329,37,292,107,17,96,1,47,942,11,128,105,103,0,2976,5324
19,Andhra Pradesh,Ranga Reddy,175,117,23,51,101,68,33,40,0,95,797,983,137,846,82,56,293,1,53,1031,47,90,0,68,0,2066,6169
20,Andhra Pradesh,Secunderabad Rly.,11,0,0,0,0,0,0,0,0,3,1,267,0,267,3,0,0,0,0,15,0,1,0,0,0,66,367
21,Andhra Pradesh,Srikakulam,28,26,3,25,17,17,0,2,1,5,170,385,0,385,72,40,62,1,39,725,7,43,8,152,0,1304,3115
22,Andhra Pradesh,Vijayawada Rly.,3,0,0,0,2,2,0,1,0,5,0,273,2,271,1,0,5,1,0,30,0,3,0,0,0,31,355
23,Andhra Pradesh,Visakha Rural,82,65,1,34,40,30,10,5,1,21,428,944,143,801,39,38,218,2,46,1601,14,110,696,284,0,2163,6832
24,Andhra Pradesh,Vizianagaram,33,20,0,14,13,10,3,1,0,11,142,207,7,200,38,11,72,0,11,581,6,43,31,157,0,1188,2582
25,Andhra Pradesh,Warangal,139,27,7,49,50,31,19,13,2,25,211,266,68,198,344,9,90,2,0,1332,36,133,0,58,0,1971,4764
26,Andhra Pradesh,West Godavari,89,75,1,64,55,42,13,2,0,16,244,679,88,591,86,32,156,4,40,963,23,256,103,352,0,2139,5379
27,Andhra Pradesh,Total,2711,1512,135,895,1169,708,461,266,7,726,6779,15049,2796,12253,2853,748,4540,48,1057,30086,452,3238,1763,4666,0,41664,120364
1,Arunachal Pradesh,Changlang,4,6,2,4,10,8,2,11,0,6,17,17,4,13,3,3,3,0,0,23,0,1,0,0,0,53,163
2,Arunachal Pradesh,Dibang Valley,10,3,0,0,1,1,0,5,0,5,15,13,5,8,0,2,1,0,2,19,0,2,0,0,0,29,107
3,Arunachal Pradesh,Kameng East,1,2,0,1,0,0,0,0,0,2,11,11,0,11,2,0,0,0,0,20,0,1,0,0,0,25,76
4,Arunachal Pradesh,Kameng West,6,3,0,1,1,0,1,1,0,0,14,32,0,32,10,6,1,0,1,25,0,2,0,0,0,65,168
5,Arunachal Pradesh,Lohit,11,5,1,5,10,8,2,21,0,9,8,30,0,30,0,3,3,0,1,34,0,8,0,0,0,59,208
6,Arunachal Pradesh,Papum Pare,3,9,0,7,16,6,10,5,0,23,51,88,20,68,5,5,13,0,3,110,0,20,0,1,0,93,452
7,Arunachal Pradesh,Siang East,4,9,0,12,12,9,3,7,1,12,17,50,0,50,5,2,3,0,4,52,0,8,0,2,0,37,237
8,Arunachal Pradesh,Siang Upper,1,2,0,2,4,2,2,0,0,0,15,9,0,9,2,1,4,0,0,14,0,2,0,0,0,19,75
9,Arunachal Pradesh,Siang West,8,3,0,4,2,0,2,4,0,0,42,24,3,21,6,0,4,1,1,56,0,7,1,1,0,80,244
10,Arunachal Pradesh,Subansiri Lower,5,6,1,0,2,1,1,2,0,4,24,9,0,9,4,1,0,0,1,13,0,0,0,0,0,48,120
11,Arunachal Pradesh,Subansiri Upper,3,1,2,1,4,2,2,2,0,4,17,13,1,12,12,2,4,0,3,72,0,8,0,1,0,52,201
12,Arunachal Pradesh,Tawang,2,1,0,0,0,0,0,0,0,4,9,10,0,10,7,2,1,0,2,15,0,3,0,0,0,23,79
13,Arunachal Pradesh,Tirap,4,3,0,2,8,3,5,2,0,2,18,15,0,15,4,0,2,0,0,30,0,3,0,0,0,43,136
14,Arunachal Pradesh,Total,62,53,6,39,70,40,30,60,1,71,258,321,33,288,60,27,39,1,18,483,0,65,1,5,0,626,2266
1,Assam,Barpeta,74,7,3,60,77,61,16,46,2,44,232,205,3,202,368,24,41,2,22,109,3,20,7,71,0,759,2176
2,Assam,Bongaigaon,36,4,0,20,33,27,6,18,0,13,52,110,1,109,77,5,5,2,4,38,1,12,0,17,0,202,649
3,Assam,C.I.D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,28,29
4,Assam,Cachar,61,34,0,31,141,101,40,72,3,31,331,471,0,471,735,43,63,5,52,159,10,40,0,204,0,1054,3540
5,Assam,Darrang,95,20,0,33,52,34,18,52,3,45,226,297,5,292,56,16,33,3,35,364,5,49,0,8,0,118,1510
6,Assam,Dhemaji,27,21,0,31,28,20,8,8,0,12,36,108,0,108,19,6,17,1,0,72,0,20,0,18,0,154,578
7,Assam,Dhubri,75,13,0,39,64,48,16,47,1,32,105,153,1,152,315,17,18,2,24,216,0,44,2,65,0,233,1465
8,Assam,Dibrugarh,125,24,5,38,40,31,9,34,0,54,89,485,22,463,44,17,8,1,23,411,1,55,0,30,0,354,1838
9,Assam,G.R.P.,13,0,0,0,8,8,0,4,0,12,14,142,0,142,9,1,1,0,0,0,0,0,0,0,0,135,339
10,Assam,Golaghat,66,19,3,24,43,30,13,12,0,28,81,267,11,256,38,13,22,3,18,163,0,18,0,12,0,167,997
11,Assam,Gopalpara,37,6,0,20,41,12,29,27,0,31,72,96,0,96,106,14,5,0,11,34,0,4,0,55,0,193,752
12,Assam,Guwahati City,47,21,2,37,186,177,9,52,3,135,480,1091,189,902,180,76,101,10,3,512,3,82,0,42,0,972,4035
13,Assam,Hailakandi,12,21,0,22,35,35,0,14,0,11,110,154,0,154,145,4,11,0,35,114,3,37,0,21,0,194,943
14,Assam,Jorhat,55,22,2,27,36,30,6,5,2,20,68,243,35,208,56,23,15,2,25,113,0,21,0,32,0,386,1153
15,Assam,Kamrup,67,16,3,15,46,36,10,35,2,74,396,803,34,769,157,4,61,4,4,354,1,19,0,20,0,367,2448
16,Assam,Karbi Anglong,42,10,3,15,33,15,18,34,0,35,55,136,19,117,34,6,7,0,8,99,2,7,0,8,0,193,727
17,Assam,Karimaganj,42,14,0,28,35,32,3,18,0,2,83,134,5,129,358,5,20,0,16,151,0,7,0,77,0,163,1151
18,Assam,Kokrajhar,96,18,6,15,47,12,35,22,0,33,100,115,0,115,16,4,10,0,11,139,1,16,0,19,0,216,884
19,Assam,Lakhimpur,39,34,0,43,62,62,0,23,0,49,118,226,0,226,72,17,44,0,22,249,0,36,1,7,0,510,1552
20,Assam,Morigaon,15,4,2,12,20,20,0,21,0,10,36,91,0,91,104,6,16,2,15,37,0,12,0,10,0,263,676
21,Assam,N.C. Hills,25,9,1,4,8,2,6,6,0,14,25,37,9,28,10,0,4,1,6,8,0,4,0,1,0,69,232
22,Assam,Nagaon,83,33,3,42,148,139,9,84,2,54,308,469,101,368,478,80,39,3,49,413,4,109,11,22,0,777,3211
23,Assam,Nalbari,80,27,0,16,51,23,28,37,2,32,89,162,7,155,58,11,13,2,16,177,0,15,0,13,0,236,1037
24,Assam,R.P.O,5,0,0,0,1,1,0,6,0,1,2,15,0,15,19,0,0,0,0,0,0,0,0,0,0,17,66
25,Assam,Sibsagar,72,20,0,35,63,63,0,16,0,37,85,422,4,418,61,26,26,4,19,137,2,34,0,36,0,545,1640
26,Assam,Sonitpur,102,19,3,70,93,81,12,52,0,40,219,422,8,414,116,40,41,3,23,339,3,43,0,33,0,443,2104
27,Assam,Tinsukia,128,5,38,26,49,49,0,38,0,58,115,475,0,475,32,28,18,0,2,208,1,16,0,22,0,301,1560
28,Assam,Total,1517,421,74,703,1440,1149,291,783,20,907,3527,7329,454,6875,3663,486,640,50,443,4616,40,720,21,843,0,9049,37292
1,Bihar,Araria,64,18,3,36,37,29,8,25,1,26,164,136,0,136,557,17,16,0,0,19,21,0,0,0,0,1162,2302
2,Bihar,Aurangabad,68,1,5,18,27,5,22,52,1,30,154,161,8,153,250,20,34,0,0,0,31,0,0,0,0,785,1637
3,Bihar,Bagaha,45,16,1,10,86,20,66,8,2,4,34,56,1,55,127,5,8,0,0,16,3,0,0,9,0,628,1058
4,Bihar,Banka,82,3,4,20,23,0,23,40,3,42,61,98,0,98,276,12,4,0,0,0,13,0,0,31,0,728,1440
5,Bihar,Begusarai,109,110,10,13,54,14,40,8,3,24,46,245,35,210,142,24,6,0,9,18,25,2,0,11,0,1713,2572
6,Bihar,Bettiah,83,249,11,29,97,33,64,35,7,55,134,298,23,275,319,58,34,3,23,276,14,56,0,34,0,565,2380
7,Bihar,Bhabhua,50,45,3,9,30,8,22,52,4,26,92,193,2,191,172,17,18,1,12,188,11,4,0,18,0,464,1409
8,Bihar,Bhagalpur,123,47,8,18,46,36,10,14,2,59,142,243,3,240,185,14,9,0,3,64,11,5,2,14,0,1174,2183
9,Bihar,Bhojpur,126,64,0,21,33,4,29,44,0,59,112,240,8,232,225,0,28,7,0,435,28,0,8,0,0,1459,2889
10,Bihar,Bokaro,65,90,5,34,39,34,5,48,4,73,155,651,139,512,189,73,17,3,10,273,12,40,5,26,0,563,2375
11,Bihar,Buxar,63,23,39,11,17,8,9,55,2,23,66,170,11,159,115,30,34,0,14,36,22,1,12,19,0,530,1282
12,Bihar,Chaibasa,170,24,63,51,21,12,9,6,5,20,39,139,11,128,29,15,10,0,0,0,2,0,0,0,0,637,1231
13,Bihar,Chatra,41,10,5,7,7,4,3,24,0,16,16,42,16,26,50,1,13,0,0,4,5,0,0,11,0,229,481
14,Bihar,Darbhanga,51,11,4,30,50,27,23,28,8,44,114,213,31,182,216,60,26,0,16,0,25,11,0,43,0,1904,2854
15,Bihar,Deoghar,56,51,6,33,12,0,12,21,1,16,116,149,8,141,190,13,21,2,13,161,11,9,8,43,0,521,1453
16,Bihar,Dhanbad,70,32,14,47,60,46,14,72,8,58,284,544,39,505,157,44,119,0,8,426,21,21,0,18,0,1517,3520
17,Bihar,Dhanbad Rly.,11,1,1,1,5,3,2,8,2,5,11,172,4,168,7,0,3,0,0,0,2,0,0,0,0,74,303
18,Bihar,Dumka,92,95,7,47,27,27,0,27,0,20,92,202,5,197,151,11,21,4,0,137,24,65,0,69,0,596,1687
19,Bihar,Garhwa,41,2,2,10,1,0,1,22,0,20,24,59,0,59,81,0,8,0,0,0,4,12,0,22,0,430,738
20,Bihar,Gaya,154,58,8,31,34,15,19,91,6,78,164,318,29,289,321,56,87,0,36,0,16,8,0,4,0,1894,3364
21,Bihar,Giridih,63,69,4,66,24,20,4,50,0,28,92,187,3,184,199,8,26,0,14,0,38,0,0,0,0,1269,2137
22,Bihar,Godda,45,0,0,23,25,0,25,18,0,10,63,61,7,54,144,6,25,0,9,0,7,0,0,0,0,638,1074
23,Bihar,Gopalganj,92,68,24,15,38,8,30,22,0,53,104,157,7,150,202,8,59,0,2,102,18,3,0,57,0,187,1211
24,Bihar,Gumla,120,60,3,60,20,16,4,21,1,32,41,60,2,58,40,13,8,0,0,0,1,18,0,8,0,483,989
25,Bihar,Hazaribagh,82,44,8,43,35,27,8,59,5,55,156,331,34,297,295,14,80,2,18,313,40,15,0,42,0,819,2456
26,Bihar,Jamalpur Rly.,14,8,0,1,2,1,1,4,1,7,3,161,0,161,2,0,7,0,0,0,1,3,0,1,0,54,269
27,Bihar,Jamshedpur,80,56,7,47,33,27,6,17,2,40,162,461,44,417,88,65,70,2,1,0,5,0,0,31,0,2537,3704
28,Bihar,Jamshedpur Rly.,3,0,0,1,1,0,1,2,0,0,5,88,8,80,3,0,3,0,0,0,0,0,0,0,0,55,161
29,Bihar,Jamui,54,8,0,13,28,0,28,29,3,17,20,66,5,61,224,3,10,1,0,9,13,0,0,23,0,533,1054
30,Bihar,Jehanabad,81,32,28,8,41,3,38,38,1,34,61,124,0,124,235,0,35,0,0,0,32,0,0,0,0,1184,1934
31,Bihar,Katihar,76,85,7,71,76,47,29,39,0,45,80,190,11,179,260,23,81,0,16,122,20,11,0,31,0,992,2225
32,Bihar,Katihar Rly.,16,0,0,1,1,1,0,11,1,17,10,160,0,160,14,0,9,0,0,0,0,0,0,0,0,99,339
33,Bihar,Khagaria,79,9,5,12,52,3,49,6,5,27,23,116,2,114,152,0,22,0,0,0,8,0,0,1,0,574,1091
34,Bihar,Kishanganj,32,1,3,34,43,36,7,18,0,7,63,47,17,30,122,5,16,0,4,1,1,2,0,76,0,450,925
35,Bihar,Kodarma,32,10,3,12,15,7,8,27,0,12,15,86,5,81,57,1,17,0,5,139,12,4,0,6,0,130,583
36,Bihar,Lakhisaraj,64,21,1,3,35,10,25,10,4,19,35,121,2,119,125,3,15,0,7,4,9,3,0,5,0,329,813
37,Bihar,Loharadagga,21,19,1,15,14,6,8,11,0,13,30,39,1,38,25,6,5,0,4,15,0,7,2,3,0,122,352
38,Bihar,Medhepura,46,42,3,8,47,14,33,15,10,32,20,53,8,45,148,35,35,0,10,15,5,0,0,0,0,769,1293
39,Bihar,Madhubani,53,116,123,28,43,23,20,22,24,14,104,200,5,195,260,41,27,0,41,512,11,0,0,52,0,1250,2921
40,Bihar,Motihari,111,134,12,19,92,38,54,42,5,66,152,306,56,250,345,40,45,10,14,647,32,28,0,41,0,1584,3725
41,Bihar,Munger,75,68,6,15,41,3,38,13,1,33,66,169,4,165,219,5,14,0,2,141,13,6,0,7,0,1022,1916
42,Bihar,Muzaffarpur,131,134,64,30,101,53,48,72,4,111,114,396,73,323,276,48,9,0,22,81,53,18,0,73,0,2529,4266
43,Bihar,Muzaffarpur Rly.,23,2,0,0,4,0,4,4,2,15,8,279,13,266,12,2,7,0,0,0,0,0,0,0,0,111,469
44,Bihar,Nalanda,190,176,16,17,66,8,58,36,5,58,94,235,12,223,214,49,12,0,0,61,60,0,0,0,0,2759,4048
45,Bihar,Naugachia,55,43,0,4,29,8,21,16,2,18,22,44,1,43,78,3,8,0,1,65,4,0,0,3,0,247,642
46,Bihar,Nawadah,65,50,5,18,35,7,28,26,1,22,29,117,1,116,196,25,41,0,0,40,19,0,0,31,0,903,1623
47,Bihar,Pakur,37,51,1,24,9,9,0,17,0,4,13,56,0,56,43,6,4,1,0,31,0,6,0,0,0,195,498
48,Bihar,Palamau,129,23,0,20,41,16,25,57,3,38,72,105,2,103,297,19,15,1,27,21,14,6,1,49,0,811,1749
49,Bihar,Patna,467,532,38,25,193,17,176,168,18,382,467,1807,360,1447,380,193,109,4,42,319,63,31,1,101,0,3416,8756
50,Bihar,Patna Rly.,11,17,12,6,1,1,0,9,1,12,6,414,9,405,12,5,12,0,0,0,1,8,0,0,0,126,653
51,Bihar,Purnea,109,114,9,60,92,21,71,58,5,83,74,222,45,177,419,16,20,0,29,31,15,5,0,16,0,1118,2495
52,Bihar,Ranchi,211,140,49,66,49,28,21,67,9,114,214,656,56,600,144,166,47,0,10,90,14,77,0,59,0,1322,3504
53,Bihar,Rohtas,110,21,4,20,60,18,42,53,3,75,182,275,21,254,384,40,36,0,14,337,34,12,0,64,0,1035,2759
54,Bihar,Saharsa,38,122,5,15,23,6,17,10,2,18,29,79,4,75,169,28,28,0,18,89,4,14,0,0,0,658,1349
55,Bihar,Sahebganj,48,52,7,23,9,2,7,20,0,15,21,161,1,160,78,15,13,0,5,21,0,8,9,30,0,338,873
56,Bihar,Samastipur,136,161,20,29,90,8,82,48,10,97,108,334,34,300,264,40,44,0,62,287,17,0,0,0,0,1367,3114
57,Bihar,Saran,149,146,33,28,100,25,75,172,1,129,109,224,27,197,300,29,66,0,16,367,60,8,0,64,0,1678,3679
58,Bihar,Sheikhpura,15,0,0,1,7,1,6,9,0,4,9,55,0,55,92,0,0,0,0,0,6,0,0,9,0,548,755
59,Bihar,Sheohar,20,23,2,5,17,8,9,6,0,4,14,8,0,8,19,2,8,0,0,0,14,4,5,14,0,192,357
60,Bihar,Sitamarhi,68,22,9,25,45,32,13,38,1,25,74,201,16,185,259,7,36,0,11,68,12,7,2,32,0,1146,2088
61,Bihar,Siwan,134,149,16,8,84,11,73,73,9,129,113,147,44,103,217,11,25,0,25,158,21,0,0,32,0,726,2077
62,Bihar,Supaul,44,4,0,20,42,16,26,19,0,29,81,143,10,133,145,21,4,32,10,3,4,9,0,19,0,1073,1702
63,Bihar,Vaishali,123,36,15,32,90,29,61,21,2,50,82,289,3,286,190,22,60,10,3,0,39,0,0,71,0,1727,2862
64,Bihar,Total,5116,3818,742,1447,2599,939,1660,2153,200,2691,5260,13759,1326,12433,11106,1493,1729,83,586,6142,1021,547,55,1423,0,56678,118648
1,Goa,North Goa,19,17,3,9,7,4,3,3,0,31,267,404,118,286,41,18,47,3,18,129,1,11,1,10,0,372,1411
2,Goa,South Goa,19,17,3,9,4,3,1,2,0,18,160,351,91,260,26,12,28,0,10,88,1,15,6,5,0,404,1178
3,Goa,Total,38,34,6,18,11,7,4,5,0,49,427,755,209,546,67,30,75,3,28,217,2,26,7,15,0,776,2589
1,Gujarat,Ahmedabad,105,60,3,14,200,118,82,20,1,224,812,3870,1407,2463,200,184,287,14,9,1495,6,30,29,524,0,7565,15652
2,Gujarat,Ahmedabad Rural,47,24,1,12,33,25,8,16,3,37,119,238,42,196,77,39,9,3,44,623,1,27,1,86,0,1117,2557
3,Gujarat,Ahwa- Dang,6,3,0,1,0,0,0,2,0,1,8,11,0,11,10,0,2,0,4,25,1,6,0,2,0,75,157
4,Gujarat,Amreli,41,31,0,4,32,27,5,5,0,29,156,248,39,209,47,14,14,1,33,456,0,37,0,83,0,1639,2870
5,Gujarat,Anand,52,12,1,6,64,56,8,8,0,23,189,473,90,383,38,163,87,3,29,644,0,38,0,194,0,2259,4283
6,Gujarat,Banaskantha,52,99,0,32,68,58,10,22,0,132,272,595,54,541,164,68,154,9,28,1922,3,85,3,248,0,1655,5611
7,Gujarat,Bharuch,55,16,0,9,43,37,6,10,0,26,182,434,101,333,39,108,130,3,57,506,0,30,8,97,0,1911,3664
8,Gujarat,Bhavnagar,55,36,0,11,58,54,4,15,0,76,251,670,212,458,170,87,148,8,56,94,2,69,18,137,0,4557,6518
9,Gujarat,Dahod,55,17,2,5,22,22,0,19,2,52,93,149,28,121,38,16,4,0,69,601,0,25,7,11,0,922,2109
10,Gujarat,Gandhinagar,16,6,0,4,15,14,1,3,0,45,166,509,140,369,44,36,27,2,6,339,11,24,4,96,0,1729,3082
11,Gujarat,Jamnagar,45,24,0,19,37,33,4,10,0,42,197,430,125,305,48,79,56,3,11,374,2,36,10,161,0,3479,5063
12,Gujarat,Junagadh,45,48,0,10,57,44,13,7,0,42,266,520,115,405,95,95,149,4,21,1015,13,41,12,342,0,3241,6023
13,Gujarat,Kheda North,47,8,1,12,56,56,0,25,0,23,168,437,81,356,78,67,81,0,24,598,0,63,0,143,0,2791,4622
14,Gujarat,Kutch,47,12,0,19,39,25,14,14,0,25,262,370,89,281,80,36,75,4,21,461,0,20,7,180,0,2252,3924
15,Gujarat,Meshana,42,21,0,11,83,80,3,11,0,53,193,761,89,672,156,105,160,1,28,673,1,78,2,207,0,3865,6451
16,Gujarat,Narmada,29,2,0,18,15,14,1,2,0,13,51,105,8,97,18,7,13,0,12,223,0,31,5,23,0,608,1175
17,Gujarat,Navsari,17,8,1,7,8,7,1,4,0,13,102,168,54,114,24,29,26,2,7,160,0,8,0,26,0,985,1595
18,Gujarat,Panchmahals,53,17,0,4,37,36,1,13,0,20,137,313,52,261,56,56,26,3,30,580,0,67,5,63,0,2292,3772
19,Gujarat,Patan,24,18,0,11,24,17,7,7,0,19,87,209,27,182,59,34,33,0,6,383,0,23,0,89,0,1199,2225
20,Gujarat,Porbandar,12,9,0,5,16,12,4,0,0,6,63,145,37,108,7,43,7,0,9,134,0,13,0,72,0,958,1499
21,Gujarat,Rajkot Commr.,41,40,0,7,59,43,16,4,1,51,317,1033,410,623,79,54,45,2,14,450,4,20,30,166,0,2379,4796
22,Gujarat,Rajkot Rural,45,62,3,14,61,56,5,8,1,35,307,580,103,477,73,212,19,0,55,688,8,54,2,216,0,4025,6468
23,Gujarat,Sabarkantha,43,15,0,6,49,46,3,13,0,19,169,210,36,174,69,74,72,3,34,426,6,46,1,208,0,3175,4638
24,Gujarat,Surat Commr.,106,21,3,17,70,39,31,17,0,83,453,1576,775,801,81,75,143,2,12,500,28,20,4,121,0,1244,4576
25,Gujarat,Surat Rural,56,12,2,13,21,14,7,19,1,27,134,335,68,267,35,44,45,4,17,412,4,8,9,45,0,1833,3076
26,Gujarat,Surendranagar,32,29,1,23,39,32,7,5,0,27,133,274,42,232,59,54,37,0,13,637,3,64,1,51,0,2300,3782
27,Gujarat,Vadodara Commr.,37,17,1,10,61,53,8,11,0,92,426,1302,529,773,140,141,143,5,7,409,0,30,14,162,0,2788,5796
28,Gujarat,Vadodara Rural,90,13,0,17,42,41,1,20,0,16,49,281,29,252,41,54,64,0,13,685,1,66,0,71,0,2274,3797
29,Gujarat,Valsad,46,10,1,9,23,13,10,25,1,39,270,420,94,326,81,37,40,2,24,373,0,15,0,58,0,1810,3284
30,Gujarat,W.Rly,12,5,0,1,4,2,2,5,0,56,29,1146,0,1146,5,18,4,2,0,68,0,9,0,4,0,353,1721
31,Gujarat,Total,1353,695,20,331,1336,1074,262,340,10,1346,6061,17812,4876,12936,2111,2029,2100,80,693,15954,94,1083,172,3886,0,672800,124786
1,Haryana,Ambala,29,7,11,13,31,21,10,1,1,6,249,265,125,140,0,23,65,0,8,284,16,21,0,109,0,926,2065
2,Haryana,Bhiwani,39,14,10,16,20,11,9,3,3,22,154,238,132,106,140,6,46,1,22,305,30,33,4,37,0,796,1939
3,Haryana,Faridabad,104,56,18,40,111,84,27,15,16,48,623,1113,606,507,237,94,274,8,28,457,32,93,157,289,0,2606,6419
4,Haryana,Fatehabad,21,18,1,10,12,10,2,1,2,7,114,111,54,57,41,10,30,3,4,315,14,22,0,14,0,192,942
5,Haryana,GRP,16,4,4,1,6,4,2,1,1,6,1,212,20,192,6,3,6,1,0,14,4,2,35,0,0,443,766
6,Haryana,Gurgaon,79,51,11,46,55,30,25,18,12,55,398,945,446,499,71,44,115,2,23,342,22,35,0,106,0,1645,4075
7,Haryana,Hissar,46,38,10,16,24,16,8,4,8,19,173,423,205,218,36,32,113,4,9,796,23,55,0,104,0,685,2618
8,Haryana,Jhajjar,45,23,4,16,22,14,8,11,11,16,101,184,80,104,44,10,28,1,1,172,15,24,11,21,0,439,1199
9,Haryana,Jind,31,24,1,15,21,11,10,3,4,30,174,248,92,156,87,48,59,2,8,190,16,22,35,54,0,669,1741
10,Haryana,Kaithal,32,16,6,9,16,2,14,2,1,8,97,191,76,115,0,32,44,2,8,216,4,17,0,93,0,391,1185
11,Haryana,Karnal,55,33,7,41,21,11,10,7,11,26,207,455,168,287,51,27,79,6,19,768,12,29,1,100,0,422,2377
12,Haryana,Kurukshetra,21,20,1,19,20,16,4,7,0,19,144,337,113,224,22,9,76,5,19,156,12,32,18,64,0,776,1777
13,Haryana,Mahendragarh,32,6,1,7,10,6,4,3,1,4,59,91,22,69,59,11,39,0,14,158,6,15,0,8,0,590,1114
14,Haryana,Panchkula,8,3,0,10,12,10,2,1,0,11,91,207,76,131,0,12,50,3,5,26,1,16,0,56,0,547,1059
15,Haryana,Panipat,46,36,5,22,33,19,14,4,18,35,219,369,183,186,25,12,50,2,5,171,14,13,16,67,0,656,1818
16,Haryana,Rewari,28,10,3,13,18,13,5,8,0,14,163,244,53,191,54,14,18,0,11,180,9,30,0,17,0,652,1486
17,Haryana,Rohtak,66,47,1,17,25,16,9,8,5,36,211,335,178,157,42,8,55,2,7,221,15,21,20,41,0,725,1908
18,Haryana,Sirsa,44,27,1,27,18,9,9,1,0,13,153,228,89,139,49,13,106,1,8,561,11,32,0,106,0,374,1773
19,Haryana,Sonipat,69,38,7,15,40,23,17,12,4,53,203,341,158,183,4,14,42,0,13,332,22,23,3,41,0,822,2098
20,Haryana,Yamunanagar,28,16,2,19,27,24,3,2,0,10,183,216,73,143,2,11,44,4,7,215,10,18,0,42,0,498,1354
21,Haryana,Total,839,487,104,372,542,350,192,112,98,438,3717,6753,2949,3804,970,433,1339,47,219,5879,258,553,300,1369,0,14854,39713
1,Himachal Pradesh,Bilaspur,5,7,1,2,5,2,3,0,0,1,32,25,6,19,32,10,5,0,18,123,1,29,3,19,0,413,731
2,Himachal Pradesh,Chamba,5,2,2,12,14,12,2,0,0,0,103,36,5,31,12,4,5,0,26,67,1,29,3,13,0,262,596
3,Himachal Pradesh,G.R.P.,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,2,0,0,0,0,0,1,6
