SI.No.,States/UT/City,Arms Act - I,Arms Act - R,Narcotic Drugs and Psychotropic Substances Act - I,Narcotic Drugs and Psychotropic Substances Act - R,Gambling Act - I,Gambling Act - R,Excise Act - I,Excise Act - R,Prohibition Act - I,Prohibition Act - R,Explosives and Explosive Substances Act - I,Explosives and Explosive Substances Act - R,Immoral Traffic (Prevention) Act - I,Immoral Traffic (Prevention) Act - R,Indian Railways Act - I,Indian Railways Act - R,Registration of Foreigners Act - I,Registration of Foreigners Act - R,Protection of Civil Rights Act - I,Protection of Civil Rights Act - R,Indian Passport Act - I,Indian Passport Act - R,Essential Commodities Act - I,Essential Commodities Act - R,Terrorist & Disruptive Activites Act - I,Terrorist & Disruptive Activites Act - R,Antiquity & Art Treasure Act - I,Antiquity & Art Treasure Act - R,Dowry Prohibition Act - I,Dowry Prohibition Act - R,Child Marriage Restraint Act - I,Child Marriage Restraint Act - R,Indecent Representation of Women (P)Act - I,Indecent Representation of Women (P)Act - R,Copy Right Act - I,Copy Right Act - R,Sati Prevention Act - I,Sati Prevention Act - R,SC/ST (Prev. Of Atrocities ) Act - I,SC/ST (Prev. Of Atrocities ) Act - R,Forest Act - I,Forest Act - R,Other SLL Crimes - I,Other SLL Crimes - R,Total Cognizable Crimes Under SLL - I,Total Cognizable Crimes Under SLL - R
27,Chandigarh,9,1,19,2.2,66,7.6,324,37.2,0,0,8,0.9,7,0.8,0,0,4,0.5,0,0,0,0,4,0.5,0,0,0,0,0,0,0,0,0,0,2,0.2,0,0,0,0,0,0,63,7.2,506,58.2
28,D & N Haveli,2,1.1,0,0,0,0,2,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6.3,16,8.4
29,Daman & DIU,0,0,1,0.7,1,0.7,0,0,0,0,0,0,0,0,0,0,1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.4,5,3.6
30,Delhi,2628,19.3,676,5,865,6.4,6013,44.2,0,0,27,0.2,78,0.6,44,0.3,17,0.1,6,0,39,0.3,34,0.3,0,0,1,0,8,0.1,0,0,10,0.1,138,1,0,0,14,0.1,0,0,775,5.7,11373,83.6
31,Lakshadeep,0,0,0,0,0,0,0,0,2,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4,3,4.3
32,Pondicherry,5,0.5,3,0.3,8,0.7,18,1.7,0,0,0,0,50,4.6,0,0,1,0.1,10,0.1,0,0,15,1.4,0,0,0,0,6,0.6,0,0,0,0,5,0.5,0,0,2,0.2,6,0.6,2320,212.8,2449,224.7
Total (UTs),Total (UTs),2644,16.2,704,4.3,956,5.9,8658,53.1,114,0.7,37,0.2,140,0.9,44,0.3,23,0.1,16,0.1,39,0.2,53,0.3,0,0,1,0,14,0.1,1,0,10,0.1,145,0.9,0,0,16,0.1,6,0,3537,21.7,17158,105.1
Total (All-India),Total (All-India),60607,6.1,20132,2,116516,11.8,106662,10.8,547386,55.5,4399,0.4,9363,0.9,36099,3.7,1587,0.2,996,0.3,472,0,5639,0.6,0,0,16,0,3064,0.3,58,0,222,0,1980,0.2,0,0,14595,1.5,5139,0.5,2212169,224.2,3147101,319
33,Ahmedabad,26,0.6,27,0.7,1350,32.8,0,0,6801,165.1,11,0.3,7,0.2,0,0,0,0,11,0,0,0,27,0.7,0,0,0,0,0,0,2,0,0,0,28,0.7,0,0,20,0.5,0,0,5034,122.2,13344,323.9
34,Bangalore,13,0.2,38,0.7,132,2.4,616,11.2,8,0.1,3,0.1,292,5.3,0,0,23,0.4,1,0,40,0.7,80,1.5,0,0,1,0,266,4.8,0,0,0,0,24,0.4,0,0,84,1.5,69,1.3,814,14.8,2504,45.4
35,Bhopal,288,17.9,30,1.9,714,44.3,149,9.3,0,0,8,0.5,0,0,0,0,1,0.1,0,0,0,0,8,0.5,0,0,0,0,0,0,0,0,0,0,23,1.4,0,0,21,1.3,1,0.1,4,0.2,1247,77.5
36,Calcutta,184,1.4,161,1.3,438,3.4,1638,12.8,0,0,43,0.3,38,0.3,26,0.2,0,0,0,0,0,0,63,0.5,0,0,0,0,0,0,0,0,0,0,51,0.4,0,0,0,0,0,0,841166,6561.4,843808,6582
37,Chennai,3,0,124,1.9,2616,39.7,0,0,895,13.6,3,0,3349,50.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,55,0.8,0,0,0,0,4,0.1,0,0,2,0,0,0,52389,795,59441,902
38,Coimbatore,2,0.2,144,11.3,142,11.1,0,0,375,29.3,3,0.2,223,17.4,0,0,0,0,0,0,0,0,4,0.3,0,0,0,0,0,0,0,0,0,0,4,0.3,0,0,7,0.5,32,2.5,3503,273.7,4439,346.8
39,Delhi,2476,21.3,660,5.7,850,7.3,5346,46.1,0,0,24,0.2,76,0.7,44,0.4,15,0.1,6,0.1,39,0.3,33,0.3,0,0,1,0,8,0.1,0,0,10,0.1,136,1.2,0,0,12,0.1,0,0,761,6.6,10497,90.5
40,Hyderabad,90,1.3,26,0.4,10,0.1,32,0.5,680,10,3,0,9,0.1,0,0,0,0,0,0,40,0.6,0,0,0,0,0,0,2,0,0,0,0,0,24,0.4,0,0,56,0.4,0,0,54365,801.8,55307,815.7
41,Indore,1322,93.8,26,1.8,858,60.9,1258,89.2,0,0,19,1.3,5,0.4,0,0,0,0,0,0,0,0,5,0.4,0,0,0,0,2,0.1,0,0,0,0,11,0.8,0,0,4,0.3,0,0,114,8.1,3624,257
42,Jaipur,146,6.9,62,2.9,258,12.2,553,26.1,0,0,5,0.2,24,1.1,0,0,1,0,0,0,0,0,20,0.9,0,0,0,0,0,0,0,0,0,0,34,1.6,0,0,77,3.6,10,0.5,296,14,1486,70.1
43,Kanpur,1669,68.7,983,40.5,298,12.3,808,33.3,0,0,107,4.4,1,0,0,0,0,0,0,0,2,0.1,26,1.1,0,0,1,0,21,0.9,0,0,0,0,14,0.6,0,0,77,3.2,54,2.2,24962,1027.2,29023,1194.4
44,Kochi,7,0.4,45,2.6,26,1.5,0,0,90,5.2,1,0.1,5,0.3,0,0,1,0.1,1,0.1,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,10,0.6,0,0,1038,59.7,1226,70.5
45,Lucknow,772,30.4,263,10.4,149,5.9,307,12.1,0,0,18,0.7,6,0.2,0,0,0,0,0,0,0,0,10,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,2,24,0.9,13646,537.2,15247,600.3
46,Ludhiana,167,10.2,78,4.8,134,8.2,288,17.6,0,0,0,0,4,0.2,0,0,0,0,1,0.1,0,0,18,1.1,0,0,0,0,0,0,0,0,0,0,15,0.9,0,0,0,0,1,0.1,58,3.5,764,46.6
47,Madurai,9,0.7,171,13.6,397,31.5,1,0.1,3284,260.6,2,0.2,208,16.5,0,0,1,0.1,12,0,1,0.1,2,0.2,0,0,0,0,0,0,0,0,0,0,3,0.2,0,0,0,0,0,0,44871,3561.2,48962,3885.9
48,Mumbai,345,1.9,278,1.6,2155,12,0,0,2443,13.6,1,0,362,2,0,0,3,0,3,0,11,0,48,0.3,0,0,0,0,0,0,0,0,144,0.8,208,1.2,0,0,2,0,0,0,222344,1240.1,228347,1273.5
49,Nagpur,264,12.9,41,2,510,25,0,0,1959,96,2,0.1,3,0.1,0,0,0,0,1,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,18,0.9,0,0,5,0.2,0,0,717,35.1,3540,173.5
50,Patna,221,17.3,2,0.2,23,1.8,105,8.2,0,0,18,1.4,2,0.2,0,0,4,0.3,0,0,0,0,16,1.3,0,0,0,0,38,3,0,0,0,0,3,0.2,0,0,11,0.9,0,0,58,4.5,501,39.1
51,Pune,23,0.7,10,0.3,187,5.4,0,0,6494,187.7,0,0,3,0.1,1,0,69,2,0,0,0,0,3,0.1,0,0,0,0,0,0,0,0,0,0,52,1.5,0,0,2,0.1,0,0,3834,110.8,10678,308.6
52,Surat,29,1.3,12,0.5,483,20.8,0,0,11074,477.3,0,0,29,1.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,41,1.8,0,0,6,0.3,0,0,5632,242.8,17308,746
53,Vadodra,13,0.8,4,0.3,237,14.9,0,0,5350,336.5,2,0.1,1,0.1,0,0,0,0,0,0,0,0,6,0.4,0,0,0,0,0,0,0,0,0,0,10,0.6,0,0,14,0.9,0,0,1367,86.8,7004,440.5
54,Varanasi,310,24.2,305,23.8,36,2.8,242,18.9,0,0,22,1.7,4,0.3,0,0,0,0,0,0,0,0,35,2.7,0,0,0,0,14,1.1,0,0,0,0,6,0.5,0,0,27,2.1,12,0.9,6422,501.7,7435,580.9
55,Vishakhapatnam,1,0.1,4,0.2,673,39.8,50,3,35,2.1,0,0,32,1.9,0,0,0,0,32,1.9,0,0,0,0,0,0,0,0,9,0.5,0,0,0,0,1,0.1,0,0,3,0.2,1,0.1,72026,4261.9,72867,4311.7
Total Cities,Total Cities,8380,8.8,3494,3.7,12676,13.3,11393,12,39488,41.5,295,0.3,4683,4.9,71,0.1,119,0.1,69,0.1,133,0.1,425,0.4,0,0,3,0,415,0.4,3,0,154,0.2,711,0.7,0,0,462,0.5,204,0.2,1355421,1426.2,1438599,1513.7
