SI.No.,States/UT/City,Number of Victims - UP To 10 Years - Male,Number of Victims - UP To 10 Years - Female,Number of Victims - UP To 10 Years - Total,Number of Victims - 11-15 Years - Male,Number of Victims - 11-15 Years - Female,Number of Victims - 11-15 Years - Total,Number of Victims - 16-18 Years - Male,Number of Victims - 16-18 Years - Female,Number of Victims - 16-18 Years - Total,Number of Victims - 19-30 Years - Male,Number of Victims - 19-30 Years - Female,Number of Victims - 19-30 Years - Total,Number of Victims - 31-50 Years - Male,Number of Victims - 31-50 Years - Female,Number of Victims - 31-50 Years - Total,Number of Victims - Above 50 Years - Male,Number of Victims - Above 50 Years - Female,Number of Victims - Above 50 Years - Total,Number of Victims - Total of All Age Groups - Male,Number of Victims - Total of All Age Groups - Female,Number of Victims - Total of All Age Groups - Total
Total (All-India),Total (All-India),28,20,48,62,5,67,287,50,337,1509,270,1779,1449,188,1637,250,30,280,3585,563,4148
33,Ahmedabad,0,0,0,0,0,0,0,0,0,3,0,3,1,0,1,0,0,0,4,0,4
34,Bangalore,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,1,2
35,Bhopal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Calcutta,0,0,0,0,0,0,0,0,0,8,0,8,3,0,3,0,0,0,11,0,11
37,Chennai,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
38,Coimbatore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Delhi,4,5,9,4,0,4,3,0,3,54,1,55,41,5,46,7,2,9,113,13,126
40,Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
41,Indore,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2
42,Jaipur,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
43,Kanpur,1,0,1,0,2,2,0,4,4,16,1,17,11,5,16,2,1,3,30,13,43
44,Kochi,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,2,1,3
45,Lucknow,1,0,1,0,0,0,0,1,1,9,1,10,8,1,9,0,0,0,18,3,21
46,Ludhiana,1,0,1,1,0,1,1,0,1,3,2,5,0,0,0,0,0,0,6,2,8
47,Madurai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Mumbai,0,0,0,0,0,0,1,0,1,0,1,1,2,0,2,0,0,0,3,1,4
49,Nagpur,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
50,Patna,0,0,0,0,0,0,0,0,0,9,1,10,7,1,8,3,0,3,19,2,21
51,Pune,1,0,1,0,0,0,1,0,1,1,0,1,3,0,3,0,0,0,6,0,6
52,Surat,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,3,0,3
53,Vadodra,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
54,Varanasi,0,0,0,0,0,0,0,0,0,2,0,2,5,0,5,1,0,1,8,0,8
55,Vishakhapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Cities,Total Cities,8,6,14,7,2,9,6,5,11,110,8,118,87,12,99,13,4,17,231,37,268
