SI.No.,States/UT/City,Residential Permises - Number,Residential Permises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Bank - Number,Bank - Value,Commercial Establishments - Number,Commercial Establishments - Value,Others place - Number,Others Place - Value,Total - Number,Total - Value
42,Jaipur,3,0.2,2,0,0,0,0,0,3,0.7,18,30.8,35,10.1,61,41.9
43,Kanpur,17,2.9,88,24.7,0,0,0,0,0,0,0,0,20,1.8,125,29.4
44,Kochi,6,0.6,0,0,0,0,0,0,1,2.3,0,0,20,8.5,27,11.4
45,Lucknow,13,2.7,99,16.3,0,0,0,0,0,0,1,0.1,14,2.4,127,21.4
46,Ludhiana,4,1.6,0,0,0,0,0,0,0,0,0,0,0,0,4,1.6
47,Madurai,2,2,0,0,0,0,0,0,0,0,1,0.1,26,6.7,29,8.8
48,Mumbai,83,186.9,56,71.7,1,0.1,0,0,1,7.4,61,149,347,501,549,916
49,Nagpur,9,0.7,0,0,0,0,0,0,0,0,37,2.9,154,142.3,200,145.9
50,Patna,52,6.5,151,31.5,0,0,0,0,0,0,39,5.1,54,4.9,296,48
51,Pune,19,6.8,4,0.7,0,0,0,0,1,0.8,4,0.4,61,21.3,89,30
52,Surat,28,11.9,0,0,0,0,0,0,1,0,9,4.2,45,11,83,27.1
53,Vadodra,19,2.1,2,2.6,0,0,0,0,0,0,0,0,71,5.3,92,10
54,Varanasi,4,3.5,38,10.6,0,0,0,0,0,0,1,0.2,9,0.4,52,14.7
55,Vishakhapatnam,18,7.4,0,0,0,0,0,0,0,0,0,0,0,0,18,7.4
