SI.No.,States/UT/City,Murder - 1998,Murder - 1999,Murder - Percentage Variation,Attempt to Commit Murder - 1998,Attempt to Commit Murder - 1999,Attempt to Commit Murder - Percentage Variation,C.H.Not Amounting to Murder - 1998,C.H.Not Amounting to Murder - 1999,C.H.Not Amounting to Murder - Percentage Variation,Rape - 1998,Rape - 1999,Rape - Percentage Variation,Kidnaping & Abduction Total - 1998,Kidnaping & Abduction Total - 1999,Kidnaping & Abduction Total - Percentage Variation,Kidnaping & Abduction of Women & Girls - 1998,Kidnaping & Abduction of Women & Girls - 1999,Kidnaping & Abduction of Women & Girls - Percentage Variation,Kidnaping & Abduction of Others - 1998,Kidnaping & Abduction of Others - 1999,Kidnaping & Abduction of Others - Percentage Variation,Dacoity - 1998,Dacoity - 1999,Dacoity - Percentage Variation,Preperation & Assembly for Dacoity - 1998,Preperation & Assembly for Dacoity - 1999,Preperation & Assembly for Dacoity - Percentage Variation,Robbery - 1998,Robbery - 1999,Robbery - Percentage Variation,Burglary - 1998,Burglary - 1999,Burglary - Percentage Variation,Theft Total - 1998,Theft Total - 1999,Theft Total - Percentage Variation,Theft Auto Theft - 1998,Theft Auto Theft - 1999,Theft Auto Theft - Percentage Variation,Theft Other Theft - 1998,Theft Other Theft - 1999,Theft Other Theft - Percentage Variation,Riots - 1998,Riots - 1999,Riots - Percentage Variation,Criminal Breach of Trust - 1998,Criminal Breach of Trust - 1999,Criminal Breach of Trust - Percentage Variation,Cheating - 1998,Cheating - 1999,Cheating - Percentage Variation,Counterfeiting - 1998,Counterfeiting - 1999,Counterfeiting - Percentage Variation,Arson - 1998,Arson - 1999,Arson - Percentage Variation,Hurt - 1998,Hurt - 1999,Hurt - Percentage Variation,Dowry Deaths - 1998,Dowry Deaths - 1999,Dowry Deaths - Percentage Variation,Molestation - 1998,Molestation - 1999,Molestation - Percentage Variation,Sexual Harassment - 1998,Sexual Harassment - 1999,Sexual Harassment - Percentage Variation,Cruelty By Husband and Relatives - 1998,Cruelty By Husband and Relatives - 1999,Cruelty By Husband and Relatives - Percentage Variation,Importation of Girls - 1998,Importation of Girls - 1999,Importation of Girls - Percentage Variation,Other IPC Crimes - 1998,Other IPC Crimes - 1999,Other IPC Crimes - Percentage Variation,Total Cognizable Crimes Under IPC - 1998,Total Cognizable Crimes Under IPC - 1999,Total Cognizable Crimes Under IPC - Percentage Variation
11,Kerala,443,484,9.3,466,498,6.9,57,91,59.6,589,423,-28.2,197,188,-4.6,130,123,-5.4,67,65,-3,101,112,10.9,15,5,-66.7,303,370,22.1,4789,4505,-5.9,3923,4291,9.4,NR,1354,0,NR,2937,0,6147,6610,7.5,398,440,10.6,2538,2666,5,122,143,17.2,421,390,-7.4,18852,18662,-1,21,31,47.6,1773,1643,-7.3,96,50,-47.9,2125,2488,17.1,NR,0,0,49644,50358,1.4,93020,94448,1.5
12,Madhya Pradesh,3266,3225,-1.3,2922,3082,5.5,177,189,6.8,3354,3561,6.2,1107,1203,8.7,925,942,1.8,182,261,43.4,228,177,-22.4,92,154,67.4,1666,1698,1.9,18717,18178,-2.9,24977,24254,-2.9,NR,4333,0,NR,19921,0,3603,3358,-6.8,641,761,18.7,1797,1927,7.2,28,44,57.1,1183,1145,-3.2,27591,30530,10.7,598,584,-2.3,7310,8054,10.2,741,693,-6.5,2765,3012,8.9,NR,0,0,98781,100135,1.4,201544,205964,2.2
13,Maharashtra,3003,3024,0.7,1323,1363,3,134,91,-32.1,1154,1320,14.4,1132,1125,-0.6,772,727,-5.8,360,398,10.6,596,513,-13.9,164,257,56.7,2724,2554,-6.2,16376,15735,-3.9,46227,43846,-5.2,NR,7986,0,NR,35860,0,5412,5246,-3.1,1743,1660,-4.8,3696,3773,2.1,154,159,3.2,1126,1234,9.6,29849,29016,-2.8,420,395,-6,2923,2766,-5.4,765,825,7.8,7728,7026,-9.1,NR,0,0,53639,55508,3.5,180288,177436,-1.6
14,Manipur,208,189,-9.1,123,88,-28.5,6,7,16.7,13,12,-7.7,122,73,-40.2,60,38,-36.7,62,35,-43.5,20,9,-55,0,3,0,19,26,36.8,106,78,-26.4,279,281,0.7,NR,78,0,NR,203,0,67,68,1.5,13,21,61.5,42,63,50,15,8,-46.7,131,58,-55.7,225,195,-13.3,0,0,0,13,13,0,0,0,0,0,2,0,NR,0,0,1164,1275,9.5,2566,2469,-3.8
15,Meghalaya,139,134,-3.6,19,28,47.4,2,6,200,42,27,-35.5,26,37,42.3,16,10,-37.5,10,27,170,113,105,-7.1,4,2,-50,124,100,-19.4,163,155,-4.9,470,437,-7,NR,9,0,NR,428,0,12,16,33.3,14,20,42.9,32,37,15.6,1,2,100,19,31,63.2,138,132,-4.3,1,0,-100,12,17,41.7,0,0,0,0,0,0,NR,0,0,497,432,-13.1,1828,1718,-6
16,Mizoram,41,34,-17.1,17,21,23.5,3,3,0,84,71,-15.5,10,3,-70,4,0,-100,6,3,-50,18,6,-66.7,0,0,0,22,10,-54.5,479,474,-1,1058,937,-11.4,NR,43,0,NR,894,0,0,5,0,39,35,-10.3,95,80,-15.8,13,18,38.5,31,27,-12.9,87,82,-5.7,0,0,0,53,74,39.6,0,0,0,0,0,0,NR,0,0,481,340,-29.3,2531,2220,-12.3
17,Nagaland,84,128,52.4,23,32,39.1,6,0,-100,13,11,-15.4,41,48,17.1,14,5,-64.3,27,43,59.3,23,29,26.1,0,0,0,163,125,-23.3,171,145,-15.2,285,253,-11.2,NR,83,0,NR,170,0,10,14,40,19,10,-47.4,46,36,-21.7,4,4,0,3,10,233.3,32,32,0,0,0,0,4,3,-25,0,0,0,0,0,0,NR,0,0,366,369,0.8,1293,1249,-3.4
18,Orissa,936,1019,8.9,1004,1299,29.4,49,65,32.7,799,820,2.6,547,482,-11.9,484,431,-11,63,51,-19,290,348,20,20,14,-30,1077,1195,11,4099,4348,6.1,7204,7092,-1.6,NR,674,0,NR,6418,0,1695,1443,-14.9,327,288,-11.9,563,554,-1.6,3,4,33.3,408,377,-7.6,5213,4748,-8.9,298,234,-21.5,1499,1494,-0.3,165,158,-4.2,993,1208,21.7,NR,0,0,23874,23203,-2.8,51063,50393,-1.3
19,Punjab,756,741,-2,403,528,31,111,108,-2.7,219,282,28.8,354,423,19.5,222,280,26.1,132,143,8.3,15,18,20,54,64,18.5,61,58,-4.9,1348,1350,0.1,1849,2206,19.3,NR,949,0,NR,1257,0,5,3,-40,307,314,2.3,1169,1683,44,20,24,20,54,53,-1.9,3185,3438,7.9,219,193,-11.9,150,198,32,10,2,-80,397,562,41.6,NR,0,0,6236,8024,28.7,16922,20272,19.8
20,Rajasthan,1514,1520,0.4,2037,2024,-0.6,71,51,-28.7,1266,1198,-5.4,3066,3157,3,2499,2652,6.1,567,505,-10.9,140,109,-22.1,19,25,31.5,1354,1209,-10.7,9380,8971,-4.4,18044,17730,-1.7,NR,4075,0,NR,13655,0,21379,16598,-22.4,910,809,-11.1,6159,6612,7.4,256,87,-66,1189,1230,3.4,14670,14692,0.1,433,443,2.3,2908,3109,6.9,54,51,-5.6,4947,5425,9.7,NR,0,0,77667,83139,7,167463,168189,0.4
21,Sikkim,16,15,-6.3,9,4,-55.6,0,0,0,7,7,0,5,12,140,4,0,-100,1,12,1100,0,3,0,0,0,0,10,10,0,65,73,12.3,79,68,-13.9,NR,NR,0,NR,NR,0,32,153,378.1,14,7,-50,30,16,-46.7,5,0,-100,12,20,66.7,107,152,42.1,0,0,0,22,21,-4.5,2,0,-100,2,0,-100,NR,NR,0,119,215,80.7,536,776,44.8
22,Tamil Nadu,1974,1726,-12.6,2275,1992,-12.4,43,25,-41.9,362,430,18.8,1193,1178,-1.3,993,1000,0.7,200,178,-11,188,171,-9,71,38,-46.5,696,615,-11.6,6478,5856,-9.6,19017,17872,-6,NR,6588,0,NR,11284,0,6635,5428,-18.2,641,498,-22.3,1861,2258,21.3,175,150,-14.3,1517,1183,-22,25402,23349,-8.1,176,197,11.9,1779,1959,10.1,1230,1776,44.4,440,620,40.9,NR,0,0,77140,78388,1.6,149293,145709,-2.4
23,Tripura,265,277,4.5,50,32,-36,2,1,-50,73,72,-1.4,219,219,0,39,27,-30.8,180,192,6.7,75,65,-13.3,0,0,0,121,102,-15.7,452,241,-46.7,405,297,-26.7,NR,0,0,NR,297,0,276,207,-25,17,10,-41.2,25,37,48,1,0,-100,130,143,10,519,473,-8.9,10,17,70,73,71,-2.7,0,0,0,115,113,-1.7,NR,0,0,788,752,-4.6,3616,3129,-13.5
24,Uttar Pradesh,8303,7850,-5.5,8497,7849,-7.6,1322,1354,2.4,1605,1593,-0.7,4369,4158,-4.8,2882,2746,-4.7,1487,1412,-5,1207,927,-23.2,111,91,-18,5342,4197,-21.7,12072,10081,-16.5,33290,29348,-11.8,NR,5210,0,NR,24138,0,7851,6792,-13.5,3867,3495,-9.6,4641,5213,12.3,71,175,146.5,1220,1171,-4,14269,14051,-1.5,2229,2088,-6.3,2423,2481,2.4,2571,2255,-12.3,5113,5372,5.1,NR,0,0,64088,63102,-1.5,184461,173643,-5.9
25,West Bengal,2122,1902,-10.4,467,516,10.5,623,655,5.1,757,819,8.2,908,945,4.1,783,804,2.7,125,141,12.8,426,368,-13.6,334,475,42.2,917,913,-0.4,549,533,-2.9,18640,18157,-2.6,NR,2533,0,NR,15624,0,5927,4601,-22.4,504,586,16.3,1080,1145,6,38,47,23.7,134,102,-23.9,4530,4194,-7.4,249,257,3.2,1243,1200,-3.5,27,33,22.2,3704,3777,2,NR,1,0,24771,25299,2.1,67950,66525,-2.1
Total States,Total States,37851,36453,-3.7,29904,29002,-3,3575,3817,6.8,14960,15031,2.3,22133,21797,-1.5,15333,14934,-2.6,6800,6863,0.9,8011,7007,-12.5,1228,1464,19.2,22746,20580,-9.5,115048,107375,-6.7,259701,245829,-5.3,0,50966,0,0,194795,0,90329,80399,-11,15424,14880,-3.5,36299,39319,8.3,1258,1273,1.2,12809,11124,-13.2,232747,233379,0.3,6843,6564,-4.1,30260,31640,4.6,7860,8673,10.3,41235,43669,5.9,0,1,0,717959,739261,3,1707910,1698537,-0.5
26,A & N Islands,20,9,-55,4,4,0,0,0,0,4,6,50,2,4,100,2,2,0,0,2,0,0,2,0,0,0,0,3,1,-66.7,62,79,27.4,50,51,2,NR,1,0,NR,50,0,11,32,190.9,7,7,0,9,8,-11.1,0,0,0,4,9,125,76,88,15.8,0,0,0,15,13,-13.3,2,2,0,3,8,166.7,NR,0,0,268,280,4.5,540,603,11.7
27,Chandigarh,16,17,6.3,21,18,-14.3,4,9,125,11,16,45.5,35,48,37.1,31,36,16.1,4,12,200,4,1,-75,2,1,-50,8,6,-25,175,234,33.7,799,1035,29.5,NR,414,0,NR,621,0,52,73,40.4,19,37,94.7,112,172,53.6,0,1,0,1,10,900,96,102,6.3,5,7,40,10,26,160,10,18,80,25,42,68,NR,0,0,569,862,51.5,1974,2735,38.6
28,D & N Haveli,16,16,0,6,2,-66.7,0,0,0,7,3,-57.5,5,2,-60,2,0,-100,3,2,-33.3,7,1,-85.7,0,0,0,10,8,-20,67,42,-37.3,76,64,-15.8,NR,12,0,NR,52,0,86,37,-57,8,3,-62.5,14,3,-78.6,0,0,0,5,1,-80,24,41,0.8,0,2,0,1,8,700,0,0,0,7,5,-28.6,NR,0,0,174,175,0.6,513,413,-19.5
29,Daman & DIU,7,5,-28.6,6,5,-16.7,0,0,0,0,4,0,2,3,50,0,2,0,2,1,-50,2,0,-100,0,0,0,5,2,-60,33,42,27.3,36,38,5.6,NR,13,0,NR,25,0,41,23,-43.9,6,9,50,8,11,37.5,0,0,0,0,2,0,0,24,0,0,0,0,0,0,0,0,0,0,0,5,0,NR,0,0,120,74,-38.3,266,247,-7.1
30,Delhi,649,649,0,612,579,-5.4,96,81,-15.6,438,402,-8.2,1333,1375,3.2,978,986,0.8,355,389,9.6,65,63,-3.1,36,36,0,823,726,-11.8,3764,3429,-8.9,26911,24423,-9.2,NR,8078,0,NR,16345,0,195,199,2.1,684,512,-25.1,1817,1869,2.9,84,69,-17.9,65,57,-12.3,2528,2201,-12.9,126,122,-3.2,653,588,-10,172,146,-15.1,103,88,-14.6,NR,0,0,23728,21087,-11.1,64882,58701,-9.5
31,Lakshadeep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,50,11,11,0,NR,2,0,NR,9,0,0,3,0,1,3,200,0,0,0,0,0,0,7,1,-85.7,8,2,-75,0,0,0,1,0,-100,0,0,0,1,0,-100,NR,0,0,25,8,-68.7,56,31,-44.5
32,Pondicherry,25,21,-16,24,18,-25,6,5,-16.7,1,6,500,10,7,-30,5,2,-60,5,5,0,2,5,150,0,0,0,8,9,12.5,109,92,-15.6,383,456,19.1,NR,199,0,NR,257,0,53,72,35.8,8,3,-62.5,12,21,75,11,4,-63.6,22,14,-36.4,391,476,21.7,1,4,300,19,36,89.5,9,19,111.1,1,6,500,NR,0,0,1579,2088,32.2,2674,3362,25.7
Total (UTs),Total (UTs),733,717,-2.2,673,626,-7,106,95,-10.4,461,437,-5.2,1387,1439,3.7,1018,1028,1,369,411,11.4,80,72,-10,38,37,-2.6,857,752,-12.3,4212,3921,-6.9,28266,26078,-7.7,0,8719,0,0,17359,0,438,439,0.2,733,574,-21.7,1972,2084,5.7,95,74,-22.1,104,94,-9.6,3123,2934,-6.1,132,135,2.3,699,671,-4,193,185,-4.1,140,154,10,0,0,0,26463,24574,-7.1,70905,66092,-6.8
Total (All-India),Total (All-India),38584,37170,-3.7,30577,29628,-3.1,3681,3912,6.3,15151,15468,2.1,23520,23236,-1.2,16351,15962,-2.4,7169,7274,1.5,8091,7079,-12.5,1266,1501,18.4,23603,21332,-9.6,119260,111296,-6.7,287967,271907,-5.6,0,59685,0,0,212154,0,90767,80838,-10.9,16157,15454,-4.4,38271,41403,8.2,1353,1347,-0.4,12913,11218,-13.1,235870,236313,0.2,6975,6699,-4,30959,32311,4.4,8053,8858,10,41375,43823,5.9,0,1,0,744422,763835,2.6,1778815,1764629,-0.8
33,Ahmedabad,104,105,1,77,60,-22.1,3,3,0,20,14,-30,179,200,11.7,130,118,-9.2,49,82,67.3,23,20,-13,0,1,0,233,224,-3.9,789,812,2.9,3941,3870,-1.8,NR,1407,0,NR,2463,0,272,200,-26.5,178,184,3.4,260,287,10.4,9,14,55.6,9,9,0,1711,1495,-12.6,4,6,50,53,30,-43.4,25,29,16,492,524,6.5,NR,0,0,7484,7565,1.1,15866,15652,-1.3
34,Bangalore,206,203,-1.5,423,349,-17.5,0,2,0,41,29,-29.3,193,158,-18.1,94,65,-30.9,99,93,-6.1,46,66,43.5,10,0,-100,614,451,-26.5,3115,2968,-4.7,7894,7451,-5.6,NR,2584,0,NR,4867,0,418,329,-21.3,272,215,-21,1106,1351,22.2,9,25,177.8,0,7,0,4010,3721,-7.2,45,49,8.9,171,219,28.1,58,52,-10.3,212,198,-6.6,NR,0,0,10422,10124,-2.9,29265,27967,-4.4
35,Bhopal,39,44,12.8,72,92,27.8,0,0,0,39,42,7.7,34,37,8.8,30,33,10,4,4,0,0,1,0,0,0,0,88,85,-3.4,659,695,5.5,1290,1053,-18.4,NR,349,0,NR,704,0,60,57,-5,36,32,-11.1,182,142,-22,0,16,0,13,12,-7.7,575,638,11,18,10,-44.4,106,92,-13.2,24,16,-33.3,66,65,-1.5,NR,0,0,6072,6363,4.8,9373,9492,1.3
36,Calcutta,89,72,-19.1,133,148,11.3,23,11,-52.2,27,24,-11.1,126,134,6.3,83,93,12,43,41,-4.7,33,24,-27.3,53,72,35.8,158,157,-0.6,108,131,21.3,4420,4490,1.6,NR,1145,0,NR,3345,0,320,324,1.3,270,325,20.4,773,787,1.8,8,28,250,0,0,0,1304,1183,-9.3,10,5,-50,167,199,19.2,22,28,27.3,169,159,-5.9,NR,0,0,3171,3145,-0.8,11384,11447,0.6
37,Chennai,86,93,8.1,277,333,20.2,1,1,0,24,27,12.5,65,41,-36.9,16,12,-25,49,29,-40.7,8,18,125,0,0,0,105,104,-1,512,475,-7.2,2399,2227,-7.2,NR,261,0,NR,1966,0,107,60,-43.9,329,98,-70.2,905,1067,17.9,63,47,-25.4,0,0,0,759,612,-19.4,19,22,15.8,26,40,53.8,0,0,0,52,55,5.8,NR,0,0,1638,1468,-10.4,7375,6788,-8
38,Coimbatore,50,22,-56,31,28,-9.7,0,0,0,2,4,100,16,23,43.8,8,14,75,8,9,12.5,3,0,-100,0,0,0,15,17,13.3,170,174,2.4,747,909,21.7,NR,199,0,NR,710,0,173,75,-56.6,12,32,166.7,62,47,-24.2,10,6,-40,233,8,-96.6,126,171,35.7,9,11,22.2,22,25,13.6,96,100,4.2,7,18,157.1,NR,0,0,2024,2129,5.2,3808,3799,-0.2
39,Delhi,523,514,-1.7,518,509,-1.7,53,61,15.1,365,332,-9,1155,1176,1.8,853,837,-1.9,302,339,12.3,54,42,-22.2,29,30,3.4,728,649,-10.9,3319,3068,-7.6,25188,22517,-10.6,NR,7959,0,NR,14558,0,162,163,0.6,608,468,-23,1739,1797,3.3,83,67,-19.3,52,49,-5.8,2261,1928,-14.7,100,95,-5,539,480,-10.9,154,126,-18.2,77,58,-24.7,NR,0,0,21304,18602,-12.7,59011,52731,-10.6
40,Hyderabad,115,115,0,98,97,-1,3,1,-66.7,36,48,33.3,117,96,-17.9,89,43,-51.7,28,53,89.3,15,3,-80,0,0,0,67,79,17.9,1268,1225,-3.4,3111,2995,-3.7,NR,1111,0,NR,1884,0,281,148,-47.3,104,141,35.6,1070,1724,61.1,11,14,27.3,0,0,0,2688,2995,11.4,36,19,-47.2,79,86,8.9,23,10,-56.5,667,808,21.1,NR,0,0,1354,991,-26.8,11143,11595,4.1
41,Indore,79,95,20.3,84,83,-1.2,1,2,100,30,29,-3.3,49,35,-28.6,45,29,-35.6,4,6,50,1,0,-100,6,9,50,39,41,5.1,671,712,6.1,2050,2204,7.5,NR,1055,0,NR,1149,0,44,48,9.1,35,32,-8.6,107,146,36.4,9,6,-33.3,15,9,-40,91,1038,1040.7,18,23,27.8,58,71,22.4,14,9,-35.7,105,128,21.9,NR,0,0,4458,3871,-13.2,7964,8591,7.9
42,Jaipur,47,47,0,25,51,104,5,2,-60,38,38,0,201,191,-5,136,154,13.2,65,37,-43.1,4,8,100,0,0,0,52,61,17.3,859,824,-4.1,2824,2619,-7.3,NR,970,0,NR,1649,0,1561,1369,-12.3,198,173,-12.6,738,773,4.7,98,22,-77.6,31,24,-22.6,104,125,20.2,19,26,36.8,129,115,-10.9,2,2,0,357,337,-5.6,NR,0,0,5480,5616,2.5,12772,12423,-2.7
43,Kanpur,239,208,-13,229,175,-23.6,32,43,34.4,41,34,-17.1,251,190,-24.3,161,147,-8.7,90,43,-52.2,76,24,-68.4,5,6,20,279,125,-55.2,651,329,-49.5,1720,1204,-30,NR,415,0,NR,789,0,368,202,-45.1,302,218,-27.8,396,316,-20.2,12,45,275,35,29,-17.1,1173,1102,-6.1,90,75,-16.7,71,58,-18.3,0,238,0,384,287,-25.3,NR,0,0,2689,1902,-29.3,9043,6810,-24.7
44,Kochi,13,22,69.2,26,30,15.4,12,3,-75,10,9,-10,3,9,200,2,4,100,1,5,400,5,5,0,0,0,0,31,27,-12.9,301,195,-35.2,346,353,2,NR,135,0,NR,218,0,175,193,10.3,28,28,0,203,191,-5.9,3,4,33.3,8,4,-50,517,544,5.2,1,0,-100,43,44,2.3,5,4,-20,65,57,-12.3,NR,0,0,3108,3274,5.3,4903,4996,1.9
45,Lucknow,118,129,9.3,168,140,-16.7,10,21,110,23,28,21.7,117,114,-2.6,102,94,-7.8,15,20,33.3,16,17,6.3,2,0,-100,123,127,3.3,432,624,44.4,1913,2109,10.2,NR,517,0,NR,1592,0,161,229,42.2,234,235,0.4,258,436,69,3,8,166.7,8,8,0,84,81,-3.6,28,34,21.4,20,44,120,0,227,0,126,211,67.5,NR,0,0,2220,2224,0.2,6064,7046,16.2
46,Ludhiana,58,39,-32.8,23,34,47.8,7,8,14.3,17,38,123.5,47,50,6.4,27,35,29.6,20,15,-25,3,6,100,16,12,-25,4,4,0,162,127,-21.6,394,339,-14,NR,235,0,NR,104,0,2,0,-100,26,23,-11.5,207,301,45.4,4,3,-25,5,5,0,117,124,6,12,14,16.7,12,5,-58.3,0,0,0,79,146,84.8,NR,0,0,549,602,9.7,1744,1880,7.8
